LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,mortality,kill_rate,block_initial,simday,mass_llins_fund
Udu,Isoko South,2022,Udu,0.8,0.8,0.8,0.8,1,june,0.132665008,0.591758219,0.65,892,PBO (2021)
Udu,Isoko South,2025,Udu,0.8,0.8,0.8,0.8,2,june,0.132665008,0.591758219,0.65,1987,PBO (2021)
Udu,Isoko South,2028,Udu,0.8,0.8,0.8,0.8,3,june,0.132665008,0.591758219,0.65,3082,PBO (2021)
Udung Uko,Nsit Ubium,2021,Udung Uko,0.8,0.8,0.8,0.8,1,june,0.232099503,0.322887578,0.53,527,Pyrethroid (2020)
Udung Uko,Nsit Ubium,2024,Udung Uko,0.8,0.8,0.8,0.8,2,june,0.232099503,0.322887578,0.53,1622,Pyrethroid (2020)
Udung Uko,Nsit Ubium,2027,Udung Uko,0.8,0.8,0.8,0.8,3,june,0.232099503,0.322887578,0.53,2717,Pyrethroid (2020)
Udung Uko,Nsit Ubium,2030,Udung Uko,0.8,0.8,0.8,0.8,4,june,0.232099503,0.322887578,0.53,3812,Pyrethroid (2020)
Ughelli North,Isoko South,2022,Ughelli North,0.8,0.8,0.8,0.8,1,june,0.187814216,0.66525468,0.65,892,PBO (2021)
Ughelli North,Isoko South,2025,Ughelli North,0.8,0.8,0.8,0.8,2,june,0.187814216,0.66525468,0.65,1987,PBO (2021)
Ughelli North,Isoko South,2028,Ughelli North,0.8,0.8,0.8,0.8,3,june,0.187814216,0.66525468,0.65,3082,PBO (2021)
Ughelli South,Isoko South,2022,Ughelli South,0.8,0.8,0.8,0.8,1,june,0.146146999,0.613998812,0.65,892,PBO (2021)
Ughelli South,Isoko South,2025,Ughelli South,0.8,0.8,0.8,0.8,2,june,0.146146999,0.613998812,0.65,1987,PBO (2021)
Ughelli South,Isoko South,2028,Ughelli South,0.8,0.8,0.8,0.8,3,june,0.146146999,0.613998812,0.65,3082,PBO (2021)
Ugwunagbo,Ngor-Okpala,2020,Ugwunagbo,0.8,0.8,0.8,0.8,1,june,0.311296946,0.726921429,0.65,162,PBO (2021)
Ugwunagbo,Ngor-Okpala,2023,Ugwunagbo,0.8,0.8,0.8,0.8,2,june,0.311296946,0.726921429,0.65,1257,PBO (2021)
Ugwunagbo,Ngor-Okpala,2026,Ugwunagbo,0.8,0.8,0.8,0.8,3,june,0.311296946,0.726921429,0.65,2352,PBO (2021)
Ugwunagbo,Ngor-Okpala,2029,Ugwunagbo,0.8,0.8,0.8,0.8,4,june,0.311296946,0.726921429,0.65,3447,PBO (2021)
Uhunmwonde,Owan East,2020,Uhunmwonde,0.8,0.8,0.8,0.8,1,march,0.3888156,0.739076547,0.65,70,PBO (2021)
Uhunmwonde,Owan East,2023,Uhunmwonde,0.8,0.8,0.8,0.8,2,march,0.3888156,0.739076547,0.65,1165,PBO (2021)
