LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,mortality,kill_rate,block_initial,simday,mass_llins_fund
Shendam,Keana,2026,Shendam,0.8,0.8,0.8,0.8,3,august,0.510631455,0.546233826,0.557848361,2413,Pyrethroid (2020)
Shendam,Keana,2029,Shendam,0.8,0.8,0.8,0.8,4,august,0.510631455,0.546233826,0.557848361,3508,Pyrethroid (2020)
Shinkafi,Rimi,2020,Shinkafi,0.8,0.8,0.8,0.8,1,march,0.80839035,0.714247715,0.89775377,70,Pyrethroid (2020)
Shinkafi,Rimi,2023,Shinkafi,0.8,0.8,0.8,0.8,2,march,0.80839035,0.714247715,0.89775377,1165,Pyrethroid (2020)
Shinkafi,Rimi,2026,Shinkafi,0.8,0.8,0.8,0.8,3,march,0.80839035,0.714247715,0.89775377,2260,Pyrethroid (2020)
Shinkafi,Rimi,2029,Shinkafi,0.8,0.8,0.8,0.8,4,march,0.80839035,0.714247715,0.89775377,3355,Pyrethroid (2020)
Shira,Takali,2021,Shira,0.8,0.8,0.8,0.8,1,september,0.742991291,0.686675947,0.86075202,615,Pyrethroid (2020)
Shira,Takali,2024,Shira,0.8,0.8,0.8,0.8,2,september,0.742991291,0.686675947,0.86075202,1710,Pyrethroid (2020)
Shira,Takali,2027,Shira,0.8,0.8,0.8,0.8,3,september,0.742991291,0.686675947,0.86075202,2805,Pyrethroid (2020)
Shira,Takali,2030,Shira,0.8,0.8,0.8,0.8,4,september,0.742991291,0.686675947,0.86075202,3900,Pyrethroid (2020)
Shiroro,Oke-Ero,2022,Shiroro,0.8,0.8,0.8,0.8,1,july,0.564594834,0.748659521,0.746389585,916,PBO (2021)
Shiroro,Oke-Ero,2025,Shiroro,0.8,0.8,0.8,0.8,2,july,0.564594834,0.748659521,0.746389585,2011,PBO (2021)
Shiroro,Oke-Ero,2028,Shiroro,0.8,0.8,0.8,0.8,3,july,0.564594834,0.748659521,0.746389585,3106,PBO (2021)
Shomgom,Alkaleri,2021,Shomgom,0.8,0.8,0.8,0.835300207,1,july,0.393550536,0.739563122,0.65,551,PBO (2021)
Shomgom,Alkaleri,2024,Shomgom,0.8,0.8,0.8,0.835300207,2,july,0.393550536,0.739563122,0.65,1646,PBO (2021)
Shomgom,Alkaleri,2027,Shomgom,0.8,0.8,0.8,0.835300207,3,july,0.393550536,0.739563122,0.65,2741,PBO (2021)
Shomgom,Alkaleri,2030,Shomgom,0.8,0.8,0.8,0.835300207,4,july,0.393550536,0.739563122,0.65,3836,PBO (2021)
Shomolu,Isoko South,2020,Shomolu,0.8,0.8,0.8,0.8,1,june,0.475867815,0.7454561,0.65,162,PBO (2021)
Shomolu,Isoko South,2023,Shomolu,0.8,0.8,0.8,0.8,2,june,0.475867815,0.7454561,0.65,1257,PBO (2021)
Shomolu,Isoko South,2026,Shomolu,0.8,0.8,0.8,0.8,3,june,0.475867815,0.7454561,0.65,2352,PBO (2021)
Shomolu,Isoko South,2029,Shomolu,0.8,0.8,0.8,0.8,4,june,0.475867815,0.7454561,0.65,3447,PBO (2021)
Silame,Gawabawa,2020,Silame,0.8,0.8,0.8,0.948717949,1,august,0.766165395,0.751555363,0.908984572,223,PBO (2021)
Silame,Gawabawa,2023,Silame,0.8,0.8,0.8,0.948717949,2,august,0.766165395,0.751555363,0.908984572,1318,PBO (2021)
Silame,Gawabawa,2026,Silame,0.8,0.8,0.8,0.948717949,3,august,0.766165395,0.751555363,0.908984572,2413,PBO (2021)
Silame,Gawabawa,2029,Silame,0.8,0.8,0.8,0.948717949,4,august,0.766165395,0.751555363,0.908984572,3508,PBO (2021)
Soba,Soba,2022,Soba,0.843427297,0.8,0.8,0.8,1,july,0.582055388,0.749081498,0.76815646,916,PBO (2021)
Soba,Soba,2025,Soba,0.843427297,0.8,0.8,0.8,2,july,0.582055388,0.749081498,0.76815646,2011,PBO (2021)
Soba,Soba,2028,Soba,0.843427297,0.8,0.8,0.8,3,july,0.582055388,0.749081498,0.76815646,3106,PBO (2021)
Sokoto North,Gawabawa,2020,Sokoto North,0.8,0.8,0.8,0.8,1,august,0.778619091,0.751645507,0.91445347,223,PBO (2021)
Sokoto North,Gawabawa,2023,Sokoto North,0.8,0.8,0.8,0.8,2,august,0.778619091,0.751645507,0.91445347,1318,PBO (2021)
Sokoto North,Gawabawa,2026,Sokoto North,0.8,0.8,0.8,0.8,3,august,0.778619091,0.751645507,0.91445347,2413,PBO (2021)
Sokoto North,Gawabawa,2029,Sokoto North,0.8,0.8,0.8,0.8,4,august,0.778619091,0.751645507,0.91445347,3508,PBO (2021)
Sokoto South,Birnin Kebbi,2020,Sokoto South,0.8,0.8,0.8,0.8,1,august,0.80984662,0.751847196,0.926706343,223,PBO (2021)
Sokoto South,Birnin Kebbi,2023,Sokoto South,0.8,0.8,0.8,0.8,2,august,0.80984662,0.751847196,0.926706343,1318,PBO (2021)
Sokoto South,Birnin Kebbi,2026,Sokoto South,0.8,0.8,0.8,0.8,3,august,0.80984662,0.751847196,0.926706343,2413,PBO (2021)
Sokoto South,Birnin Kebbi,2029,Sokoto South,0.8,0.8,0.8,0.8,4,august,0.80984662,0.751847196,0.926706343,3508,PBO (2021)
Song,Darazo,2020,Song,0.8,0.8,0.8,0.8,1,july,0.551949619,0.748320258,0.729369132,186,PBO (2021)
Song,Darazo,2023,Song,0.8,0.8,0.8,0.8,2,july,0.551949619,0.748320258,0.729369132,1281,PBO (2021)
Song,Darazo,2026,Song,0.8,0.8,0.8,0.8,3,july,0.551949619,0.748320258,0.729369132,2376,PBO (2021)
Song,Darazo,2029,Song,0.8,0.8,0.8,0.8,4,july,0.551949619,0.748320258,0.729369132,3471,PBO (2021)
Southern Ijaw,Ahoada West,2020,Southern Ijaw,0.8,0.8,0.8,0.8,1,may,0.300385456,0.724294496,0.65,131,PBO (2021)
Southern Ijaw,Ahoada West,2023,Southern Ijaw,0.8,0.8,0.8,0.8,2,may,0.300385456,0.724294496,0.65,1226,PBO (2021)
Southern Ijaw,Ahoada West,2026,Southern Ijaw,0.8,0.8,0.8,0.8,3,may,0.300385456,0.724294496,0.65,2321,PBO (2021)
