,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
78,Awka South,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
79,Ayamelum,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
80,Babura,Babura,Jigawa,0,1095,2010,0.053961815,0.053961815
81,Badagry,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
82,Bade,Taura,Jigawa,0,1095,2010,0.066097954,0.066097954
83,Bagudo,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,0.005035576
84,Bagwai,Babura,Jigawa,0,1095,2010,0.053961815,0.053961815
85,Bakassi,Obubra,Cross River,0,1095,2010,0,0
86,Bakori,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
87,Bakura,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
88,Balanga,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
89,Bali,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
90,Bama,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
91,Barikin Ladi,Soba,Kaduna,0,1095,2010,0.076473462,0.076473462
92,Baruten,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
93,Bassa1,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
94,Bassa2,Soba,Kaduna,0,1095,2010,0.076473462,0.076473462
95,Batagarawa,Rimi,Katsina,0,1095,2010,0.096584862,0.096584862
96,Batsari,Rimi,Katsina,0,1095,2010,0.096584862,0.096584862
97,Bauchi,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
98,Baure,Babura,Jigawa,0,1095,2010,0.053961815,0.053961815
99,Bayo,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
100,Bebeji,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
101,Bekwara,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
102,Bende,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
103,Biase,Ngor-Okpala,Imo,0,1095,2010,0.038064811,0.038064811
104,Bichi,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
105,Bida,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
106,Billiri,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
107,Bindawa,Rimi,Katsina,0,1095,2010,0.096584862,0.096584862
108,Binji,Gawabawa,Sokoto,0,1095,2010,0,0
109,Biriniwa,Taura,Jigawa,0,1095,2010,0.066097954,0.066097954
110,Birni Kudu,Takali,Kano,0,1095,2010,0.041618192,0.041618192
111,Birnin Kebbi,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,0.005035576
112,Birnin Magaji,Rimi,Katsina,0,1095,2010,0.096584862,0.096584862
113,Birnin-Gwari,Giwa,Kaduna,0,1095,2010,0.018010707,0.018010707
114,Biu,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
115,Bodinga,Gawabawa,Sokoto,0,1095,2010,0,0
116,Bogoro,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
117,Boki,Obubra,Cross River,0,1095,2010,0,0
118,Bokkos,Giwa,Kaduna,0,1095,2010,0.018010707,0.018010707
119,Boluwaduro,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
120,Bomadi,Isoko South,Delta,0,1095,2010,0.102375399,0.102375399
121,Bonny,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
122,Borgu,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.033965668
123,Boripe,Akinyele,Oyo,0,1095,2010,0.067262581,0.067262581
124,Bosso,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
125,Brass,Ahoada West,Rivers,0,1095,2010,0.244230555,0.244230555
126,Buji,Takali,Kano,0,1095,2010,0.041618192,0.041618192
127,Bukkuyum,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
128,Bungudu,Takali,Kano,0,1095,2010,0.041618192,0.041618192
129,Bunkure,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
130,Bunza,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,0.005035576
131,Bursari,Taura,Jigawa,0,1095,2010,0.066097954,0.066097954
132,Buruku,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
133,Burutu,Isoko South,Delta,0,1095,2010,0.102375399,0.102375399
134,Bwari,Giwa,Kaduna,0,1095,2010,0.018010707,0.018010707
135,Calabar South,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
136,Calabar-Municipal,Nsit Ubium,Akwa lbom,0,1095,2010,0.092807342,0.092807342
137,Chanchaga,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
138,Charanchi,Rimi,Katsina,0,1095,2010,0.096584862,0.096584862
139,Chibok,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
140,Chikun,Soba,Kaduna,0,1095,2010,0.076473462,0.076473462
141,Dala,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
142,Damaturu,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
143,Damban,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
144,Dambatta,Babura,Jigawa,0,1095,2010,0.053961815,0.053961815
145,Damboa,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
146,Dan Musa,Rimi,Katsina,0,1095,2010,0.096584862,0.096584862
147,Dandi,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,0.005035576
148,Dandume,Giwa,Kaduna,0,1095,2010,0.018010707,0.018010707
149,Dange-Shnsi,Gawabawa,Sokoto,0,1095,2010,0,0
150,Danja,Giwa,Kaduna,0,1095,2010,0.018010707,0.018010707
151,Darazo,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
152,Dass,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
153,Daura,Babura,Jigawa,0,1095,2010,0.053961815,0.053961815
154,Dawakin Kudu,Gwarzo,Kano,0,1095,2010,0.020151372,0.020151372
155,Dawakin Tofa,Taura,Jigawa,0,1095,2010,0.066097954,0.066097954
156,Degema,Ahoada West,Rivers,0,1095,2010,0.244230555,0.244230555
157,Dekina,Owan East,Edo,0,1095,2010,0.100639757,0.100639757
158,Demsa,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.140374283
159,Dikwa,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
160,Doguwa,Giwa,Kaduna,0,1095,2010,0.018010707,0.018010707
161,Doma,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
162,Donga,Keana,Nasarawa,0,1095,2010,0.003757889,0.003757889
163,Dukku,Darazo,Bauchi,0,1095,2010,0.052339721,0.052339721
164,Dunukofia,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.101110595
165,Dutse,Takali,Kano,0,1095,2010,0.041618192,0.041618192
