,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
1,Aba North,Ngor-Okpala,0.368493072,0.459164498,0.342350367,0.317512273
2,Aba South,Ngor-Okpala,0.432585871,0.42691277,0.242141206,0.289843907
3,Arochukwu,Ngor-Okpala,0.409807769,0.327133985,0.239735094,0.325629622
4,Bende,Ngor-Okpala,0.254506108,0.25399127,0.099431805,0.181414612
5,Ikwuano,Ngor-Okpala,0.393004114,0.324127916,0.425072045,0.42030651
6,Isiala-Ngwa North,Ngor-Okpala,0.042898792,0.129356358,0.071963678,0.059840232
7,Isiala-Ngwa South,Ngor-Okpala,0.104366275,0.076877973,0.219305704,0.117883509
8,Isuikwato,Ngor-Okpala,0.45242915,0.153256705,0.105045492,0.230249359
9,Obi Nwa,Ngor-Okpala,0.3,0.466666667,0.318181818,0.34375
10,Ohafia,Ngor-Okpala,0.182997461,0.109757356,0.143886995,0.184305851
11,Osisioma Ngwa,Ngor-Okpala,0.264705882,0.2,0.130434783,0.333333333
12,Ugwunagbo,Ngor-Okpala,0.142857143,0.142857143,0.277777778,0.076923077
13,Ukwa East,Nsit Ubium,0.217391304,0.055555556,0.04,0.071428571
14,Ukwa West,Nsit Ubium,0.33446468,0.294193051,0.202569073,0.227821791
15,Umu-Neochi,Oru West,0.414834691,0.505751301,0.336016178,0.369315235
16,Umuahia North,Ngor-Okpala,0.133333333,0.266473717,0.2,0.175438596
17,Umuahia South,Ngor-Okpala,0.190246395,0.219712762,0.165294373,0.278242778
18,Demsa,Alkaleri,0.45367231,0.28476821,0.267025783,0.384980239
19,Gireri,Darazo,0.43370955,0.251051565,0.419360098,0.414123463
20,Gombi,Alkaleri,0.46428318,0.413940794,0.395597499,0.338836572
21,Guyuk,Alkaleri,0.649078623,0.538183465,0.609110853,0.520162675
22,Hong,Darazo,0.608695652,0.444444444,0.24137931,0.384615385
23,Lamurde,Alkaleri,0.318181818,0.142857143,0.363636364,0.403225806
24,Mayo-Belwa,Alkaleri,0.64,0.1875,0.44,0.438596491
25,Numan,Alkaleri,0.833333333,0.4375,0.368421053,0.611111111
26,Shelleng,Darazo,0.364360702,0.294522122,0.31610634,0.366244989
27,Itu,Ngor-Okpala,0.304424538,0.266473717,0.219305704,0.020408163
28,Song,Darazo,0.481299215,0.567045456,0.489233428,0.494332723
29,Yola North,Alkaleri,0.489106732,0.454789001,0.414279228,0.409390884
30,Yola South,Alkaleri,0.523809524,0.375,0.444444444,0.259259259
31,Abak,Nsit Ubium,0.117647059,0.066666667,0.173913043,0.163934426
32,Awka North,Uzo-Uwani,0.238095238,0.142857143,0.086956522,0.210526316
33,Eket,Nsit Ubium,0.363636364,0.333333333,0.35,0.318181818
34,Esit Eket,Nsit Ubium,0.642857143,0.4,0.162162162,0.490566038
35,Essien Udim,Ngor-Okpala,0.40416306,0.41932543,0.101814961,0.248747098
36,Etim Ekpo,Ngor-Okpala,0.304424538,0.266473717,0.219305704,0.266910909
37,Etinan,Nsit Ubium,0.230769231,0.166666667,0.202569073,0.142857143
38,Ibesikpo Asutan,Nsit Ubium,0.316326558,0.365384584,0.264150952,0.295373674
39,Ibiono Ibom,Ngor-Okpala,0.680806712,0.564126427,0.347777775,0.518035164
40,Ika,Ngor-Okpala,0.304424538,0.266473717,0.219305704,0.266910909
41,Ikono,Ngor-Okpala,0.166666667,0.117647059,0.291666667,0.186440678
42,Ikot Abasi,Nsit Ubium,0.347826087,0.461538462,0.3,0.123076923
43,Ikot Ekpene,Ngor-Okpala,0.05605449,0.266473717,0.200480127,0.116877293
44,Ini,Ngor-Okpala,0.692307692,0.357142857,0.533333333,0.510204082
45,Mkpat Enin,Nsit Ubium,0.602843612,0.379341874,0.33631654,0.380262242
46,Nsit Atai,Nsit Ubium,0.33446468,0.294193051,0.202569073,0.227821791
47,Nsit Ibom,Nsit Ubium,0.2,0.076923077,0.202569073,0.169230769
48,Nsit Ubium,Nsit Ubium,0.294117647,0.545454545,0.136363636,0.293103448
49,Awka South,Uzo-Uwani,0.115384615,0.224106265,0.160050482,0.055555556
50,Obot Akara,Ngor-Okpala,0.352941176,0.444444444,0.230769231,0.298245614
