,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
78,Bauchi,Alkaleri,0.217140886,0.12456069,0.078945586,0.193672806
79,Bogoro,Alkaleri,0.118463907,0.072751232,0.053568923,0.110290165
80,Damban,Darazo,0.012255252,0.08448735,0.068696764,0.032509583
81,Darazo,Darazo,0.105014985,0.08448735,0.068696764,0.108877417
82,Dass,Alkaleri,0.118463907,0.072751232,0.053568923,0.110290165
83,Gamawa,Gwarzo,0.063062651,0.037239774,0.025602661,0.029096548
84,Jama'are,Taura,0.181535236,0.11021374,0.086236149,0.171748891
85,Ganjuwa,Darazo,0.013333333,0.08448735,0.068696764,0.025862069
86,Giade,Darazo,0.105014985,0.08448735,0.068696764,0.108877417
87,Itas/Gadau,Taura,0.105263158,0.023809524,0.086236149,0.113207547
88,Katagum,Gwarzo,0.010454854,0.051418292,0.048921788,0.015516975
89,Kirfi,Alkaleri,0.118463907,0.072751232,0.053568923,0.110290165
90,Misau,Darazo,0.047619048,0.075471698,0.070422535,0.075471698
91,Ningi,Takali,0.013409934,0.05735459,0.045574567,0.035700065
92,Ukum,Keana,0.065090086,0.043892064,0.050118085,0.045077104
93,Shira,Takali,0.035087719,0.05735459,0.045574567,0.023529412
94,Tafawa-Balewa,Alkaleri,0.114726488,0.050567208,0.033816637,0.094829679
95,Toro,Giwa,0.123820541,0.079218143,0.048481424,0.135089353
96,Warji,Takali,0.148148148,0.083333333,0.1,0.095744681
97,Zaki,Taura,0.181535236,0.11021374,0.086236149,0.171748891
98,Kolokuma/Opokuma,Ahoada West,0.16928682,0.11544762,0.097571244,0.106746269
99,Nembe,Ahoada West,0.387096774,0.173913043,0.34375,0.237113402
100,Ogbia,Ahoada West,0.14129337,0.174958146,0.10022028,0.140175963
101,Sagbama,Ahoada West,0.16928682,0.11544762,0.097571244,0.106746269
102,Yenegoa,Isoko South,0.222809494,0.220663194,0.151835557,0.190892401
103,Ado,Akinyele,0.8,0.558823529,0.523809524,0.74025974
104,Agatu,Keana,0.319248839,0.111111105,0.191810341,0.377855901
105,Apa,Keana,0.185599666,0.112881666,0.096685117,0.159002102
106,Buruku,Keana,0.302774002,0.20636345,0.160015468,0.26127421
107,Gboko,Keana,0.156921673,0.129869362,0.132996784,0.13511247
108,Guma,Keana,0.185599666,0.112881666,0.096685117,0.159002102
109,Gwer East,Oke-Ero,0.451612903,0.318181818,0.219512195,0.342857143
110,Gwer West,Keana,0.185599666,0.112881666,0.096685117,0.159002102
111,Katsina-Ala,Keana,0.144027186,0.092346533,0.075482925,0.145935277
112,Konshisha,Oke-Ero,0.168695913,0.105193908,0.078409211,0.165696417
113,Logo,Keana,0.185599666,0.112881666,0.096685117,0.159002102
114,Makurdi,Keana,0.368421053,0.5,0.269230769,0.385542169
115,Obi1,Keana,0.565217391,0.363636364,0.291666667,0.5
116,Ogbadibo,Owan East,0.6,0.47826087,0.428571429,0.4
117,Ohimini,Akinyele,0.21332798,0.159744519,0.117702428,0.173750679
118,Oju,Oke-Ero,0.464285714,0.368421053,0.583333333,0.339285714
119,Okpokwu,Akinyele,0.291285321,0.275632423,0.369986155,0.21389695
120,Oturkpo,Owan East,0.354988546,0.131247229,0.104523621,0.290722279
121,Tarka,Keana,0.185599666,0.112881666,0.096685117,0.159002102
122,Ushongo,Oke-Ero,0.168695913,0.105193908,0.078409211,0.165696417
123,Vandeikya,Oke-Ero,0.487804878,0.333333333,0.24,0.355555556
124,Askira/Uba,Darazo,0.105014985,0.08448735,0.068696764,0.108877417
125,Enugu East,Uzo-Uwani,0.146099205,0.086505381,0.076142255,0.083482488
126,Bayo,Alkaleri,0.118463907,0.072751232,0.053568923,0.110290165
127,Biu,Darazo,0.105014985,0.08448735,0.068696764,0.108877417
128,Chibok,Darazo,0.105014985,0.08448735,0.068696764,0.108877417
129,Damboa,Darazo,0.032258065,0.03125,0.068696764,0.035294118
130,Biase,Ngor-Okpala,0.262846013,0.208112873,0.171288626,0.218595141
131,Dikwa,Darazo,0.096759001,0.066396828,0.059277286,0.089650709
132,Gubio,Gawabawa,0.140360189,0.076231098,0.060961644,0.093340935
133,Jere,Gawabawa,0.142857143,0.090909091,0.055555556,0.082644628
134,Guzamala,Babura,0.084019284,0.048532657,0.053251464,0.085591563
135,Hawul,Darazo,0.105014985,0.08448735,0.068696764,0.108877417
136,Kwaya Kusar,Alkaleri,0.118463907,0.072751232,0.053568923,0.110290165
137,Enugu North,Uzo-Uwani,0.215752849,0.237134552,0.104619793,0.133252556
138,Kaga,Darazo,0.105014985,0.08448735,0.068696764,0.108877417
139,Mafa,Darazo,0.105014985,0.08448735,0.068696764,0.108877417
140,Obudu,Obubra,0.308113692,0.239554191,0.191552783,0.284120767
141,Konduga,Darazo,0.105014985,0.08448735,0.068696764,0.033333333
142,Bomadi,Isoko South,0.140505594,0.015897464,0.010000493,0.018116249
143,Magumeri,Gawabawa,0.140360189,0.076231098,0.060961644,0.093340935
144,Maiduguri,Darazo,0.276499571,0.232510255,0.1571675,0.215091045
145,Shani,Alkaleri,0.092592593,0.071428571,0.111111111,0.065934066
146,Abi,Obubra,0.308113692,0.239554191,0.191552783,0.284120767
147,Marte,Babura,0.084019284,0.048532657,0.053251464,0.085591563
148,Nganzai,Gawabawa,0.068965517,0.04,0.1,0.037974684
149,Bekwara,Oke-Ero,0.168695913,0.105193908,0.078409211,0.165696417
150,Calabar-Municipal,Nsit Ubium,0.05,0.055555556,0.11087847,0.012195122
151,Ikom,Obubra,0.228571429,0.239554191,0.103448276,0.14084507
152,Obubra,Obubra,0.253432542,0.265492204,0.274483959,0.275879042
153,Enugu South,Uzo-Uwani,0.342105263,0.214285714,0.09154177,0.108695652
154,Odukpani,Ngor-Okpala,0.329253981,0.331932309,0.274447128,0.306833721
155,Ogoja,Obubra,0.308113692,0.239554191,0.191552783,0.284120767
156,Yakurr,Obubra,0.365774085,0.457474242,0.244198579,0.340803624
157,Ogbomosho North,Akinyele,0.260869565,0.095238095,0.15625,0.12987013
158,Yala,Oke-Ero,0.203505622,0.197872187,0.113829574,0.220916196
159,Aniocha North,Uzo-Uwani,0.0906344,0.096311018,0.017291234,0.063621614
160,Aniocha South,Uzo-Uwani,0.168157145,0.119988856,0.09154177,0.114805248
161,Ibadan South West,Owan East,0.037037037,0.133905361,0.099953742,0.038461538
162,Ethiope East,Isoko South,0.037037037,0.120277523,0.090936919,0.052631579
163,Ethiope West,Isoko South,0.140505594,0.120277523,0.090936919,0.045454545
164,Ika North East,Uzo-Uwani,0.168157145,0.119988856,0.09154177,0.114805248
165,Ika South,Uzo-Uwani,0.137927212,0.082925564,0.084092055,0.074706168
166,Isoko North,Isoko South,0.043478261,0.04,0.090936919,0.033333333
167,Ogbomosho South,Akinyele,0.21332798,0.159744519,0.117702428,0.173750679
168,Isoko South,Isoko South,0.140505594,0.120277523,0.090936919,0.099378128
169,Ndokwa East,Ahoada West,0.16928682,0.11544762,0.097571244,0.106746269
170,Ndokwa West,Isoko South,0.140505594,0.120277523,0.090936919,0.099378128
171,Okpe,Isoko South,0.140505594,0.120277523,0.090936919,0.011235955
172,Oshimili North,Uzo-Uwani,0.168157145,0.119988856,0.09154177,0.114805248
173,Oshimili South,Uzo-Uwani,0.357142857,0.076923077,0.433333333,0.25974026
174,Patani,Isoko South,0.131578947,0.208333333,0.166666667,0.066666667
175,Sapele,Isoko South,0.144371314,0.054124838,0.080660342,0.108918048
176,Udu,Isoko South,0.140505594,0.120277523,0.090936919,0.099378128
177,Ughelli North,Isoko South,0.052631579,0.086956522,0.051282051,0.068627451
178,Ughelli South,Isoko South,0.071428571,0.033333333,0.111111111,0.063063063
179,Ukwuani,Uzo-Uwani,0.142857143,0.119988856,0.071428571,0.114805248
180,Uvwie,Isoko South,0.140505594,0.120277523,0.090936919,0.099378128
181,Warri South,Isoko South,0.064516129,0.120277523,0.024390244,0.033613445
182,Ohaozara,Obubra,0.50803178,0.350235707,0.300224275,0.364869479
