LGA,LGA_old,repDS,simday,duration,year,mortality_rate,kill_rate,block_initial,U5_ITN_use_m,U5201.repDS,U5_ITN_use_l,U5_ITN_use,six_nine_ITN_use_m,six_nine_ITN_use_l,six_nine_ITN_use,six_n.year,ten_eighteen_ITN_use_m,ten_eighteen_ITN_use_l,ten_eighteen_ITN_use,ten_e.year,over_eighteen_ITN_use_m,over_eighteen_ITN_use_l,over_eighteen_ITN_use,over_.year
Hong,Hong,Darazo,0,1095,2010,0.634881453,0.629555395,0.763450658,0.46787632,Darazo,0.33615532,0.59959732,0.313975754,0.21240455,0.415546958,2010,0.226588337,0.14060185,0.312574825,2010,0.47097189,0.333722999,0.608220782,2010
Lamurde,Lamurde,Alkaleri,0,1095,2010,0.429924862,0.483923569,0.53,0.777777778,Alkaleri,0.619582715,0.935972841,0.769230769,0.606810466,0.931651073,2010,0.684210526,0.541692541,0.826728512,2010,0.766666667,0.617069998,0.916263335,2010
Mayo-Belwa,Mayo-Belwa,Alkaleri,0,1095,2010,0.615915722,0.618014343,0.739910945,0.481667677,Alkaleri,0.323472614,0.639862739,0.306521543,0.14410124,0.468941846,2010,0.256637785,0.114119799,0.39915577,2010,0.410395137,0.260798468,0.559991805,2010
Numan,Numan,Alkaleri,0,1095,2010,0.518273564,0.55184819,0.57454826,0.481667677,Alkaleri,0.323472614,0.639862739,0.306521543,0.14410124,0.468941846,2010,0.256637785,0.114119799,0.39915577,2010,0.410395137,0.260798468,0.559991805,2010
Shelleng,Shelleng,Darazo,0,1095,2010,0.58914423,0.600969346,0.702457608,0.46787632,Darazo,0.33615532,0.59959732,0.313975754,0.21240455,0.415546958,2010,0.226588337,0.14060185,0.312574825,2010,0.47097189,0.333722999,0.608220782,2010
Itu,Itu,Ngor-Okpala,0,1095,2010,0.415010863,0.471929182,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Song,Song,Darazo,0,1095,2010,0.551949619,0.575879905,0.641046694,0.6,Darazo,0.468279,0.731721,0.633333333,0.531762129,0.734904537,2010,0.333333333,0.247346846,0.419319821,2010,0.574074074,0.436825182,0.711322966,2010
Yola North,Yola North,Alkaleri,0,1095,2010,0.581884889,0.596198663,0.691373749,0.481667677,Alkaleri,0.323472614,0.639862739,0.306521543,0.14410124,0.468941846,2010,0.256637785,0.114119799,0.39915577,2010,0.410395137,0.260798468,0.559991805,2010
Yola South,Yola South,Alkaleri,0,1095,2010,0.57254926,0.589972357,0.676497023,0.318181818,Alkaleri,0.159986755,0.476376881,0.217391304,0.054971001,0.379811608,2010,0.1,0,0.242517985,2010,0.346153846,0.196557178,0.495750515,2010
Abak,Abak,Nsit Ubium,0,1095,2010,0.358412263,0.425644469,0.53,0.258064516,Nsit Ubium,0.175691699,0.340437333,0.125,0.047647986,0.202352014,2010,0.25654695,0.194166606,0.318927295,2010,0.236111111,0.14117997,0.331042252,2010
Awka North,Awka North,Uzo-Uwani,0,1095,2010,0.388205397,0.450124783,0.53,0.132714912,Uzo-Uwani,0.065512009,0.199917815,0.074567206,0.015616917,0.133517495,2010,0.067921762,0.004672943,0.131170581,2010,0.080523576,0.022980284,0.138066867,2010
Eket,Eket,Nsit Ubium,0,1095,2010,0.238612216,0.328021397,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
Esit Eket,Esit Eket,Nsit Ubium,0,1095,2010,0.262279676,0.346897657,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
Essien Udim,Essien Udim,Ngor-Okpala,0,1095,2010,0.369824263,0.435041855,0.53,0.588235294,Ngor-Okpala,0.510636143,0.665834445,0.571428571,0.497309515,0.645547628,2010,0.272727273,0.217120837,0.328333708,2010,0.418181818,0.360294844,0.476068792,2010
Etim Ekpo,Etim Ekpo,Ngor-Okpala,0,1095,2010,0.326319464,0.399175674,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Etinan,Etinan,Nsit Ubium,0,1095,2010,0.271254927,0.35413511,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
Ibesikpo Asutan,Ibesikpo Asutan,Nsit Ubium,0,1095,2010,0.364757188,0.430871605,0.53,0.545454545,Nsit Ubium,0.463081729,0.627827362,0.416666667,0.339314653,0.494018681,2010,0.142857143,0.080476798,0.205237487,2010,0.368421053,0.273489912,0.463352193,2010
Ibiono Ibom,Ibiono Ibom,Ngor-Okpala,0,1095,2010,0.383194312,0.446021174,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Ika,Ika,Ngor-Okpala,0,1095,2010,0.281330517,0.36230356,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Ikono,Ikono,Ngor-Okpala,0,1095,2010,0.3504186,0.419053252,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Ikot Abasi,Ikot Abasi,Nsit Ubium,0,1095,2010,0.194063012,0.293529351,0.53,0.294117647,Nsit Ubium,0.21174483,0.376490464,0.238095238,0.160743224,0.315447252,2010,0.268292683,0.205912338,0.330673027,2010,0.413793103,0.318861963,0.508724244,2010
Ikot Ekpene,Ikot Ekpene,Ngor-Okpala,0,1095,2010,0.356519334,0.424084125,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Ini,Ini,Ngor-Okpala,0,1095,2010,0.395911217,0.45642023,0.53,0.111873819,Ngor-Okpala,0.034274669,0.18947297,0.10469624,0.030577184,0.178815297,2010,0.070636395,0.01502996,0.126242831,2010,0.08256596,0.024678985,0.140452934,2010
Mkpat Enin,Mkpat Enin,Nsit Ubium,0,1095,2010,0.225930858,0.318051677,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
Nsit Atai,Nsit Atai,Nsit Ubium,0,1095,2010,0.243345201,0.331769618,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
Nsit Ibom,Nsit Ibom,Nsit Ubium,0,1095,2010,0.357951303,0.425264532,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
Nsit Ubium,Nsit Ubium,Nsit Ubium,0,1095,2010,0.247213687,0.334843575,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
Awka South,Awka South,Uzo-Uwani,0,1095,2010,0.431794981,0.485419293,0.53,0.132714912,Uzo-Uwani,0.065512009,0.199917815,0.074567206,0.015616917,0.133517495,2010,0.067921762,0.004672943,0.131170581,2010,0.080523576,0.022980284,0.138066867,2010
Obot Akara,Obot Akara,Ngor-Okpala,0,1095,2010,0.376065149,0.440171735,0.53,0.323529412,Ngor-Okpala,0.245930261,0.401128562,0.545454545,0.471335489,0.619573602,2010,0.4,0.344393565,0.455606435,2010,0.410714286,0.352827311,0.46860126,2010
Okobo,Okobo,Nsit Ubium,0,1095,2010,0.269257198,0.352520839,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
Onna,Onna,Nsit Ubium,0,1095,2010,0.191877243,0.291878138,0.53,0.359615859,Nsit Ubium,0.277243042,0.441988676,0.270466267,0.193114253,0.347818281,2010,0.25654695,0.194166606,0.318927295,2010,0.332230027,0.237298887,0.427161168,2010
Oruk Anam,Oruk Anam,Nsit Ubium,0,1095,2010,0.312496984,0.387796568,0.53,0.4375,Nsit Ubium,0.355127183,0.519872817,0.235294118,0.157942104,0.312646132,2010,0.357142857,0.294762513,0.419523202,2010,0.5,0.405068859,0.594931141,2010
