,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
77,Alkaleri,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
78,Bauchi,Alkaleri,0.350599671,0.021748029,0.072240199,0.161493577
79,Bogoro,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
80,Damban,Darazo,0.708333333,0.392857143,0.341463415,0.666666667
81,Darazo,Darazo,0.46787632,0.313975754,0.226588337,0.47097189
82,Dass,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
83,Gamawa,Gwarzo,0.692307692,0.47826087,0.333333333,0.740740741
84,Jama'are,Taura,0.53646592,0.440114892,0.368967436,0.583396689
85,Ganjuwa,Darazo,0.46787632,0.313975754,0.226588337,0.47097189
86,Giade,Darazo,0.16,0.313975754,0.226588337,0.347826087
87,Itas/Gadau,Taura,0.53646592,0.440114892,0.368967436,0.583396689
88,Katagum,Gwarzo,0.1,0.095238095,0.166666667,0.102564103
89,Kirfi,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
90,Misau,Darazo,0.605263158,0.523809524,0.363636364,0.522727273
91,Ningi,Takali,0.565217391,0.37037037,0.45,0.515151515
92,Ukum,Keana,0.02,0.045651648,0.033072808,0.017857143
93,Shira,Takali,0.258064516,0.148148148,0.296296296,0.396551724
94,Tafawa-Balewa,Alkaleri,0.481667677,0.306521543,0.256637785,0.410395137
95,Toro,Giwa,0.134165323,0.082396302,0.070950298,0.163309298
96,Warji,Takali,0.400642128,0.283668296,0.217614664,0.436970727
97,Zaki,Taura,0.53646592,0.440114892,0.368967436,0.583396689
98,Kolokuma/Opokuma,Ahoada West,0.297457865,0.282724371,0.103882524,0.235336962
99,Nembe,Ahoada West,0.297457865,0.282724371,0.103882524,0.235336962
100,Ogbia,Ahoada West,0.027027027,0.282724371,0.103882524,0.032786885
101,Sagbama,Ahoada West,0.297457865,0.282724371,0.103882524,0.235336962
102,Yenegoa,Isoko South,0.077220805,0.131668931,0.017571799,0.079830447
103,Ado,Akinyele,0.117647059,0.043478261,0.003972784,0.061538462
104,Agatu,Keana,0.086924687,0.045651648,0.033072808,0.087141812
105,Apa,Keana,0.086924687,0.045651648,0.033072808,0.087141812
106,Buruku,Keana,0.086924687,0.045651648,0.033072808,0.087141812
107,Gboko,Keana,0.057142857,0.045651648,0.033072808,0.018867925
108,Guma,Keana,0.086924687,0.045651648,0.033072808,0.087141812
109,Gwer East,Oke-Ero,0.270838415,0.138120033,0.087266194,0.086419753
110,Gwer West,Keana,0.086924687,0.045651648,0.033072808,0.087141812
111,Katsina-Ala,Keana,0.086924687,0.045651648,0.033072808,0.087141812
112,Konshisha,Oke-Ero,0.125,0.090909091,0.087266194,0.042553191
113,Logo,Keana,0.086924687,0.045651648,0.033072808,0.087141812
114,Makurdi,Keana,0.125,0.045651648,0.033072808,0.055555556
115,Obi1,Keana,0.04,0.090909091,0.033072808,0.013513514
116,Ogbadibo,Owan East,0.135833315,0.152454404,0.09921015,0.178525365
117,Ohimini,Akinyele,0.030541734,0.009079867,0.003972784,0.019339683
