LGA,pop,anc_total,preg_llin,coverage,block_initial,kill_rate,simday,duration,year,type
Bwari,458634.13,69461,3086,0.044428,0.53,0.580366866,2920,-1,2018,antenatal
Calabar South,270052.37,18561,6540,0.352352,0.53,0.4935513,2920,-1,2018,antenatal
Calabar-Municipal,252806.11,21492,4723,0.219756,0.53,0.509382696,2920,-1,2018,antenatal
Chanchaga,300862.78,85406,14529,0.170117,0.53,0.454714405,2920,-1,2018,antenatal
Charanchi,196203.23,10268,2153,0.209681,0.53,0.684701159,2920,-1,2018,antenatal
Chibok,98587.828,12117,3068,0.253198,0.53,0.639928775,2920,-1,2018,antenatal
Chikun,525036.45,62157,7060,0.113583,0.53,0.59294545,2920,-1,2018,antenatal
Dala,618282.11,58157,9597,0.165019,0.53,0.59673093,2920,-1,2018,antenatal
Damaturu,132995.2,23410,5107,0.218155,0.53,0.672754775,2920,-1,2018,antenatal
Damban,225423.41,25021,2419,0.096679,0.53,0.714922519,2920,-1,2018,antenatal
Dambatta,307043.83,50621,11189,0.221035,0.53,0.689430592,2920,-1,2018,antenatal
Damboa,345887.12,22257,1972,0.088601,0.53,0.663306114,2920,-1,2018,antenatal
Dan Musa,162096.18,18326,3591,0.195951,0.53,0.7165261,2920,-1,2018,antenatal
Dandi,208108.13,22721,1679,0.073896,0.53,0.629837503,2920,-1,2018,antenatal
Dandume,207788.97,53405,3675,0.068814,0.53,0.523452319,2920,-1,2018,antenatal
Dange-Shnsi,277376.08,18000,1048,0.058222,0.53,0.701316559,2920,-1,2018,antenatal
Danja,179222.42,36358,2385,0.065598,0.53,0.617933944,2920,-1,2018,antenatal
Darazo,375795.8,53601,3927,0.073264,0.53,0.705476275,2920,-1,2018,antenatal
Dass,134342.63,31397,3417,0.108832,0.53,0.512538393,2920,-1,2018,antenatal
Daura,313269.61,30794,6262,0.203351,0.53,0.591670466,2920,-1,2018,antenatal
Dawakin Kudu,332764.18,42713,3750,0.087795,0.53,0.713383698,2920,-1,2018,antenatal
Dawakin Tofa,365962.5,41605,12353,0.296911,0.53,0.710486296,2920,-1,2018,antenatal
Degema,373071.4,1454,394,0.270977,0.53,0.365159834,2920,-1,2018,antenatal
Dekina,371142.67,15044,6414,0.426349,0.53,0.436648124,2920,-1,2018,antenatal
Demsa,254016.65,33257,2644,0.079502,0.53,0.534738199,2920,-1,2018,antenatal
Dikwa,158190.11,8115,3476,0.428343,0.53,0.675465,2920,-1,2018,antenatal
Doguwa,223174.01,40994,6526,0.159194,0.53,0.664793709,2920,-1,2018,antenatal
Doma,199046.2,25152,1753,0.069696,0.53,0.451927322,2920,-1,2018,antenatal
Donga,188994.38,5866,1610,0.274463,0.53,0.503065731,2920,-1,2018,antenatal
Dukku,302360.57,29690,4514,0.152038,0.53,0.652305857,2920,-1,2018,antenatal
Dunukofia,134249.7,5242,1786,0.34071,0.53,0.477122595,2920,-1,2018,antenatal
Dutse,346874.19,79653,13859,0.173992,0.53,0.707234774,2920,-1,2018,antenatal
Dutsi,171124.1,21613,2967,0.137278,0.53,0.622255799,2920,-1,2018,antenatal
Dutsin-Ma,241910.28,26725,3145,0.11768,0.53,0.681349048,2920,-1,2018,antenatal
Eastern Obolo,90429.557,1859,607,0.32652,0.53,0.281859788,2920,-1,2018,antenatal
Ebonyi,176670.21,31684,2202,0.069499,0.53,0.483512158,2920,-1,2018,antenatal
Edati,239462.15,4326,2302,0.532131,0.53,0.473631021,2920,-1,2018,antenatal
Ede North,122342.28,7925,1639,0.206814,0.53,0.451417326,2920,-1,2018,antenatal
Ede South,110960.89,8673,1584,0.182636,0.53,0.470033533,2920,-1,2018,antenatal
Edu,287246.62,5638,1686,0.299042,0.53,0.409929917,2920,-1,2018,antenatal
Efon-Alayee,198994.66,1688,313,0.185427,0.53,0.396790109,2920,-1,2018,antenatal
Egbado North,88452.564,17565,2533,0.144207,0.53,0.386477465,2920,-1,2018,antenatal
Egbado South,374137.32,21469,1679,0.078206,0.53,0.446407593,2920,-1,2018,antenatal
Egbeda,420569.21,28054,787,0.028053,0.53,0.37639044,2920,-1,2018,antenatal
Egbedore,108625.94,6231,1071,0.171883,0.53,0.487780896,2920,-1,2018,antenatal
Egor,467945.43,11431,1054,0.092205,0.53,0.477643111,2920,-1,2018,antenatal
Ehime-Mbano,191072.79,4145,663,0.159952,0.53,0.507563152,2920,-1,2018,antenatal
Ejigbo,193568.26,8001,1810,0.226222,0.53,0.48553143,2920,-1,2018,antenatal
Ekeremor,380856.57,7766,259,0.033351,0.53,0.397208796,2920,-1,2018,antenatal
Eket,257738.35,17877,1132,0.063322,0.53,0.328021397,2920,-1,2018,antenatal
Ekiti,78202.985,1084,255,0.23524,0.53,0.390814415,2920,-1,2018,antenatal
Ekiti East,238405.57,3296,642,0.194782,0.53,0.412351259,2920,-1,2018,antenatal
Ekiti South West,259487.14,4353,687,0.157822,0.53,0.487961894,2920,-1,2018,antenatal
Ekiti West,135423.98,3551,262,0.073782,0.53,0.404541983,2920,-1,2018,antenatal
Ekwusigo,220398.66,5217,1066,0.204332,0.53,0.341515837,2920,-1,2018,antenatal
Eleme,285112.33,9796,331,0.033789,0.53,0.337309328,2920,-1,2018,antenatal
Emohua,301567.78,3568,588,0.164798,0.53,0.334292623,2920,-1,2018,antenatal
Emure,213762.58,1964,546,0.278004,0.53,0.436863758,2920,-1,2018,antenatal
Enugu East,397914.18,10468,908,0.086741,0.53,0.453287726,2920,-1,2018,antenatal
Enugu North,349100.4,41977,1288,0.030683,0.53,0.476529889,2920,-1,2018,antenatal
Enugu South,283331.48,13028,0,0,0.53,0.52292855,2920,-1,2018,antenatal
Epe,264737.34,19396,1149,0.059239,0.53,0.461173792,2920,-1,2018,antenatal
Esan Central,164305.91,6230,1420,0.227929,0.53,0.413280793,2920,-1,2018,antenatal
Esan North East,144982.28,7817,979,0.12524,0.53,0.409684078,2920,-1,2018,antenatal
Esan South East,230904.7,5968,912,0.152815,0.53,0.463795838,2920,-1,2018,antenatal
Esan West,173249.08,6926,372,0.053711,0.53,0.432241487,2920,-1,2018,antenatal
Ese-Odo,220961.57,13914,2822,0.202817,0.53,0.376721268,2920,-1,2018,antenatal
Esit Eket,95146.478,2514,683,0.271679,0.53,0.346897657,2920,-1,2018,antenatal
Essien Udim,287776.98,1444,448,0.310249,0.53,0.435041855,2920,-1,2018,antenatal
Etche,372594.93,4097,747,0.182329,0.53,0.340210321,2920,-1,2018,antenatal
Ethiope East,293023.72,8895,935,0.105115,0.53,0.305480359,2920,-1,2018,antenatal
Ethiope West,297109.87,7272,1677,0.230611,0.53,0.412296673,2920,-1,2018,antenatal
Etim Ekpo,157456.73,2055,1027,0.499757,0.53,0.399175674,2920,-1,2018,antenatal
Etinan,252849.66,4917,775,0.157616,0.53,0.35413511,2920,-1,2018,antenatal
Eti-Osa,419976.05,59084,1870,0.03165,0.53,0.515425093,2920,-1,2018,antenatal
Etsako Central,130203.2,4213,1042,0.24733,0.53,0.377689484,2920,-1,2018,antenatal
Etsako East,200995.48,6198,986,0.159084,0.53,0.389711717,2920,-1,2018,antenatal
Etsako West,272052.08,7284,707,0.097062,0.53,0.36946828,2920,-1,2018,antenatal
Etung,113015.29,6112,2967,0.485438,0.53,0.515572062,2920,-1,2018,antenatal
Ewekoro,268447.8,13519,2378,0.175901,0.53,0.528528126,2920,-1,2018,antenatal
Ezeagu,241977.29,48,0,0,0.53,0.472696867,2920,-1,2018,antenatal
Ezinihitte,241656.42,4096,388,0.094727,0.53,0.505227255,2920,-1,2018,antenatal
Ezza North,202831.51,7273,1808,0.248591,0.53,0.469710667,2920,-1,2018,antenatal
Ezza South,185540.15,10134,2068,0.204066,0.53,0.451434864,2920,-1,2018,antenatal
Fagge,293549.54,83103,8367,0.100682,0.53,0.586251328,2920,-1,2018,antenatal
Fakai,217838.97,11957,3159,0.264197,0.53,0.601533253,2920,-1,2018,antenatal
Faskari,279499.04,32541,1611,0.049507,0.53,0.672768838,2920,-1,2018,antenatal
Fika,206857.74,28988,2931,0.101111,0.53,0.692121556,2920,-1,2018,antenatal
Fufore,292116.82,51833,6242,0.120425,0.53,0.629966874,2920,-1,2018,antenatal
Funakaye,344531.11,41276,5476,0.132668,0.53,0.627807972,2920,-1,2018,antenatal
Fune,454469.01,41099,5665,0.137838,0.53,0.692809524,2920,-1,2018,antenatal
Funtua,321610.31,59608,10426,0.174909,0.53,0.538540771,2920,-1,2018,antenatal
Gabasawa,311601.47,30956,7279,0.23514,0.53,0.689822821,2920,-1,2018,antenatal
Gada,353969.38,9362,435,0.046464,0.53,0.676355095,2920,-1,2018,antenatal
Gagarawa,113294.32,22787,4627,0.203054,0.53,0.673924789,2920,-1,2018,antenatal
Gamawa,427761.09,32018,1853,0.057874,0.53,0.698966685,2920,-1,2018,antenatal
Ganaye,231237.72,58546,6638,0.113381,0.53,0.481907173,2920,-1,2018,antenatal
Ganjuwa,418918.73,29617,2618,0.088395,0.53,0.636975276,2920,-1,2018,antenatal
Garki,214532.6,36019,7623,0.211638,0.53,0.685656303,2920,-1,2018,antenatal
Garko,239914.9,33592,3999,0.119046,0.53,0.698176678,2920,-1,2018,antenatal
Garum Mallam,171991.67,26430,4218,0.159591,0.53,0.733346686,2920,-1,2018,antenatal
Gashaka,123704.36,7788,1762,0.226246,0.53,0.461519779,2920,-1,2018,antenatal
Gassol,373094.48,32557,3049,0.093651,0.53,0.439278935,2920,-1,2018,antenatal
Gawabawa,329861.19,26584,843,0.031711,0.53,0.714253917,2920,-1,2018,antenatal
Gaya,296779.9,36196,5448,0.150514,0.53,0.695689515,2920,-1,2018,antenatal
Gbako,190388.55,7901,3485,0.441083,0.53,0.470703464,2920,-1,2018,antenatal
Gboko,511756.91,4590,930,0.202614,0.53,0.398561371,2920,-1,2018,antenatal
Gboyin,125408.97,3674,616,0.167665,0.53,0.36654315,2920,-1,2018,antenatal
Geidam,237683.54,12626,1406,0.111358,0.53,0.693670268,2920,-1,2018,antenatal
Gezawa,416446.5,41599,6391,0.153634,0.53,0.714118308,2920,-1,2018,antenatal
Giade,234455.46,20857,2211,0.106008,0.53,0.680743195,2920,-1,2018,antenatal
Gireri,183193.96,40790,6248,0.153175,0.53,0.643299625,2920,-1,2018,antenatal
Giwa,408376.41,84000,19230,0.228929,0.53,0.596484125,2920,-1,2018,antenatal
Gokana,341787.07,5170,835,0.161509,0.53,0.375599012,2920,-1,2018,antenatal
Gombe,391103.01,108131,5188,0.047979,0.53,0.536599101,2920,-1,2018,antenatal
Gombi,206353.38,28793,1960,0.068072,0.53,0.54986676,2920,-1,2018,antenatal
Goronyo,259910.51,21859,124,0.005673,0.53,0.67977715,2920,-1,2018,antenatal
Gubio,228195.61,1780,166,0.093258,0.53,0.716543356,2920,-1,2018,antenatal
Gudu,136222.9,11715,206,0.017584,0.53,0.71791011,2920,-1,2018,antenatal
Gujba,196571.9,33976,7675,0.225895,0.53,0.657759675,2920,-1,2018,antenatal
Gulani,156410.72,23852,4181,0.175289,0.53,0.642489607,2920,-1,2018,antenatal
Guma,273174.36,2298,550,0.239339,0.53,0.431083741,2920,-1,2018,antenatal
Gumel,151015.41,28369,7744,0.272974,0.53,0.696620535,2920,-1,2018,antenatal
Gummi,298491.86,20377,4490,0.220346,0.53,0.682376452,2920,-1,2018,antenatal
Gurara,135882.57,16712,7509,0.449318,0.53,0.560704096,2920,-1,2018,antenatal
Guri,162087.79,25195,5273,0.209288,0.53,0.647852757,2920,-1,2018,antenatal
Gusau,559163.48,80026,13077,0.163409,0.53,0.68794435,2920,-1,2018,antenatal
Guyuk,250541.47,23234,3506,0.1509,0.53,0.58959986,2920,-1,2018,antenatal
Guzamala,142863.85,341,172,0.504399,0.53,0.701881155,2920,-1,2018,antenatal
Gwagwalada,283043.86,26237,151,0.005755,0.53,0.578622846,2920,-1,2018,antenatal
Gwale,534543.69,64122,10885,0.169755,0.53,0.608574402,2920,-1,2018,antenatal
Gwandu,278902.66,12113,2362,0.194997,0.53,0.704443878,2920,-1,2018,antenatal
Gwaram,384133.05,54540,8933,0.163788,0.53,0.699039331,2920,-1,2018,antenatal
Gwarzo,271638.3,59257,8363,0.141131,0.53,0.719876187,2920,-1,2018,antenatal
Gwer East,233321.49,6557,1933,0.294799,0.53,0.43463817,2920,-1,2018,antenatal
Gwer West,174149.56,7501,1832,0.244234,0.53,0.478971197,2920,-1,2018,antenatal
Gwiwa,175474.15,30984,4803,0.155015,0.53,0.648829951,2920,-1,2018,antenatal
Gwoza,412711.16,1400,1346,0.961429,0.53,0.655002722,2920,-1,2018,antenatal
Hadejia,148855.04,41558,4742,0.114106,0.53,0.630488544,2920,-1,2018,antenatal
Hawul,179706.02,17095,4531,0.265048,0.53,0.625521494,2920,-1,2018,antenatal
Hong,238338.87,31262,3858,0.123409,0.53,0.629555395,2920,-1,2018,antenatal
Ibadan North,493497.76,46860,5041,0.107576,0.53,0.385220242,2920,-1,2018,antenatal
Ibadan North East,458241.84,37451,2394,0.063924,0.53,0.373170294,2920,-1,2018,antenatal
Ibadan North West,228279.25,24666,1869,0.075772,0.53,0.390908593,2920,-1,2018,antenatal
Ibadan South East,397377.43,34074,2994,0.087868,0.53,0.354331864,2920,-1,2018,antenatal
Ibadan South West,422080.77,38910,2023,0.051992,0.53,0.390146775,2920,-1,2018,antenatal
Ibaji,182681.32,7317,925,0.126418,0.53,0.406770517,2920,-1,2018,antenatal
Ibarapa Central,153813.74,11644,1913,0.164291,0.53,0.444353906,2920,-1,2018,antenatal
Ibarapa East,176587.3,17743,1011,0.05698,0.53,0.413265999,2920,-1,2018,antenatal
Ibarapa North,150995.24,5710,1858,0.325394,0.53,0.434775142,2920,-1,2018,antenatal
Ibeju-Lekki,171444.68,35295,2212,0.062672,0.53,0.484293743,2920,-1,2018,antenatal
Ibeno,112590.72,5957,1260,0.211516,0.53,0.353239894,2920,-1,2018,antenatal
Ibesikpo Asutan,204779.79,6105,2056,0.336773,0.53,0.430871605,2920,-1,2018,antenatal
Ibi,118452.13,7296,551,0.075521,0.53,0.477905881,2920,-1,2018,antenatal
Ibiono Ibom,283254.23,5078,1092,0.215045,0.53,0.446021174,2920,-1,2018,antenatal
Idah,113797.11,10291,1299,0.126227,0.53,0.445061456,2920,-1,2018,antenatal
Idanre,183957.37,13344,3355,0.251424,0.53,0.38691517,2920,-1,2018,antenatal
Ideato North,231168.15,2658,454,0.170805,0.53,0.499135162,2920,-1,2018,antenatal
Ideato South,233317.76,1737,678,0.390328,0.53,0.490817759,2920,-1,2018,antenatal
Idemili North,600034.1,21458,2344,0.109237,0.53,0.478205882,2920,-1,2018,antenatal
Idemili South,289279.94,10044,2607,0.259558,0.53,0.441250403,2920,-1,2018,antenatal
Ido,154234.95,15060,2033,0.134993,0.53,0.418466109,2920,-1,2018,antenatal
Idosi-Osi,229515.69,5756,770,0.133773,0.53,0.379754213,2920,-1,2018,antenatal
Ifako-Ijaye,624419.31,82622,1525,0.018458,0.53,0.45214207,2920,-1,2018,antenatal
Ife Central,244080.39,10135,2172,0.214307,0.53,0.495002812,2920,-1,2018,antenatal
Ife East,274482.81,16264,2625,0.161399,0.53,0.503641962,2920,-1,2018,antenatal
Ife North,224291.74,8530,1634,0.191559,0.53,0.473764721,2920,-1,2018,antenatal
Ife South,197504.1,6327,1504,0.237711,0.53,0.46466042,2920,-1,2018,antenatal
Ifedayo,54080.207,1791,523,0.292016,0.53,0.354121438,2920,-1,2018,antenatal
Ifedore,251400.14,8555,2207,0.257978,0.53,0.438179998,2920,-1,2018,antenatal
Ifelodun1,293766.62,4548,1391,0.305849,0.53,0.425290104,2920,-1,2018,antenatal
Ifelodun2,141188.19,7374,1120,0.151885,0.53,0.4599798,2920,-1,2018,antenatal
Ifo,249290.04,45927,2211,0.048142,0.53,0.484704494,2920,-1,2018,antenatal
Igabi,613403.68,74586,11816,0.158421,0.53,0.561783675,2920,-1,2018,antenatal
Igalamela-Odolu,211041.13,8281,1999,0.241396,0.53,0.414321376,2920,-1,2018,antenatal
Igbo-Etiti,298337.61,1556,196,0.125964,0.53,0.44612671,2920,-1,2018,antenatal
Igbo-Eze North,369886.57,2190,144,0.065753,0.53,0.404119407,2920,-1,2018,antenatal
Igbo-Eze South,210054.5,3213,153,0.047619,0.53,0.428315236,2920,-1,2018,antenatal
Igueben,95873.338,3000,631,0.210333,0.53,0.472108841,2920,-1,2018,antenatal
Ihiala,420873.39,7258,1603,0.22086,0.53,0.297729955,2920,-1,2018,antenatal
Ihitte-Uboma,176206.5,3897,709,0.181935,0.53,0.516367403,2920,-1,2018,antenatal
Ijebu East,81432.285,5558,1218,0.219144,0.53,0.481021987,2920,-1,2018,antenatal
Ijebu North,162693.31,12363,910,0.073607,0.53,0.384607157,2920,-1,2018,antenatal
Ijebu North East,774869.03,5408,678,0.12537,0.53,0.457008243,2920,-1,2018,antenatal
Ijebu ode,419793.5,27239,731,0.026837,0.53,0.435840096,2920,-1,2018,antenatal
Ijero,319368.01,5749,771,0.13411,0.53,0.348459432,2920,-1,2018,antenatal
Ijumu,170990.08,6542,2011,0.307398,0.53,0.387970309,2920,-1,2018,antenatal
Ika,108944.74,2017,1442,0.714923,0.53,0.36230356,2920,-1,2018,antenatal
Ika North East,268017.93,20096,1497,0.074492,0.53,0.450121249,2920,-1,2018,antenatal
Ika South,237279.86,4705,698,0.148353,0.53,0.436316512,2920,-1,2018,antenatal
Ikara,276492.11,60641,11717,0.193219,0.53,0.693400299,2920,-1,2018,antenatal
Ikeduru,217902.75,5725,695,0.121397,0.53,0.461899584,2920,-1,2018,antenatal
Ikeja,457059.33,57483,1538,0.026756,0.53,0.524146789,2920,-1,2018,antenatal
Ikenne,99854.797,14031,1250,0.089088,0.53,0.445601554,2920,-1,2018,antenatal
Ikere,212553.79,7471,587,0.07857,0.53,0.50525877,2920,-1,2018,antenatal
Ikole,198991.78,6186,706,0.114129,0.53,0.394638898,2920,-1,2018,antenatal
Ikom,228836.37,24282,6550,0.269747,0.53,0.51620494,2920,-1,2018,antenatal
Ikono,197017.33,5789,1119,0.193298,0.53,0.419053252,2920,-1,2018,antenatal
Ikorodu,781650.02,99644,3096,0.031071,0.53,0.509105403,2920,-1,2018,antenatal
Ikot Abasi,197195.07,4756,939,0.197435,0.53,0.293529351,2920,-1,2018,antenatal
Ikot Ekpene,213705.79,20775,1725,0.083032,0.53,0.424084125,2920,-1,2018,antenatal
Ikpoba-Okha,510908.7,4486,373,0.083148,0.53,0.396692086,2920,-1,2018,antenatal
Ikwerre,283382.69,7109,920,0.129413,0.53,0.332764989,2920,-1,2018,antenatal
Ikwo,298920.15,27476,5451,0.198391,0.53,0.45892996,2920,-1,2018,antenatal
Ikwuano,189977.59,2211,501,0.226594,0.53,0.51532143,2920,-1,2018,antenatal
Ila,90550.563,4580,1385,0.302402,0.53,0.401944026,2920,-1,2018,antenatal
Ilaje,414347.5,25728,6255,0.24312,0.53,0.373390349,2920,-1,2018,antenatal
Ilemeji,62848.012,1990,351,0.176382,0.53,0.384421328,2920,-1,2018,antenatal
Ile-Oluji-Okeigbo,246471.28,14441,3012,0.208573,0.53,0.446996131,2920,-1,2018,antenatal
Ilesha East,155545.17,4881,648,0.13276,0.53,0.460387401,2920,-1,2018,antenatal
Ilesha West,151121.91,8401,2179,0.259374,0.53,0.44951503,2920,-1,2018,antenatal
Illela,214561.33,23026,350,0.0152,0.53,0.704570579,2920,-1,2018,antenatal
Ilorin East,291297.21,7782,968,0.12439,0.53,0.419388367,2920,-1,2018,antenatal
Ilorin South,297543.47,7467,412,0.055176,0.53,0.391328258,2920,-1,2018,antenatal
Ilorin West,520354.25,32685,1822,0.055744,0.53,0.378056657,2920,-1,2018,antenatal
Imeko-Afon,227412.75,8349,882,0.105641,0.53,0.435344578,2920,-1,2018,antenatal
Ingawa,242027.19,19689,3051,0.15496,0.53,0.65900205,2920,-1,2018,antenatal
Ini,148163.29,3058,1681,0.549706,0.53,0.45642023,2920,-1,2018,antenatal
Ipokia,175300.28,21679,2306,0.10637,0.53,0.44665789,2920,-1,2018,antenatal
Irele,206972,17009,3440,0.202246,0.53,0.454716042,2920,-1,2018,antenatal
Irepo,183050.29,9524,1713,0.179861,0.53,0.461353198,2920,-1,2018,antenatal
Irepodun1,211882.33,3709,462,0.124562,0.53,0.525086856,2920,-1,2018,antenatal
Irepodun2,174386.7,6880,1508,0.219186,0.53,0.38908676,2920,-1,2018,antenatal
Irepodun-Ifelodun,186292.35,2420,482,0.199174,0.53,0.422491317,2920,-1,2018,antenatal
Irewole,209559.71,5861,1655,0.282375,0.53,0.451907523,2920,-1,2018,antenatal
Isa,208307.94,12116,332,0.027402,0.53,0.710761859,2920,-1,2018,antenatal
Ise-Orun,164085.67,2505,472,0.188423,0.53,0.467791215,2920,-1,2018,antenatal
Iseyin,383755.42,23744,2781,0.117124,0.53,0.444882082,2920,-1,2018,antenatal
Ishielu,210393.52,5555,2280,0.410441,0.53,0.461555673,2920,-1,2018,antenatal
Isiala Mbano,290023.31,3323,786,0.236533,0.53,0.514006846,2920,-1,2018,antenatal
Isiala-Ngwa North,211648.53,3783,298,0.078773,0.53,0.416760484,2920,-1,2018,antenatal
Isiala-Ngwa South,185529.41,4037,319,0.079019,0.53,0.444481729,2920,-1,2018,antenatal
Isin,85172.104,3228,987,0.305762,0.53,0.418451319,2920,-1,2018,antenatal
Isi-Uzo,211604.3,2581,125,0.048431,0.53,0.480067127,2920,-1,2018,antenatal
Isokan,150570.28,7824,1153,0.147367,0.53,0.432977043,2920,-1,2018,antenatal
Isoko North,210371.1,11569,1847,0.159651,0.53,0.293011529,2920,-1,2018,antenatal
Isoko South,332309.14,2179,494,0.22671,0.53,0.270038761,2920,-1,2018,antenatal
Isu,240014.67,6341,1283,0.202334,0.53,0.386482512,2920,-1,2018,antenatal
Isuikwato,157554.48,5471,272,0.049717,0.53,0.471442169,2920,-1,2018,antenatal
Itas-Gadau,343531.64,15792,1762,0.111575,0.53,0.686667971,2920,-1,2018,antenatal
Itesiwaju,192160.01,7458,1608,0.215607,0.53,0.482539024,2920,-1,2018,antenatal
Itu,189741.8,8677,891,0.102685,0.53,0.471929182,2920,-1,2018,antenatal
Ivo,168427.08,10466,3129,0.298968,0.53,0.487111038,2920,-1,2018,antenatal
Iwajowa,153815.23,6296,1680,0.266836,0.53,0.484355148,2920,-1,2018,antenatal
Iwo,279284.03,14168,2677,0.188947,0.53,0.50517262,2920,-1,2018,antenatal
Izzi,326036.97,34945,3159,0.090399,0.53,0.467628265,2920,-1,2018,antenatal
Jaba,221530.45,13848,4963,0.358391,0.53,0.533201155,2920,-1,2018,antenatal
Jada,237418.64,21558,897,0.041609,0.53,0.579074542,2920,-1,2018,antenatal
Jahun,322848.08,68796,14659,0.213079,0.53,0.68692249,2920,-1,2018,antenatal
Jakusko,346160.14,24724,5605,0.226703,0.53,0.679053969,2920,-1,2018,antenatal
Jalingo,197074.96,25598,1957,0.076451,0.53,0.424462611,2920,-1,2018,antenatal
Jama'are,176074.98,22761,3164,0.13901,0.53,0.689541118,2920,-1,2018,antenatal
Jega,123190.47,20002,833,0.041646,0.53,0.665830158,2920,-1,2018,antenatal
Jema'a,397409.46,28955,6722,0.232153,0.53,0.545625437,2920,-1,2018,antenatal
Jere,315463.13,55409,6664,0.120269,0.53,0.691561556,2920,-1,2018,antenatal
Jibia,242020.06,43557,2349,0.053929,0.53,0.625486443,2920,-1,2018,antenatal
Jos East,117849.9,3649,487,0.133461,0.53,0.554956846,2920,-1,2018,antenatal
Jos North,591025.49,31100,1380,0.044373,0.53,0.533403445,2920,-1,2018,antenatal
Jos South,422261.76,26685,2442,0.091512,0.53,0.510654246,2920,-1,2018,antenatal
Kabba-Bunu,207371.22,11163,2586,0.231658,0.53,0.393788165,2920,-1,2018,antenatal
Kabo,227111.57,30357,3777,0.124419,0.53,0.71581337,2920,-1,2018,antenatal
Kachia,348276.31,24307,5869,0.241453,0.53,0.564762281,2920,-1,2018,antenatal
Kaduna North,509986.11,78067,7298,0.093484,0.53,0.642698146,2920,-1,2018,antenatal
Kaduna South,573711.92,79407,6326,0.079666,0.53,0.654957316,2920,-1,2018,antenatal
Kafin Hausa,381985.37,42468,9750,0.229585,0.53,0.651482047,2920,-1,2018,antenatal
Kafur,289264.07,35120,2003,0.057033,0.53,0.686230808,2920,-1,2018,antenatal
Kaga,134450.17,1650,451,0.273333,0.53,0.65241475,2920,-1,2018,antenatal
Kagarko,343527.11,24933,5595,0.224401,0.53,0.618580297,2920,-1,2018,antenatal
Kaiama,177028.17,10910,2413,0.221173,0.53,0.467392893,2920,-1,2018,antenatal
Kaita,262911.73,30744,1891,0.061508,0.53,0.659073113,2920,-1,2018,antenatal
Kajola,300217.53,9685,1877,0.193805,0.53,0.464793778,2920,-1,2018,antenatal
Kajuru,317344.43,17809,4554,0.255713,0.53,0.533070449,2920,-1,2018,antenatal
Kala-Balge,90808.942,7568,426,0.05629,0.53,0.63582369,2920,-1,2018,antenatal
Kalgo,223011.63,12013,521,0.04337,0.53,0.655765729,2920,-1,2018,antenatal
Kaltungo,218616.37,18731,2586,0.13806,0.53,0.538791259,2920,-1,2018,antenatal
Kanam,228394.94,2906,446,0.153476,0.53,0.575511162,2920,-1,2018,antenatal
Kankara,350365.05,38991,4412,0.113154,0.53,0.712510337,2920,-1,2018,antenatal
Kanke,167166.73,5776,1102,0.190789,0.53,0.633783346,2920,-1,2018,antenatal
Kankia,215908.67,26544,5113,0.192624,0.53,0.693136955,2920,-1,2018,antenatal
Kano Municipal,539660.89,52057,10440,0.200549,0.53,0.630816237,2920,-1,2018,antenatal
Karasuwa,161672.26,8340,2326,0.278897,0.53,0.683888724,2920,-1,2018,antenatal
Karaye,208773.21,29176,4224,0.144777,0.53,0.727556296,2920,-1,2018,antenatal
Karin-Lamido,275990.9,13868,2719,0.196063,0.53,0.455003762,2920,-1,2018,antenatal
Karu,292961.07,90630,1976,0.021803,0.53,0.516071368,2920,-1,2018,antenatal
Katagum,442073.17,65267,4412,0.067599,0.53,0.687814164,2920,-1,2018,antenatal
Katcha,182487.18,21295,8579,0.402865,0.53,0.480954753,2920,-1,2018,antenatal
Katsina,454046.39,67185,2644,0.039354,0.53,0.671836104,2920,-1,2018,antenatal
Katsina-Ala,320394.13,9955,2020,0.202913,0.53,0.408859386,2920,-1,2018,antenatal
Kaugama,180320.52,24714,6914,0.27976,0.53,0.638425145,2920,-1,2018,antenatal
Kaura,158071.26,10858,4064,0.374286,0.53,0.570694568,2920,-1,2018,antenatal
Kaura-Namoda,410610.01,25142,8516,0.338716,0.53,0.72320853,2920,-1,2018,antenatal
Kauru,242390.76,39094,9357,0.239346,0.53,0.488559081,2920,-1,2018,antenatal
Kazaure,227583.56,27353,8058,0.294593,0.53,0.679043778,2920,-1,2018,antenatal
Keana,112995.83,5208,482,0.09255,0.53,0.449296597,2920,-1,2018,antenatal
Kebbe,177732.5,4842,548,0.113176,0.53,0.662933002,2920,-1,2018,antenatal
Keffi,132116.71,25529,2215,0.086764,0.53,0.5015342,2920,-1,2018,antenatal
Khana,439454.82,3077,133,0.043224,0.53,0.308022703,2920,-1,2018,antenatal
Kibiya,201876.95,24427,5267,0.215622,0.53,0.716126831,2920,-1,2018,antenatal
Kirfi,220488.42,38451,3865,0.100518,0.53,0.668154735,2920,-1,2018,antenatal
Kiri Kasamma,269901.58,40280,5249,0.130313,0.53,0.651907622,2920,-1,2018,antenatal
Kiru,390922.51,37112,4617,0.124407,0.53,0.721083872,2920,-1,2018,antenatal
Kiyawa,243675.66,59787,6965,0.116497,0.53,0.702356647,2920,-1,2018,antenatal
Kogi,165245.69,10526,1265,0.120179,0.53,0.433718849,2920,-1,2018,antenatal
Koko-Besse,253420.15,13455,3791,0.281754,0.53,0.592390938,2920,-1,2018,antenatal
