LGA,pop,anc_total,preg_llin,coverage,block_initial,kill_rate,simday,duration,year,type
Umuahia South,190771.96,3431,108,0.031478,0.53,0.528927156,2920,-1,2018,antenatal
Umu-Neochi,225682.8,3294,190,0.057681,0.53,0.489251418,2920,-1,2018,antenatal
Ungogo,545761.37,67780,10197,0.150443,0.53,0.650525031,2920,-1,2018,antenatal
Unuimo,208272.57,4280,355,0.082944,0.53,0.518917277,2920,-1,2018,antenatal
Uruan,176697.83,11639,1094,0.093994,0.53,0.460591042,2920,-1,2018,antenatal
Urue-Offong-Oruko,106286.06,1763,1033,0.585933,0.53,0.30126919,2920,-1,2018,antenatal
Ushongo,268529.23,8432,2930,0.347486,0.53,0.405123965,2920,-1,2018,antenatal
Ussa,129673.9,2233,527,0.236005,0.53,0.46526634,2920,-1,2018,antenatal
Uvwie,279422.67,15048,1039,0.069046,0.53,0.245801456,2920,-1,2018,antenatal
Uyo,462391.18,11132,1376,0.123608,0.53,0.459725229,2920,-1,2018,antenatal
Uzo-Uwani,124480,1655,139,0.083988,0.53,0.463605313,2920,-1,2018,antenatal
Vandeikya,328096.1,14225,4081,0.286889,0.53,0.446888644,2920,-1,2018,antenatal
Wamako,256093.74,37463,314,0.008382,0.53,0.709862406,2920,-1,2018,antenatal
Wamba,103929.41,18849,2416,0.128177,0.53,0.474808309,2920,-1,2018,antenatal
Warawa,190141.05,22456,3141,0.139874,0.53,0.713851327,2920,-1,2018,antenatal
Warji,171350.59,22599,2800,0.123899,0.53,0.655190649,2920,-1,2018,antenatal
Warri North,200367.33,1095,808,0.7379,0.53,0.317614669,2920,-1,2018,antenatal
Warri South,442788.44,15552,1227,0.078897,0.53,0.261546529,2920,-1,2018,antenatal
Warri South West,170277.2,4459,1760,0.394707,0.53,0.247431724,2920,-1,2018,antenatal
Wasagu-Danko,174843.54,32474,2162,0.066576,0.53,0.610059384,2920,-1,2018,antenatal
Wase,222634.75,427,49,0.114754,0.53,0.542214526,2920,-1,2018,antenatal
Wudil,273412.93,49258,11887,0.241321,0.53,0.696329773,2920,-1,2018,antenatal
Wukari,340395.92,16027,2178,0.135896,0.53,0.460148695,2920,-1,2018,antenatal
Wurno,231410.97,10975,1471,0.134032,0.53,0.700606421,2920,-1,2018,antenatal
Wushishi,122154.51,12635,3653,0.289118,0.53,0.586509958,2920,-1,2018,antenatal
Yabo,163978.19,11974,187,0.015617,0.53,0.687948856,2920,-1,2018,antenatal
Yagba East,212471.16,3507,1268,0.361563,0.53,0.370406416,2920,-1,2018,antenatal
Yagba West,199820.39,6681,2213,0.331238,0.53,0.380889805,2920,-1,2018,antenatal
Yakurr,276844.9,22295,5528,0.247948,0.53,0.470109825,2920,-1,2018,antenatal
Yala,297128.07,11000,4436,0.403273,0.53,0.497455497,2920,-1,2018,antenatal
Yamaltu-Deba,372493.51,54374,4508,0.082907,0.53,0.568738538,2920,-1,2018,antenatal
Yankwashi,134947.27,22037,6727,0.305259,0.53,0.658693878,2920,-1,2018,antenatal
Yauri,143924.4,26387,1050,0.039792,0.53,0.620072014,2920,-1,2018,antenatal
Yenegoa,497945.97,16687,764,0.045784,0.53,0.34556186,2920,-1,2018,antenatal
Yola North,279377.3,42335,6033,0.142506,0.53,0.596198663,2920,-1,2018,antenatal
Yola South,274247.68,49088,6133,0.124939,0.53,0.589972357,2920,-1,2018,antenatal
Yorro,126000.01,3944,1114,0.282454,0.53,0.55120021,2920,-1,2018,antenatal
Yunusari,190124.17,4450,946,0.212584,0.53,0.689290824,2920,-1,2018,antenatal
Yusufari,167858.57,12069,2145,0.177728,0.53,0.682638557,2920,-1,2018,antenatal
Zaki,285968.18,17112,2345,0.137038,0.53,0.69149605,2920,-1,2018,antenatal
Zango,220626.52,19393,1994,0.102821,0.53,0.609533872,2920,-1,2018,antenatal
Zango-Kataf,451067.97,25136,7829,0.311466,0.53,0.442972479,2920,-1,2018,antenatal
Zaria,581992.74,114879,19251,0.167576,0.53,0.6133025,2920,-1,2018,antenatal
Zing,179484.84,7796,1954,0.250641,0.53,0.637049113,2920,-1,2018,antenatal
Zurmi,428807.97,19573,6181,0.315792,0.53,0.702961675,2920,-1,2018,antenatal
Zuru,238795.04,21976,993,0.045186,0.53,0.611940869,2920,-1,2018,antenatal
