LGA,LGA_old,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use_u,over_eighteen_ITN_use_u,simday,duration,year,mortality_rate,kill_rate,block_initial
Gboko,Gboko,Keana,0.106476842,0.074096451,0.058888757,0.057731059,0,1095,2010,0.325574075,0.398561371,0.53
Guma,Guma,Keana,0.136258672,0.074096451,0.058888757,0.126004947,0,1095,2010,0.365014826,0.431083741,0.53
Gwer East,Gwer East,Oke-Ero,0.412919018,0.215085802,0.136781708,0.215529396,0,1095,2010,0.369333536,0.43463817,0.53
Gwer West,Gwer West,Keana,0.136258672,0.074096451,0.058888757,0.126004947,0,1095,2010,0.423749809,0.478971197,0.53
Katsina-Ala,Katsina-Ala,Keana,0.136258672,0.074096451,0.058888757,0.126004947,0,1095,2010,0.338062239,0.408859386,0.53
Konshisha,Konshisha,Oke-Ero,0.267080602,0.16787486,0.136781708,0.171662835,0,1095,2010,0.393916167,0.45479219,0.53
Logo,Logo,Keana,0.136258672,0.074096451,0.058888757,0.126004947,0,1095,2010,0.41751013,0.473946946,0.53
Makurdi,Makurdi,Keana,0.174333985,0.074096451,0.058888757,0.09441869,0,1095,2010,0.369068798,0.434420372,0.53
Obi1,Obi1,Keana,0.089333985,0.119353894,0.058888757,0.052376648,0,1095,2010,0.390472194,0.451978665,0.53
Ogbadibo,Ogbadibo,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.336392711,0.407482111,0.53
Ohimini,Ohimini,Akinyele,0.049162618,0.022057426,0.011728893,0.027498966,0,1095,2010,0.349595567,0.418374369,0.53
Oju,Oju,Oke-Ero,0.412919018,0.215085802,0.136781708,0.367576774,0,1095,2010,0.409720848,0.467648858,0.53
Okpokwu,Okpokwu,Akinyele,0.049162618,0.022057426,0.011728893,0.029898414,0,1095,2010,0.347201019,0.416399046,0.53
Oturkpo,Oturkpo,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.406479871,0.465020433,0.53
Tarka,Tarka,Keana,0.136258672,0.074096451,0.058888757,0.126004947,0,1095,2010,0.339520975,0.410062837,0.53
Ushongo,Ushongo,Oke-Ero,0.412919018,0.215085802,0.136781708,0.367576774,0,1095,2010,0.333533837,0.405123965,0.53
Vandeikya,Vandeikya,Oke-Ero,0.412919018,0.215085802,0.136781708,0.367576774,0,1095,2010,0.384252901,0.446888644,0.53
Askira-Uba,Askira/Uba,Darazo,0.269652034,0.189806498,0.125202174,0.210419623,0,1095,2010,0.666450057,0.647762427,0.797788447
Enugu East,Enugu East,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.392074002,0.453287726,0.53
Bayo,Bayo,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.570036309,0.588279066,0.672369288
Biu,Biu,Darazo,0.59959732,0.415546958,0.312574825,0.608220782,0,1095,2010,0.636944927,0.630783932,0.765873459
Chibok,Chibok,Darazo,0.157362026,0.415546958,0.312574825,0.168018122,0,1095,2010,0.652598314,0.639928775,0.78342144
Damboa,Damboa,Darazo,0.59959732,0.415546958,0.312574825,0.608220782,0,1095,2010,0.695319136,0.663306114,0.824560976
Biase,Biase,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.42094549,0.476715539,0.53
Dikwa,Dikwa,Darazo,0.59959732,0.415546958,0.312574825,0.608220782,0,1095,2010,0.719398758,0.675465,0.843975139
Gubio,Gubio,Gawabawa,0.862608983,0.822944466,0.533857851,0.779370748,0,1095,2010,0.814426994,0.716543356,0.900577617
Jere,Jere,Gawabawa,0.862608983,0.822944466,0.533857851,0.779370748,0,1095,2010,0.753750697,0.691561556,0.867739549
Guzamala,Guzamala,Babura,0.77392832,0.50738725,0.272989214,0.734170877,0,1095,2010,0.777569747,0.701881155,0.881877699
Hawul,Hawul,Darazo,0.59959732,0.415546958,0.312574825,0.608220782,0,1095,2010,0.628168105,0.625521494,0.755384282
Kwaya Kusar,Kwaya Kusar,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.597977668,0.606689636,0.715395685
Enugu North,Enugu North,Uzo-Uwani,0.210060046,0.133517495,0.131170581,0.09263101,0,1095,2010,0.420714903,0.476529889,0.53
Kaga,Kaga,Darazo,0.59959732,0.415546958,0.312574825,0.608220782,0,1095,2010,0.674887541,0.65241475,0.806039237
Mafa,Mafa,Darazo,0.59959732,0.807453557,0.863764265,1,0,1095,2010,0.71541858,0.673505468,0.840933705
Obudu,Obudu,Obubra,0.360812126,0.258624107,0.181908262,0.263689348,0,1095,2010,0.438167494,0.490500973,0.53
Konduga,Konduga,Darazo,0.59959732,0.415546958,0.312574825,0.608220782,0,1095,2010,0.74032898,0.685445232,0.85896129
Bomadi,Bomadi,Isoko South,0.190385703,0.217042434,0.094558175,0.106992866,0,1095,2010,0.197303754,0.29598519,0.53
Magumeri,Magumeri,Gawabawa,0.862608983,0.468583797,0.277473689,0.444488107,0,1095,2010,0.783011005,0.704144224,0.884868304
Maiduguri,Maiduguri,Darazo,0.439413308,0.332340435,0.176895579,0.315026669,0,1095,2010,0.77182807,0.699455384,0.878628714
Shani,Shani,Alkaleri,0.639862739,0.468941846,0.39915577,0.559991805,0,1095,2010,0.675999756,0.653021266,0.807099703
Abi,Abi,Obubra,0.356776415,0.325880542,0.268695496,0.310193495,0,1095,2010,0.400313882,0.46000802,0.53
Marte,Marte,Babura,0.588364562,0.384793418,0.218771091,0.576166704,0,1095,2010,0.719831894,0.675677048,0.844302287
Nganzai,Nganzai,Gawabawa,1,1,1,1,0,1095,2010,0.772011267,0.699533384,0.878733887
Bekwara,Bekwara,Oke-Ero,0.412919018,0.215085802,0.136781708,0.367576774,0,1095,2010,0.383264622,0.4460788,0.53
Calabar-Municipal,Calabar-Municipal,Nsit Ubium,0.441988676,0.347818281,0.318927295,0.427161168,0,1095,2010,0.462134621,0.509382696,0.53
Ikom,Ikom,Obubra,0.360812126,0.258624107,0.181908262,0.263689348,0,1095,2010,0.470923114,0.51620494,0.53
Obubra,Obubra,Obubra,0.512620571,0.35365832,0.174945496,0.332848503,0,1095,2010,0.444533155,0.495552804,0.53
Enugu South,Enugu South,Uzo-Uwani,0.117202903,0.158950289,0.131170581,0.150876624,0,1095,2010,0.479661177,0.52292855,0.53
Odukpani,Odukpani,Ngor-Okpala,0.18947297,0.178815297,0.126242831,0.140452934,0,1095,2010,0.447918712,0.498229176,0.53
Ogoja,Ogoja,Obubra,0.360812126,0.258624107,0.181908262,0.263689348,0,1095,2010,0.439863497,0.491849375,0.53
Yakurr,Yakurr,Obubra,0.360812126,0.258624107,0.181908262,0.263689348,0,1095,2010,0.412760432,0.470109825,0.53
Ogbomosho North,Ogbomosho North,Akinyele,0.049162618,0.022057426,0.011728893,0.027498966,0,1095,2010,0.277526963,0.359214893,0.53
Yala,Yala,Oke-Ero,0.412919018,0.215085802,0.136781708,0.367576774,0,1095,2010,0.446939058,0.497455497,0.53
Aniocha North,Aniocha North,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.369401293,0.434693912,0.53
Aniocha South,Aniocha South,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.311595529,0.387055583,0.53
Ibadan South West,Ibadan South West,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.315354899,0.390146775,0.53
Ethiope East,Ethiope East,Isoko South,0.190385703,0.217042434,0.094558175,0.106992866,0,1095,2010,0.209725367,0.305480359,0.53
Ethiope West,Ethiope West,Isoko South,0.190385703,0.217042434,0.094558175,0.106992866,0,1095,2010,0.342228555,0.412296673,0.53
Ika North East,Ika North East,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.388201078,0.450121249,0.53
Ika South,Ika South,Uzo-Uwani,0.123003764,0.091077204,0.131170581,0.063341037,0,1095,2010,0.37137411,0.436316512,0.53
Isoko North,Isoko North,Isoko South,0.190385703,0.217042434,0.094558175,0.106992866,0,1095,2010,0.19337815,0.293011529,0.53
Ogbomosho South,Ogbomosho South,Akinyele,0.049162618,0.022057426,0.011728893,0.027498966,0,1095,2010,0.343621306,0.413445748,0.53
Isoko South,Isoko South,Isoko South,0.190385703,0.217042434,0.094558175,0.106992866,0,1095,2010,0.162398226,0.270038761,0.53
Ndokwa East,Ndokwa East,Ahoada West,0.458117013,0.467072881,0.158239037,0.345423745,0,1095,2010,0.258105917,0.343545804,0.53
Ndokwa West,Ndokwa West,Isoko South,0.229983363,0.316478858,0.090439605,0.114582537,0,1095,2010,0.26790329,0.351427873,0.53
Okpe,Okpe,Isoko South,0.190385703,0.217042434,0.094558175,0.106992866,0,1095,2010,0.176806986,0.280610706,0.53
Oshimili North,Oshimili North,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.34095855,0.41124887,0.53
Oshimili South,Oshimili South,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.3079518,0.384062211,0.53
Patani,Patani,Isoko South,0.190385703,0.217042434,0.094558175,0.106992866,0,1095,2010,0.156971919,0.266110793,0.53
Sapele,Sapele,Isoko South,0.294085927,0.329636753,0.185956174,0.170766549,0,1095,2010,0.293983111,0.37261735,0.53
Udu,Udu,Isoko South,0.190385703,0.217042434,0.094558175,0.106992866,0,1095,2010,0.132665008,0.24889334,0.53
Ughelli North,Ughelli North,Isoko South,0.190385703,0.217042434,0.094558175,0.106992866,0,1095,2010,0.187814216,0.288820013,0.53
Ughelli South,Ughelli South,Isoko South,0.190385703,0.217042434,0.094558175,0.106992866,0,1095,2010,0.146146999,0.258365504,0.53
Ukwuani,Ukwuani,Uzo-Uwani,0.096614667,0.104404835,0.131170581,0.105162339,0,1095,2010,0.33569314,0.406905033,0.53
Uvwie,Uvwie,Isoko South,0.190385703,0.217042434,0.094558175,0.106992866,0,1095,2010,0.128201894,0.245801456,0.53
Warri South,Warri South,Isoko South,0.123922757,0.217042434,0.114731103,0.106992866,0,1095,2010,0.150613557,0.261546529,0.53
Ohaozara,Ohaozara,Obubra,0.294575458,0.348607815,0.228516924,0.349733035,0,1095,2010,0.422916581,0.478301408,0.53
Abakaliki,Abakaliki,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.416945424,0.473491294,0.53
Afikpo North,Afikpo North,Oru West,0.472504313,0.395468655,0.309498345,0.42194626,0,1095,2010,0.428193447,0.482537052,0.53
Afikpo South,Afikpo South,Ngor-Okpala,0.18947297,0.185230167,0.126242831,0.107067302,0,1095,2010,0.44733042,0.497764649,0.53
Ebonyi,Ebonyi,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.429410898,0.483512158,0.53
Ezza North,Ezza North,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.41226708,0.469710667,0.53
Ezza South,Ezza South,Obubra,0.360812126,0.258624107,0.181908262,0.263689348,0,1095,2010,0.389807073,0.451434864,0.53
Ikwo,Ikwo,Obubra,0.361523338,0.216990309,0.172363604,0.225367256,0,1095,2010,0.39899006,0.45892996,0.53
Ishielu,Ishielu,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.402215764,0.461555673,0.53
Ivo,Ivo,Ngor-Okpala,0.202599151,0.15745239,0.186041218,0.152226597,0,1095,2010,0.433913174,0.487111038,0.53
Izzi,Izzi,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.409695434,0.467628265,0.53
Ohaukwu,Ohaukwu,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.40041459,0.460090005,0.53
Onicha,Onicha,Obubra,0.213081401,0.147309114,0.155208653,0.132801818,0,1095,2010,0.407479271,0.465831417,0.53
Akoko-Edo,Akoko-Edo,Owan East,0.314900476,0.305247907,0.155849408,0.304789915,0,1095,2010,0.304845225,0.381512482,0.53
Egor,Egor,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.42209808,0.477643111,0.53
Esan North East,Esan North East,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.339061878,0.409684078,0.53
Esan Central,Esan Central,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.34342137,0.413280793,0.53
Esan South East,Esan South East,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.404971726,0.463795838,0.53
Esan West,Esan West,Uzo-Uwani,0.199917815,0.133517495,0.131170581,0.138066867,0,1095,2010,0.366421113,0.432241487,0.53
Etsako Central,Etsako Central,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.300181787,0.377689484,0.53
Etsako East,Etsako East,Owan East,0.184465694,0.305247907,0.213392892,0.217525764,0,1095,2010,0.314825995,0.389711717,0.53
Etsako West,Etsako West,Owan East,0.233342487,0.305247907,0.213392892,0.35831528,0,1095,2010,0.290127246,0.36946828,0.53
