"","LGA","p_test","se","Number of Participants"
"140","Demsa",0,0,6
"141","Doguwa",0.555555555555556,2.77555756156289e-17,14
"142","Doma",0,0,4
"143","Donga",0.254517951612645,0.0851070731246155,7
"144","Dukku",0.191376674822918,0.0342719633335248,13
"145","Dutse",0.199606394390899,0.0553019839267232,26
"146","Dutsi",0.375,0,7
"147","Eastern Obolo",0.25,0,5
"148","Edati",0,0,1
"149","Edu",0.126488827157599,0.0895095109538076,9
"150","Efon-Alayee",0.263157894736842,0.123946387429906,7
"151","Egbado North",0.285714285714286,2.77555756156289e-17,4
"152","Egbado South",0.274992482303651,0.28195404468555,11
"153","Egbeda",0.361923731863514,0.164453701871818,68
"154","Egbedore",0.392215584922025,0.140512396042068,7
"155","Egor",0,0,6
"156","Ehime-Mbano",0.25291406466438,0.131522221079081,6
"157","Ejigbo",0.826325045104466,0.0749858387366851,11
"158","Ekeremor",0.0696808335090068,0.039744222643043,11
"159","Eket",0,0,4
"160","Ekiti",0.335441279091121,0.105066845340753,7
"161","Ekiti East",0.6,1.38777878078145e-17,3
"162","Ekiti South West",0.455830376588646,0.108105856156587,8
"163","Ekiti West",0.167409384754517,0.0766437358987093,7
"164","Ekwusigo",0,0,16
"165","Eleme",0.0653706186342439,0.0561877116831379,18
"166","Emohua",0,0,1
"167","Emure",0,0,4
"168","Enugu East",0.148255770372628,0.103379927331901,18
"169","Enugu North",0.10659901312103,0.0390852886258648,8
"170","Enugu South",0,0,7
"171","Epe",0,0,4
"172","Esan Central",0,0,1
"173","Esan North East",0,0,1
"174","Esan South East",0,0,2
"175","Ese-Odo",0.5,0,4
"176","Esit Eket",0.333333333333333,2.77555756156289e-17,7
"177","Essien Udim",0.185826778619512,0.167951576709534,13
"178","Etche",0.368536587756062,0.0881520286144946,4
"179","Ethiope East",0.527224929661625,0.0748320918578241,13
"180","Ethiope West",0.5,0,1
"181","Etinan",0,0,1
"182","Etsako Central",0.333333333333333,5.55111512312578e-17,1
"183","Etsako East",0.25,0,7
"184","Etsako West",0,0,9
"185","Ewekoro",0.439106455149745,0.0130493979012236,13
"186","Ezeagu",0.163722760466192,0.117814360997061,5
"187","Ezinihitte",0.11937265181017,0.0982853631991443,10
"188","Ezza North",0.533333333333333,6.93889390390723e-18,11
"189","Ezza South",0.361412102224187,0.0235194411639812,34
"190","Fakai",0,0,2
"191","Faskari",0.25,2.08166817117217e-17,20
"192","Fika",0.166666666666667,3.46944695195362e-18,14
"193","Fufore",0.1982758682653,0.0322857141635002,15
"194","Funakaye",0.0909090909090909,1.04083408558609e-17,9
"195","Fune",0.34942123489151,0.0993639171822822,14
"196","Funtua",0.225742601787671,0.1790661424835,24
"197","Gabasawa",0,0,2
"198","Gada",0.330661213097191,0.159581899189234,8
"199","Gagarawa",0.4,1.38777878078144e-17,7
"200","Gamawa",0.142857142857143,6.93889390390723e-18,9
"201","Ganaye",0,0,7
"202","Ganjuwa",0.5,0,12
"203","Garki",0,0,3
"204","Garko",0.666666666666667,6.93889390390723e-17,11
"205","Garum Mallam",0.2,2.77555756156289e-17,15
"206","Gashaka",0.571428571428571,4.85722573273506e-17,5
"207","Gassol",0.203210291933938,0.0422256422952326,32
"208","Gawabawa",0,0,4
"209","Gaya",0.333333333333333,2.77555756156289e-17,8
"210","Gbako",0.166666666666667,1.38777878078144e-17,9
