"","LGA","p_test","se","Number of Participants"
"587","Talata Mafara",0.160657907793742,0.13169501776617,31
"588","Tambuwal",0.576263127427808,0.104947855887798,32
"589","Tarauni",0.0980926376796522,0.0166551531539144,16
"590","Tarka",0,0,5
"591","Taura",0.538461538461539,6.24500451351651e-17,10
"592","Tofa",0.375,0,12
"593","Toro",0.492822970785317,0.0920089160333656,25
"594","Toto",0,0,3
"595","Toungo",0.25,0,8
"596","Tsafe",0.406151554322118,0.110437691916067,24
"597","Tsanyawa",1,0,1
"598","Tudun Wada",0.215619220214298,0.151517013796603,24
"599","Tureta",0.143449854035901,0.103013977412295,8
"600","Udenu",0.0567847719808198,0.0550779599699375,15
"601","Udi",0,0,13
"602","Udu",0,0,16
"603","Ughelli North",0.460163875192275,0.0630471773126371,25
"604","Ughelli South",0.33631061943655,0.105193806615056,12
"605","Ugwunagbo",0.5,2.77555756156289e-17,4
"606","Uhunmwonde",0,0,4
"607","Ukanafun",0,0,11
"608","Ukum",0.216642740099395,0.0649177899972382,18
"609","Ukwa East",0,0,1
"610","Ukwuani",0,0,2
"611","Umu-Neochi",0.0578881441373519,0.0299624558677607,13
"612","Umuahia North",0,0,1
"613","Umuahia South",0.0651578027951298,0.0449801200558783,12
"614","Ungogo",0.150132814323369,0.0272536417572859,40
"615","Uruan",0.340135981013915,0.239631806312495,7
"616","Urue-Offong/Oruko",0.714285714285714,1.52655665885959e-16,4
"617","Ussa",0,0,3
"618","Uvwie",0,0,16
"619","Uyo",0.176291759455937,0.143856183207993,12
"620","Uzo-Uwani",0.206318473088934,0.141280206755938,7
"621","Vandeikya",0.157559698124336,0.0952238146760749,25
"622","Wamako",0,0,1
"623","Wamba",0.333333333333333,2.77555756156289e-17,1
"624","Warawa",0.714285714285714,1.11022302462516e-16,10
"625","Warji",0.714285714285714,1.11022302462516e-16,5
"626","Warri North",0,0,3
"627","Warri South",0,0,6
"628","Warri South West",0.25,0,4
"629","Wasagu/Danko",0.166666666666667,1.38777878078144e-17,6
"630","Wase",0.40579704956978,0.169773267528571,11
"631","Wudil",0.543106544060469,0.203315842308477,16
"632","Wukari",0.238217067511627,0.0565315393066282,24
"633","Wurno",0.111307420894742,0.0637618119532868,9
"634","Yabo",0.555555555555556,5.55111512312578e-17,9
"635","Yagba East",0.333333333333333,5.55111512312578e-17,5
"636","Yagba West",1,0,2
"637","Yakurr",0,0,4
"638","Yala",0,0,11
"639","Yamaltu/Deba",0.522114955876566,0.0455568278161932,26
"640","Yankwashi",0.366739707144741,0.0995224698438859,12
"641","Yauri",0.499147409915967,0.282600329975698,5
"642","Yenegoa",0.138332530141421,0.0632510628813777,14
"643","Yola North",0.108870996723554,0.0916182954955794,4
"644","Yola South",0,0,3
"645","Yorro",0.198347110351705,0.143914753217738,6
"646","Yusufari",0.222222222222222,0,6
"647","Zaki",0.0792079510103355,0.0597217141850084,9
"648","Zango",0.6,8.32667268468868e-17,6
"649","Zango-Kataf",0.447236184089648,0.0360767738321737,13
"650","Zaria",0.070101623520177,0.0697242998112633,41
"651","Zing",0.2,2.77555756156289e-17,4
"652","Zurmi",0.38882604265644,0.153459119944991,23
"653","Zuru",0.5,0,2
