LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases,start_day_override
Aba South,Ngor-Okpala,NA,0.566746806,0.566746806,1650,151,2024,10,0.8,1
Aba South,Ngor-Okpala,NA,0.708433508,0.708433508,1801,185,2025,11,0.8,1
Aba South,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,12,0.8,1
Abadam,Babura,NA,0.349277359,0.349277359,0,196,2020,1,0.8,1
Abadam,Babura,NA,0.366741227,0.366741227,196,154,2020,2,0.8,1
Abadam,Babura,NA,0.370234001,0.370234001,350,212,2021,3,0.49,1
Abadam,Babura,NA,0.373726774,0.373726774,562,154,2021,4,0.539,1
Abadam,Babura,NA,0.377219548,0.377219548,716,202,2022,5,0.588,1
Abadam,Babura,NA,0.380712321,0.380712321,918,159,2022,6,0.637,1
Abadam,Babura,NA,0.384205095,0.384205095,1077,219,2023,7,0.686,1
Abadam,Babura,NA,0.391190642,0.391190642,1296,136,2023,8,0.735,1
Abadam,Babura,NA,0.523916039,0.523916039,1432,218,2024,9,0.784,1
Abadam,Babura,NA,0.698554718,0.698554718,1650,151,2024,10,0.8,1
Abadam,Babura,NA,0.8,0.8,1801,185,2025,11,0.8,1
Abadam,Babura,NA,0.8,0.8,1986,183,2025,12,0.8,1
Abaji,Keana,NA,0.246130843,0.246130843,0,196,2020,1,0.8,1
Abaji,Keana,NA,0.52979664,0.52979664,196,154,2020,2,0.8,1
Abaji,Keana,NA,0.537451309,0.537451309,350,212,2021,3,0.8,1
Abaji,Keana,NA,0.8,0.8,562,154,2021,4,0.49,1
Abaji,Keana,NA,0.8,0.8,716,202,2022,5,0.539,1
Abaji,Keana,NA,0.8,0.8,918,159,2022,6,0.588,1
Abaji,Keana,NA,0.8,0.8,1077,219,2023,7,0.637,1
Abaji,Keana,NA,0.8,0.8,1296,136,2023,8,0.686,1
Abaji,Keana,NA,0.8,0.8,1432,218,2024,9,0.735,1
Abaji,Keana,NA,0.8,0.8,1650,151,2024,10,0.784,1
Abaji,Keana,NA,0.8,0.8,1801,185,2025,11,0.8,1
Abaji,Keana,NA,0.8,0.8,1986,183,2025,12,0.8,1
Abak,Nsit Ubium,NA,0.297727761,0.297727761,0,196,2020,1,0.8,1
Abak,Nsit Ubium,NA,0.312614149,0.312614149,196,154,2020,2,0.8,1
Abak,Nsit Ubium,NA,0.315591427,0.315591427,350,212,2021,3,0.8,1
Abak,Nsit Ubium,NA,0.318568704,0.318568704,562,154,2021,4,0.8,1
Abak,Nsit Ubium,NA,0.321545982,0.321545982,716,202,2022,5,0.49,1
Abak,Nsit Ubium,NA,0.324523259,0.324523259,918,159,2022,6,0.539,1
Abak,Nsit Ubium,NA,0.327500537,0.327500537,1077,219,2023,7,0.588,1
Abak,Nsit Ubium,NA,0.333455092,0.333455092,1296,136,2023,8,0.637,1
Abak,Nsit Ubium,NA,0.446591642,0.446591642,1432,218,2024,9,0.686,1
Abak,Nsit Ubium,NA,0.595455522,0.595455522,1650,151,2024,10,0.735,1
Abak,Nsit Ubium,NA,0.744319403,0.744319403,1801,185,2025,11,0.784,1
Abak,Nsit Ubium,NA,0.8,0.8,1986,183,2025,12,0.8,1
Abakaliki,Owan East,NA,0.352748878,0.352748878,0,196,2020,1,0.8,1
Abakaliki,Owan East,NA,0.370386322,0.370386322,196,154,2020,2,0.8,1
Abakaliki,Owan East,NA,0.373913811,0.373913811,350,212,2021,3,0.8,1
Abakaliki,Owan East,NA,0.377441299,0.377441299,562,154,2021,4,0.8,1
Abakaliki,Owan East,NA,0.380968788,0.380968788,716,202,2022,5,0.8,1
Abakaliki,Owan East,NA,0.384496277,0.384496277,918,159,2022,6,0.49,1
Abakaliki,Owan East,NA,0.388023766,0.388023766,1077,219,2023,7,0.539,1
Abakaliki,Owan East,NA,0.395078743,0.395078743,1296,136,2023,8,0.588,1
Abakaliki,Owan East,NA,0.529123317,0.529123317,1432,218,2024,9,0.637,1
Abakaliki,Owan East,NA,0.705497756,0.705497756,1650,151,2024,10,0.686,1
Abakaliki,Owan East,NA,0.8,0.8,1801,185,2025,11,0.735,1
Abakaliki,Owan East,NA,0.8,0.8,1986,183,2025,12,0.784,1
Abeokuta North,Owan East,NA,0.516473785,0.516473785,0,196,2020,1,0.8,1
Abeokuta North,Owan East,NA,0.542297474,0.542297474,196,154,2020,2,0.8,1
Abeokuta North,Owan East,NA,0.547462212,0.547462212,350,212,2021,3,0.8,1
Abeokuta North,Owan East,NA,0.55262695,0.55262695,562,154,2021,4,0.8,1
Abeokuta North,Owan East,NA,0.557791688,0.557791688,716,202,2022,5,0.8,1
Abeokuta North,Owan East,NA,0.562956426,0.562956426,918,159,2022,6,0.8,1
Abeokuta North,Owan East,NA,0.568121164,0.568121164,1077,219,2023,7,0.49,1
Abeokuta North,Owan East,NA,0.578450639,0.578450639,1296,136,2023,8,0.539,1
Abeokuta North,Owan East,NA,0.774710678,0.774710678,1432,218,2024,9,0.588,1
Abeokuta North,Owan East,NA,0.8,0.8,1650,151,2024,10,0.637,1
Abeokuta North,Owan East,NA,0.8,0.8,1801,185,2025,11,0.686,1
Abeokuta North,Owan East,NA,0.8,0.8,1986,183,2025,12,0.735,1
Abeokuta South,Uzo-Uwani,NA,0.793442604,0.793442604,0,196,2020,1,0.784,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,196,154,2020,2,0.8,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,350,212,2021,3,0.8,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,562,154,2021,4,0.8,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,716,202,2022,5,0.8,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,918,159,2022,6,0.8,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1077,219,2023,7,0.8,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1296,136,2023,8,0.49,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1432,218,2024,9,0.539,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,10,0.588,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,11,0.637,1
Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,12,0.686,1
Abi,Obubra,NA,0.145161293,0.145161293,0,196,2020,1,0.735,1
Abi,Obubra,NA,0.304838715,0.304838715,196,154,2020,2,0.784,1
Abi,Obubra,NA,0.769354853,0.769354853,350,212,2021,3,0.8,1
Abi,Obubra,NA,0.8,0.8,562,154,2021,4,0.8,1
Abi,Obubra,NA,0.8,0.8,716,202,2022,5,0.8,1
Abi,Obubra,NA,0.8,0.8,918,159,2022,6,0.8,1
Abi,Obubra,NA,0.8,0.8,1077,219,2023,7,0.8,1
Abi,Obubra,NA,0.8,0.8,1296,136,2023,8,0.8,1
Abi,Obubra,NA,0.8,0.8,1432,218,2024,9,0.49,1
Abi,Obubra,NA,0.8,0.8,1650,151,2024,10,0.539,1
Abi,Obubra,NA,0.8,0.8,1801,185,2025,11,0.588,1
Abi,Obubra,NA,0.8,0.8,1986,183,2025,12,0.637,1
Aboh-Mbaise,Ngor-Okpala,NA,0.375,0.375,0,196,2020,1,0.686,1
Aboh-Mbaise,Ngor-Okpala,NA,0.39375,0.39375,196,154,2020,2,0.735,1
Aboh-Mbaise,Ngor-Okpala,NA,0.3975,0.3975,350,212,2021,3,0.784,1
Aboh-Mbaise,Ngor-Okpala,NA,0.40125,0.40125,562,154,2021,4,0.8,1
Aboh-Mbaise,Ngor-Okpala,NA,0.405,0.405,716,202,2022,5,0.8,1
Aboh-Mbaise,Ngor-Okpala,NA,0.40875,0.40875,918,159,2022,6,0.8,1
Aboh-Mbaise,Ngor-Okpala,NA,0.4125,0.4125,1077,219,2023,7,0.8,1
Aboh-Mbaise,Ngor-Okpala,NA,0.42,0.42,1296,136,2023,8,0.8,1
Aboh-Mbaise,Ngor-Okpala,NA,0.5625,0.5625,1432,218,2024,9,0.8,1
Aboh-Mbaise,Ngor-Okpala,NA,0.75,0.75,1650,151,2024,10,0.49,1
Aboh-Mbaise,Ngor-Okpala,NA,0.8,0.8,1801,185,2025,11,0.539,1
Aboh-Mbaise,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,12,0.588,1
Abua-Odual,Ahoada West,NA,0.104505917,0.104505917,0,196,2020,1,0.637,1
Abua-Odual,Ahoada West,NA,0.449897973,0.449897973,196,154,2020,2,0.686,1
Abua-Odual,Ahoada West,NA,0.55388136,0.55388136,350,212,2021,3,0.735,1
Abua-Odual,Ahoada West,NA,0.8,0.8,562,154,2021,4,0.784,1
Abua-Odual,Ahoada West,NA,0.8,0.8,716,202,2022,5,0.8,1
Abua-Odual,Ahoada West,NA,0.8,0.8,918,159,2022,6,0.8,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1077,219,2023,7,0.8,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1296,136,2023,8,0.8,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1432,218,2024,9,0.8,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1650,151,2024,10,0.8,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1801,185,2025,11,0.49,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1986,183,2025,12,0.539,1
Abuja Municipal,Keana,NA,0.048123756,0.048123756,0,196,2020,1,0.588,1
Abuja Municipal,Keana,NA,0.096247512,0.096247512,196,154,2020,2,0.637,1
Abuja Municipal,Keana,NA,0.525415168,0.525415168,350,212,2021,3,0.686,1
Abuja Municipal,Keana,NA,0.772386284,0.772386284,562,154,2021,4,0.735,1
Abuja Municipal,Keana,NA,0.8,0.8,716,202,2022,5,0.784,1
Abuja Municipal,Keana,NA,0.8,0.8,918,159,2022,6,0.8,1
Abuja Municipal,Keana,NA,0.8,0.8,1077,219,2023,7,0.8,1
Abuja Municipal,Keana,NA,0.8,0.8,1296,136,2023,8,0.8,1
Abuja Municipal,Keana,NA,0.8,0.8,1432,218,2024,9,0.8,1
Abuja Municipal,Keana,NA,0.8,0.8,1650,151,2024,10,0.8,1
Abuja Municipal,Keana,NA,0.8,0.8,1801,185,2025,11,0.8,1
Abuja Municipal,Keana,NA,0.8,0.8,1986,183,2025,12,0.49,1
Adavi,Owan East,NA,0.278942779,0.278942779,0,196,2020,1,0.539,1
Adavi,Owan East,NA,0.292889918,0.292889918,196,154,2020,2,0.588,1
Adavi,Owan East,NA,0.295679346,0.295679346,350,212,2021,3,0.637,1
Adavi,Owan East,NA,0.298468774,0.298468774,562,154,2021,4,0.686,1
Adavi,Owan East,NA,0.301258201,0.301258201,716,202,2022,5,0.735,1
Adavi,Owan East,NA,0.304047629,0.304047629,918,159,2022,6,0.784,1
Adavi,Owan East,NA,0.306837057,0.306837057,1077,219,2023,7,0.8,1
Adavi,Owan East,NA,0.312415912,0.312415912,1296,136,2023,8,0.8,1
Adavi,Owan East,NA,0.418414169,0.418414169,1432,218,2024,9,0.8,1
Adavi,Owan East,NA,0.557885558,0.557885558,1650,151,2024,10,0.8,1
Adavi,Owan East,NA,0.697356948,0.697356948,1801,185,2025,11,0.8,1
Adavi,Owan East,NA,0.8,0.8,1986,183,2025,12,0.8,1
Ado,Akinyele,NA,0.171296311,0.171296311,0,196,2020,1,0.49,1
Ado,Akinyele,NA,0.368715309,0.368715309,196,154,2020,2,0.539,1
Ado,Akinyele,NA,0.374042625,0.374042625,350,212,2021,3,0.588,1
Ado,Akinyele,NA,0.562691252,0.562691252,562,154,2021,4,0.637,1
Ado,Akinyele,NA,0.569800049,0.569800049,716,202,2022,5,0.686,1
Ado,Akinyele,NA,0.576943105,0.576943105,918,159,2022,6,0.735,1
Ado,Akinyele,NA,0.772546363,0.772546363,1077,219,2023,7,0.784,1
Ado,Akinyele,NA,0.790429697,0.790429697,1296,136,2023,8,0.8,1
Ado,Akinyele,NA,0.8,0.8,1432,218,2024,9,0.8,1
Ado,Akinyele,NA,0.8,0.8,1650,151,2024,10,0.8,1
Ado,Akinyele,NA,0.8,0.8,1801,185,2025,11,0.8,1
Ado,Akinyele,NA,0.8,0.8,1986,183,2025,12,0.8,1
Ado Ekiti,Owan East,NA,0.278942779,0.278942779,0,196,2020,1,0.8,1
Ado Ekiti,Owan East,NA,0.292889918,0.292889918,196,154,2020,2,0.49,1
Ado Ekiti,Owan East,NA,0.295679346,0.295679346,350,212,2021,3,0.539,1
Ado Ekiti,Owan East,NA,0.298468774,0.298468774,562,154,2021,4,0.588,1
Ado Ekiti,Owan East,NA,0.301258201,0.301258201,716,202,2022,5,0.637,1
Ado Ekiti,Owan East,NA,0.304047629,0.304047629,918,159,2022,6,0.686,1
Ado Ekiti,Owan East,NA,0.306837057,0.306837057,1077,219,2023,7,0.735,1
Ado Ekiti,Owan East,NA,0.312415912,0.312415912,1296,136,2023,8,0.784,1
Ado Ekiti,Owan East,NA,0.418414169,0.418414169,1432,218,2024,9,0.8,1
Ado Ekiti,Owan East,NA,0.557885558,0.557885558,1650,151,2024,10,0.8,1
Ado Ekiti,Owan East,NA,0.697356948,0.697356948,1801,185,2025,11,0.8,1
Ado Ekiti,Owan East,NA,0.8,0.8,1986,183,2025,12,0.8,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.420192485,0.420192485,0,196,2020,1,0.8,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.441202109,0.441202109,196,154,2020,2,0.8,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.445404034,0.445404034,350,212,2021,3,0.49,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.449605959,0.449605959,562,154,2021,4,0.539,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.453807884,0.453807884,716,202,2022,5,0.588,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.458009809,0.458009809,918,159,2022,6,0.637,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.462211734,0.462211734,1077,219,2023,7,0.686,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.470615583,0.470615583,1296,136,2023,8,0.735,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.630288728,0.630288728,1432,218,2024,9,0.784,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,10,0.8,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,11,0.8,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,12,0.8,1
Afijio,Akinyele,NA,0.154926235,0.154926235,0,196,2020,1,0.8,1
Afijio,Akinyele,NA,0.325345094,0.325345094,196,154,2020,2,0.8,1
Afijio,Akinyele,NA,0.8,0.8,350,212,2021,3,0.8,1
Afijio,Akinyele,NA,0.8,0.8,562,154,2021,4,0.49,1
Afijio,Akinyele,NA,0.8,0.8,716,202,2022,5,0.539,1
Afijio,Akinyele,NA,0.8,0.8,918,159,2022,6,0.588,1
Afijio,Akinyele,NA,0.8,0.8,1077,219,2023,7,0.637,1
Afijio,Akinyele,NA,0.8,0.8,1296,136,2023,8,0.686,1
Afijio,Akinyele,NA,0.8,0.8,1432,218,2024,9,0.735,1
Afijio,Akinyele,NA,0.8,0.8,1650,151,2024,10,0.784,1
Afijio,Akinyele,NA,0.8,0.8,1801,185,2025,11,0.8,1
Afijio,Akinyele,NA,0.8,0.8,1986,183,2025,12,0.8,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,0,196,2020,1,0.8,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,196,154,2020,2,0.8,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,350,212,2021,3,0.8,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,562,154,2021,4,0.8,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,716,202,2022,5,0.49,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,918,159,2022,6,0.539,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1077,219,2023,7,0.588,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1296,136,2023,8,0.637,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1432,218,2024,9,0.686,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1650,151,2024,10,0.735,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1801,185,2025,11,0.784,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1986,183,2025,12,0.8,1
Afikpo South,Ngor-Okpala,NA,0.470951796,0.470951796,0,196,2020,1,0.8,1
Afikpo South,Ngor-Okpala,NA,0.494499386,0.494499386,196,154,2020,2,0.8,1
Afikpo South,Ngor-Okpala,NA,0.499208904,0.499208904,350,212,2021,3,0.8,1
Afikpo South,Ngor-Okpala,NA,0.503918422,0.503918422,562,154,2021,4,0.8,1
Afikpo South,Ngor-Okpala,NA,0.50862794,0.50862794,716,202,2022,5,0.8,1
Afikpo South,Ngor-Okpala,NA,0.513337458,0.513337458,918,159,2022,6,0.49,1
Afikpo South,Ngor-Okpala,NA,0.518046976,0.518046976,1077,219,2023,7,0.539,1
Afikpo South,Ngor-Okpala,NA,0.527466012,0.527466012,1296,136,2023,8,0.588,1
Afikpo South,Ngor-Okpala,NA,0.706427694,0.706427694,1432,218,2024,9,0.637,1
Afikpo South,Ngor-Okpala,NA,0.8,0.8,1650,151,2024,10,0.686,1
Afikpo South,Ngor-Okpala,NA,0.8,0.8,1801,185,2025,11,0.735,1
Afikpo South,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,12,0.784,1
Agaie,Oke-Ero,NA,0.246839589,0.246839589,0,196,2020,1,0.8,1
Agaie,Oke-Ero,NA,0.531322215,0.531322215,196,154,2020,2,0.8,1
Agaie,Oke-Ero,NA,0.538998927,0.538998927,350,212,2021,3,0.8,1
Agaie,Oke-Ero,NA,0.8,0.8,562,154,2021,4,0.8,1
Agaie,Oke-Ero,NA,0.8,0.8,716,202,2022,5,0.8,1
Agaie,Oke-Ero,NA,0.8,0.8,918,159,2022,6,0.8,1
Agaie,Oke-Ero,NA,0.8,0.8,1077,219,2023,7,0.49,1
Agaie,Oke-Ero,NA,0.8,0.8,1296,136,2023,8,0.539,1
Agaie,Oke-Ero,NA,0.8,0.8,1432,218,2024,9,0.588,1
Agaie,Oke-Ero,NA,0.8,0.8,1650,151,2024,10,0.637,1
Agaie,Oke-Ero,NA,0.8,0.8,1801,185,2025,11,0.686,1
Agaie,Oke-Ero,NA,0.8,0.8,1986,183,2025,12,0.735,1
Agatu,Keana,NA,0.177187213,0.177187213,0,196,2020,1,0.784,1
Agatu,Keana,NA,0.381395476,0.381395476,196,154,2020,2,0.8,1
Agatu,Keana,NA,0.386905998,0.386905998,350,212,2021,3,0.8,1
Agatu,Keana,NA,0.582042276,0.582042276,562,154,2021,4,0.8,1
Agatu,Keana,NA,0.589395545,0.589395545,716,202,2022,5,0.8,1
Agatu,Keana,NA,0.596784252,0.596784252,918,159,2022,6,0.8,1
Agatu,Keana,NA,0.799114331,0.799114331,1077,219,2023,7,0.8,1
Agatu,Keana,NA,0.8,0.8,1296,136,2023,8,0.49,1
Agatu,Keana,NA,0.8,0.8,1432,218,2024,9,0.539,1
Agatu,Keana,NA,0.8,0.8,1650,151,2024,10,0.588,1
Agatu,Keana,NA,0.8,0.8,1801,185,2025,11,0.637,1
Agatu,Keana,NA,0.8,0.8,1986,183,2025,12,0.686,1
Agege,Uzo-Uwani,NA,0.420192485,0.420192485,0,196,2020,1,0.735,1
Agege,Uzo-Uwani,NA,0.441202109,0.441202109,196,154,2020,2,0.784,1
Agege,Uzo-Uwani,NA,0.445404034,0.445404034,350,212,2021,3,0.8,1
Agege,Uzo-Uwani,NA,0.449605959,0.449605959,562,154,2021,4,0.8,1
Agege,Uzo-Uwani,NA,0.453807884,0.453807884,716,202,2022,5,0.8,1
Agege,Uzo-Uwani,NA,0.458009809,0.458009809,918,159,2022,6,0.8,1
Agege,Uzo-Uwani,NA,0.462211734,0.462211734,1077,219,2023,7,0.8,1
Agege,Uzo-Uwani,NA,0.470615583,0.470615583,1296,136,2023,8,0.8,1
Agege,Uzo-Uwani,NA,0.630288728,0.630288728,1432,218,2024,9,0.49,1
Agege,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,10,0.539,1
Agege,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,11,0.588,1
Agege,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,12,0.637,1
Aguata,Oru West,NA,0.435107986,0.435107986,0,196,2020,1,0.686,1
Aguata,Oru West,NA,0.456863385,0.456863385,196,154,2020,2,0.735,1
Aguata,Oru West,NA,0.461214465,0.461214465,350,212,2021,3,0.784,1
Aguata,Oru West,NA,0.465565545,0.465565545,562,154,2021,4,0.8,1
Aguata,Oru West,NA,0.469916625,0.469916625,716,202,2022,5,0.8,1
Aguata,Oru West,NA,0.474267705,0.474267705,918,159,2022,6,0.8,1
Aguata,Oru West,NA,0.478618785,0.478618785,1077,219,2023,7,0.8,1
Aguata,Oru West,NA,0.487320944,0.487320944,1296,136,2023,8,0.8,1
Aguata,Oru West,NA,0.652661979,0.652661979,1432,218,2024,9,0.8,1
Aguata,Oru West,NA,0.8,0.8,1650,151,2024,10,0.49,1
Aguata,Oru West,NA,0.8,0.8,1801,185,2025,11,0.539,1
Aguata,Oru West,NA,0.8,0.8,1986,183,2025,12,0.588,1
Agwara,Birnin Kebbi,NA,0.42225568,0.42225568,0,196,2020,1,0.637,1
Agwara,Birnin Kebbi,NA,0.443368464,0.443368464,196,154,2020,2,0.686,1
Agwara,Birnin Kebbi,NA,0.447591021,0.447591021,350,212,2021,3,0.735,1
Agwara,Birnin Kebbi,NA,0.451813578,0.451813578,562,154,2021,4,0.784,1
Agwara,Birnin Kebbi,NA,0.456036134,0.456036134,716,202,2022,5,0.8,1
Agwara,Birnin Kebbi,NA,0.460258691,0.460258691,918,159,2022,6,0.8,1
Agwara,Birnin Kebbi,NA,0.464481248,0.464481248,1077,219,2023,7,0.8,1
Agwara,Birnin Kebbi,NA,0.472926362,0.472926362,1296,136,2023,8,0.8,1
Agwara,Birnin Kebbi,NA,0.63338352,0.63338352,1432,218,2024,9,0.8,1
Agwara,Birnin Kebbi,NA,0.8,0.8,1650,151,2024,10,0.8,1
Agwara,Birnin Kebbi,NA,0.8,0.8,1801,185,2025,11,0.49,1
Agwara,Birnin Kebbi,NA,0.8,0.8,1986,183,2025,12,0.539,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.283373403,0.283373403,0,196,2020,1,0.588,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.297542073,0.297542073,196,154,2020,2,0.637,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.300375807,0.300375807,350,212,2021,3,0.686,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.303209541,0.303209541,562,154,2021,4,0.735,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.306043275,0.306043275,716,202,2022,5,0.784,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.308877009,0.308877009,918,159,2022,6,0.8,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.311710743,0.311710743,1077,219,2023,7,0.8,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.317378211,0.317378211,1296,136,2023,8,0.8,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.425060105,0.425060105,1432,218,2024,9,0.8,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.566746806,0.566746806,1650,151,2024,10,0.8,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.708433508,0.708433508,1801,185,2025,11,0.8,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,12,0.49,1
Ahoada East,Ahoada West,NA,0.300663225,0.300663225,0,196,2020,1,0.539,1
Ahoada East,Ahoada West,NA,0.315696386,0.315696386,196,154,2020,2,0.588,1
Ahoada East,Ahoada West,NA,0.318703019,0.318703019,350,212,2021,3,0.637,1
Ahoada East,Ahoada West,NA,0.321709651,0.321709651,562,154,2021,4,0.686,1
Ahoada East,Ahoada West,NA,0.324716283,0.324716283,716,202,2022,5,0.735,1
Ahoada East,Ahoada West,NA,0.327722915,0.327722915,918,159,2022,6,0.784,1
Ahoada East,Ahoada West,NA,0.330729548,0.330729548,1077,219,2023,7,0.8,1
Ahoada East,Ahoada West,NA,0.336742812,0.336742812,1296,136,2023,8,0.8,1
Ahoada East,Ahoada West,NA,0.450994838,0.450994838,1432,218,2024,9,0.8,1
Ahoada East,Ahoada West,NA,0.60132645,0.60132645,1650,151,2024,10,0.8,1
Ahoada East,Ahoada West,NA,0.751658063,0.751658063,1801,185,2025,11,0.8,1
Ahoada East,Ahoada West,NA,0.8,0.8,1986,183,2025,12,0.8,1
Ahoada West,Ahoada West,NA,0.333333333,0.333333333,0,196,2020,1,0.49,1
Ahoada West,Ahoada West,NA,0.35,0.35,196,154,2020,2,0.539,1
Ahoada West,Ahoada West,NA,0.353333333,0.353333333,350,212,2021,3,0.588,1
Ahoada West,Ahoada West,NA,0.356666666,0.356666666,562,154,2021,4,0.637,1
Ahoada West,Ahoada West,NA,0.36,0.36,716,202,2022,5,0.686,1
Ahoada West,Ahoada West,NA,0.363333333,0.363333333,918,159,2022,6,0.735,1
Ahoada West,Ahoada West,NA,0.366666666,0.366666666,1077,219,2023,7,0.784,1
Ahoada West,Ahoada West,NA,0.373333333,0.373333333,1296,136,2023,8,0.8,1
Ahoada West,Ahoada West,NA,0.5,0.5,1432,218,2024,9,0.8,1
Ahoada West,Ahoada West,NA,0.666666666,0.666666666,1650,151,2024,10,0.8,1
Ahoada West,Ahoada West,NA,0.8,0.8,1801,185,2025,11,0.8,1
Ahoada West,Ahoada West,NA,0.8,0.8,1986,183,2025,12,0.8,1
Aiyedade,Akinyele,NA,0.154926235,0.154926235,0,196,2020,1,0.8,1
