,adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
73,Adamawa,Yola South,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
74,Adamawa,Yola South,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
75,Adamawa,Yola South,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
76,Adamawa,Yola South,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
77,Borno,Abadam,SMC,Babura,may,131,2020,1,-1,1,0.6,5
78,Borno,Abadam,SMC,Babura,may,161,2020,2,-1,1,0.6,5
79,Borno,Abadam,SMC,Babura,may,191,2020,3,-1,1,0.6,5
80,Borno,Abadam,SMC,Babura,may,221,2020,4,-1,1,0.6,5
81,Borno,Askira-Uba,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
82,Borno,Askira-Uba,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
83,Borno,Askira-Uba,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
84,Borno,Askira-Uba,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
85,Borno,Bama,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
86,Borno,Bama,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
87,Borno,Bama,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
88,Borno,Bama,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
89,Borno,Bayo,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
90,Borno,Bayo,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
91,Borno,Bayo,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
92,Borno,Bayo,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
93,Borno,Biu,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
94,Borno,Biu,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
95,Borno,Biu,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
96,Borno,Biu,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
97,Borno,Chibok,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
98,Borno,Chibok,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
99,Borno,Chibok,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
100,Borno,Chibok,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
101,Borno,Damboa,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
102,Borno,Damboa,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
103,Borno,Damboa,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
104,Borno,Damboa,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
105,Borno,Dikwa,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
106,Borno,Dikwa,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
107,Borno,Dikwa,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
108,Borno,Dikwa,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
109,Borno,Gubio,SMC,Gawabawa,august,223,2020,1,-1,1,0.6,5
110,Borno,Gubio,SMC,Gawabawa,august,253,2020,2,-1,1,0.6,5
111,Borno,Gubio,SMC,Gawabawa,august,283,2020,3,-1,1,0.6,5
112,Borno,Gubio,SMC,Gawabawa,august,313,2020,4,-1,1,0.6,5
113,Borno,Guzamala,SMC,Babura,may,131,2020,1,-1,1,0.6,5
114,Borno,Guzamala,SMC,Babura,may,161,2020,2,-1,1,0.6,5
115,Borno,Guzamala,SMC,Babura,may,191,2020,3,-1,1,0.6,5
116,Borno,Guzamala,SMC,Babura,may,221,2020,4,-1,1,0.6,5
117,Borno,Gwoza,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
118,Borno,Gwoza,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
119,Borno,Gwoza,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
120,Borno,Gwoza,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
121,Borno,Hawul,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
122,Borno,Hawul,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
123,Borno,Hawul,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
124,Borno,Hawul,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
125,Borno,Jere,SMC,Gawabawa,august,223,2020,1,-1,1,0.6,5
126,Borno,Jere,SMC,Gawabawa,august,253,2020,2,-1,1,0.6,5
127,Borno,Jere,SMC,Gawabawa,august,283,2020,3,-1,1,0.6,5
128,Borno,Jere,SMC,Gawabawa,august,313,2020,4,-1,1,0.6,5
129,Borno,Kaga,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
130,Borno,Kaga,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
131,Borno,Kaga,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
132,Borno,Kaga,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
133,Borno,Kala-Balge,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
134,Borno,Kala-Balge,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
135,Borno,Kala-Balge,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
136,Borno,Kala-Balge,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
137,Borno,Konduga,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
138,Borno,Konduga,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
139,Borno,Konduga,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
140,Borno,Konduga,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
141,Borno,Kukawa,SMC,Babura,may,131,2020,1,-1,1,0.6,5
142,Borno,Kukawa,SMC,Babura,may,161,2020,2,-1,1,0.6,5
143,Borno,Kukawa,SMC,Babura,may,191,2020,3,-1,1,0.6,5
144,Borno,Kukawa,SMC,Babura,may,221,2020,4,-1,1,0.6,5
145,Borno,Kwaya Kusar,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
146,Borno,Kwaya Kusar,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
147,Borno,Kwaya Kusar,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
148,Borno,Kwaya Kusar,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
149,Borno,Mafa,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
150,Borno,Mafa,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
151,Borno,Mafa,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
152,Borno,Mafa,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
153,Borno,Magumeri,SMC,Gawabawa,august,223,2020,1,-1,1,0.6,5
154,Borno,Magumeri,SMC,Gawabawa,august,253,2020,2,-1,1,0.6,5
155,Borno,Magumeri,SMC,Gawabawa,august,283,2020,3,-1,1,0.6,5
156,Borno,Magumeri,SMC,Gawabawa,august,313,2020,4,-1,1,0.6,5
157,Borno,Maiduguri,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
158,Borno,Maiduguri,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
159,Borno,Maiduguri,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
160,Borno,Maiduguri,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
161,Borno,Marte,SMC,Babura,may,131,2020,1,-1,1,0.6,5
162,Borno,Marte,SMC,Babura,may,161,2020,2,-1,1,0.6,5
163,Borno,Marte,SMC,Babura,may,191,2020,3,-1,1,0.6,5
164,Borno,Marte,SMC,Babura,may,221,2020,4,-1,1,0.6,5
165,Borno,Mobbar,SMC,Babura,may,131,2020,1,-1,1,0.6,5
166,Borno,Mobbar,SMC,Babura,may,161,2020,2,-1,1,0.6,5
167,Borno,Mobbar,SMC,Babura,may,191,2020,3,-1,1,0.6,5
168,Borno,Mobbar,SMC,Babura,may,221,2020,4,-1,1,0.6,5
169,Borno,Monguno,SMC,Babura,may,131,2020,1,-1,1,0.6,5
170,Borno,Monguno,SMC,Babura,may,161,2020,2,-1,1,0.6,5
171,Borno,Monguno,SMC,Babura,may,191,2020,3,-1,1,0.6,5
172,Borno,Monguno,SMC,Babura,may,221,2020,4,-1,1,0.6,5
173,Borno,Ngala,SMC,Taura,july,186,2020,1,-1,1,0.6,5
174,Borno,Ngala,SMC,Taura,july,216,2020,2,-1,1,0.6,5
175,Borno,Ngala,SMC,Taura,july,246,2020,3,-1,1,0.6,5
176,Borno,Ngala,SMC,Taura,july,276,2020,4,-1,1,0.6,5
177,Borno,Nganzai,SMC,Gawabawa,august,223,2020,1,-1,1,0.6,5
178,Borno,Nganzai,SMC,Gawabawa,august,253,2020,2,-1,1,0.6,5
179,Borno,Nganzai,SMC,Gawabawa,august,283,2020,3,-1,1,0.6,5
180,Borno,Nganzai,SMC,Gawabawa,august,313,2020,4,-1,1,0.6,5
181,Borno,Shani,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
182,Borno,Shani,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
183,Borno,Shani,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
184,Borno,Shani,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
185,Jigawa,Auyo,SMC,Taura,july,186,2020,1,-1,1,0.6,5
186,Jigawa,Auyo,SMC,Taura,july,216,2020,2,-1,1,0.6,5
187,Jigawa,Auyo,SMC,Taura,july,246,2020,3,-1,1,0.6,5
188,Jigawa,Auyo,SMC,Taura,july,276,2020,4,-1,1,0.6,5
189,Jigawa,Babura,SMC,Babura,may,131,2020,1,-1,1,0.6,5
190,Jigawa,Babura,SMC,Babura,may,161,2020,2,-1,1,0.6,5
191,Jigawa,Babura,SMC,Babura,may,191,2020,3,-1,1,0.6,5
192,Jigawa,Babura,SMC,Babura,may,221,2020,4,-1,1,0.6,5
193,Jigawa,Biriniwa,SMC,Taura,july,186,2020,1,-1,1,0.6,5
194,Jigawa,Biriniwa,SMC,Taura,july,216,2020,2,-1,1,0.6,5
195,Jigawa,Biriniwa,SMC,Taura,july,246,2020,3,-1,1,0.6,5
196,Jigawa,Biriniwa,SMC,Taura,july,276,2020,4,-1,1,0.6,5
197,Jigawa,Birni Kudu,SMC,Takali,september,250,2020,1,-1,1,0.6,5
198,Jigawa,Birni Kudu,SMC,Takali,september,280,2020,2,-1,1,0.6,5
199,Jigawa,Birni Kudu,SMC,Takali,september,310,2020,3,-1,1,0.6,5
200,Jigawa,Birni Kudu,SMC,Takali,september,340,2020,4,-1,1,0.6,5
201,Jigawa,Buji,SMC,Takali,september,250,2020,1,-1,1,0.6,5
202,Jigawa,Buji,SMC,Takali,september,280,2020,2,-1,1,0.6,5
