,LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
42,Guyuk,Alkaleri,2023,Guyuk,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.571995521,0.748844595,0.755853881
43,Hong,Darazo,2020,Hong,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.634881453,0.750094944,0.823212171
44,Hong,Darazo,2023,Hong,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.634881453,0.750094944,0.823212171
45,Lamurde,Alkaleri,2020,Lamurde,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.429924862,0.742682577,0.65
46,Lamurde,Alkaleri,2023,Lamurde,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.429924862,0.742682577,0.65
47,Mayo-Belwa,Alkaleri,2020,Mayo-Belwa,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.615915722,0.74977065,0.805165057
48,Mayo-Belwa,Alkaleri,2023,Mayo-Belwa,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.615915722,0.74977065,0.805165057
49,Numan,Alkaleri,2020,Numan,0.833333333,0.8,0.8,0.8,1,july,186,PBO(2021),0.518273564,0.747251003,0.678387
50,Numan,Alkaleri,2023,Numan,0.833333333,0.8,0.8,0.8,2,july,1281,PBO(2021),0.518273564,0.747251003,0.678387
51,Shelleng,Darazo,2020,Shelleng,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.58914423,0.749238946,0.776450833
52,Shelleng,Darazo,2023,Shelleng,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.58914423,0.749238946,0.776450833
53,Song,Darazo,2020,Song,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.551949619,0.748320258,0.729369132
54,Song,Darazo,2023,Song,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.551949619,0.748320258,0.729369132
55,Yola North,Alkaleri,2020,Yola North,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.581884889,0.749077617,0.767953208
56,Yola North,Alkaleri,2023,Yola North,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.581884889,0.749077617,0.767953208
57,Yola South,Alkaleri,2020,Yola South,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.57254926,0.748858066,0.756547718
58,Yola South,Alkaleri,2023,Yola South,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.57254926,0.748858066,0.756547718
59,Awka North,Uzo-Uwani,2020,Awka North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.388205397,0.739012279,0.65
60,Awka North,Uzo-Uwani,2023,Awka North,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.388205397,0.739012279,0.65
61,Awka South,Uzo-Uwani,2020,Awka South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.431794981,0.74281757,0.65
62,Awka South,Uzo-Uwani,2023,Awka South,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.431794981,0.74281757,0.65
63,Ayamelum,Uzo-Uwani,2020,Ayamelum,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.436497382,0.743147601,0.65
64,Ayamelum,Uzo-Uwani,2023,Ayamelum,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.436497382,0.743147601,0.65
65,Aguata,Oru West,2020,Aguata,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.454034567,0.744268911,0.65
66,Aguata,Oru West,2023,Aguata,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.454034567,0.744268911,0.65
67,Anambra East,Uzo-Uwani,2020,Anambra East,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.375672105,0.737607983,0.65
68,Anambra East,Uzo-Uwani,2023,Anambra East,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.375672105,0.737607983,0.65
69,Anambra West,Uzo-Uwani,2020,Anambra West,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.39176502,0.739382126,0.65
70,Anambra West,Uzo-Uwani,2023,Anambra West,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.39176502,0.739382126,0.65
71,Anaocha,Oru West,2020,Anaocha,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.420247823,0.741948071,0.65
72,Anaocha,Oru West,2023,Anaocha,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.420247823,0.741948071,0.65
73,Dunukofia,Uzo-Uwani,2020,Dunukofia,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.421451191,0.742042811,0.65
74,Dunukofia,Uzo-Uwani,2023,Dunukofia,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.421451191,0.742042811,0.65
75,Ekwusigo,Oru West,2020,Ekwusigo,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.255572543,0.70945305,0.65
76,Ekwusigo,Oru West,2023,Ekwusigo,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.255572543,0.70945305,0.65
77,Idemili North,Uzo-Uwani,2020,Idemili North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.422797782,0.742147653,0.65
78,Idemili North,Uzo-Uwani,2023,Idemili North,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.422797782,0.742147653,0.65
79,Idemili South,Oru West,2020,Idemili South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.377378695,0.737809061,0.65
80,Idemili South,Oru West,2023,Idemili South,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.377378695,0.737809061,0.65
81,Ihiala,Oru West,2020,Ihiala,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.199598953,0.675748907,0.65
82,Ihiala,Oru West,2023,Ihiala,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.199598953,0.675748907,0.65
83,Njikoka,Uzo-Uwani,2020,Njikoka,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.436915256,0.743176293,0.65
84,Njikoka,Uzo-Uwani,2023,Njikoka,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.436915256,0.743176293,0.65
85,Nnewi North,Oru West,2020,Nnewi North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.308642745,0.726310499,0.65
86,Nnewi North,Oru West,2023,Nnewi North,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.308642745,0.726310499,0.65
87,Nnewi South,Oru West,2020,Nnewi South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.303374646,0.725045144,0.65
88,Nnewi South,Oru West,2023,Nnewi South,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.303374646,0.725045144,0.65
89,Ogbaru,Ahoada West,2020,Ogbaru,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.230996863,0.697383872,0.65
90,Ogbaru,Ahoada West,2023,Ogbaru,0.8,0.8,0.8,0.8,2,may,1226,PBO(2021),0.230996863,0.697383872,0.65
91,Onitsha North,Uzo-Uwani,2020,Onitsha North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.382531956,0.738396974,0.65
92,Onitsha North,Uzo-Uwani,2023,Onitsha North,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.382531956,0.738396974,0.65
93,Onitsha South,Uzo-Uwani,2020,Onitsha South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.368656397,0.736746223,0.65
94,Onitsha South,Uzo-Uwani,2023,Onitsha South,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.368656397,0.736746223,0.65
95,Orumba North,Oru West,2020,Orumba North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.403508225,0.74052015,0.65
96,Orumba North,Oru West,2023,Orumba North,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.403508225,0.74052015,0.65
