adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Borno,Abadam,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Borno,Abadam,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Borno,Abadam,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Borno,Abadam,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Borno,Askira-Uba,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Askira-Uba,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Askira-Uba,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Askira-Uba,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Bama,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Bama,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Bama,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Bama,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Bayo,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Borno,Bayo,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Borno,Bayo,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Borno,Bayo,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Borno,Biu,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Biu,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Biu,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Biu,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Chibok,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Chibok,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Chibok,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Chibok,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Damboa,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Damboa,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Damboa,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Damboa,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Dikwa,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Dikwa,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Dikwa,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Dikwa,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Gubio,SMC,Gawabawa,august,579,2021,1,-1,1,0.6,5
Borno,Gubio,SMC,Gawabawa,august,609,2021,2,-1,1,0.6,5
Borno,Gubio,SMC,Gawabawa,august,639,2021,3,-1,1,0.6,5
Borno,Gubio,SMC,Gawabawa,august,669,2021,4,-1,1,0.6,5
Borno,Guzamala,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Borno,Guzamala,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Borno,Guzamala,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Borno,Guzamala,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Borno,Gwoza,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Gwoza,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Gwoza,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Gwoza,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Hawul,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Hawul,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Hawul,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Hawul,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Jere,SMC,Gawabawa,august,579,2021,1,-1,1,0.6,5
Borno,Jere,SMC,Gawabawa,august,609,2021,2,-1,1,0.6,5
Borno,Jere,SMC,Gawabawa,august,639,2021,3,-1,1,0.6,5
Borno,Jere,SMC,Gawabawa,august,669,2021,4,-1,1,0.6,5
Borno,Kaga,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Kaga,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Kaga,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Kaga,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Kala-Balge,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Kala-Balge,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Kala-Balge,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Kala-Balge,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Konduga,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Borno,Konduga,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Borno,Konduga,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Borno,Konduga,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Borno,Kukawa,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Borno,Kukawa,SMC,Babura,may,518,2021,2,-1,1,0.6,5
