LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins1,mortality,kill_rate,block_initial
Aba North,Ngor-Okpala,2020,Aba North,0.405342379,0.505080948,0.376585404,0.3492635,1,june,162,Urban areas,0.319067389,0.393201897,0.53
Aba North,Ngor-Okpala,2023,Aba North,0.405342379,0.505080948,0.376585404,0.3492635,2,june,1257,Urban areas,0.319067389,0.393201897,0.53
Aba South,Ngor-Okpala,2020,Aba South,0.475844458,0.469604047,0.266355327,0.318828298,1,june,162,Urban areas,0.311454386,0.38693958,0.53
Aba South,Ngor-Okpala,2023,Aba South,0.475844458,0.469604047,0.266355327,0.318828298,2,june,1257,Urban areas,0.311454386,0.38693958,0.53
Arochukwu,Ngor-Okpala,2020,Arochukwu,0.450788546,0.359847384,0.263708603,0.358192584,1,june,162,PBO,0.431823298,0.742819598,0.65
Arochukwu,Ngor-Okpala,2023,Arochukwu,0.450788546,0.359847384,0.263708603,0.358192584,2,june,1257,PBO,0.431823298,0.742819598,0.65
Bende,Ngor-Okpala,2020,Bende,0.279956719,0.279390397,0.109374986,0.199556073,1,june,162,PBO,0.451630723,0.744124763,0.65
Bende,Ngor-Okpala,2023,Bende,0.279956719,0.279390397,0.109374986,0.199556073,2,june,1257,PBO,0.451630723,0.744124763,0.65
Ikwuano,Ngor-Okpala,2020,Ikwuano,0.432304525,0.356540708,0.46757925,0.462337161,1,june,162,PBO,0.469780688,0.74514594,0.65
Ikwuano,Ngor-Okpala,2023,Ikwuano,0.432304525,0.356540708,0.46757925,0.462337161,2,june,1257,PBO,0.469780688,0.74514594,0.65
Isiala-Ngwa North,Ngor-Okpala,2020,Isiala-Ngwa North,0.047188671,0.142291994,0.079160046,0.065824255,1,june,162,PBO,0.347639146,0.733784825,0.65
Isiala-Ngwa North,Ngor-Okpala,2023,Isiala-Ngwa North,0.047188671,0.142291994,0.079160046,0.065824255,2,june,1257,PBO,0.347639146,0.733784825,0.65
Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.114802903,0.08456577,0.241236274,0.12967186,1,june,162,PBO,0.381316588,0.738260872,0.65
Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.114802903,0.08456577,0.241236274,0.12967186,2,june,1257,PBO,0.381316588,0.738260872,0.65
Isuikwato,Ngor-Okpala,2020,Isuikwato,0.497672065,0.168582376,0.115550041,0.253274295,1,june,162,PBO,0.414408176,0.741473832,0.65
Isuikwato,Ngor-Okpala,2023,Isuikwato,0.497672065,0.168582376,0.115550041,0.253274295,2,june,1257,PBO,0.414408176,0.741473832,0.65
Obi Nwa,Ngor-Okpala,2020,Obi Nwa,0.33,0.513333334,0.35,0.378125,1,june,162,Urban areas,0.339144556,0.409752288,0.53
Obi Nwa,Ngor-Okpala,2023,Obi Nwa,0.33,0.513333334,0.35,0.378125,2,june,1257,Urban areas,0.339144556,0.409752288,0.53
Ohafia,Ngor-Okpala,2020,Ohafia,0.201297207,0.120733092,0.158275695,0.202736436,1,june,162,PBO,0.433165676,0.742915145,0.65
Ohafia,Ngor-Okpala,2023,Ohafia,0.201297207,0.120733092,0.158275695,0.202736436,2,june,1257,PBO,0.433165676,0.742915145,0.65
Osisioma Ngwa,Ngor-Okpala,2020,Osisioma Ngwa,0.29117647,0.22,0.143478261,0.366666666,1,june,162,Urban areas,0.3223721,0.395923243,0.53
Osisioma Ngwa,Ngor-Okpala,2023,Osisioma Ngwa,0.29117647,0.22,0.143478261,0.366666666,2,june,1257,Urban areas,0.3223721,0.395923243,0.53
Ugwunagbo,Ngor-Okpala,2020,Ugwunagbo,0.157142857,0.157142857,0.305555556,0.084615385,1,june,162,Urban areas,0.311296946,0.386810187,0.53
Ugwunagbo,Ngor-Okpala,2023,Ugwunagbo,0.157142857,0.157142857,0.305555556,0.084615385,2,june,1257,Urban areas,0.311296946,0.386810187,0.53
Ukwa East,Nsit Ubium,2020,Ukwa East,0.239130434,0.061111112,0.044,0.078571428,1,june,162,PBO,0.30363416,0.725109174,0.65
Ukwa East,Nsit Ubium,2023,Ukwa East,0.239130434,0.061111112,0.044,0.078571428,2,june,1257,PBO,0.30363416,0.725109174,0.65
Ukwa West,Nsit Ubium,2020,Ukwa West,0.367911148,0.323612356,0.22282598,0.25060397,1,june,162,PBO,0.294680951,0.722792365,0.65
Ukwa West,Nsit Ubium,2023,Ukwa West,0.367911148,0.323612356,0.22282598,0.25060397,2,june,1257,PBO,0.294680951,0.722792365,0.65
Umu-Neochi,Oru West,2020,Umu-Neochi,0.45631816,0.556326431,0.369617796,0.406246759,1,june,162,PBO,0.436597759,0.743154502,0.65
Umu-Neochi,Oru West,2023,Umu-Neochi,0.45631816,0.556326431,0.369617796,0.406246759,2,june,1257,PBO,0.436597759,0.743154502,0.65
Umuahia North,Ngor-Okpala,2020,Umuahia North,0.146666666,0.293121089,0.22,0.192982456,1,june,162,PBO,0.451576154,0.744121457,0.65
Umuahia North,Ngor-Okpala,2023,Umuahia North,0.146666666,0.293121089,0.22,0.192982456,2,june,1257,PBO,0.451576154,0.744121457,0.65
Umuahia South,Ngor-Okpala,2020,Umuahia South,0.209271035,0.241684038,0.18182381,0.306067056,1,june,162,PBO,0.48752647,0.746009794,0.65
Umuahia South,Ngor-Okpala,2023,Umuahia South,0.209271035,0.241684038,0.18182381,0.306067056,2,june,1257,PBO,0.48752647,0.746009794,0.65
Demsa,Alkaleri,2020,Demsa,0.499039541,0.313245031,0.293728361,0.423478263,1,july,186,PBO,0.495212973,0.74634808,0.65
Demsa,Alkaleri,2023,Demsa,0.499039541,0.313245031,0.293728361,0.423478263,2,july,1281,PBO,0.495212973,0.74634808,0.65
Gireri,Darazo,2020,Gireri,0.477080505,0.276156722,0.461296108,0.455535809,1,july,186,PBO,0.658506137,0.75044815,0.843319415
Gireri,Darazo,2023,Gireri,0.477080505,0.276156722,0.461296108,0.455535809,2,july,1281,PBO,0.658506137,0.75044815,0.843319415
Gombi,Alkaleri,2020,Gombi,0.510711498,0.455334873,0.435157249,0.372720229,1,july,186,PBO,0.515567645,0.747153033,0.673908406
Gombi,Alkaleri,2023,Gombi,0.510711498,0.455334873,0.435157249,0.372720229,2,july,1281,PBO,0.515567645,0.747153033,0.673908406
Guyuk,Alkaleri,2020,Guyuk,0.713986485,0.592001812,0.670021938,0.572178943,1,july,186,PBO,0.571995521,0.748844595,0.755853881
Guyuk,Alkaleri,2023,Guyuk,0.713986485,0.592001812,0.670021938,0.572178943,2,july,1281,PBO,0.571995521,0.748844595,0.755853881
Hong,Darazo,2020,Hong,0.669565217,0.488888888,0.265517241,0.423076924,1,july,186,PBO,0.634881453,0.750094944,0.823212171
Hong,Darazo,2023,Hong,0.669565217,0.488888888,0.265517241,0.423076924,2,july,1281,PBO,0.634881453,0.750094944,0.823212171
Lamurde,Alkaleri,2020,Lamurde,0.35,0.157142857,0.4,0.443548387,1,july,186,PBO,0.429924862,0.742682577,0.65
Lamurde,Alkaleri,2023,Lamurde,0.35,0.157142857,0.4,0.443548387,2,july,1281,PBO,0.429924862,0.742682577,0.65
Mayo-Belwa,Alkaleri,2020,Mayo-Belwa,0.704,0.20625,0.484,0.48245614,1,july,186,PBO,0.615915722,0.74977065,0.805165057
Mayo-Belwa,Alkaleri,2023,Mayo-Belwa,0.704,0.20625,0.484,0.48245614,2,july,1281,PBO,0.615915722,0.74977065,0.805165057
Numan,Alkaleri,2020,Numan,0.916666666,0.48125,0.405263158,0.672222222,1,july,186,PBO,0.518273564,0.747251003,0.678387
Numan,Alkaleri,2023,Numan,0.916666666,0.48125,0.405263158,0.672222222,2,july,1281,PBO,0.518273564,0.747251003,0.678387
Shelleng,Darazo,2020,Shelleng,0.400796772,0.323974334,0.347716974,0.402869488,1,july,186,PBO,0.58914423,0.749238946,0.776450833
Shelleng,Darazo,2023,Shelleng,0.400796772,0.323974334,0.347716974,0.402869488,2,july,1281,PBO,0.58914423,0.749238946,0.776450833
Itu,Ngor-Okpala,2021,Itu,0.334866992,0.293121089,0.241236274,0.022448979,1,june,527,PBO,0.415010863,0.741523913,0.65
Itu,Ngor-Okpala,2024,Itu,0.334866992,0.293121089,0.241236274,0.022448979,2,june,1622,PBO,0.415010863,0.741523913,0.65
Song,Darazo,2020,Song,0.529429137,0.623750002,0.538156771,0.543765995,1,july,186,PBO,0.551949619,0.748320258,0.729369132
Song,Darazo,2023,Song,0.529429137,0.623750002,0.538156771,0.543765995,2,july,1281,PBO,0.551949619,0.748320258,0.729369132
Yola North,Alkaleri,2020,Yola North,0.538017405,0.500267901,0.455707151,0.450329972,1,july,186,PBO,0.581884889,0.749077617,0.767953208
Yola North,Alkaleri,2023,Yola North,0.538017405,0.500267901,0.455707151,0.450329972,2,july,1281,PBO,0.581884889,0.749077617,0.767953208
Yola South,Alkaleri,2020,Yola South,0.576190476,0.4125,0.488888888,0.285185185,1,july,186,PBO,0.57254926,0.748858066,0.756547718
Yola South,Alkaleri,2023,Yola South,0.576190476,0.4125,0.488888888,0.285185185,2,july,1281,PBO,0.57254926,0.748858066,0.756547718
