LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
Umuahia North,Ngor-Okpala,2021,Umuahia North,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.451576154,0.744121457,0.65
Umuahia North,Ngor-Okpala,2024,Umuahia North,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.451576154,0.744121457,0.65
Umuahia South,Ngor-Okpala,2021,Umuahia South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.48752647,0.746009794,0.65
Umuahia South,Ngor-Okpala,2024,Umuahia South,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.48752647,0.746009794,0.65
Demsa,Alkaleri,2021,Demsa,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.495212973,0.74634808,0.65
Demsa,Alkaleri,2024,Demsa,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.495212973,0.74634808,0.65
Gireri,Darazo,2021,Gireri,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.658506137,0.75044815,0.843319415
Gireri,Darazo,2024,Gireri,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.658506137,0.75044815,0.843319415
Gombi,Alkaleri,2021,Gombi,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.515567645,0.747153033,0.673908406
Gombi,Alkaleri,2024,Gombi,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.515567645,0.747153033,0.673908406
Guyuk,Alkaleri,2021,Guyuk,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.571995521,0.748844595,0.755853881
Guyuk,Alkaleri,2024,Guyuk,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.571995521,0.748844595,0.755853881
Hong,Darazo,2021,Hong,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.634881453,0.750094944,0.823212171
Hong,Darazo,2024,Hong,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.634881453,0.750094944,0.823212171
Lamurde,Alkaleri,2021,Lamurde,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.429924862,0.742682577,0.65
Lamurde,Alkaleri,2024,Lamurde,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.429924862,0.742682577,0.65
Mayo-Belwa,Alkaleri,2021,Mayo-Belwa,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.615915722,0.74977065,0.805165057
Mayo-Belwa,Alkaleri,2024,Mayo-Belwa,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.615915722,0.74977065,0.805165057
Numan,Alkaleri,2021,Numan,0.833333333,0.8,0.8,0.8,1,july,551,PBO(2021),0.518273564,0.747251003,0.678387
Numan,Alkaleri,2024,Numan,0.833333333,0.8,0.8,0.8,2,july,1646,PBO(2021),0.518273564,0.747251003,0.678387
Shelleng,Darazo,2021,Shelleng,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.58914423,0.749238946,0.776450833
Shelleng,Darazo,2024,Shelleng,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.58914423,0.749238946,0.776450833
Song,Darazo,2021,Song,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.551949619,0.748320258,0.729369132
Song,Darazo,2024,Song,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.551949619,0.748320258,0.729369132
Yola North,Alkaleri,2021,Yola North,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.581884889,0.749077617,0.767953208
Yola North,Alkaleri,2024,Yola North,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.581884889,0.749077617,0.767953208
Yola South,Alkaleri,2021,Yola South,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.57254926,0.748858066,0.756547718
Yola South,Alkaleri,2024,Yola South,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.57254926,0.748858066,0.756547718
Awka North,Uzo-Uwani,2021,Awka North,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.388205397,0.739012279,0.65
Awka North,Uzo-Uwani,2024,Awka North,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.388205397,0.739012279,0.65
Awka South,Uzo-Uwani,2021,Awka South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.431794981,0.74281757,0.65
Awka South,Uzo-Uwani,2024,Awka South,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.431794981,0.74281757,0.65
Ayamelum,Uzo-Uwani,2021,Ayamelum,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.436497382,0.743147601,0.65
Ayamelum,Uzo-Uwani,2024,Ayamelum,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.436497382,0.743147601,0.65
Aguata,Oru West,2021,Aguata,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.454034567,0.744268911,0.65
Aguata,Oru West,2024,Aguata,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.454034567,0.744268911,0.65
Anambra East,Uzo-Uwani,2021,Anambra East,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.375672105,0.737607983,0.65
Anambra East,Uzo-Uwani,2024,Anambra East,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.375672105,0.737607983,0.65
Anambra West,Uzo-Uwani,2021,Anambra West,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.39176502,0.739382126,0.65
Anambra West,Uzo-Uwani,2024,Anambra West,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.39176502,0.739382126,0.65
Anaocha,Oru West,2021,Anaocha,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.420247823,0.741948071,0.65
Anaocha,Oru West,2024,Anaocha,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.420247823,0.741948071,0.65
Dunukofia,Uzo-Uwani,2021,Dunukofia,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.421451191,0.742042811,0.65
Dunukofia,Uzo-Uwani,2024,Dunukofia,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.421451191,0.742042811,0.65
Ekwusigo,Oru West,2021,Ekwusigo,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.255572543,0.70945305,0.65
Ekwusigo,Oru West,2024,Ekwusigo,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.255572543,0.70945305,0.65
Idemili North,Uzo-Uwani,2021,Idemili North,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.422797782,0.742147653,0.65
Idemili North,Uzo-Uwani,2024,Idemili North,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.422797782,0.742147653,0.65
Idemili South,Oru West,2021,Idemili South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.377378695,0.737809061,0.65
Idemili South,Oru West,2024,Idemili South,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.377378695,0.737809061,0.65
Ihiala,Oru West,2021,Ihiala,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.199598953,0.675748907,0.65
Ihiala,Oru West,2024,Ihiala,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.199598953,0.675748907,0.65
Njikoka,Uzo-Uwani,2021,Njikoka,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.436915256,0.743176293,0.65
Njikoka,Uzo-Uwani,2024,Njikoka,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.436915256,0.743176293,0.65
Nnewi North,Oru West,2021,Nnewi North,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.308642745,0.726310499,0.65
Nnewi North,Oru West,2024,Nnewi North,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.308642745,0.726310499,0.65
Nnewi South,Oru West,2021,Nnewi South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.303374646,0.725045144,0.65
Nnewi South,Oru West,2024,Nnewi South,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.303374646,0.725045144,0.65
Ogbaru,Ahoada West,2021,Ogbaru,0.8,0.8,0.8,0.8,1,may,496,PBO(2021),0.230996863,0.697383872,0.65
Ogbaru,Ahoada West,2024,Ogbaru,0.8,0.8,0.8,0.8,2,may,1591,PBO(2021),0.230996863,0.697383872,0.65
Onitsha North,Uzo-Uwani,2021,Onitsha North,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.382531956,0.738396974,0.65
Onitsha North,Uzo-Uwani,2024,Onitsha North,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.382531956,0.738396974,0.65
Onitsha South,Uzo-Uwani,2021,Onitsha South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.368656397,0.736746223,0.65
Onitsha South,Uzo-Uwani,2024,Onitsha South,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.368656397,0.736746223,0.65
Orumba North,Oru West,2021,Orumba North,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.403508225,0.74052015,0.65
Orumba North,Oru West,2024,Orumba North,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.403508225,0.74052015,0.65
Orumba South,Oru West,2021,Orumba South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.438379079,0.743276001,0.65
Orumba South,Oru West,2024,Orumba South,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.438379079,0.743276001,0.65
Oyi,Uzo-Uwani,2021,Oyi,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.387377598,0.738924512,0.65
Oyi,Uzo-Uwani,2024,Oyi,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.387377598,0.738924512,0.65
Ukum,Keana,2021,Ukum,0.8,0.8,0.8,0.8,1,august,588,Standard 2020,0.383970395,0.446657171,0.53
Ukum,Keana,2024,Ukum,0.8,0.8,0.8,0.8,2,august,1683,Standard 2020,0.383970395,0.446657171,0.53
Kolokuma/Opokuma,Ahoada West,2021,Kolokuma-Opokuma,0.8,0.8,0.8,0.8,1,may,496,PBO(2021),0.224180225,0.693359192,0.65
Kolokuma/Opokuma,Ahoada West,2024,Kolokuma-Opokuma,0.8,0.8,0.8,0.8,2,may,1591,PBO(2021),0.224180225,0.693359192,0.65
Nembe,Ahoada West,2021,Nembe,0.8,0.8,0.8,0.8,1,may,496,PBO(2021),0.273335383,0.716248429,0.65
Nembe,Ahoada West,2024,Nembe,0.8,0.8,0.8,0.8,2,may,1591,PBO(2021),0.273335383,0.716248429,0.65
Ogbia,Ahoada West,2021,Ogbia,0.8,0.8,0.8,0.8,1,may,496,PBO(2021),0.381331283,0.738262526,0.65
Ogbia,Ahoada West,2024,Ogbia,0.8,0.8,0.8,0.8,2,may,1591,PBO(2021),0.381331283,0.738262526,0.65
Sagbama,Ahoada West,2021,Sagbama,0.8,0.8,0.8,0.8,1,may,496,PBO(2021),0.219154854,0.690172734,0.65
Sagbama,Ahoada West,2024,Sagbama,0.8,0.8,0.8,0.8,2,may,1591,PBO(2021),0.219154854,0.690172734,0.65
Yenegoa,Isoko South,2021,Yenegoa,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.260617689,0.711526996,0.65
Yenegoa,Isoko South,2024,Yenegoa,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.260617689,0.711526996,0.65
Ado,Akinyele,2021,Ado,0.8,0.8,0.8,0.8,1,may,496,Standard 2020,0.357778894,0.425122422,0.53
Ado,Akinyele,2024,Ado,0.8,0.8,0.8,0.8,2,may,1591,Standard 2020,0.357778894,0.425122422,0.53
Agatu,Keana,2021,Agatu,0.8,0.833333333,0.8,0.8,1,august,588,Standard 2020,0.440507142,0.492360644,0.53
Agatu,Keana,2024,Agatu,0.8,0.833333333,0.8,0.8,2,august,1683,Standard 2020,0.440507142,0.492360644,0.53
Apa,Keana,2021,Apa,0.842105263,0.8,0.8,0.8,1,august,588,Standard 2020,0.437711079,0.490137805,0.53
Apa,Keana,2024,Apa,0.842105263,0.8,0.8,0.8,2,august,1683,Standard 2020,0.437711079,0.490137805,0.53
Buruku,Keana,2021,Buruku,0.8,0.8,0.8,0.8,1,august,588,Standard 2020,0.37690999,0.440865552,0.53
Buruku,Keana,2024,Buruku,0.8,0.8,0.8,0.8,2,august,1683,Standard 2020,0.37690999,0.440865552,0.53
Gboko,Keana,2021,Gboko,0.8,0.8,0.8,0.8,1,august,588,Standard 2020,0.325574075,0.398561371,0.53
Gboko,Keana,2024,Gboko,0.8,0.8,0.8,0.8,2,august,1683,Standard 2020,0.325574075,0.398561371,0.53
Guma,Keana,2021,Guma,0.8,0.8,0.8,0.8,1,august,588,Standard 2020,0.365014826,0.431083741,0.53
Guma,Keana,2024,Guma,0.8,0.8,0.8,0.8,2,august,1683,Standard 2020,0.365014826,0.431083741,0.53
Gwer East,Oke-Ero,2021,Gwer East,0.888888889,0.916666667,0.8,0.8,1,july,551,Standard 2020,0.369333536,0.43463817,0.53
Gwer East,Oke-Ero,2024,Gwer East,0.888888889,0.916666667,0.8,0.8,2,july,1646,Standard 2020,0.369333536,0.43463817,0.53
Gwer West,Keana,2021,Gwer West,0.8,0.8,0.866666667,0.8,1,august,588,Standard 2020,0.423749809,0.478971197,0.53
Gwer West,Keana,2024,Gwer West,0.8,0.8,0.866666667,0.8,2,august,1683,Standard 2020,0.423749809,0.478971197,0.53
Katsina-Ala,Keana,2021,Katsina-Ala,0.8,0.8,0.8,0.8,1,august,588,Standard 2020,0.338062239,0.408859386,0.53
Katsina-Ala,Keana,2024,Katsina-Ala,0.8,0.8,0.8,0.8,2,august,1683,Standard 2020,0.338062239,0.408859386,0.53
Konshisha,Oke-Ero,2021,Konshisha,0.8,0.8,0.8,0.8,1,july,551,Standard 2020,0.393916167,0.45479219,0.53
Konshisha,Oke-Ero,2024,Konshisha,0.8,0.8,0.8,0.8,2,july,1646,Standard 2020,0.393916167,0.45479219,0.53
Logo,Keana,2021,Logo,0.8,0.8,0.8,0.8,1,august,588,Standard 2020,0.41751013,0.473946946,0.53
Logo,Keana,2024,Logo,0.8,0.8,0.8,0.8,2,august,1683,Standard 2020,0.41751013,0.473946946,0.53
Makurdi,Keana,2021,Makurdi,0.805491132,0.8,0.8,0.8,1,august,588,Standard 2020,0.369068798,0.434420372,0.53
Makurdi,Keana,2024,Makurdi,0.805491132,0.8,0.8,0.8,2,august,1683,Standard 2020,0.369068798,0.434420372,0.53
Obi1,Keana,2021,Obi1,0.8,0.8,0.8,0.8,1,august,588,Standard 2020,0.390472194,0.451978665,0.53
Obi1,Keana,2024,Obi1,0.8,0.8,0.8,0.8,2,august,1683,Standard 2020,0.390472194,0.451978665,0.53
Ogbadibo,Owan East,2021,Ogbadibo,0.8,0.8,0.8,0.8,1,march,496,Standard 2020,0.336392711,0.407482111,0.53
Ogbadibo,Owan East,2024,Ogbadibo,0.8,0.8,0.8,0.8,2,march,1591,Standard 2020,0.336392711,0.407482111,0.53
Ohimini,Akinyele,2021,Ohimini,0.8,0.8,0.8,0.8,1,may,496,Standard 2020,0.349595567,0.418374369,0.53
Ohimini,Akinyele,2024,Ohimini,0.8,0.8,0.8,0.8,2,may,1591,Standard 2020,0.349595567,0.418374369,0.53
Oju,Oke-Ero,2021,Oju,0.8,0.8,0.8,0.8,1,july,551,Standard 2020,0.409720848,0.467648858,0.53
Oju,Oke-Ero,2024,Oju,0.8,0.8,0.8,0.8,2,july,1646,Standard 2020,0.409720848,0.467648858,0.53
Okpokwu,Akinyele,2021,Okpokwu,0.8,0.8,0.8,0.8,1,may,496,Standard 2020,0.347201019,0.416399046,0.53
Okpokwu,Akinyele,2024,Okpokwu,0.8,0.8,0.8,0.8,2,may,1591,Standard 2020,0.347201019,0.416399046,0.53
Oturkpo,Owan East,2021,Oturkpo,0.8,0.8,0.8,0.8,1,march,496,Standard 2020,0.406479871,0.465020433,0.53
Oturkpo,Owan East,2024,Oturkpo,0.8,0.8,0.8,0.8,2,march,1591,Standard 2020,0.406479871,0.465020433,0.53
Tarka,Keana,2021,Tarka,0.88,0.8,0.8,0.8,1,august,588,Standard 2020,0.339520975,0.410062837,0.53
Tarka,Keana,2024,Tarka,0.88,0.8,0.8,0.8,2,august,1683,Standard 2020,0.339520975,0.410062837,0.53
Ushongo,Oke-Ero,2021,Ushongo,0.8,0.8,0.8,0.8,1,july,551,Standard 2020,0.333533837,0.405123965,0.53
Ushongo,Oke-Ero,2024,Ushongo,0.8,0.8,0.8,0.8,2,july,1646,Standard 2020,0.333533837,0.405123965,0.53
Vandeikya,Oke-Ero,2021,Vandeikya,0.8,0.8,0.8,0.8,1,july,551,Standard 2020,0.384252901,0.446888644,0.53
Vandeikya,Oke-Ero,2024,Vandeikya,0.8,0.8,0.8,0.8,2,july,1646,Standard 2020,0.384252901,0.446888644,0.53
Askira/Uba,Darazo,2021,Askira-Uba,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.666450057,0.750555793,0.849537809
Askira/Uba,Darazo,2024,Askira-Uba,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.666450057,0.750555793,0.849537809
Enugu East,Uzo-Uwani,2021,Enugu East,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.392074002,0.73941366,0.65
Enugu East,Uzo-Uwani,2024,Enugu East,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.392074002,0.73941366,0.65
Bayo,Alkaleri,2021,Bayo,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.570036309,0.74879652,0.75338312
Bayo,Alkaleri,2024,Bayo,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.570036309,0.74879652,0.75338312
Biu,Darazo,2021,Biu,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.636944927,0.750127918,0.825069652
Biu,Darazo,2024,Biu,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.636944927,0.750127918,0.825069652
Chibok,Darazo,2021,Chibok,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.652598314,0.750364627,0.838523104
Chibok,Darazo,2024,Chibok,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.652598314,0.750364627,0.838523104
Damboa,Darazo,2021,Damboa,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.695319136,0.750906341,0.870063415
Damboa,Darazo,2024,Damboa,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.695319136,0.750906341,0.870063415
Dikwa,Darazo,2021,Dikwa,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.719398758,0.751156548,0.884947607
Dikwa,Darazo,2024,Dikwa,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.719398758,0.751156548,0.884947607
Gubio,Gawabawa,2021,Gubio,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.814426994,0.751874138,0.92834284
Gubio,Gawabawa,2024,Gubio,0.8,0.8,0.8,0.8,2,august,1683,PBO(2021),0.814426994,0.751874138,0.92834284
Jere,Gawabawa,2021,Jere,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.753750697,0.751459291,0.903166987
Jere,Gawabawa,2024,Jere,0.8,0.8,0.8,0.8,2,august,1683,PBO(2021),0.753750697,0.751459291,0.903166987
Guzamala,Babura,2021,Guzamala,0.8,0.8,0.8,0.8,1,may,496,PBO(2021),0.777569747,0.75163814,0.914006236
Guzamala,Babura,2024,Guzamala,0.8,0.8,0.8,0.8,2,may,1591,PBO(2021),0.777569747,0.75163814,0.914006236
Hawul,Darazo,2021,Hawul,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.628168105,0.749984628,0.81702795
Hawul,Darazo,2024,Hawul,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.628168105,0.749984628,0.81702795
Kwaya Kusar,Alkaleri,2021,Kwaya Kusar,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.597977668,0.749424913,0.786370026
Kwaya Kusar,Alkaleri,2024,Kwaya Kusar,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.597977668,0.749424913,0.786370026
Enugu North,Uzo-Uwani,2021,Enugu North,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.420714903,0.741984962,0.65
Enugu North,Uzo-Uwani,2024,Enugu North,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.420714903,0.741984962,0.65
Kaga,Darazo,2021,Kaga,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.674887541,0.750664577,0.855863415
Kaga,Darazo,2024,Kaga,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.674887541,0.750664577,0.855863415
Mafa,Darazo,2021,Mafa,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.71541858,0.751117543,0.88261584
Mafa,Darazo,2024,Mafa,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.71541858,0.751117543,0.88261584
Konduga,Darazo,2021,Konduga,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.74032898,0.751347835,0.896436989
Konduga,Darazo,2024,Konduga,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.74032898,0.751347835,0.896436989
Bomadi,Isoko South,2022,Bomadi,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.197303754,0.673820546,0.65
Bomadi,Isoko South,2025,Bomadi,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.197303754,0.673820546,0.65
Magumeri,Gawabawa,2021,Magumeri,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.783011005,0.7516759,0.916299033
Magumeri,Gawabawa,2024,Magumeri,0.8,0.8,0.8,0.8,2,august,1683,PBO(2021),0.783011005,0.7516759,0.916299033
Maiduguri,Darazo,2021,Maiduguri,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.77182807,0.751597095,0.911515347
Maiduguri,Darazo,2024,Maiduguri,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.77182807,0.751597095,0.911515347
Shani,Alkaleri,2021,Shani,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.675999756,0.750678509,0.856676439
Shani,Alkaleri,2024,Shani,0.8,0.8,0.8,0.8,2,july,1646,PBO(2021),0.675999756,0.750678509,0.856676439
Marte,Babura,2021,Marte,0.8,0.8,0.8,0.8,1,may,496,PBO(2021),0.719831894,0.751160739,0.88519842
Marte,Babura,2024,Marte,0.8,0.8,0.8,0.8,2,may,1591,PBO(2021),0.719831894,0.751160739,0.88519842
Nganzai,Gawabawa,2021,Nganzai,0.8,0.8,0.8,0.8,1,august,588,PBO(2021),0.772011267,0.751598424,0.91159598
Nganzai,Gawabawa,2024,Nganzai,0.8,0.8,0.8,0.8,2,august,1683,PBO(2021),0.772011267,0.751598424,0.91159598
Enugu South,Uzo-Uwani,2021,Enugu South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.479661177,0.745641892,0.65
Enugu South,Uzo-Uwani,2024,Enugu South,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.479661177,0.745641892,0.65
Ogbomosho North,Akinyele,2021,Ogbomosho North,0.8,0.8,0.8,0.8,1,may,496,Dual Al+PBO 2020,0.277526963,0.717660075,0.65
