LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
Aba North,Ngor-Okpala,2021,Aba North,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.319067389,0.728614023,0.65
Aba North,Ngor-Okpala,2024,Aba North,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.319067389,0.728614023,0.65
Aba South,Ngor-Okpala,2021,Aba South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.311454386,0.726957127,0.65
Aba South,Ngor-Okpala,2024,Aba South,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.311454386,0.726957127,0.65
Arochukwu,Ngor-Okpala,2021,Arochukwu,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.431823298,0.742819598,0.65
Arochukwu,Ngor-Okpala,2024,Arochukwu,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.431823298,0.742819598,0.65
Bende,Ngor-Okpala,2021,Bende,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.451630723,0.744124763,0.65
Bende,Ngor-Okpala,2024,Bende,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.451630723,0.744124763,0.65
Ikwuano,Ngor-Okpala,2021,Ikwuano,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.469780688,0.74514594,0.65
Ikwuano,Ngor-Okpala,2024,Ikwuano,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.469780688,0.74514594,0.65
Isiala-Ngwa North,Ngor-Okpala,2021,Isiala-Ngwa North,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.347639146,0.733784825,0.65
Isiala-Ngwa North,Ngor-Okpala,2024,Isiala-Ngwa North,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.347639146,0.733784825,0.65
Isiala-Ngwa South,Ngor-Okpala,2021,Isiala-Ngwa South,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.381316588,0.738260872,0.65
Isiala-Ngwa South,Ngor-Okpala,2024,Isiala-Ngwa South,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.381316588,0.738260872,0.65
Isuikwato,Ngor-Okpala,2021,Isuikwato,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.414408176,0.741473832,0.65
Isuikwato,Ngor-Okpala,2024,Isuikwato,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.414408176,0.741473832,0.65
Obi Nwa,Ngor-Okpala,2021,Obi Nwa,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.339144556,0.732401702,0.65
Obi Nwa,Ngor-Okpala,2024,Obi Nwa,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.339144556,0.732401702,0.65
Ohafia,Ngor-Okpala,2021,Ohafia,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.433165676,0.742915145,0.65
Ohafia,Ngor-Okpala,2024,Ohafia,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.433165676,0.742915145,0.65
Osisioma Ngwa,Ngor-Okpala,2021,Osisioma Ngwa,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.3223721,0.7292929,0.65
Osisioma Ngwa,Ngor-Okpala,2024,Osisioma Ngwa,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.3223721,0.7292929,0.65
Ugwunagbo,Ngor-Okpala,2021,Ugwunagbo,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.311296946,0.726921429,0.65
Ugwunagbo,Ngor-Okpala,2024,Ugwunagbo,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.311296946,0.726921429,0.65
Ukwa East,Nsit Ubium,2021,Ukwa East,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.30363416,0.725109174,0.65
Ukwa East,Nsit Ubium,2024,Ukwa East,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.30363416,0.725109174,0.65
Ukwa West,Nsit Ubium,2021,Ukwa West,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.294680951,0.722792365,0.65
Ukwa West,Nsit Ubium,2024,Ukwa West,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.294680951,0.722792365,0.65
Umu-Neochi,Oru West,2021,Umu-Neochi,0.8,0.8,0.8,0.8,1,june,527,PBO(2021),0.436597759,0.743154502,0.65
Umu-Neochi,Oru West,2024,Umu-Neochi,0.8,0.8,0.8,0.8,2,june,1622,PBO(2021),0.436597759,0.743154502,0.65
