LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year
Akko,Alkaleri,0.189675782,0.189675782,0.637,0,-1,2018
Akoko North East,Oke-Ero,0.385494162,0.385494162,0.637,0,-1,2018
Akoko North West,Oke-Ero,0.671901513,0.671901513,0.637,0,-1,2018
Akoko South East,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Akoko South West,Oke-Ero,0.433333333,0.433333333,0.637,0,-1,2018
Akoko-Edo,Owan East,0.563899045,0.563899045,0.637,0,-1,2018
Akpabuyo,Nsit Ubium,0.387046089,0.387046089,0.637,0,-1,2018
Akuku Toru,Ahoada West,0.52,0.52,0.637,0,-1,2018
Akure North,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Akure South,Owan East,0.65,0.65,0.637,0,-1,2018
Akwanga,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Albasu,Takali,0.8,0.8,0.637,0,-1,2018
Aleiro,Birnin Kebbi,0.548932384,0.548932384,0.637,0,-1,2018
Alimosho,Uzo-Uwani,0.357433809,0.357433809,0.637,0,-1,2018
Alkaleri,Alkaleri,0.28875281,0.28875281,0.637,0,-1,2018
Amuwo-Odofin,Isoko South,0.158075112,0.158075112,0.637,0,-1,2018
Anambra East,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Anambra West,Uzo-Uwani,0.8,0.8,0.637,0,-1,2018
Anaocha,Oru West,0.716042818,0.716042818,0.637,0,-1,2018
Andoni,Nsit Ubium,0.216571558,0.216571558,0.637,0,-1,2018
Aninri,Oru West,0.673350187,0.673350187,0.637,0,-1,2018
Aniocha North,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Aniocha South,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Anka,Darazo,0.10615386,0.10615386,0.637,0,-1,2018
Ankpa,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Apa,Keana,0.230343377,0.230343377,0.637,0,-1,2018
Apapa,Isoko South,0.158075112,0.158075112,0.637,0,-1,2018
Ardo-Kola,Keana,0.325,0.325,0.637,0,-1,2018
Arewa-Dandi,Birnin Kebbi,0.8,0.8,0.637,0,-1,2018
Argungu,Birnin Kebbi,0.769275034,0.769275034,0.637,0,-1,2018
Arochukwu,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Asa,Oke-Ero,0.433333333,0.433333333,0.637,0,-1,2018
Asari-Toru,Ahoada West,0.575765727,0.575765727,0.637,0,-1,2018
Askira-Uba,Darazo,0.148682399,0.148682399,0.637,0,-1,2018
Atakumosa East,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Atakumosa West,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Atiba,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Atigbo,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Augie,Birnin Kebbi,0.699999999,0.699999999,0.637,0,-1,2018
Auyo,Taura,0.8,0.8,0.637,0,-1,2018
Awe,Keana,0.230343377,0.230343377,0.637,0,-1,2018
Awgu,Oru West,0.534400656,0.534400656,0.637,0,-1,2018
Awka North,Uzo-Uwani,0.8,0.8,0.637,0,-1,2018
Awka South,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Ayamelum,Uzo-Uwani,0.8,0.8,0.637,0,-1,2018
Babura,Babura,0.644727656,0.644727656,0.637,0,-1,2018
Badagry,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Bade,Taura,0.061904762,0.061904762,0.637,0,-1,2018
Bagudo,Birnin Kebbi,0.448859935,0.448859935,0.637,0,-1,2018
Bagwai,Babura,0.26,0.26,0.637,0,-1,2018
Bakassi,Obubra,0.533126737,0.533126737,0.637,0,-1,2018
Bakori,Gwarzo,0.223824311,0.223824311,0.637,0,-1,2018
Bakura,Darazo,0.148682399,0.148682399,0.637,0,-1,2018
