LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year
Apapa,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Ardo-Kola,Keana,NA,0.3,0.3,0.588,0,-1,2018
Arewa-Dandi,Birnin Kebbi,NA,0.8,0.8,0.588,0,-1,2018
Argungu,Birnin Kebbi,NA,0.710100031,0.710100031,0.588,0,-1,2018
Arochukwu,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Asa,Oke-Ero,NA,0.4,0.4,0.588,0,-1,2018
Asari-Toru,Ahoada West,NA,0.531476056,0.531476056,0.588,0,-1,2018
Askira-Uba,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Atakumosa East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Atakumosa West,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Atiba,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Atigbo,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Augie,Birnin Kebbi,NA,0.646153846,0.646153846,0.588,0,-1,2018
Auyo,Taura,NA,0.8,0.8,0.588,0,-1,2018
Awe,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Awgu,Oru West,NA,0.493292914,0.493292914,0.588,0,-1,2018
Awka North,Uzo-Uwani,NA,0.8,0.8,0.588,0,-1,2018
Awka South,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Ayamelum,Uzo-Uwani,NA,0.8,0.8,0.588,0,-1,2018
Babura,Babura,NA,0.595133221,0.595133221,0.588,0,-1,2018
Badagry,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Bade,Taura,NA,0.057142858,0.057142858,0.588,0,-1,2018
Bagudo,Birnin Kebbi,NA,0.414332248,0.414332248,0.588,0,-1,2018
Bagwai,Babura,NA,0.24,0.24,0.588,0,-1,2018
Bakassi,Obubra,NA,0.492116988,0.492116988,0.588,0,-1,2018
Bakori,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Bakura,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Balanga,Alkaleri,NA,0.256998416,0.256998416,0.588,0,-1,2018
Bali,Keana,NA,0.394727724,0.394727724,0.588,0,-1,2018
Bama,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Barikin Ladi,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Baruten,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Bassa1,Keana,NA,0.24,0.24,0.588,0,-1,2018
Bassa2,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Batagarawa,Rimi,NA,0.447692311,0.447692311,0.588,0,-1,2018
Batsari,Rimi,NA,0.4,0.4,0.588,0,-1,2018
Bauchi,Alkaleri,NA,0.03249299,0.03249299,0.588,0,-1,2018
Baure,Babura,NA,0.428571428,0.428571428,0.588,0,-1,2018
Bayo,Alkaleri,NA,0.6,0.6,0.588,0,-1,2018
Bebeji,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Bekwara,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Bende,Ngor-Okpala,NA,0.211110965,0.211110965,0.588,0,-1,2018
Biase,Ngor-Okpala,NA,0.705633973,0.705633973,0.588,0,-1,2018
Bichi,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Bida,Oke-Ero,NA,0.6,0.6,0.588,0,-1,2018
Billiri,Alkaleri,NA,0.4,0.4,0.588,0,-1,2018
Bindawa,Rimi,NA,0.12,0.12,0.588,0,-1,2018
Binji,Gawabawa,NA,0.3,0.3,0.588,0,-1,2018
Biriniwa,Taura,NA,0.2,0.2,0.588,0,-1,2018
Birni Kudu,Takali,NA,0.2687797,0.2687797,0.588,0,-1,2018
Birnin Kebbi,Birnin Kebbi,NA,0.687527647,0.687527647,0.588,0,-1,2018
Birnin Magaji,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Birnin-Gwari,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018
Biu,Darazo,NA,0.6,0.6,0.588,0,-1,2018
Bodinga,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018
Bogoro,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Boki,Obubra,NA,0.3,0.3,0.588,0,-1,2018
Bokkos,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018
Boluwaduro,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Bomadi,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Bonny,Nsit Ubium,NA,0.715856683,0.715856683,0.588,0,-1,2018
Borgu,Oke-Ero,NA,0.342857143,0.342857143,0.588,0,-1,2018
Boripe,Akinyele,NA,0.4,0.4,0.588,0,-1,2018
Bosso,Keana,NA,0.259270412,0.259270412,0.588,0,-1,2018
Brass,Ahoada West,NA,0.617359936,0.617359936,0.588,0,-1,2018
Buji,Takali,NA,0.214505999,0.214505999,0.588,0,-1,2018
Bukkuyum,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Bungudu,Takali,NA,0.356666872,0.356666872,0.588,0,-1,2018
Bunkure,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Bunza,Birnin Kebbi,NA,0.506706816,0.506706816,0.588,0,-1,2018
Bursari,Taura,NA,0.15,0.15,0.588,0,-1,2018
Buruku,Keana,NA,0.240000046,0.240000046,0.588,0,-1,2018
Burutu,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Bwari,Giwa,NA,0.185122732,0.185122732,0.588,0,-1,2018
Calabar South,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018
Calabar-Municipal,Nsit Ubium,NA,0.359687611,0.359687611,0.588,0,-1,2018
Chanchaga,Keana,NA,0.466758617,0.466758617,0.588,0,-1,2018
Charanchi,Rimi,NA,0.12631579,0.12631579,0.588,0,-1,2018
Chibok,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Chikun,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Dala,Alkaleri,NA,0.850046207,0.850046207,0.588,0,-1,2018
Damaturu,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Damban,Darazo,NA,0.4,0.4,0.588,0,-1,2018
Dambatta,Babura,NA,0.4,0.4,0.588,0,-1,2018
Damboa,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Dan Musa,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Dandi,Birnin Kebbi,NA,0.418926516,0.418926516,0.588,0,-1,2018
Dandume,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018
Dange-Shnsi,Gawabawa,NA,0.15,0.15,0.588,0,-1,2018
Danja,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018
Darazo,Darazo,NA,0.193383134,0.193383134,0.588,0,-1,2018
Dass,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Daura,Babura,NA,0.242676529,0.242676529,0.588,0,-1,2018
Dawakin Kudu,Gwarzo,NA,0.327272728,0.327272728,0.588,0,-1,2018
Dawakin Tofa,Taura,NA,0.218181818,0.218181818,0.588,0,-1,2018
Degema,Ahoada West,NA,0.3,0.3,0.588,0,-1,2018
Dekina,Owan East,NA,0.228357316,0.228357316,0.588,0,-1,2018
Demsa,Alkaleri,NA,0.8,0.8,0.588,0,-1,2018
Dikwa,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Doguwa,Giwa,NA,0.15652174,0.15652174,0.588,0,-1,2018
Doma,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Donga,Keana,NA,0.341903528,0.341903528,0.588,0,-1,2018
Dukku,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Dunukofia,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Dutse,Takali,NA,0.178185647,0.178185647,0.588,0,-1,2018
Dutsi,Rimi,NA,0.276923077,0.276923077,0.588,0,-1,2018
Dutsin-Ma,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018
Eastern Obolo,Nsit Ubium,NA,0.72,0.72,0.588,0,-1,2018
Ebonyi,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Edati,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ede North,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ede South,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Edu,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Efon-Alayee,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Egbado North,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Egbado South,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Egbeda,Akinyele,NA,0.128780171,0.128780171,0.588,0,-1,2018
Egbedore,Akinyele,NA,0.650246316,0.650246316,0.588,0,-1,2018
Egor,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Ehime-Mbano,Ngor-Okpala,NA,0.709649383,0.709649383,0.588,0,-1,2018
Ejigbo,Akinyele,NA,0.259088707,0.259088707,0.588,0,-1,2018
Ekeremor,Ahoada West,NA,0.247114109,0.247114109,0.588,0,-1,2018
Eket,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018
Ekiti,Oke-Ero,NA,0.8,0.8,0.588,0,-1,2018
Ekiti East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ekiti South West,Oke-Ero,NA,0.555000068,0.555000068,0.588,0,-1,2018
Ekiti West,Oke-Ero,NA,0.194656322,0.194656322,0.588,0,-1,2018
Ekwusigo,Oru West,NA,0.8,0.8,0.588,0,-1,2018
Eleme,Ahoada West,NA,0.182032216,0.182032216,0.588,0,-1,2018
Emohua,Ahoada West,NA,0.2,0.2,0.588,0,-1,2018
Emure,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Enugu East,Uzo-Uwani,NA,0.8,0.8,0.588,0,-1,2018
Enugu North,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Enugu South,Uzo-Uwani,NA,0.61787221,0.61787221,0.588,0,-1,2018
Epe,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Esan Central,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Esan North East,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Esan South East,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Esan West,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Ese-Odo,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Esit Eket,Nsit Ubium,NA,0.085714285,0.085714285,0.588,0,-1,2018
Essien Udim,Ngor-Okpala,NA,0.263138039,0.263138039,0.588,0,-1,2018
Etche,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Ethiope East,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Ethiope West,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Etim Ekpo,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018
Etinan,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Eti-Osa,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018
Etsako Central,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Etsako East,Owan East,NA,0.093545089,0.093545089,0.588,0,-1,2018
Etsako West,Owan East,NA,0.096421903,0.096421903,0.588,0,-1,2018
Etung,Obubra,NA,0.24,0.24,0.588,0,-1,2018
Ewekoro,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Ezeagu,Uzo-Uwani,NA,0.521497813,0.521497813,0.588,0,-1,2018
Ezinihitte,Ngor-Okpala,NA,0.466750022,0.466750022,0.588,0,-1,2018
Ezza North,Owan East,NA,0.228571428,0.228571428,0.588,0,-1,2018
Ezza South,Obubra,NA,0.574615147,0.574615147,0.588,0,-1,2018
Fagge,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Fakai,Birnin Kebbi,NA,0.8,0.8,0.588,0,-1,2018
Faskari,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018
Fika,Darazo,NA,0.114285714,0.114285714,0.588,0,-1,2018
Fufore,Alkaleri,NA,0.167136137,0.167136137,0.588,0,-1,2018
Funakaye,Alkaleri,NA,0.054545454,0.054545454,0.588,0,-1,2018
Fune,Darazo,NA,0.037846716,0.037846716,0.588,0,-1,2018
Funtua,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Gabasawa,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018
Gada,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018
Gagarawa,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018
Gamawa,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Ganaye,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Ganjuwa,Darazo,NA,0.122191484,0.122191484,0.588,0,-1,2018
Garki,Babura,NA,0.8,0.8,0.588,0,-1,2018
Garko,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018
Garum Mallam,Gwarzo,NA,0.184615385,0.184615385,0.588,0,-1,2018
Gashaka,Oru West,NA,0.493292914,0.493292914,0.588,0,-1,2018
Gassol,Keana,NA,0.103363734,0.103363734,0.588,0,-1,2018
Gawabawa,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018
Gaya,Gwarzo,NA,0.2,0.2,0.588,0,-1,2018
Gbako,Oke-Ero,NA,0.553846154,0.553846154,0.588,0,-1,2018
Gboko,Keana,NA,0.168337598,0.168337598,0.588,0,-1,2018
Gboyin,Obubra,NA,0.526203115,0.526203115,0.588,0,-1,2018
Geidam,Babura,NA,0.419132831,0.419132831,0.588,0,-1,2018
Gezawa,Gwarzo,NA,0.3,0.3,0.588,0,-1,2018
Giade,Darazo,NA,0.171428572,0.171428572,0.588,0,-1,2018
Gireri,Darazo,NA,0.097190545,0.097190545,0.588,0,-1,2018
Giwa,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018
Gokana,Nsit Ubium,NA,0.218533861,0.218533861,0.588,0,-1,2018
Gombe,Alkaleri,NA,0.139403466,0.139403466,0.588,0,-1,2018
Gombi,Alkaleri,NA,0.250602323,0.250602323,0.588,0,-1,2018
Goronyo,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018
Gubio,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018
Gudu,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018
Gujba,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Gulani,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018
Guma,Keana,NA,0.378556742,0.378556742,0.588,0,-1,2018
Gumel,Babura,NA,0.3,0.3,0.588,0,-1,2018
Gummi,Birnin Kebbi,NA,0.506706816,0.506706816,0.588,0,-1,2018
Gurara,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Guri,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018
Gusau,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Guyuk,Alkaleri,NA,0.57684763,0.57684763,0.588,0,-1,2018
Guzamala,Babura,NA,0.419132831,0.419132831,0.588,0,-1,2018
Gwagwalada,Keana,NA,0.081145564,0.081145564,0.588,0,-1,2018
Gwale,Alkaleri,NA,0.551361204,0.551361204,0.588,0,-1,2018
Gwandu,Birnin Kebbi,NA,0.635294118,0.635294118,0.588,0,-1,2018
Gwaram,Takali,NA,0.268198478,0.268198478,0.588,0,-1,2018
Gwarzo,Gwarzo,NA,0.48,0.48,0.588,0,-1,2018
Gwer East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Gwer West,Keana,NA,0.4,0.4,0.588,0,-1,2018
Gwiwa,Babura,NA,0.4,0.4,0.588,0,-1,2018
Gwoza,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Hadejia,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018
Hawul,Darazo,NA,0.265846154,0.265846154,0.588,0,-1,2018
Hong,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018
Ibadan North,Owan East,NA,0.298850609,0.298850609,0.588,0,-1,2018
Ibadan North East,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ibadan North West,Owan East,NA,0.141287383,0.141287383,0.588,0,-1,2018
Ibadan South East,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ibadan South West,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ibaji,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Ibarapa Central,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ibarapa East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ibarapa North,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ibeju-Lekki,Uzo-Uwani,NA,0.6,0.6,0.588,0,-1,2018
Ibeno,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018
Ibesikpo Asutan,Nsit Ubium,NA,0.280851059,0.280851059,0.588,0,-1,2018
Ibi,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018
Ibiono Ibom,Ngor-Okpala,NA,0.170802916,0.170802916,0.588,0,-1,2018
Idah,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Idanre,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ideato North,Oru West,NA,0.8,0.8,0.588,0,-1,2018
Ideato South,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Idemili North,Uzo-Uwani,NA,0.746616578,0.746616578,0.588,0,-1,2018
Idemili South,Oru West,NA,0.36720445,0.36720445,0.588,0,-1,2018
Ido,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Idosi-Osi,Oke-Ero,NA,0.105620653,0.105620653,0.588,0,-1,2018
Ifako-Ijaye,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Ife Central,Akinyele,NA,0.635293991,0.635293991,0.588,0,-1,2018
Ife East,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ife North,Akinyele,NA,0.6,0.6,0.588,0,-1,2018
Ife South,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ifedayo,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ifedore,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ifelodun1,Oke-Ero,NA,0.167722822,0.167722822,0.588,0,-1,2018
Ifelodun2,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ifo,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Igabi,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Igalamela-Odolu,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Igbo-Etiti,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Igbo-Eze North,Uzo-Uwani,NA,0.102454367,0.102454367,0.588,0,-1,2018
Igbo-Eze South,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Igueben,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Ihiala,Oru West,NA,0.347999969,0.347999969,0.588,0,-1,2018
Ihitte-Uboma,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Ijebu East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ijebu North,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ijebu North East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ijebu ode,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ijero,Oke-Ero,NA,0.237445834,0.237445834,0.588,0,-1,2018
Ijumu,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ika,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Ika North East,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Ika South,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Ikara,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018
Ikeduru,Ngor-Okpala,NA,0.223071148,0.223071148,0.588,0,-1,2018
Ikeja,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
Ikenne,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ikere,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ikole,Oke-Ero,NA,0.031594048,0.031594048,0.588,0,-1,2018
Ikom,Obubra,NA,0.492116988,0.492116988,0.588,0,-1,2018
Ikono,Ngor-Okpala,NA,0.6,0.6,0.588,0,-1,2018
Ikorodu,Uzo-Uwani,NA,0.191408953,0.191408953,0.588,0,-1,2018
Ikot Abasi,Nsit Ubium,NA,0.6,0.6,0.588,0,-1,2018
Ikot Ekpene,Ngor-Okpala,NA,0.195972773,0.195972773,0.588,0,-1,2018
Ikpoba-Okha,Uzo-Uwani,NA,0.205357168,0.205357168,0.588,0,-1,2018
Ikwerre,Oru West,NA,0.383385148,0.383385148,0.588,0,-1,2018
Ikwo,Obubra,NA,0.568441703,0.568441703,0.588,0,-1,2018
Ikwuano,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Ila,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ilaje,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018
Ilemeji,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Ile-Oluji-Okeigbo,Oke-Ero,NA,0.533333333,0.533333333,0.588,0,-1,2018
Ilesha East,Owan East,NA,0.6,0.6,0.588,0,-1,2018
Ilesha West,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018
Illela,Gawabawa,NA,0.0281821,0.0281821,0.588,0,-1,2018
Ilorin East,Oke-Ero,NA,0.466718107,0.466718107,0.588,0,-1,2018
Ilorin South,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ilorin West,Owan East,NA,0.403199951,0.403199951,0.588,0,-1,2018
Imeko-Afon,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018
Ingawa,Rimi,NA,0.066666667,0.066666667,0.588,0,-1,2018
Ini,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018
Ipokia,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018
