LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year
Aba North,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Aba South,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Abadam,Babura,0.384205095,0.384205095,0.539,0,-1,2018
Abaji,Keana,0.270743927,0.270743927,0.539,0,-1,2018
Abak,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018
Abakaliki,Owan East,0.388023766,0.388023766,0.539,0,-1,2018
Abeokuta North,Owan East,0.568121164,0.568121164,0.539,0,-1,2018
Abeokuta South,Uzo-Uwani,0.8,0.8,0.539,0,-1,2018
Abi,Obubra,0.159677422,0.159677422,0.539,0,-1,2018
Aboh-Mbaise,Ngor-Okpala,0.4125,0.4125,0.539,0,-1,2018
Abua-Odual,Ahoada West,0.114956509,0.114956509,0.539,0,-1,2018
Abuja Municipal,Keana,0.052936132,0.052936132,0.539,0,-1,2018
Adavi,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Ado,Akinyele,0.188425942,0.188425942,0.539,0,-1,2018
Ado Ekiti,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Ado-Odo-Ota,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Afijio,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Afikpo North,Oru West,0.863945585,0.863945585,0.539,0,-1,2018
Afikpo South,Ngor-Okpala,0.518046976,0.518046976,0.539,0,-1,2018
Agaie,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Agatu,Keana,0.194905934,0.194905934,0.539,0,-1,2018
Agege,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Aguata,Oru West,0.478618785,0.478618785,0.539,0,-1,2018
Agwara,Birnin Kebbi,0.464481248,0.464481248,0.539,0,-1,2018
Ahiazu-Mbaise,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Ahoada East,Ahoada West,0.330729548,0.330729548,0.539,0,-1,2018
Ahoada West,Ahoada West,0.366666666,0.366666666,0.539,0,-1,2018
Aiyedade,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Aiyedire,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Ajaokuta,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Ajeromi-Ifelodun,Uzo-Uwani,0.767197444,0.767197444,0.539,0,-1,2018
Ajingi,Taura,0.192420845,0.192420845,0.539,0,-1,2018
Akamkpa,Ngor-Okpala,0.210526358,0.210526358,0.539,0,-1,2018
Akinyele,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Akko,Alkaleri,0.160494893,0.160494893,0.539,0,-1,2018
Akoko North East,Oke-Ero,0.326187368,0.326187368,0.539,0,-1,2018
Akoko North West,Oke-Ero,0.56853205,0.56853205,0.539,0,-1,2018
Akoko South East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Akoko South West,Oke-Ero,0.366666666,0.366666666,0.539,0,-1,2018
Akoko-Edo,Owan East,0.477145346,0.477145346,0.539,0,-1,2018
Akpabuyo,Nsit Ubium,0.327500537,0.327500537,0.539,0,-1,2018
Akuku Toru,Ahoada West,0.44,0.44,0.539,0,-1,2018
Akure North,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Akure South,Owan East,0.55,0.55,0.539,0,-1,2018
Akwanga,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Albasu,Takali,0.733333334,0.733333334,0.539,0,-1,2018
Aleiro,Birnin Kebbi,0.464481248,0.464481248,0.539,0,-1,2018
Alimosho,Uzo-Uwani,0.302443992,0.302443992,0.539,0,-1,2018
Alkaleri,Alkaleri,0.244329301,0.244329301,0.539,0,-1,2018
Amuwo-Odofin,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018
Anambra East,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Anambra West,Uzo-Uwani,0.733667282,0.733667282,0.539,0,-1,2018
Anaocha,Oru West,0.605882385,0.605882385,0.539,0,-1,2018
Andoni,Nsit Ubium,0.183252857,0.183252857,0.539,0,-1,2018
Aninri,Oru West,0.56975785,0.56975785,0.539,0,-1,2018
Aniocha North,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Aniocha South,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Anka,Darazo,0.089822497,0.089822497,0.539,0,-1,2018
Ankpa,Owan East,0.306837057,0.306837057,0.539,0,-1,2018
Apa,Keana,0.194905934,0.194905934,0.539,0,-1,2018
Apapa,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018
Ardo-Kola,Keana,0.275,0.275,0.539,0,-1,2018
Arewa-Dandi,Birnin Kebbi,0.733333334,0.733333334,0.539,0,-1,2018
Argungu,Birnin Kebbi,0.650925029,0.650925029,0.539,0,-1,2018
Arochukwu,Ngor-Okpala,0.311710743,0.311710743,0.539,0,-1,2018
Asa,Oke-Ero,0.366666666,0.366666666,0.539,0,-1,2018
Asari-Toru,Ahoada West,0.487186384,0.487186384,0.539,0,-1,2018
Askira-Uba,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
Atakumosa East,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Atakumosa West,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Atiba,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018
Atigbo,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018
Augie,Birnin Kebbi,0.592307692,0.592307692,0.539,0,-1,2018
Auyo,Taura,0.8,0.8,0.539,0,-1,2018
Awe,Keana,0.194905934,0.194905934,0.539,0,-1,2018
Awgu,Oru West,0.452185171,0.452185171,0.539,0,-1,2018
Awka North,Uzo-Uwani,0.733333334,0.733333334,0.539,0,-1,2018
Awka South,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Ayamelum,Uzo-Uwani,0.8,0.8,0.539,0,-1,2018
Babura,Babura,0.545538786,0.545538786,0.539,0,-1,2018
Badagry,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018
Bade,Taura,0.052380953,0.052380953,0.539,0,-1,2018
Bagudo,Birnin Kebbi,0.37980456,0.37980456,0.539,0,-1,2018
Bagwai,Babura,0.22,0.22,0.539,0,-1,2018
Bakassi,Obubra,0.451107239,0.451107239,0.539,0,-1,2018
Bakori,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018
Bakura,Darazo,0.125808184,0.125808184,0.539,0,-1,2018
