LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins1,mortality,kill_rate,block_initial
Aba North,Ngor-Okpala,2020,Aba North,0.479040994,0.596913847,0.445055477,0.412765955,1,june,162,Urban areas,0.319067389,0.393201897,0.53
Aba North,Ngor-Okpala,2023,Aba North,0.479040994,0.596913847,0.445055477,0.412765955,2,june,1257,Urban areas,0.319067389,0.393201897,0.53
Aba South,Ngor-Okpala,2020,Aba South,0.562361632,0.554986601,0.314783568,0.376797079,1,june,162,Urban areas,0.311454386,0.38693958,0.53
Aba South,Ngor-Okpala,2023,Aba South,0.562361632,0.554986601,0.314783568,0.376797079,2,june,1257,Urban areas,0.311454386,0.38693958,0.53
Arochukwu,Ngor-Okpala,2020,Arochukwu,0.5327501,0.425274181,0.311655622,0.423318509,1,june,162,PBO,0.431823298,0.742819598,0.65
Arochukwu,Ngor-Okpala,2023,Arochukwu,0.5327501,0.425274181,0.311655622,0.423318509,2,june,1257,PBO,0.431823298,0.742819598,0.65
Bende,Ngor-Okpala,2020,Bende,0.33085794,0.330188651,0.129261347,0.235838996,1,june,162,PBO,0.451630723,0.744124763,0.65
Bende,Ngor-Okpala,2023,Bende,0.33085794,0.330188651,0.129261347,0.235838996,2,june,1257,PBO,0.451630723,0.744124763,0.65
Ikwuano,Ngor-Okpala,2020,Ikwuano,0.510905348,0.421366291,0.552593659,0.546398463,1,june,162,PBO,0.469780688,0.74514594,0.65
Ikwuano,Ngor-Okpala,2023,Ikwuano,0.510905348,0.421366291,0.552593659,0.546398463,2,june,1257,PBO,0.469780688,0.74514594,0.65
Isiala-Ngwa North,Ngor-Okpala,2020,Isiala-Ngwa North,0.05576843,0.168163265,0.093552781,0.077792302,1,june,162,PBO,0.347639146,0.733784825,0.65
Isiala-Ngwa North,Ngor-Okpala,2023,Isiala-Ngwa North,0.05576843,0.168163265,0.093552781,0.077792302,2,june,1257,PBO,0.347639146,0.733784825,0.65
Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.135676158,0.099941365,0.285097415,0.153248562,1,june,162,PBO,0.381316588,0.738260872,0.65
Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.135676158,0.099941365,0.285097415,0.153248562,2,june,1257,PBO,0.381316588,0.738260872,0.65
Isuikwato,Ngor-Okpala,2020,Isuikwato,0.588157895,0.199233717,0.13655914,0.299324167,1,june,162,PBO,0.414408176,0.741473832,0.65
Isuikwato,Ngor-Okpala,2023,Isuikwato,0.588157895,0.199233717,0.13655914,0.299324167,2,june,1257,PBO,0.414408176,0.741473832,0.65
Obi Nwa,Ngor-Okpala,2020,Obi Nwa,0.39,0.606666667,0.413636363,0.446875,1,june,162,Urban areas,0.339144556,0.409752288,0.53
Obi Nwa,Ngor-Okpala,2023,Obi Nwa,0.39,0.606666667,0.413636363,0.446875,2,june,1257,Urban areas,0.339144556,0.409752288,0.53
Ohafia,Ngor-Okpala,2020,Ohafia,0.237896699,0.142684563,0.187053094,0.239597606,1,june,162,PBO,0.433165676,0.742915145,0.65
Ohafia,Ngor-Okpala,2023,Ohafia,0.237896699,0.142684563,0.187053094,0.239597606,2,june,1257,PBO,0.433165676,0.742915145,0.65
Osisioma Ngwa,Ngor-Okpala,2020,Osisioma Ngwa,0.344117647,0.26,0.169565218,0.433333333,1,june,162,Urban areas,0.3223721,0.395923243,0.53
Osisioma Ngwa,Ngor-Okpala,2023,Osisioma Ngwa,0.344117647,0.26,0.169565218,0.433333333,2,june,1257,Urban areas,0.3223721,0.395923243,0.53
Ugwunagbo,Ngor-Okpala,2020,Ugwunagbo,0.185714286,0.185714286,0.361111111,0.1,1,june,162,Urban areas,0.311296946,0.386810187,0.53
Ugwunagbo,Ngor-Okpala,2023,Ugwunagbo,0.185714286,0.185714286,0.361111111,0.1,2,june,1257,Urban areas,0.311296946,0.386810187,0.53
Ukwa East,Nsit Ubium,2020,Ukwa East,0.282608695,0.072222223,0.052,0.092857142,1,june,162,PBO,0.30363416,0.725109174,0.65
Ukwa East,Nsit Ubium,2023,Ukwa East,0.282608695,0.072222223,0.052,0.092857142,2,june,1257,PBO,0.30363416,0.725109174,0.65
Ukwa West,Nsit Ubium,2020,Ukwa West,0.434804084,0.382450966,0.263339795,0.296168328,1,june,162,PBO,0.294680951,0.722792365,0.65
Ukwa West,Nsit Ubium,2023,Ukwa West,0.434804084,0.382450966,0.263339795,0.296168328,2,june,1257,PBO,0.294680951,0.722792365,0.65
Umu-Neochi,Oru West,2020,Umu-Neochi,0.539285098,0.657476691,0.436821031,0.480109806,1,june,162,PBO,0.436597759,0.743154502,0.65
Umu-Neochi,Oru West,2023,Umu-Neochi,0.539285098,0.657476691,0.436821031,0.480109806,2,june,1257,PBO,0.436597759,0.743154502,0.65
Umuahia North,Ngor-Okpala,2020,Umuahia North,0.173333333,0.346415832,0.26,0.228070175,1,june,162,PBO,0.451576154,0.744121457,0.65
Umuahia North,Ngor-Okpala,2023,Umuahia North,0.173333333,0.346415832,0.26,0.228070175,2,june,1257,PBO,0.451576154,0.744121457,0.65
Umuahia South,Ngor-Okpala,2020,Umuahia South,0.247320314,0.285626591,0.214882685,0.361715611,1,june,162,PBO,0.48752647,0.746009794,0.65
Umuahia South,Ngor-Okpala,2023,Umuahia South,0.247320314,0.285626591,0.214882685,0.361715611,2,june,1257,PBO,0.48752647,0.746009794,0.65
Demsa,Alkaleri,2020,Demsa,0.589774003,0.370198673,0.347133518,0.500474311,1,july,186,PBO,0.495212973,0.74634808,0.65
Demsa,Alkaleri,2023,Demsa,0.589774003,0.370198673,0.347133518,0.500474311,2,july,1281,PBO,0.495212973,0.74634808,0.65
Gireri,Darazo,2020,Gireri,0.563822415,0.326367035,0.545168127,0.538360502,1,july,186,PBO,0.658506137,0.75044815,0.843319415
Gireri,Darazo,2023,Gireri,0.563822415,0.326367035,0.545168127,0.538360502,2,july,1281,PBO,0.658506137,0.75044815,0.843319415
Gombi,Alkaleri,2020,Gombi,0.603568134,0.538123032,0.514276749,0.440487544,1,july,186,PBO,0.515567645,0.747153033,0.673908406
Gombi,Alkaleri,2023,Gombi,0.603568134,0.538123032,0.514276749,0.440487544,2,july,1281,PBO,0.515567645,0.747153033,0.673908406
Guyuk,Alkaleri,2020,Guyuk,0.84380221,0.699638505,0.791844109,0.676211478,1,july,186,PBO,0.571995521,0.748844595,0.755853881
Guyuk,Alkaleri,2023,Guyuk,0.84380221,0.699638505,0.791844109,0.676211478,2,july,1281,PBO,0.571995521,0.748844595,0.755853881
Hong,Darazo,2020,Hong,0.791304348,0.577777777,0.313793103,0.500000001,1,july,186,PBO,0.634881453,0.750094944,0.823212171
