LGA,State,year,round,duration,coverage_high_access,coverage_low_access,max_age,month_new,simday
Bakura,Zamfara,2020,2,-1,1,0.927487352,5,8,214
Bakura,Zamfara,2020,3,-1,1,0.937605396,5,9,242
Bakura,Zamfara,2020,4,-1,1,0.268128162,5,10,270
Bakura,Zamfara,2021,1,-1,1,0.854974705,5,7,550
Bakura,Zamfara,2021,2,-1,1,0.927487352,5,8,578
Bakura,Zamfara,2021,3,-1,1,0.937605396,5,9,606
Bakura,Zamfara,2021,4,-1,1,0.268128162,5,10,634
Bakura,Zamfara,2022,1,-1,1,0.854974705,5,7,915
Bakura,Zamfara,2022,2,-1,1,0.927487352,5,8,943
Bakura,Zamfara,2022,3,-1,1,0.937605396,5,9,971
Bakura,Zamfara,2022,4,-1,1,0.268128162,5,10,999
Bakura,Zamfara,2023,1,-1,1,0.854974705,5,7,1286
Bakura,Zamfara,2023,2,-1,1,0.927487352,5,8,1314
Bakura,Zamfara,2023,3,-1,1,0.937605396,5,9,1342
Bakura,Zamfara,2023,4,-1,1,0.268128162,5,10,1370
Bakura,Zamfara,2024,1,-1,1,0.854974705,5,7,1646
Bakura,Zamfara,2024,2,-1,1,0.927487352,5,8,1674
Bakura,Zamfara,2024,3,-1,1,0.937605396,5,9,1702
Bakura,Zamfara,2024,4,-1,1,0.268128162,5,10,1730
Bakura,Zamfara,2025,1,-1,1,0.854974705,5,7,2014
Bakura,Zamfara,2025,2,-1,1,0.927487352,5,8,2042
Bakura,Zamfara,2025,3,-1,1,0.937605396,5,9,2070
Bakura,Zamfara,2025,4,-1,1,0.268128162,5,10,2098
Bama,Borno,2020,2,-1,0.6,0.2,5,9,251
Bama,Borno,2020,3,-1,0.6,0.2,5,10,279
Bama,Borno,2020,4,-1,0.6,0.2,5,11,307
Bama,Borno,2020,1,-1,0.6,0.2,5,8,223
Bama,Borno,2021,1,-1,0.6,0.2,5,8,488
Bama,Borno,2021,2,-1,0.6,0.2,5,9,516
Bama,Borno,2021,3,-1,0.6,0.2,5,10,544
Bama,Borno,2021,4,-1,0.6,0.2,5,11,572
Bama,Borno,2022,1,-1,0.6,0.2,5,8,950
Bama,Borno,2022,2,-1,0.6,0.2,5,9,978
Bama,Borno,2022,3,-1,0.6,0.2,5,10,1006
Bama,Borno,2022,4,-1,0.6,0.2,5,11,1034
Bama,Borno,2023,1,-1,0.6,0.2,5,8,1314
Bama,Borno,2023,2,-1,0.6,0.2,5,9,1342
Bama,Borno,2023,3,-1,0.6,0.2,5,10,1370
Bama,Borno,2023,4,-1,0.6,0.2,5,11,1398
Bama,Borno,2024,1,-1,0.6,0.2,5,8,1678
Bama,Borno,2024,2,-1,0.6,0.2,5,9,1706
Bama,Borno,2024,3,-1,0.6,0.2,5,10,1734
Bama,Borno,2024,4,-1,0.6,0.2,5,11,1762
Bama,Borno,2025,1,-1,0.6,0.2,5,8,2049
Bama,Borno,2025,2,-1,0.6,0.2,5,9,2077
Bama,Borno,2025,3,-1,0.6,0.2,5,10,2105
Bama,Borno,2025,4,-1,0.6,0.2,5,11,2133
Baure,Katsina,2020,1,-1,1,0.975975976,5,7,186
Baure,Katsina,2020,2,-1,1,0.977477477,5,8,214
Baure,Katsina,2020,3,-1,1,0.951951952,5,9,242
Baure,Katsina,2020,4,-1,1,0.363363363,5,10,270
Baure,Katsina,2021,1,-1,1,0.975975976,5,7,550
Baure,Katsina,2021,2,-1,1,0.977477477,5,8,578
Baure,Katsina,2021,3,-1,1,0.951951952,5,9,606
Baure,Katsina,2021,4,-1,1,0.363363363,5,10,634
Baure,Katsina,2022,1,-1,1,0.975975976,5,7,915
Baure,Katsina,2022,2,-1,1,0.977477477,5,8,943
Baure,Katsina,2022,3,-1,1,0.951951952,5,9,971
Baure,Katsina,2022,4,-1,1,0.363363363,5,10,999
Baure,Katsina,2023,1,-1,1,0.975975976,5,7,1286
Baure,Katsina,2023,2,-1,1,0.977477477,5,8,1314
Baure,Katsina,2023,3,-1,1,0.951951952,5,9,1342
Baure,Katsina,2023,4,-1,1,0.363363363,5,10,1370
Baure,Katsina,2024,1,-1,1,0.975975976,5,7,1646
Baure,Katsina,2024,2,-1,1,0.977477477,5,8,1674
Baure,Katsina,2024,3,-1,1,0.951951952,5,9,1702
Baure,Katsina,2024,4,-1,1,0.363363363,5,10,1730
Baure,Katsina,2025,1,-1,1,0.975975976,5,7,2014
Baure,Katsina,2025,2,-1,1,0.977477477,5,8,2042
Baure,Katsina,2025,3,-1,1,0.951951952,5,9,2070
Baure,Katsina,2025,4,-1,1,0.363363363,5,10,2098
Binji,Sokoto,2020,1,-1,1,0.969736842,5,7,186
Binji,Sokoto,2020,2,-1,1,0.994736842,5,8,214
Binji,Sokoto,2020,3,-1,1,0.992105263,5,9,242
Binji,Sokoto,2020,4,-1,1,0.45,5,10,270
Binji,Sokoto,2021,1,-1,1,0.969736842,5,7,550
Binji,Sokoto,2021,2,-1,1,0.994736842,5,8,578
Binji,Sokoto,2021,3,-1,1,0.992105263,5,9,606
Binji,Sokoto,2021,4,-1,1,0.45,5,10,634
Binji,Sokoto,2022,1,-1,1,0.969736842,5,7,915
Binji,Sokoto,2022,2,-1,1,0.994736842,5,8,943
Binji,Sokoto,2022,3,-1,1,0.992105263,5,9,971
Binji,Sokoto,2022,4,-1,1,0.45,5,10,999
Binji,Sokoto,2023,1,-1,1,0.969736842,5,7,1286
Binji,Sokoto,2023,2,-1,1,0.994736842,5,8,1314
