"","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"38","Gireri","Darazo",2023,"Gireri",0.563822415,0.326367035,0.545168127,0.538360502,2,"july","PBO",0.658506137,0.75044815,0.843319415,1281
"39","Gombi","Alkaleri",2020,"Gombi",0.603568134,0.538123032,0.514276749,0.440487544,1,"july","PBO",0.515567645,0.747153033,0.673908406,186
"40","Gombi","Alkaleri",2023,"Gombi",0.603568134,0.538123032,0.514276749,0.440487544,2,"july","PBO",0.515567645,0.747153033,0.673908406,1281
"41","Guyuk","Alkaleri",2020,"Guyuk",0.8,0.699638505,0.791844109,0.676211478,1,"july","PBO",0.571995521,0.748844595,0.755853881,186
"42","Guyuk","Alkaleri",2023,"Guyuk",0.8,0.699638505,0.791844109,0.676211478,2,"july","PBO",0.571995521,0.748844595,0.755853881,1281
"43","Hong","Darazo",2020,"Hong",0.791304348,0.577777777,0.313793103,0.500000001,1,"july","PBO",0.634881453,0.750094944,0.823212171,186
"44","Hong","Darazo",2023,"Hong",0.791304348,0.577777777,0.313793103,0.500000001,2,"july","PBO",0.634881453,0.750094944,0.823212171,1281
"45","Lamurde","Alkaleri",2020,"Lamurde",0.413636363,0.185714286,0.472727273,0.524193548,1,"july","PBO",0.429924862,0.742682577,0.65,186
"46","Lamurde","Alkaleri",2023,"Lamurde",0.413636363,0.185714286,0.472727273,0.524193548,2,"july","PBO",0.429924862,0.742682577,0.65,1281
"47","Mayo-Belwa","Alkaleri",2020,"Mayo-Belwa",0.8,0.24375,0.572,0.570175438,1,"july","PBO",0.615915722,0.74977065,0.805165057,186
"48","Mayo-Belwa","Alkaleri",2023,"Mayo-Belwa",0.8,0.24375,0.572,0.570175438,2,"july","PBO",0.615915722,0.74977065,0.805165057,1281
"49","Numan","Alkaleri",2020,"Numan",0.833333333,0.56875,0.478947369,0.794444444,1,"july","PBO",0.518273564,0.747251003,0.678387,186
