"","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"375","Ezza South","Obubra",2020,"Ezza South",0.8,0.8,0.8,0.8,1,"june","PBO",0.389807073,0.739180199,0.65,162
"376","Ezza South","Obubra",2023,"Ezza South",0.8,0.8,0.8,0.8,2,"june","PBO",0.389807073,0.739180199,0.65,1257
"377","Ikwo","Obubra",2020,"Ikwo",0.8,0.8,0.783759933,0.8,1,"june","PBO",0.39899006,0.740096634,0.65,162
"378","Ikwo","Obubra",2023,"Ikwo",0.8,0.8,0.783759933,0.8,2,"june","PBO",0.39899006,0.740096634,0.65,1257
"379","Ishielu","Owan East",2020,"Ishielu",0.8,0.8,0.647389662,0.76612382,1,"march","PBO",0.402215764,0.740400762,0.65,70
"380","Ishielu","Owan East",2023,"Ishielu",0.8,0.8,0.647389662,0.76612382,2,"march","PBO",0.402215764,0.740400762,0.65,1165
"381","Ivo","Ngor-Okpala",2020,"Ivo",0.395751899,0.346415832,0.285097415,0.346984182,1,"june","PBO",0.433913174,0.742967876,0.65,162
"382","Ivo","Ngor-Okpala",2023,"Ivo",0.395751899,0.346415832,0.285097415,0.346984182,2,"june","PBO",0.433913174,0.742967876,0.65,1257
"383","Izzi","Owan East",2020,"Izzi",0.716661137,0.698398251,0.577441693,0.67160783,1,"march","PBO",0.409695434,0.741072853,0.65,70
"384","Izzi","Owan East",2023,"Izzi",0.716661137,0.698398251,0.577441693,0.67160783,2,"march","PBO",0.409695434,0.741072853,0.65,1165
"385","Ohaukwu","Owan East",2020,"Ohaukwu",0.4875,0.65,0.629032258,0.580357142,1,"march","PBO",0.40041459,0.740232039,0.65,70
"386","Ohaukwu","Owan East",2023,"Ohaukwu",0.4875,0.65,0.629032258,0.580357142,2,"march","PBO",0.40041459,0.740232039,0.65,1165
"387","Onicha","Obubra",2020,"Onicha",0.8,0.8,0.742068587,0.8,1,"june","PBO",0.407479271,0.740878397,0.65,162
"388","Onicha","Obubra",2023,"Onicha",0.8,0.8,0.742068587,0.8,2,"june","PBO",0.407479271,0.740878397,0.65,1257
"389","Akoko-Edo","Owan East",2020,"Akoko-Edo",0.525011525,0.302012888,0.512840364,0.649126188,1,"march","PBO",0.304845225,0.725405618,0.65,70
"390","Akoko-Edo","Owan East",2023,"Akoko-Edo",0.525011525,0.302012888,0.512840364,0.649126188,2,"march","PBO",0.304845225,0.725405618,0.65,1165
"391","Egor","Uzo-Uwani",2020,"Egor",0.259022527,0.216666667,0.280730931,0.203267214,1,"june","Urban areas",0.42209808,0.477643111,0.53,162
"392","Egor","Uzo-Uwani",2023,"Egor",0.259022527,0.216666667,0.280730931,0.203267214,2,"june","Urban areas",0.42209808,0.477643111,0.53,1257
"393","Esan North East","Uzo-Uwani",2020,"Esan North East",0.346666667,0.39,0.3,0.295454545,1,"june","PBO",0.339061878,0.732387649,0.65,162
"394","Esan North East","Uzo-Uwani",2023,"Esan North East",0.346666667,0.39,0.3,0.295454545,2,"june","PBO",0.339061878,0.732387649,0.65,1257
"395","Esan Central","Owan East",2020,"Esan Central",0.722222223,0.8,0.305882353,0.36491228,1,"march","PBO",0.34342137,0.733112828,0.65,70
"396","Esan Central","Owan East",2023,"Esan Central",0.722222223,0.8,0.305882353,0.36491228,2,"march","PBO",0.34342137,0.733112828,0.65,1165
"397","Esan South East","Uzo-Uwani",2020,"Esan South East",0.545013199,0.387649473,0.414405835,0.536967651,1,"june","PBO",0.404971726,0.740653669,0.65,162
"398","Esan South East","Uzo-Uwani",2023,"Esan South East",0.545013199,0.387649473,0.414405835,0.536967651,2,"june","PBO",0.404971726,0.740653669,0.65,1257
"399","Esan West","Uzo-Uwani",2020,"Esan West",0.433333333,0.52,0.78,0.316216216,1,"june","PBO",0.366421113,0.736459279,0.65,162
"400","Esan West","Uzo-Uwani",2023,"Esan West",0.433333333,0.52,0.78,0.316216216,2,"june","PBO",0.366421113,0.736459279,0.65,1257
"401","Etsako Central","Owan East",2020,"Etsako Central",0.325,0.173333333,0.508695652,0.208928572,1,"march","PBO",0.300181787,0.724242459,0.65,70
"402","Etsako Central","Owan East",2023,"Etsako Central",0.325,0.173333333,0.508695652,0.208928572,2,"march","PBO",0.300181787,0.724242459,0.65,1165
"403","Etsako East","Owan East",2020,"Etsako East",0.289709346,0.045605598,0.106942139,0.285125084,1,"march","PBO",0.314825995,0.727707424,0.65,70
"404","Etsako East","Owan East",2023,"Etsako East",0.289709346,0.045605598,0.106942139,0.285125084,2,"march","PBO",0.314825995,0.727707424,0.65,1165
"405","Etsako West","Owan East",2020,"Etsako West",0.20384159,0.061658702,0.051871674,0.119335202,1,"march","PBO",0.290127246,0.721523913,0.65,70
"406","Etsako West","Owan East",2023,"Etsako West",0.20384159,0.061658702,0.051871674,0.119335202,2,"march","PBO",0.290127246,0.721523913,0.65,1165
"407","Igueben","Uzo-Uwani",2020,"Igueben",0.320092867,0.20248086,0.41467077,0.406520858,1,"june","PBO",0.415233246,0.741542325,0.65,162
"408","Igueben","Uzo-Uwani",2023,"Igueben",0.320092867,0.20248086,0.41467077,0.406520858,2,"june","PBO",0.415233246,0.741542325,0.65,1257
"409","Ikpoba-Okha","Uzo-Uwani",2020,"Ikpoba-Okha",0.416850685,0.412184235,0.632593547,0.531769494,1,"june","Urban areas",0.323305427,0.396692086,0.53,162
"410","Ikpoba-Okha","Uzo-Uwani",2023,"Ikpoba-Okha",0.416850685,0.412184235,0.632593547,0.531769494,2,"june","Urban areas",0.323305427,0.396692086,0.53,1257
"411","Aninri","Oru West",2020,"Aninri",0.540614036,0.653480459,0.235951136,0.493375433,1,"june","PBO",0.430439768,0.742719962,0.65,162
"412","Aninri","Oru West",2023,"Aninri",0.540614036,0.653480459,0.235951136,0.493375433,2,"june","PBO",0.430439768,0.742719962,0.65,1257
"413","Oredo","Uzo-Uwani",2020,"Oredo",0.531189823,0.421475933,0.297526805,0.414029591,1,"june","Urban areas",0.382076571,0.445104909,0.53,162
"414","Oredo","Uzo-Uwani",2023,"Oredo",0.531189823,0.421475933,0.297526805,0.414029591,2,"june","Urban areas",0.382076571,0.445104909,0.53,1257
"415","Orhionmwon","Uzo-Uwani",2020,"Orhionmwon",0.327318433,0.385276691,0.358093311,0.314645579,1,"june","PBO",0.335936711,0.731847739,0.65,162
"416","Orhionmwon","Uzo-Uwani",2023,"Orhionmwon",0.327318433,0.385276691,0.358093311,0.314645579,2,"june","PBO",0.335936711,0.731847739,0.65,1257
"417","Ovia North East","Owan East",2020,"Ovia North East",0.472727273,0.39,0.216666667,0.4875,1,"march","PBO",0.337624396,0.732141435,0.65,70
"418","Ovia North East","Owan East",2023,"Ovia North East",0.472727273,0.39,0.216666667,0.4875,2,"march","PBO",0.337624396,0.732141435,0.65,1165
"419","Ovia South West","Akinyele",2020,"Ovia South West",0.8,0.500000016,0.67096779,0.674462338,1,"may","PBO",0.363545715,0.736080953,0.65,131
"420","Ovia South West","Akinyele",2023,"Ovia South West",0.8,0.500000016,0.67096779,0.674462338,2,"may","PBO",0.363545715,0.736080953,0.65,1226
"421","Owan East","Owan East",2020,"Owan East",0.481481481,0.325,0.325,0.48372093,1,"march","PBO",0.315089802,0.727765005,0.65,70
"422","Owan East","Owan East",2023,"Owan East",0.481481481,0.325,0.325,0.48372093,2,"march","PBO",0.315089802,0.727765005,0.65,1165
"423","Owan West","Owan East",2020,"Owan West",0.197524137,0.180547864,0.27821374,0.503882439,1,"march","PBO",0.389346565,0.739132174,0.65,70
"424","Owan West","Owan East",2023,"Owan West",0.197524137,0.180547864,0.27821374,0.503882439,2,"march","PBO",0.389346565,0.739132174,0.65,1165
"425","Uhunmwonde","Owan East",2020,"Uhunmwonde",0.292427543,0.210684218,0.218220915,0.368883464,1,"march","PBO",0.3888156,0.739076547,0.65,70
"426","Uhunmwonde","Owan East",2023,"Uhunmwonde",0.292427543,0.210684218,0.218220915,0.368883464,2,"march","PBO",0.3888156,0.739076547,0.65,1165
"427","Ado Ekiti","Owan East",2020,"Ado Ekiti",0.399951237,0.346830513,0.392111382,0.326717256,1,"march","PBO",0.357399296,0.735235955,0.65,70
"428","Ado Ekiti","Owan East",2023,"Ado Ekiti",0.399951237,0.346830513,0.392111382,0.326717256,2,"march","PBO",0.357399296,0.735235955,0.65,1165
"429","Efon-Alayee","Oke-Ero",2020,"Efon-Alayee",0.272093024,0.4875,0.216666667,0.293137255,1,"july","PBO",0.32342441,0.729504192,0.65,186
"430","Efon-Alayee","Oke-Ero",2023,"Efon-Alayee",0.272093024,0.4875,0.216666667,0.293137255,2,"july","PBO",0.32342441,0.729504192,0.65,1281
"431","Ekiti East","Oke-Ero",2020,"Ekiti East",0.325,0.389258964,0.1625,0.245283019,1,"july","PBO",0.342294717,0.73292846,0.65,186
"432","Ekiti East","Oke-Ero",2023,"Ekiti East",0.325,0.389258964,0.1625,0.245283019,2,"july","PBO",0.342294717,0.73292846,0.65,1281
"433","Ekiti South West","Oke-Ero",2020,"Ekiti South West",0.353158832,0.346103887,0.352571801,0.332505763,1,"july","PBO",0.434979733,0.743042533,0.65,186
"434","Ekiti South West","Oke-Ero",2023,"Ekiti South West",0.353158832,0.346103887,0.352571801,0.332505763,2,"july","PBO",0.434979733,0.743042533,0.65,1281
"435","Awgu","Oru West",2020,"Awgu",0.108333333,0.123809524,0.139285714,0.11097561,1,"june","PBO",0.428474781,0.742576398,0.65,162
"436","Awgu","Oru West",2023,"Awgu",0.108333333,0.123809524,0.139285714,0.11097561,2,"june","PBO",0.428474781,0.742576398,0.65,1257
"437","Ekiti West","Oke-Ero",2020,"Ekiti West",0.239490594,0.277980123,0.270233649,0.325314856,1,"july","PBO",0.332828195,0.731293374,0.65,186
"438","Ekiti West","Oke-Ero",2023,"Ekiti West",0.239490594,0.277980123,0.270233649,0.325314856,2,"july","PBO",0.332828195,0.731293374,0.65,1281
"439","Emure","Oke-Ero",2020,"Emure",0.464285714,0.2,0.118181818,0.281666667,1,"july","PBO",0.372039671,0.737169001,0.65,186
"440","Emure","Oke-Ero",2023,"Emure",0.464285714,0.2,0.118181818,0.281666667,2,"july","PBO",0.372039671,0.737169001,0.65,1281
"441","Gboyin","Obubra",2020,"Gboyin",0.415785877,0.17101749,0.245446499,0.309502749,1,"june","PBO",0.286540024,0.7204787,0.65,162
"442","Gboyin","Obubra",2023,"Gboyin",0.415785877,0.17101749,0.245446499,0.309502749,2,"june","PBO",0.286540024,0.7204787,0.65,1257
"443","Idosi-Osi","Oke-Ero",2020,"Idosi-Osi",0.260564533,0.261759495,0.199631835,0.204121072,1,"july","PBO",0.302701283,0.724878164,0.65,186
"444","Idosi-Osi","Oke-Ero",2023,"Idosi-Osi",0.260564533,0.261759495,0.199631835,0.204121072,2,"july","PBO",0.302701283,0.724878164,0.65,1281
"445","Ijero","Oke-Ero",2020,"Ijero",0.457464584,0.518839742,0.280168728,0.273235786,1,"july","PBO",0.264220599,0.712935452,0.65,186
"446","Ijero","Oke-Ero",2023,"Ijero",0.457464584,0.518839742,0.280168728,0.273235786,2,"july","PBO",0.264220599,0.712935452,0.65,1281
"447","Ikere","Owan East",2020,"Ikere",0.65,0.216666667,0.39,0.375555556,1,"march","PBO",0.456857423,0.744434569,0.65,70
"448","Ikere","Owan East",2023,"Ikere",0.65,0.216666667,0.39,0.375555556,2,"march","PBO",0.456857423,0.744434569,0.65,1165
"449","Ikole","Oke-Ero",2020,"Ikole",0.277094229,0.298182871,0.246015587,0.291503668,1,"july","PBO",0.320812672,0.72897548,0.65,186
"450","Ikole","Oke-Ero",2023,"Ikole",0.277094229,0.298182871,0.246015587,0.291503668,2,"july","PBO",0.320812672,0.72897548,0.65,1281
"451","Ilemeji","Oke-Ero",2020,"Ilemeji",0.8,0.742857142,0.52,0.312,1,"july","PBO",0.308389127,0.726251209,0.65,186
"452","Ilemeji","Oke-Ero",2023,"Ilemeji",0.8,0.742857142,0.52,0.312,2,"july","PBO",0.308389127,0.726251209,0.65,1281
"453","Irepodun/Ifelodun","Oke-Ero",2020,"Irepodun-Ifelodun",0.236363637,0.389258964,0.338493542,0.205263158,1,"july","PBO",0.314066122,0.727540664,0.65,186
"454","Irepodun/Ifelodun","Oke-Ero",2023,"Irepodun-Ifelodun",0.236363637,0.389258964,0.338493542,0.205263158,2,"july","PBO",0.314066122,0.727540664,0.65,1281
"455","Ise/Orun","Oke-Ero",2020,"Ise-Orun",0.222378909,0.205962518,0.284470586,0.346285085,1,"july","PBO",0.409896538,0.74109031,0.65,186
"456","Ise/Orun","Oke-Ero",2023,"Ise-Orun",0.222378909,0.205962518,0.284470586,0.346285085,2,"july","PBO",0.409896538,0.74109031,0.65,1281
"457","Moba","Oke-Ero",2020,"Moba",0.499111232,0.255353877,0.207411902,0.221657644,1,"july","PBO",0.282164723,0.719146001,0.65,186
"458","Moba","Oke-Ero",2023,"Moba",0.499111232,0.255353877,0.207411902,0.221657644,2,"july","PBO",0.282164723,0.719146001,0.65,1281
"459","Oye","Oke-Ero",2020,"Oye",0.319415001,0.271956354,0.047470066,0.186247091,1,"july","PBO",0.299868816,0.72416227,0.65,186
"460","Oye","Oke-Ero",2023,"Oye",0.319415001,0.271956354,0.047470066,0.186247091,2,"july","PBO",0.299868816,0.72416227,0.65,1281
"461","Ezeagu","Uzo-Uwani",2020,"Ezeagu",0.528504503,0.4031988,0.238611781,0.451509691,1,"june","PBO",0.415961311,0.741602353,0.65,162
"462","Ezeagu","Uzo-Uwani",2023,"Ezeagu",0.528504503,0.4031988,0.238611781,0.451509691,2,"june","PBO",0.415961311,0.741602353,0.65,1257
"463","Igbo-Etiti","Uzo-Uwani",2020,"Igbo-Etiti",0.220724115,0.148765878,0.222234193,0.279633712,1,"june","PBO",0.38332308,0.738484739,0.65,162
"464","Igbo-Etiti","Uzo-Uwani",2023,"Igbo-Etiti",0.220724115,0.148765878,0.222234193,0.279633712,2,"june","PBO",0.38332308,0.738484739,0.65,1257
"465","Igbo-Eze North","Uzo-Uwani",2020,"Igbo-Eze North",0.287420637,0.283212589,0.272364867,0.153556731,1,"june","PBO",0.332315805,0.73120029,0.65,162
"466","Igbo-Eze North","Uzo-Uwani",2023,"Igbo-Eze North",0.287420637,0.283212589,0.272364867,0.153556731,2,"june","PBO",0.332315805,0.73120029,0.65,1257
"467","Igbo-Eze South","Uzo-Uwani",2020,"Igbo-Eze South",0.303230812,0.177475633,0.216831997,0.312457111,1,"june","PBO",0.361653388,0.735826165,0.65,162
"468","Igbo-Eze South","Uzo-Uwani",2023,"Igbo-Eze South",0.303230812,0.177475633,0.216831997,0.312457111,2,"june","PBO",0.361653388,0.735826165,0.65,1257
"469","Isi-Uzo","Owan East",2020,"Isi-Uzo",0.603761272,0.54463067,0.446968517,0.494159168,1,"march","PBO",0.425114132,0.742325146,0.65,70
"470","Isi-Uzo","Owan East",2023,"Isi-Uzo",0.603761272,0.54463067,0.446968517,0.494159168,2,"march","PBO",0.425114132,0.742325146,0.65,1165
"471","Nkanu East","Owan East",2020,"Nkanu East",0.727194046,0.398509691,0.341217499,0.512623561,1,"march","PBO",0.414364125,0.741470161,0.65,70
"472","Nkanu East","Owan East",2023,"Nkanu East",0.727194046,0.398509691,0.341217499,0.512623561,2,"march","PBO",0.414364125,0.741470161,0.65,1165
"473","Nkanu West","Uzo-Uwani",2020,"Nkanu West",0.273684211,0.13,0.208065627,0.137878788,1,"june","PBO",0.464287853,0.744852701,0.65,162
"474","Nkanu West","Uzo-Uwani",2023,"Nkanu West",0.273684211,0.13,0.208065627,0.137878788,2,"june","PBO",0.464287853,0.744852701,0.65,1257
"475","Nsukka","Uzo-Uwani",2020,"Nsukka",0.501954531,0.400509235,0.169141359,0.288379684,1,"june","PBO",0.391481406,0.739353101,0.65,162
"476","Nsukka","Uzo-Uwani",2023,"Nsukka",0.501954531,0.400509235,0.169141359,0.288379684,2,"june","PBO",0.391481406,0.739353101,0.65,1257
"477","Oji-River","Oru West",2020,"Oji-River",0.113043479,0.293730562,0.072222223,0.050649351,1,"june","PBO",0.407484101,0.740878825,0.65,162
"478","Oji-River","Oru West",2023,"Oji-River",0.113043479,0.293730562,0.072222223,0.050649351,2,"june","PBO",0.407484101,0.740878825,0.65,1257
"479","Udenu","Uzo-Uwani",2020,"Udenu",0.284417869,0.222065572,0.036524851,0.228078157,1,"june","PBO",0.38139738,0.738269967,0.65,162
"480","Udenu","Uzo-Uwani",2023,"Udenu",0.284417869,0.222065572,0.036524851,0.228078157,2,"june","PBO",0.38139738,0.738269967,0.65,1257
"481","Udi","Uzo-Uwani",2020,"Udi",0.39521053,0.330104602,0.211166875,0.336613785,1,"june","PBO",0.379547492,0.738059966,0.65,162
"482","Udi","Uzo-Uwani",2023,"Udi",0.39521053,0.330104602,0.211166875,0.336613785,2,"june","PBO",0.379547492,0.738059966,0.65,1257
"483","Uzo-Uwani","Uzo-Uwani",2020,"Uzo-Uwani",0.425136838,0.47736901,0.112678077,0.328531921,1,"june","PBO",0.404737188,0.74063239,0.65,162
"484","Uzo-Uwani","Uzo-Uwani",2023,"Uzo-Uwani",0.425136838,0.47736901,0.112678077,0.328531921,2,"june","PBO",0.404737188,0.74063239,0.65,1257
"485","Ahiazu-Mbaise","Ngor-Okpala",2020,"Ahiazu-Mbaise",0.118181818,0.557142858,0.1,0.278571428,1,"june","PBO",0.4502266,0.744039224,0.65,162
"486","Ahiazu-Mbaise","Ngor-Okpala",2023,"Ahiazu-Mbaise",0.118181818,0.557142858,0.1,0.278571428,2,"june","PBO",0.4502266,0.744039224,0.65,1257
"487","Abaji","Keana",2020,"Abaji",0.55477964,0.315251022,0.236586102,0.443410338,1,"august","PBO",0.476373849,0.74548121,0.65,223
"488","Abaji","Keana",2023,"Abaji",0.55477964,0.315251022,0.236586102,0.443410338,2,"august","PBO",0.476373849,0.74548121,0.65,1318
"489","Bwari","Giwa",2020,"Bwari",0.317467238,0.169012415,0.055837262,0.232701834,1,"august","PBO",0.558433035,0.748497974,0.73823236,223
"490","Bwari","Giwa",2023,"Bwari",0.317467238,0.169012415,0.055837262,0.232701834,2,"august","PBO",0.558433035,0.748497974,0.73823236,1318
"491","Gwagwalada","Keana",2020,"Gwagwalada",0.436399937,0.2974603,0.232683365,0.292475858,1,"august","PBO",0.555904987,0.748429645,0.734810981,223
"492","Gwagwalada","Keana",2023,"Gwagwalada",0.436399937,0.2974603,0.232683365,0.292475858,2,"august","PBO",0.555904987,0.748429645,0.734810981,1318
"493","Kuje","Keana",2020,"Kuje",0.661535012,0.468674336,0.449471716,0.5767603,1,"august","PBO",0.448338859,0.743922635,0.65,223
"494","Kuje","Keana",2023,"Kuje",0.661535012,0.468674336,0.449471716,0.5767603,2,"august","PBO",0.448338859,0.743922635,0.65,1318
"495","Kwali","Keana",2020,"Kwali",0.323883741,0.118520359,0.12420788,0.312935377,1,"august","PBO",0.476055073,0.745465403,0.65,223
"496","Kwali","Keana",2023,"Kwali",0.323883741,0.118520359,0.12420788,0.312935377,2,"august","PBO",0.476055073,0.745465403,0.65,1318
"497","Bunkure","Gwarzo",2022,"Bunkure",0.829787234,0.8,0.8,0.861111111,1,"august","PBO",0.769743323,0.751581878,0.910592316,953
"498","Bunkure","Gwarzo",2025,"Bunkure",0.829787234,0.8,0.8,0.861111111,2,"august","PBO",0.769743323,0.751581878,0.910592316,2048
"499","Abuja Municipal","Keana",2020,"Abuja Municipal",0.544079987,0.416310261,0.201653117,0.343291355,1,"august","Urban areas",0.500846708,0.538963989,0.535536339,223
"500","Abuja Municipal","Keana",2023,"Abuja Municipal",0.544079987,0.416310261,0.201653117,0.343291355,2,"august","Urban areas",0.500846708,0.538963989,0.535536339,1318
"501","Akko","Alkaleri",2021,"Akko",0.414699467,0.27930058,0.278760232,0.606808106,1,"july","PBO",0.430348191,0.742713325,0.65,551
"502","Akko","Alkaleri",2024,"Akko",0.414699467,0.27930058,0.278760232,0.606808106,2,"july","PBO",0.430348191,0.742713325,0.65,1646
"503","Balanga","Alkaleri",2021,"Balanga",0.723903807,0.660890001,0.733572259,0.803248637,1,"july","PBO",0.625491041,0.749939303,0.81450054,551
"504","Balanga","Alkaleri",2024,"Balanga",0.723903807,0.660890001,0.733572259,0.803248637,2,"july","PBO",0.625491041,0.749939303,0.81450054,1646
"505","Billiri","Alkaleri",2021,"Billiri",0.690978872,0.49517919,0.434119361,0.8,1,"july","PBO",0.209402585,0.683407139,0.65,551
"506","Billiri","Alkaleri",2024,"Billiri",0.690978872,0.49517919,0.434119361,0.8,2,"july","PBO",0.209402585,0.683407139,0.65,1646
"507","Dukku","Darazo",2021,"Dukku",0.302967549,0.124876863,0.128209357,0.549899384,1,"july","PBO",0.67468816,0.75066207,0.855717164,551
"508","Dukku","Darazo",2024,"Dukku",0.302967549,0.124876863,0.128209357,0.549899384,2,"july","PBO",0.67468816,0.75066207,0.855717164,1646
"509","Funakaye","Alkaleri",2021,"Funakaye",0.461290323,0.280392158,0.267647059,0.722222223,1,"july","PBO",0.631961788,0.750047545,0.820549364,551
"510","Funakaye","Alkaleri",2024,"Funakaye",0.461290323,0.280392158,0.267647059,0.722222223,2,"july","PBO",0.631961788,0.750047545,0.820549364,1646
"511","Gombe","Alkaleri",2021,"Gombe",0.467176917,0.364892182,0.365832962,0.598357431,1,"july","PBO",0.497689178,0.746452831,0.65,551
"512","Gombe","Alkaleri",2024,"Gombe",0.467176917,0.364892182,0.365832962,0.598357431,2,"july","PBO",0.497689178,0.746452831,0.65,1646
"513","Kaltungo","Alkaleri",2021,"Kaltungo",0.629895132,0.496260192,0.440143318,0.646778747,1,"july","PBO",0.500615672,0.74657408,0.648064062,551
"514","Kaltungo","Alkaleri",2024,"Kaltungo",0.629895132,0.496260192,0.440143318,0.646778747,2,"july","PBO",0.500615672,0.74657408,0.648064062,1646
"515","Kwami","Alkaleri",2021,"Kwami",0.395854146,0.251753624,0.207148499,0.689302491,1,"july","PBO",0.528174359,0.747593116,0.6942737,551
"516","Kwami","Alkaleri",2024,"Kwami",0.395854146,0.251753624,0.207148499,0.689302491,2,"july","PBO",0.528174359,0.747593116,0.6942737,1646
"517","Dala","Alkaleri",2022,"Dala",0.8,0.588720517,0.604807714,0.8,1,"july","Urban areas",0.582690135,0.59673093,0.692623794,916
"518","Dala","Alkaleri",2025,"Dala",0.8,0.588720517,0.604807714,0.8,2,"july","Urban areas",0.582690135,0.59673093,0.692623794,2011
"519","Nafada","Alkaleri",2021,"Nafada",0.624612082,0.503462964,0.352821528,0.8,1,"july","PBO",0.699548844,0.750952854,0.872816603,551
"520","Nafada","Alkaleri",2024,"Nafada",0.624612082,0.503462964,0.352821528,0.8,2,"july","PBO",0.699548844,0.750952854,0.872816603,1646
"521","Shomgom","Alkaleri",2021,"Shomgom",0.687434595,0.520300531,0.626099945,0.835300207,1,"july","PBO",0.393550536,0.739563122,0.65,551
"522","Shomgom","Alkaleri",2024,"Shomgom",0.687434595,0.520300531,0.626099945,0.835300207,2,"july","PBO",0.393550536,0.739563122,0.65,1646
"523","Yamaltu/Deba","Alkaleri",2021,"Yamaltu-Deba",0.458832891,0.406145646,0.19675828,0.8,1,"july","PBO",0.541765398,0.748024003,0.714846744,551
"524","Yamaltu/Deba","Alkaleri",2024,"Yamaltu-Deba",0.458832891,0.406145646,0.19675828,0.8,2,"july","PBO",0.541765398,0.748024003,0.714846744,1646
"525","Aboh-Mbaise","Ngor-Okpala",2020,"Aboh-Mbaise",0.252777777,0.346415832,0.1,0.111827957,1,"june","PBO",0.366998982,0.736534052,0.65,162
"526","Aboh-Mbaise","Ngor-Okpala",2023,"Aboh-Mbaise",0.252777777,0.346415832,0.1,0.111827957,2,"june","PBO",0.366998982,0.736534052,0.65,1257
"527","Fagge","Alkaleri",2022,"Fagge",0.629895132,0.496260192,0.440143318,0.646778747,1,"july","Urban areas",0.567041099,0.586251328,0.667379557,916
"528","Fagge","Alkaleri",2025,"Fagge",0.629895132,0.496260192,0.440143318,0.646778747,2,"july","Urban areas",0.567041099,0.586251328,0.667379557,2011
"529","Ehime-Mbano","Ngor-Okpala",2020,"Ehime-Mbano",0.22997169,0.247918765,0.249257728,0.166986854,1,"june","PBO",0.459803075,0.744603378,0.65,162
"530","Ehime-Mbano","Ngor-Okpala",2023,"Ehime-Mbano",0.22997169,0.247918765,0.249257728,0.166986854,2,"june","PBO",0.459803075,0.744603378,0.65,1257
"531","Ezinihitte","Ngor-Okpala",2020,"Ezinihitte",0.051372082,0.081504535,0.142203056,0.245960737,1,"june","PBO",0.456817192,0.744432235,0.65,162
"532","Ezinihitte","Ngor-Okpala",2023,"Ezinihitte",0.051372082,0.081504535,0.142203056,0.245960737,2,"june","PBO",0.456817192,0.744432235,0.65,1257
"533","Ideato North","Oru West",2020,"Ideato North",0.126070183,0.175152238,0.081223223,0.164269123,1,"june","PBO",0.449066913,0.743967818,0.65,162
"534","Ideato North","Oru West",2023,"Ideato North",0.126070183,0.175152238,0.081223223,0.164269123,2,"june","PBO",0.449066913,0.743967818,0.65,1257
"535","Ideato South","Ngor-Okpala",2020,"Ideato South",0.590909092,0.346415832,0.123809524,0.152941177,1,"june","PBO",0.438565746,0.743288627,0.65,162
"536","Ideato South","Ngor-Okpala",2023,"Ideato South",0.590909092,0.346415832,0.123809524,0.152941177,2,"june","PBO",0.438565746,0.743288627,0.65,1257
"537","Ihitte/Uboma","Ngor-Okpala",2020,"Ihitte-Uboma",0.395751899,0.346415832,0.285097415,0.346984182,1,"june","PBO",0.471133329,0.745216177,0.65,162
"538","Ihitte/Uboma","Ngor-Okpala",2023,"Ihitte-Uboma",0.395751899,0.346415832,0.285097415,0.346984182,2,"june","PBO",0.471133329,0.745216177,0.65,1257
"539","Ikeduru","Ngor-Okpala",2020,"Ikeduru",0.22044405,0.158175485,0.223069211,0.313169713,1,"june","PBO",0.402638622,0.740439976,0.65,162
"540","Ikeduru","Ngor-Okpala",2023,"Ikeduru",0.22044405,0.158175485,0.223069211,0.313169713,2,"june","PBO",0.402638622,0.740439976,0.65,1257
"541","Isiala Mbano","Ngor-Okpala",2020,"Isiala Mbano",0.376850249,0.316662278,0.29560729,0.273705424,1,"june","PBO",0.468083262,0.745056709,0.65,162
"542","Isiala Mbano","Ngor-Okpala",2023,"Isiala Mbano",0.376850249,0.316662278,0.29560729,0.273705424,2,"june","PBO",0.468083262,0.745056709,0.65,1257
"543","Isu","Ngor-Okpala",2020,"Isu",0.278571428,0.346415832,0.325,0.374576271,1,"june","PBO",0.310898215,0.726830753,0.65,162
"544","Isu","Ngor-Okpala",2023,"Isu",0.278571428,0.346415832,0.325,0.374576271,2,"june","PBO",0.310898215,0.726830753,0.65,1257
"545","Mbaitoli","Ngor-Okpala",2020,"Mbaitoli",0.504567352,0.396862774,0.196659104,0.368378353,1,"june","PBO",0.257476859,0.710250224,0.65,162
"546","Mbaitoli","Ngor-Okpala",2023,"Mbaitoli",0.504567352,0.396862774,0.196659104,0.368378353,2,"june","PBO",0.257476859,0.710250224,0.65,1257
"547","Obowo","Ngor-Okpala",2020,"Obowo",0.060008429,0.098469833,0.088117177,0.188796338,1,"june","PBO",0.461408625,0.744693686,0.65,162
"548","Obowo","Ngor-Okpala",2023,"Obowo",0.060008429,0.098469833,0.088117177,0.188796338,2,"june","PBO",0.461408625,0.744693686,0.65,1257
"549","Ngor-Okpala","Ngor-Okpala",2020,"Ngor-Okpala",0.196969698,0.346415832,0.072222223,0.32,1,"june","PBO",0.247389039,0.70581743,0.65,162
"550","Ngor-Okpala","Ngor-Okpala",2023,"Ngor-Okpala",0.196969698,0.346415832,0.072222223,0.32,2,"june","PBO",0.247389039,0.70581743,0.65,1257
