"","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"1","Aba North","Ngor-Okpala",2020,"Aba North",0.8,0.8,0.8,0.8,1,"june","Urban areas",0.319067389,0.393201897,0.53,162
"2","Aba North","Ngor-Okpala",2023,"Aba North",0.8,0.8,0.8,0.8,2,"june","Urban areas",0.319067389,0.393201897,0.53,1257
"3","Aba South","Ngor-Okpala",2020,"Aba South",0.8,0.8,0.8,0.8,1,"june","Urban areas",0.311454386,0.38693958,0.53,162
"4","Aba South","Ngor-Okpala",2023,"Aba South",0.8,0.8,0.8,0.8,2,"june","Urban areas",0.311454386,0.38693958,0.53,1257
"5","Abadam","Babura",2020,"Abadam",0.8,0.8,0.8,0.8,1,"may","PBO",0.658846787,0.750452874,0.843591449,131
"6","Arochukwu","Ngor-Okpala",2023,"Arochukwu",0.8,0.8,0.8,0.8,2,"june","PBO",0.431823298,0.742819598,0.65,1257
"7","Abaji","Keana",2020,"Abaji",0.8,0.8,0.8,0.8,1,"august","PBO",0.476373849,0.74548121,0.65,223
"8","Bende","Ngor-Okpala",2023,"Bende",0.8,0.8,0.8,0.8,2,"june","PBO",0.451630723,0.744124763,0.65,1257
"9","Abakaliki","Owan East",2020,"Abakaliki",0.8,0.8,0.8,0.8,1,"march","PBO",0.416945424,0.74168288,0.65,70
"10","Ikwuano","Ngor-Okpala",2023,"Ikwuano",0.8,0.8,0.8,0.8,2,"june","PBO",0.469780688,0.74514594,0.65,1257
"11","Aboh-Mbaise","Ngor-Okpala",2020,"Aboh-Mbaise",0.8,0.8,0.8,0.8,1,"june","PBO",0.366998982,0.736534052,0.65,162
"12","Isiala-Ngwa North","Ngor-Okpala",2023,"Isiala-Ngwa North",0.8,0.8,0.8,0.8,2,"june","PBO",0.347639146,0.733784825,0.65,1257
"13","Abua/Odual","Ahoada West",2020,"Abua-Odual",0.8,0.8,0.8,0.8,1,"may","PBO",0.255950957,0.709612874,0.65,131
"14","Isiala-Ngwa South","Ngor-Okpala",2023,"Isiala-Ngwa South",0.8,0.8,0.8,0.8,2,"june","PBO",0.381316588,0.738260872,0.65,1257
"15","Abuja Municipal","Keana",2020,"Abuja Municipal",0.8,0.8,0.8,0.8,1,"august","Urban areas",0.500846708,0.538963989,0.535536339,223
"16","Isuikwato","Ngor-Okpala",2023,"Isuikwato",0.8,0.8,0.8,0.8,2,"june","PBO",0.414408176,0.741473832,0.65,1257
"17","Adavi","Owan East",2020,"Adavi",0.830655145,0.8,0.8,0.8,1,"march","PBO",0.308698703,0.726323559,0.65,70
"18","Obi Nwa","Ngor-Okpala",2023,"Obi Nwa",0.8,0.8,0.8,0.8,2,"june","Urban areas",0.339144556,0.409752288,0.53,1257
"19","Ado","Akinyele",2020,"Ado",0.8,0.8,0.8,0.8,1,"may","PBO",0.357778894,0.735289623,0.65,131
"20","Ohafia","Ngor-Okpala",2023,"Ohafia",0.8,0.8,0.8,0.8,2,"june","PBO",0.433165676,0.742915145,0.65,1257
"21","Ado Ekiti","Owan East",2020,"Ado Ekiti",0.8,0.8,0.8,0.8,1,"march","PBO",0.357399296,0.735235955,0.65,70
"22","Osisioma Ngwa","Ngor-Okpala",2023,"Osisioma Ngwa",0.8,0.8,0.8,0.8,2,"june","Urban areas",0.3223721,0.395923243,0.53,1257
"23","Afijio","Akinyele",2020,"Afijio",0.8,0.8,0.8,0.8,1,"may","PBO",0.464150913,0.744845222,0.65,131
"24","Ugwunagbo","Ngor-Okpala",2023,"Ugwunagbo",0.8,0.8,0.8,0.8,2,"june","Urban areas",0.311296946,0.386810187,0.53,1257
"25","Afikpo North","Oru West",2020,"Afikpo North",0.905685179,0.8,0.8,0.8,1,"june","PBO",0.428193447,0.742555644,0.65,162
"26","Ukwa East","Nsit Ubium",2023,"Ukwa East",0.8,0.8,0.8,0.8,2,"june","PBO",0.30363416,0.725109174,0.65,1257
"27","Afikpo South","Ngor-Okpala",2020,"Afikpo South",0.8,0.8,0.8,0.8,1,"june","PBO",0.44733042,0.743859597,0.65,162
"28","Ukwa West","Nsit Ubium",2023,"Ukwa West",0.8,0.8,0.8,0.8,2,"june","PBO",0.294680951,0.722792365,0.65,1257
"29","Agatu","Keana",2020,"Agatu",0.8,0.833333333,0.8,0.8,1,"august","PBO",0.440507142,0.743418762,0.65,223
"30","Umu-Neochi","Oru West",2023,"Umu-Neochi",0.8,0.8,0.8,0.8,2,"june","PBO",0.436597759,0.743154502,0.65,1257
"31","Agege","Uzo-Uwani",2020,"Agege",0.8,0.8,0.8,0.8,1,"june","Urban areas",0.445938468,0.49666464,0.53,162
"32","Umuahia North","Ngor-Okpala",2023,"Umuahia North",0.8,0.8,0.8,0.8,2,"june","PBO",0.451576154,0.744121457,0.65,1257
"33","Aguata","Oru West",2020,"Aguata",0.8,0.8,0.8,0.8,1,"june","PBO",0.454034567,0.744268911,0.65,162
"34","Umuahia South","Ngor-Okpala",2023,"Umuahia South",0.8,0.8,0.8,0.8,2,"june","PBO",0.48752647,0.746009794,0.65,1257
"35","Ahiazu-Mbaise","Ngor-Okpala",2020,"Ahiazu-Mbaise",0.8,0.8,0.8,0.8,1,"june","PBO",0.4502266,0.744039224,0.65,162
