LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round
Ahiazu-Mbaise,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Ahiazu-Mbaise,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Ahoada East,Ahoada West,NA,0.319177311,0.319177311,468,821,2021,1
Ahoada East,Ahoada West,NA,0.337691397,0.337691397,1289,762,2023,2
Ahoada East,Ahoada West,NA,0.356205483,0.356205483,2051,140,2025,3
Ahoada West,Ahoada West,NA,0.351847419,0.351847419,468,821,2021,1
Ahoada West,Ahoada West,NA,0.370361505,0.370361505,1289,762,2023,2
Ahoada West,Ahoada West,NA,0.388875591,0.388875591,2051,140,2025,3
Aiyedade,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Aiyedade,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Aiyedade,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Aiyedire,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Aiyedire,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Aiyedire,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Ajaokuta,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Ajaokuta,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Ajaokuta,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.767669187,0.767669187,468,821,2021,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.837886153,0.837886153,1289,762,2023,2
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.908103118,0.908103118,2051,140,2025,3
Ajingi,Taura,NA,0.205373207,0.205373207,468,821,2021,1
Ajingi,Taura,NA,0.235818373,0.235818373,1289,762,2023,2
Ajingi,Taura,NA,0.266263539,0.266263539,2051,140,2025,3
Akamkpa,Ngor-Okpala,NA,0.244508799,0.244508799,468,821,2021,1
Akamkpa,Ngor-Okpala,NA,0.29763,0.29763,1289,762,2023,2
Akamkpa,Ngor-Okpala,NA,0.350751201,0.350751201,2051,140,2025,3
Akinyele,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Akinyele,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Akinyele,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Akko,Alkaleri,NA,0.185947164,0.185947164,468,821,2021,1
Akko,Alkaleri,NA,0.22598988,0.22598988,1289,762,2023,2
Akko,Alkaleri,NA,0.266032596,0.266032596,2051,140,2025,3
Akoko North East,Oke-Ero,NA,0.327478559,0.327478559,468,821,2021,1
Akoko North East,Oke-Ero,NA,0.358423147,0.358423147,1289,762,2023,2
Akoko North East,Oke-Ero,NA,0.389367735,0.389367735,2051,140,2025,3
Akoko North West,Oke-Ero,NA,0.547791906,0.547791906,468,821,2021,1
Akoko North West,Oke-Ero,NA,0.578736494,0.578736494,1289,762,2023,2
Akoko North West,Oke-Ero,NA,0.609681082,0.609681082,2051,140,2025,3
Akoko South East,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Akoko South East,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Akoko South East,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Akoko South West,Oke-Ero,NA,0.364277921,0.364277921,468,821,2021,1
Akoko South West,Oke-Ero,NA,0.395222509,0.395222509,1289,762,2023,2
Akoko South West,Oke-Ero,NA,0.426167097,0.426167097,2051,140,2025,3
Akoko-Edo,Owan East,NA,0.476190874,0.476190874,468,821,2021,1
Akoko-Edo,Owan East,NA,0.518613252,0.518613252,1289,762,2023,2
Akoko-Edo,Owan East,NA,0.56103563,0.56103563,2051,140,2025,3
Akpabuyo,Nsit Ubium,NA,0.343460837,0.343460837,468,821,2021,1
Akpabuyo,Nsit Ubium,NA,0.389193913,0.389193913,1289,762,2023,2
Akpabuyo,Nsit Ubium,NA,0.434926989,0.434926989,2051,140,2025,3
Akuku Toru,Ahoada West,NA,0.418514086,0.418514086,468,821,2021,1
Akuku Toru,Ahoada West,NA,0.437028172,0.437028172,1289,762,2023,2
Akuku Toru,Ahoada West,NA,0.455542258,0.455542258,2051,140,2025,3
Akure North,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Akure North,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Akure North,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Akure South,Owan East,NA,0.542422378,0.542422378,468,821,2021,1
Akure South,Owan East,NA,0.584844756,0.584844756,1289,762,2023,2
Akure South,Owan East,NA,0.627267134,0.627267134,2051,140,2025,3
Akwanga,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Akwanga,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Akwanga,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Albasu,Takali,NA,0.704803193,0.704803193,468,821,2021,1
Albasu,Takali,NA,0.742939719,0.742939719,1289,762,2023,2
Albasu,Takali,NA,0.781076245,0.781076245,2051,140,2025,3
Aleiro,Birnin Kebbi,NA,0.485886492,0.485886492,468,821,2021,1
Aleiro,Birnin Kebbi,NA,0.549517304,0.549517304,1289,762,2023,2
Aleiro,Birnin Kebbi,NA,0.613148115,0.613148115,2051,140,2025,3
Alimosho,Uzo-Uwani,NA,0.345166049,0.345166049,468,821,2021,1
Alimosho,Uzo-Uwani,NA,0.415383015,0.415383015,1289,762,2023,2
Alimosho,Uzo-Uwani,NA,0.48559998,0.48559998,2051,140,2025,3
Alkaleri,Alkaleri,NA,0.262160262,0.262160262,468,821,2021,1
Alkaleri,Alkaleri,NA,0.302202978,0.302202978,1289,762,2023,2
Alkaleri,Alkaleri,NA,0.342245694,0.342245694,2051,140,2025,3
Amuwo-Odofin,Isoko South,NA,0.128883072,0.128883072,468,821,2021,1
Amuwo-Odofin,Isoko South,NA,0.136169905,0.136169905,1289,762,2023,2
Amuwo-Odofin,Isoko South,NA,0.143456737,0.143456737,2051,140,2025,3
Anambra East,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Anambra East,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Anambra East,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Anambra West,Uzo-Uwani,NA,0.737187221,0.737187221,468,821,2021,1
Anambra West,Uzo-Uwani,NA,0.807404187,0.807404187,1289,762,2023,2
Anambra West,Uzo-Uwani,NA,0.877621152,0.877621152,2051,140,2025,3
Anaocha,Oru West,NA,0.620482166,0.620482166,468,821,2021,1
Anaocha,Oru West,NA,0.690162165,0.690162165,1289,762,2023,2
Anaocha,Oru West,NA,0.759842163,0.759842163,2051,140,2025,3
Andoni,Nsit Ubium,NA,0.212326582,0.212326582,468,821,2021,1
Andoni,Nsit Ubium,NA,0.258059658,0.258059658,1289,762,2023,2
Andoni,Nsit Ubium,NA,0.303792734,0.303792734,2051,140,2025,3
Aninri,Oru West,NA,0.58764168,0.58764168,468,821,2021,1
Aninri,Oru West,NA,0.657321679,0.657321679,1289,762,2023,2
Aninri,Oru West,NA,0.727001677,0.727001677,2051,140,2025,3
Aniocha North,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Aniocha North,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Aniocha North,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Aniocha South,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Aniocha South,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Aniocha South,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Anka,Darazo,NA,0.104655852,0.104655852,468,821,2021,1
Anka,Darazo,NA,0.12765489,0.12765489,1289,762,2023,2
Anka,Darazo,NA,0.150653927,0.150653927,2051,140,2025,3
Ankpa,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Ankpa,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Ankpa,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Apa,Keana,NA,0.200415943,0.200415943,468,821,2021,1
Apa,Keana,NA,0.223644673,0.223644673,1289,762,2023,2
Apa,Keana,NA,0.246873403,0.246873403,2051,140,2025,3
Apapa,Isoko South,NA,0.128883072,0.128883072,468,821,2021,1
Apapa,Isoko South,NA,0.136169905,0.136169905,1289,762,2023,2
Apapa,Isoko South,NA,0.143456737,0.143456737,2051,140,2025,3
Ardo-Kola,Keana,NA,0.27322873,0.27322873,468,821,2021,1
Ardo-Kola,Keana,NA,0.29645746,0.29645746,1289,762,2023,2
Ardo-Kola,Keana,NA,0.31968619,0.31968619,2051,140,2025,3
Arewa-Dandi,Birnin Kebbi,NA,0.730297479,0.730297479,468,821,2021,1
Arewa-Dandi,Birnin Kebbi,NA,0.793928291,0.793928291,1289,762,2023,2
Arewa-Dandi,Birnin Kebbi,NA,0.857559102,0.857559102,2051,140,2025,3
Argungu,Birnin Kebbi,NA,0.655380838,0.655380838,468,821,2021,1
Argungu,Birnin Kebbi,NA,0.71901165,0.71901165,1289,762,2023,2
Argungu,Birnin Kebbi,NA,0.782642461,0.782642461,2051,140,2025,3
Arochukwu,Ngor-Okpala,NA,0.336494604,0.336494604,468,821,2021,1
Arochukwu,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Arochukwu,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Asa,Oke-Ero,NA,0.364277921,0.364277921,468,821,2021,1
Asa,Oke-Ero,NA,0.395222509,0.395222509,1289,762,2023,2
Asa,Oke-Ero,NA,0.426167097,0.426167097,2051,140,2025,3
Asari-Toru,Ahoada West,NA,0.461410799,0.461410799,468,821,2021,1
Asari-Toru,Ahoada West,NA,0.479924885,0.479924885,1289,762,2023,2
Asari-Toru,Ahoada West,NA,0.498438971,0.498438971,2051,140,2025,3
Askira-Uba,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Askira-Uba,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Askira-Uba,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Atakumosa East,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Atakumosa East,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Atakumosa East,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Atakumosa West,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Atakumosa West,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Atakumosa West,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Atiba,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Atiba,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Atiba,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Atigbo,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Atigbo,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Atigbo,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Augie,Birnin Kebbi,NA,0.60209235,0.60209235,468,821,2021,1
Augie,Birnin Kebbi,NA,0.665723162,0.665723162,1289,762,2023,2
Augie,Birnin Kebbi,NA,0.729353973,0.729353973,2051,140,2025,3
Auyo,Taura,NA,0.780445166,0.780445166,468,821,2021,1
Auyo,Taura,NA,0.810890332,0.810890332,1289,762,2023,2
Auyo,Taura,NA,0.841335498,0.841335498,2051,140,2025,3
Awe,Keana,NA,0.200415943,0.200415943,468,821,2021,1
Awe,Keana,NA,0.223644673,0.223644673,1289,762,2023,2
Awe,Keana,NA,0.246873403,0.246873403,2051,140,2025,3
Awgu,Oru West,NA,0.480757426,0.480757426,468,821,2021,1
Awgu,Oru West,NA,0.550437425,0.550437425,1289,762,2023,2
Awgu,Oru West,NA,0.620117423,0.620117423,2051,140,2025,3
Awka North,Uzo-Uwani,NA,0.736883632,0.736883632,468,821,2021,1
Awka North,Uzo-Uwani,NA,0.807100598,0.807100598,1289,762,2023,2
Awka North,Uzo-Uwani,NA,0.877317563,0.877317563,2051,140,2025,3
Awka South,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Awka South,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Awka South,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Ayamelum,Uzo-Uwani,NA,0.836883645,0.836883645,468,821,2021,1
Ayamelum,Uzo-Uwani,NA,0.907100611,0.907100611,1289,762,2023,2
Ayamelum,Uzo-Uwani,NA,0.977317576,0.977317576,2051,140,2025,3
Babura,Babura,NA,0.561562489,0.561562489,468,821,2021,1
Babura,Babura,NA,0.627180626,0.627180626,1289,762,2023,2
Babura,Babura,NA,0.692798764,0.692798764,2051,140,2025,3
Badagry,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Badagry,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
