LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round
Boripe,Akinyele,NA,0.361307271,0.361307271,468,821,2021,1
Boripe,Akinyele,NA,0.389281208,0.389281208,1289,762,2023,2
Boripe,Akinyele,NA,0.417255146,0.417255146,2051,140,2025,3
Bosso,Keana,NA,0.239287407,0.239287407,468,821,2021,1
Bosso,Keana,NA,0.262516137,0.262516137,1289,762,2023,2
Bosso,Keana,NA,0.285744867,0.285744867,2051,140,2025,3
Brass,Ahoada West,NA,0.532980699,0.532980699,468,821,2021,1
Brass,Ahoada West,NA,0.551494785,0.551494785,1289,762,2023,2
Brass,Ahoada West,NA,0.570008871,0.570008871,2051,140,2025,3
Buji,Takali,NA,0.216891525,0.216891525,468,821,2021,1
Buji,Takali,NA,0.255028051,0.255028051,1289,762,2023,2
Buji,Takali,NA,0.293164577,0.293164577,2051,140,2025,3
Bukkuyum,Alkaleri,NA,0.274170269,0.274170269,468,821,2021,1
Bukkuyum,Alkaleri,NA,0.314212985,0.314212985,1289,762,2023,2
Bukkuyum,Alkaleri,NA,0.354255701,0.354255701,2051,140,2025,3
Bungudu,Takali,NA,0.335358919,0.335358919,468,821,2021,1
Bungudu,Takali,NA,0.373495445,0.373495445,1289,762,2023,2
Bungudu,Takali,NA,0.411631971,0.411631971,2051,140,2025,3
Bunkure,Gwarzo,NA,0.208235286,0.208235286,468,821,2021,1
Bunkure,Gwarzo,NA,0.244298024,0.244298024,1289,762,2023,2
Bunkure,Gwarzo,NA,0.280360763,0.280360763,2051,140,2025,3
Bunza,Birnin Kebbi,NA,0.485886492,0.485886492,468,821,2021,1
Bunza,Birnin Kebbi,NA,0.549517304,0.549517304,1289,762,2023,2
Bunza,Birnin Kebbi,NA,0.613148115,0.613148115,2051,140,2025,3
Bursari,Taura,NA,0.155445166,0.155445166,468,821,2021,1
Bursari,Taura,NA,0.185890332,0.185890332,1289,762,2023,2
Bursari,Taura,NA,0.216335498,0.216335498,2051,140,2025,3
Buruku,Keana,NA,0.223228768,0.223228768,468,821,2021,1
Buruku,Keana,NA,0.246457498,0.246457498,1289,762,2023,2
Buruku,Keana,NA,0.269686228,0.269686228,2051,140,2025,3
Burutu,Isoko South,NA,0.128883072,0.128883072,468,821,2021,1
Burutu,Isoko South,NA,0.136169905,0.136169905,1289,762,2023,2
Burutu,Isoko South,NA,0.143456737,0.143456737,2051,140,2025,3
Bwari,Giwa,NA,0.191225455,0.191225455,468,821,2021,1
Bwari,Giwa,NA,0.228181966,0.228181966,1289,762,2023,2
Bwari,Giwa,NA,0.265138478,0.265138478,2051,140,2025,3
Calabar South,Nsit Ubium,NA,0.343460837,0.343460837,468,821,2021,1
Calabar South,Nsit Ubium,NA,0.389193913,0.389193913,1289,762,2023,2
Calabar South,Nsit Ubium,NA,0.434926989,0.434926989,2051,140,2025,3
Calabar-Municipal,Nsit Ubium,NA,0.345472752,0.345472752,468,821,2021,1
Calabar-Municipal,Nsit Ubium,NA,0.391205828,0.391205828,1289,762,2023,2
Calabar-Municipal,Nsit Ubium,NA,0.436938904,0.436938904,2051,140,2025,3
Chanchaga,Keana,NA,0.412194244,0.412194244,468,821,2021,1
Chanchaga,Keana,NA,0.435422974,0.435422974,1289,762,2023,2
Chanchaga,Keana,NA,0.458651704,0.458651704,2051,140,2025,3
Charanchi,Rimi,NA,0.128535881,0.128535881,468,821,2021,1
Charanchi,Rimi,NA,0.151808605,0.151808605,1289,762,2023,2
Charanchi,Rimi,NA,0.175081328,0.175081328,2051,140,2025,3
Chibok,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Chibok,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Chibok,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Chikun,Soba,NA,0.022182499,0.022182499,468,821,2021,1
Chikun,Soba,NA,0.023870307,0.023870307,1289,762,2023,2
Chikun,Soba,NA,0.025558116,0.025558116,2051,140,2025,3
Dala,Alkaleri,NA,0.890088923,0.890088923,468,821,2021,1
Dala,Alkaleri,NA,0.930131639,0.930131639,1289,762,2023,2
Dala,Alkaleri,NA,0.970174355,0.970174355,2051,140,2025,3
Damaturu,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Damaturu,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Damaturu,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Damban,Darazo,NA,0.35633237,0.35633237,468,821,2021,1
Damban,Darazo,NA,0.379331408,0.379331408,1289,762,2023,2
Damban,Darazo,NA,0.402330445,0.402330445,2051,140,2025,3
Dambatta,Babura,NA,0.398951471,0.398951471,468,821,2021,1
Dambatta,Babura,NA,0.464569608,0.464569608,1289,762,2023,2
Dambatta,Babura,NA,0.530187746,0.530187746,2051,140,2025,3
Damboa,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Damboa,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Damboa,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Dan Musa,Rimi,NA,0.233268295,0.233268295,468,821,2021,1
Dan Musa,Rimi,NA,0.256541019,0.256541019,1289,762,2023,2
Dan Musa,Rimi,NA,0.279813742,0.279813742,2051,140,2025,3
Dandi,Birnin Kebbi,NA,0.412736242,0.412736242,468,821,2021,1
Dandi,Birnin Kebbi,NA,0.476367054,0.476367054,1289,762,2023,2
Dandi,Birnin Kebbi,NA,0.539997865,0.539997865,2051,140,2025,3
Dandume,Giwa,NA,0.167464844,0.167464844,468,821,2021,1
Dandume,Giwa,NA,0.204421355,0.204421355,1289,762,2023,2
Dandume,Giwa,NA,0.241377867,0.241377867,2051,140,2025,3
Dange-Shnsi,Gawabawa,NA,0.137277906,0.137277906,468,821,2021,1
Dange-Shnsi,Gawabawa,NA,0.149555812,0.149555812,1289,762,2023,2
Dange-Shnsi,Gawabawa,NA,0.161833718,0.161833718,2051,140,2025,3
Danja,Giwa,NA,0.167464844,0.167464844,468,821,2021,1
Danja,Giwa,NA,0.204421355,0.204421355,1289,762,2023,2
Danja,Giwa,NA,0.241377867,0.241377867,2051,140,2025,3
Darazo,Darazo,NA,0.184151649,0.184151649,468,821,2021,1
Darazo,Darazo,NA,0.207150687,0.207150687,1289,762,2023,2
Darazo,Darazo,NA,0.230149724,0.230149724,2051,140,2025,3
Dass,Alkaleri,NA,0.274170269,0.274170269,468,821,2021,1
Dass,Alkaleri,NA,0.314212985,0.314212985,1289,762,2023,2
Dass,Alkaleri,NA,0.354255701,0.354255701,2051,140,2025,3
Daura,Babura,NA,0.267848579,0.267848579,468,821,2021,1
Daura,Babura,NA,0.333466716,0.333466716,1289,762,2023,2
Daura,Babura,NA,0.399084854,0.399084854,2051,140,2025,3
Dawakin Kudu,Gwarzo,NA,0.308790012,0.308790012,468,821,2021,1
Dawakin Kudu,Gwarzo,NA,0.34485275,0.34485275,1289,762,2023,2
Dawakin Kudu,Gwarzo,NA,0.380915489,0.380915489,2051,140,2025,3
Dawakin Tofa,Taura,NA,0.212263348,0.212263348,468,821,2021,1
Dawakin Tofa,Taura,NA,0.242708514,0.242708514,1289,762,2023,2
Dawakin Tofa,Taura,NA,0.27315368,0.27315368,2051,140,2025,3
Degema,Ahoada West,NA,0.268514086,0.268514086,468,821,2021,1
Degema,Ahoada West,NA,0.287028172,0.287028172,1289,762,2023,2
Degema,Ahoada West,NA,0.305542258,0.305542258,2051,140,2025,3
Dekina,Owan East,NA,0.232720141,0.232720141,468,821,2021,1
Dekina,Owan East,NA,0.275142519,0.275142519,1289,762,2023,2
Dekina,Owan East,NA,0.317564897,0.317564897,2051,140,2025,3
Demsa,Alkaleri,NA,0.742029565,0.742029565,468,821,2021,1
Demsa,Alkaleri,NA,0.782072281,0.782072281,1289,762,2023,2
Demsa,Alkaleri,NA,0.822114997,0.822114997,2051,140,2025,3
Dikwa,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Dikwa,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Dikwa,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Doguwa,Giwa,NA,0.167391295,0.167391295,468,821,2021,1
Doguwa,Giwa,NA,0.204347806,0.204347806,1289,762,2023,2
Doguwa,Giwa,NA,0.241304318,0.241304318,2051,140,2025,3
Doma,Keana,NA,0.200415943,0.200415943,468,821,2021,1
Doma,Keana,NA,0.223644673,0.223644673,1289,762,2023,2
Doma,Keana,NA,0.246873403,0.246873403,2051,140,2025,3
Donga,Keana,NA,0.308148337,0.308148337,468,821,2021,1
Donga,Keana,NA,0.331377067,0.331377067,1289,762,2023,2
Donga,Keana,NA,0.354605797,0.354605797,2051,140,2025,3
Dukku,Darazo,NA,0.137370113,0.137370113,468,821,2021,1
Dukku,Darazo,NA,0.160369151,0.160369151,1289,762,2023,2
Dukku,Darazo,NA,0.183368188,0.183368188,2051,140,2025,3
Dunukofia,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Dunukofia,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Dunukofia,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Dutse,Takali,NA,0.186624565,0.186624565,468,821,2021,1
Dutse,Takali,NA,0.224761091,0.224761091,1289,762,2023,2
Dutse,Takali,NA,0.262897617,0.262897617,2051,140,2025,3
Dutsi,Rimi,NA,0.254041954,0.254041954,468,821,2021,1
Dutsi,Rimi,NA,0.277314678,0.277314678,1289,762,2023,2
Dutsi,Rimi,NA,0.300587401,0.300587401,2051,140,2025,3
Dutsin-Ma,Rimi,NA,0.233268295,0.233268295,468,821,2021,1
Dutsin-Ma,Rimi,NA,0.256541019,0.256541019,1289,762,2023,2
Dutsin-Ma,Rimi,NA,0.279813742,0.279813742,2051,140,2025,3
Eastern Obolo,Nsit Ubium,NA,0.645733076,0.645733076,468,821,2021,1
Eastern Obolo,Nsit Ubium,NA,0.691466152,0.691466152,1289,762,2023,2
Eastern Obolo,Nsit Ubium,NA,0.737199228,0.737199228,2051,140,2025,3
Ebonyi,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Ebonyi,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Ebonyi,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Edati,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Edati,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Edati,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ede North,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Ede North,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Ede North,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Ede South,Akinyele,NA,0.182900173,0.182900173,468,821,2021,1
Ede South,Akinyele,NA,0.21087411,0.21087411,1289,762,2023,2
Ede South,Akinyele,NA,0.238848048,0.238848048,2051,140,2025,3
Edu,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Edu,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Edu,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Efon-Alayee,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Efon-Alayee,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Efon-Alayee,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Egbado North,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Egbado North,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Egbado North,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Egbado South,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Egbado South,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Egbado South,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Egbeda,Akinyele,NA,0.135290747,0.135290747,468,821,2021,1
Egbeda,Akinyele,NA,0.163264684,0.163264684,1289,762,2023,2
Egbeda,Akinyele,NA,0.191238622,0.191238622,2051,140,2025,3
Egbedore,Akinyele,NA,0.569845868,0.569845868,468,821,2021,1
Egbedore,Akinyele,NA,0.597819805,0.597819805,1289,762,2023,2
Egbedore,Akinyele,NA,0.625793743,0.625793743,2051,140,2025,3
Egor,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Egor,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Egor,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Ehime-Mbano,Ngor-Okpala,NA,0.644495687,0.644495687,468,821,2021,1
Ehime-Mbano,Ngor-Okpala,NA,0.697616888,0.697616888,1289,762,2023,2
Ehime-Mbano,Ngor-Okpala,NA,0.750738089,0.750738089,2051,140,2025,3
Ejigbo,Akinyele,NA,0.243881194,0.243881194,468,821,2021,1
Ejigbo,Akinyele,NA,0.271855131,0.271855131,1289,762,2023,2
Ejigbo,Akinyele,NA,0.299829069,0.299829069,2051,140,2025,3
Ekeremor,Ahoada West,NA,0.22444251,0.22444251,468,821,2021,1
Ekeremor,Ahoada West,NA,0.242956596,0.242956596,1289,762,2023,2
Ekeremor,Ahoada West,NA,0.261470682,0.261470682,2051,140,2025,3
Eket,Nsit Ubium,NA,0.343460837,0.343460837,468,821,2021,1
Eket,Nsit Ubium,NA,0.389193913,0.389193913,1289,762,2023,2
Eket,Nsit Ubium,NA,0.434926989,0.434926989,2051,140,2025,3
Ekiti,Oke-Ero,NA,0.775338543,0.775338543,468,821,2021,1
Ekiti,Oke-Ero,NA,0.806283131,0.806283131,1289,762,2023,2
Ekiti,Oke-Ero,NA,0.837227719,0.837227719,2051,140,2025,3
Ekiti East,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Ekiti East,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Ekiti East,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Ekiti South West,Oke-Ero,NA,0.493444645,0.493444645,468,821,2021,1
Ekiti South West,Oke-Ero,NA,0.524389233,0.524389233,1289,762,2023,2
Ekiti South West,Oke-Ero,NA,0.555333821,0.555333821,2051,140,2025,3
Ekiti West,Oke-Ero,NA,0.19315819,0.19315819,468,821,2021,1
Ekiti West,Oke-Ero,NA,0.224102778,0.224102778,1289,762,2023,2
Ekiti West,Oke-Ero,NA,0.255047366,0.255047366,2051,140,2025,3
Ekwusigo,Oru West,NA,0.819679998,0.819679998,468,821,2021,1
Ekwusigo,Oru West,NA,0.889359997,0.889359997,1289,762,2023,2
Ekwusigo,Oru West,NA,0.959039995,0.959039995,2051,140,2025,3
Eleme,Ahoada West,NA,0.170207599,0.170207599,468,821,2021,1
Eleme,Ahoada West,NA,0.188721685,0.188721685,1289,762,2023,2
Eleme,Ahoada West,NA,0.207235771,0.207235771,2051,140,2025,3
Emohua,Ahoada West,NA,0.185180753,0.185180753,468,821,2021,1
Emohua,Ahoada West,NA,0.203694839,0.203694839,1289,762,2023,2
Emohua,Ahoada West,NA,0.222208925,0.222208925,2051,140,2025,3
Emure,Oke-Ero,NA,0.277784177,0.277784177,468,821,2021,1
Emure,Oke-Ero,NA,0.308728765,0.308728765,1289,762,2023,2
Emure,Oke-Ero,NA,0.339673353,0.339673353,2051,140,2025,3
Enugu East,Uzo-Uwani,NA,0.837340234,0.837340234,468,821,2021,1
Enugu East,Uzo-Uwani,NA,0.9075572,0.9075572,1289,762,2023,2
Enugu East,Uzo-Uwani,NA,0.977774165,0.977774165,2051,140,2025,3
Enugu North,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Enugu North,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Enugu North,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Enugu South,Uzo-Uwani,NA,0.585110473,0.585110473,468,821,2021,1
Enugu South,Uzo-Uwani,NA,0.655327439,0.655327439,1289,762,2023,2
Enugu South,Uzo-Uwani,NA,0.725544404,0.725544404,2051,140,2025,3
Epe,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Epe,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Epe,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Esan Central,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Esan Central,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Esan Central,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Esan North East,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Esan North East,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Esan North East,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Esan South East,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Esan South East,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Esan South East,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Esan West,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Esan West,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Esan West,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Ese-Odo,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Ese-Odo,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Ese-Odo,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Esit Eket,Nsit Ubium,NA,0.117161647,0.117161647,468,821,2021,1
Esit Eket,Nsit Ubium,NA,0.162894723,0.162894723,1289,762,2023,2
Esit Eket,Nsit Ubium,NA,0.208627799,0.208627799,2051,140,2025,3
Essien Udim,Ngor-Okpala,NA,0.2724029,0.2724029,468,821,2021,1
Essien Udim,Ngor-Okpala,NA,0.325524101,0.325524101,1289,762,2023,2
Essien Udim,Ngor-Okpala,NA,0.378645302,0.378645302,2051,140,2025,3
Etche,Ngor-Okpala,NA,0.336494604,0.336494604,468,821,2021,1
Etche,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Etche,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Ethiope East,Isoko South,NA,0.128883072,0.128883072,468,821,2021,1
Ethiope East,Isoko South,NA,0.136169905,0.136169905,1289,762,2023,2
Ethiope East,Isoko South,NA,0.143456737,0.143456737,2051,140,2025,3
Ethiope West,Isoko South,NA,0.128883072,0.128883072,468,821,2021,1
Ethiope West,Isoko South,NA,0.136169905,0.136169905,1289,762,2023,2
Ethiope West,Isoko South,NA,0.143456737,0.143456737,2051,140,2025,3
Etim Ekpo,Isoko South,NA,0.128883072,0.128883072,468,821,2021,1
Etim Ekpo,Isoko South,NA,0.136169905,0.136169905,1289,762,2023,2
Etim Ekpo,Isoko South,NA,0.143456737,0.143456737,2051,140,2025,3
Etinan,Ngor-Okpala,NA,0.336494604,0.336494604,468,821,2021,1
Etinan,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Etinan,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Eti-Osa,Nsit Ubium,NA,0.343460837,0.343460837,468,821,2021,1
Eti-Osa,Nsit Ubium,NA,0.389193913,0.389193913,1289,762,2023,2
Eti-Osa,Nsit Ubium,NA,0.434926989,0.434926989,2051,140,2025,3
Etsako Central,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Etsako Central,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Etsako Central,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Etsako East,Owan East,NA,0.120376619,0.120376619,468,821,2021,1
Etsako East,Owan East,NA,0.162798997,0.162798997,1289,762,2023,2
Etsako East,Owan East,NA,0.205221375,0.205221375,2051,140,2025,3
Etsako West,Owan East,NA,0.122773964,0.122773964,468,821,2021,1
Etsako West,Owan East,NA,0.165196342,0.165196342,1289,762,2023,2
Etsako West,Owan East,NA,0.20761872,0.20761872,2051,140,2025,3
Etung,Obubra,NA,0.260389199,0.260389199,468,821,2021,1
Etung,Obubra,NA,0.320778399,0.320778399,1289,762,2023,2
Etung,Obubra,NA,0.381167598,0.381167598,2051,140,2025,3
Ewekoro,Uzo-Uwani,NA,0.49040945,0.49040945,468,821,2021,1
Ewekoro,Uzo-Uwani,NA,0.560626416,0.560626416,1289,762,2023,2
Ewekoro,Uzo-Uwani,NA,0.630843381,0.630843381,2051,140,2025,3
Ezeagu,Uzo-Uwani,NA,0.504798476,0.504798476,468,821,2021,1
Ezeagu,Uzo-Uwani,NA,0.575015442,0.575015442,1289,762,2023,2
Ezeagu,Uzo-Uwani,NA,0.645232407,0.645232407,2051,140,2025,3
Ezinihitte,Ngor-Okpala,NA,0.442079553,0.442079553,468,821,2021,1
Ezinihitte,Ngor-Okpala,NA,0.495200754,0.495200754,1289,762,2023,2
Ezinihitte,Ngor-Okpala,NA,0.548321955,0.548321955,2051,140,2025,3
Ezza North,Owan East,NA,0.232898568,0.232898568,468,821,2021,1
Ezza North,Owan East,NA,0.275320946,0.275320946,1289,762,2023,2
Ezza North,Owan East,NA,0.317743324,0.317743324,2051,140,2025,3
Ezza South,Obubra,NA,0.539235155,0.539235155,468,821,2021,1
Ezza South,Obubra,NA,0.599624355,0.599624355,1289,762,2023,2
Ezza South,Obubra,NA,0.660013554,0.660013554,2051,140,2025,3
Fagge,Alkaleri,NA,0.274170269,0.274170269,468,821,2021,1
Fagge,Alkaleri,NA,0.314212985,0.314212985,1289,762,2023,2
Fagge,Alkaleri,NA,0.354255701,0.354255701,2051,140,2025,3
Fakai,Birnin Kebbi,NA,0.730297479,0.730297479,468,821,2021,1
Fakai,Birnin Kebbi,NA,0.793928291,0.793928291,1289,762,2023,2
Fakai,Birnin Kebbi,NA,0.857559102,0.857559102,2051,140,2025,3
Faskari,Giwa,NA,0.167464844,0.167464844,468,821,2021,1
Faskari,Giwa,NA,0.204421355,0.204421355,1289,762,2023,2
Faskari,Giwa,NA,0.241377867,0.241377867,2051,140,2025,3
Fika,Darazo,NA,0.118237132,0.118237132,468,821,2021,1
Fika,Darazo,NA,0.14123617,0.14123617,1289,762,2023,2
Fika,Darazo,NA,0.164235207,0.164235207,2051,140,2025,3
Fufore,Alkaleri,NA,0.17932283,0.17932283,468,821,2021,1
Fufore,Alkaleri,NA,0.219365546,0.219365546,1289,762,2023,2
Fufore,Alkaleri,NA,0.259408262,0.259408262,2051,140,2025,3
Funakaye,Alkaleri,NA,0.085497261,0.085497261,468,821,2021,1
Funakaye,Alkaleri,NA,0.125539977,0.125539977,1289,762,2023,2
Funakaye,Alkaleri,NA,0.165582693,0.165582693,2051,140,2025,3
Fune,Darazo,NA,0.054537967,0.054537967,468,821,2021,1
Fune,Darazo,NA,0.077537005,0.077537005,1289,762,2023,2
Fune,Darazo,NA,0.100536042,0.100536042,2051,140,2025,3
Funtua,Gwarzo,NA,0.208235286,0.208235286,468,821,2021,1
Funtua,Gwarzo,NA,0.244298024,0.244298024,1289,762,2023,2
Funtua,Gwarzo,NA,0.280360763,0.280360763,2051,140,2025,3
Gabasawa,Taura,NA,0.205373207,0.205373207,468,821,2021,1
Gabasawa,Taura,NA,0.235818373,0.235818373,1289,762,2023,2
Gabasawa,Taura,NA,0.266263539,0.266263539,2051,140,2025,3
Gada,Gawabawa,NA,0.11890935,0.11890935,468,821,2021,1
Gada,Gawabawa,NA,0.131187256,0.131187256,1289,762,2023,2
Gada,Gawabawa,NA,0.143465162,0.143465162,2051,140,2025,3
Gagarawa,Taura,NA,0.205373207,0.205373207,468,821,2021,1
Gagarawa,Taura,NA,0.235818373,0.235818373,1289,762,2023,2
Gagarawa,Taura,NA,0.266263539,0.266263539,2051,140,2025,3
Gamawa,Gwarzo,NA,0.208235286,0.208235286,468,821,2021,1
Gamawa,Gwarzo,NA,0.244298024,0.244298024,1289,762,2023,2
Gamawa,Gwarzo,NA,0.280360763,0.280360763,2051,140,2025,3
Ganaye,Alkaleri,NA,0.274170269,0.274170269,468,821,2021,1
Ganaye,Alkaleri,NA,0.314212985,0.314212985,1289,762,2023,2
Ganaye,Alkaleri,NA,0.354255701,0.354255701,2051,140,2025,3
Ganjuwa,Darazo,NA,0.124825274,0.124825274,468,821,2021,1
Ganjuwa,Darazo,NA,0.147824312,0.147824312,1289,762,2023,2
Ganjuwa,Darazo,NA,0.170823349,0.170823349,2051,140,2025,3
Garki,Babura,NA,0.732284805,0.732284805,468,821,2021,1
Garki,Babura,NA,0.797902942,0.797902942,1289,762,2023,2
Garki,Babura,NA,0.86352108,0.86352108,2051,140,2025,3
Garko,Gwarzo,NA,0.208235286,0.208235286,468,821,2021,1
Garko,Gwarzo,NA,0.244298024,0.244298024,1289,762,2023,2
Garko,Gwarzo,NA,0.280360763,0.280360763,2051,140,2025,3
Garum Mallam,Gwarzo,NA,0.189908893,0.189908893,468,821,2021,1
Garum Mallam,Gwarzo,NA,0.225971631,0.225971631,1289,762,2023,2
Garum Mallam,Gwarzo,NA,0.26203437,0.26203437,2051,140,2025,3
Gashaka,Oru West,NA,0.480757426,0.480757426,468,821,2021,1
Gashaka,Oru West,NA,0.550437425,0.550437425,1289,762,2023,2
Gashaka,Oru West,NA,0.620117423,0.620117423,2051,140,2025,3
Gassol,Keana,NA,0.109365175,0.109365175,468,821,2021,1
Gassol,Keana,NA,0.132593905,0.132593905,1289,762,2023,2
Gassol,Keana,NA,0.155822635,0.155822635,2051,140,2025,3
Gawabawa,Gawabawa,NA,0.11890935,0.11890935,468,821,2021,1
Gawabawa,Gawabawa,NA,0.131187256,0.131187256,1289,762,2023,2
Gawabawa,Gawabawa,NA,0.143465162,0.143465162,2051,140,2025,3
Gaya,Gwarzo,NA,0.202729406,0.202729406,468,821,2021,1
Gaya,Gwarzo,NA,0.238792144,0.238792144,1289,762,2023,2
Gaya,Gwarzo,NA,0.274854883,0.274854883,2051,140,2025,3
Gbako,Oke-Ero,NA,0.49248305,0.49248305,468,821,2021,1
Gbako,Oke-Ero,NA,0.523427638,0.523427638,1289,762,2023,2
Gbako,Oke-Ero,NA,0.554372226,0.554372226,2051,140,2025,3
Gboko,Keana,NA,0.163510062,0.163510062,468,821,2021,1
Gboko,Keana,NA,0.186738792,0.186738792,1289,762,2023,2
Gboko,Keana,NA,0.209967522,0.209967522,2051,140,2025,3
Gboyin,Obubra,NA,0.498891795,0.498891795,468,821,2021,1
Gboyin,Obubra,NA,0.559280995,0.559280995,1289,762,2023,2
Gboyin,Obubra,NA,0.619670194,0.619670194,2051,140,2025,3
Geidam,Babura,NA,0.414895497,0.414895497,468,821,2021,1
Geidam,Babura,NA,0.480513634,0.480513634,1289,762,2023,2
Geidam,Babura,NA,0.546131772,0.546131772,2051,140,2025,3
Gezawa,Gwarzo,NA,0.286062739,0.286062739,468,821,2021,1
Gezawa,Gwarzo,NA,0.322125477,0.322125477,1289,762,2023,2
Gezawa,Gwarzo,NA,0.358188216,0.358188216,2051,140,2025,3
Giade,Darazo,NA,0.16585618,0.16585618,468,821,2021,1
Giade,Darazo,NA,0.188855218,0.188855218,1289,762,2023,2
Giade,Darazo,NA,0.211854255,0.211854255,2051,140,2025,3
Gireri,Darazo,NA,0.103991158,0.103991158,468,821,2021,1
Gireri,Darazo,NA,0.126990196,0.126990196,1289,762,2023,2
Gireri,Darazo,NA,0.149989233,0.149989233,2051,140,2025,3
Giwa,Giwa,NA,0.167464844,0.167464844,468,821,2021,1
Giwa,Giwa,NA,0.204421355,0.204421355,1289,762,2023,2
Giwa,Giwa,NA,0.241377867,0.241377867,2051,140,2025,3
Gokana,Nsit Ubium,NA,0.227844627,0.227844627,468,821,2021,1
Gokana,Nsit Ubium,NA,0.273577703,0.273577703,1289,762,2023,2
Gokana,Nsit Ubium,NA,0.319310779,0.319310779,2051,140,2025,3
Gombe,Alkaleri,NA,0.156212271,0.156212271,468,821,2021,1
