"","LGA","repDS","year","LGA_old","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","block_initial","round","peak","simday"
"41","Guyuk","Alkaleri",2020,"Guyuk",0.749078623,0.638183465,0.709110853,0.620162675,0.571995521,0.58959986,0.53,1,"july",186
"42","Guyuk","Alkaleri",2023,"Guyuk",0.749078623,0.638183465,0.709110853,0.620162675,0.571995521,0.58959986,0.53,2,"july",1281
"43","Hong","Darazo",2020,"Hong",0.708695652,0.544444444,0.34137931,0.484615385,0.634881453,0.629555395,0.53,1,"july",186
"44","Hong","Darazo",2023,"Hong",0.708695652,0.544444444,0.34137931,0.484615385,0.634881453,0.629555395,0.53,2,"july",1281
"45","Lamurde","Alkaleri",2020,"Lamurde",0.418181818,0.242857143,0.463636364,0.503225806,0.429924862,0.483923569,0.53,1,"july",186
"46","Lamurde","Alkaleri",2023,"Lamurde",0.418181818,0.242857143,0.463636364,0.503225806,0.429924862,0.483923569,0.53,2,"july",1281
"47","Mayo-Belwa","Alkaleri",2020,"Mayo-Belwa",0.74,0.2875,0.54,0.538596491,0.615915722,0.618014343,0.53,1,"july",186
"48","Mayo-Belwa","Alkaleri",2023,"Mayo-Belwa",0.74,0.2875,0.54,0.538596491,0.615915722,0.618014343,0.53,2,"july",1281
"49","Numan","Alkaleri",2020,"Numan",0.933333333,0.5375,0.468421053,0.711111111,0.518273564,0.55184819,0.53,1,"july",186
"50","Numan","Alkaleri",2023,"Numan",0.933333333,0.5375,0.468421053,0.711111111,0.518273564,0.55184819,0.53,2,"july",1281
"51","Shelleng","Darazo",2020,"Shelleng",0.464360702,0.394522122,0.41610634,0.466244989,0.58914423,0.600969346,0.53,1,"july",186
"52","Shelleng","Darazo",2023,"Shelleng",0.464360702,0.394522122,0.41610634,0.466244989,0.58914423,0.600969346,0.53,2,"july",1281
"53","Abak","Nsit Ubium",2021,"Abak",0.217647059,0.166666667,0.273913043,0.263934426,0.358412263,0.425644469,0.53,1,"june",527
"54","Itu","Ngor-Okpala",2024,"Itu",0.404424538,0.366473717,0.319305704,0.120408163,0.415010863,0.471929182,0.53,2,"june",1622
"55","Song","Darazo",2020,"Song",0.581299215,0.667045456,0.589233428,0.594332723,0.551949619,0.575879905,0.53,1,"july",186
"56","Song","Darazo",2023,"Song",0.581299215,0.667045456,0.589233428,0.594332723,0.551949619,0.575879905,0.53,2,"july",1281
"57","Yola North","Alkaleri",2020,"Yola North",0.589106732,0.554789001,0.514279228,0.509390884,0.581884889,0.596198663,0.53,1,"july",186
"58","Yola North","Alkaleri",2023,"Yola North",0.589106732,0.554789001,0.514279228,0.509390884,0.581884889,0.596198663,0.53,2,"july",1281
"59","Yola South","Alkaleri",2020,"Yola South",0.623809524,0.475,0.544444444,0.359259259,0.57254926,0.589972357,0.53,1,"july",186
"60","Yola South","Alkaleri",2023,"Yola South",0.623809524,0.475,0.544444444,0.359259259,0.57254926,0.589972357,0.53,2,"july",1281
"61","Abeokuta North","Owan East",2021,"Abeokuta North",0.6585438,0.60745042,0.496366979,0.612361736,0.429058332,0.483229857,0.53,1,"march",435
"62","Abak","Nsit Ubium",2024,"Abak",0.217647059,0.166666667,0.273913043,0.263934426,0.358412263,0.425644469,0.53,2,"june",1622
"63","Awka North","Uzo-Uwani",2020,"Awka North",0.338095238,0.242857143,0.186956522,0.310526316,0.388205397,0.450124783,0.53,1,"june",162
"64","Awka North","Uzo-Uwani",2023,"Awka North",0.338095238,0.242857143,0.186956522,0.310526316,0.388205397,0.450124783,0.53,2,"june",1257
"65","Abeokuta South","Uzo-Uwani",2021,"Abeokuta South",0.478117902,0.736654445,0.275224834,0.3573025,0.443245868,0.494533241,0.53,1,"june",527
"66","Eket","Nsit Ubium",2024,"Eket",0.463636364,0.433333333,0.45,0.418181818,0.238612216,0.328021397,0.53,2,"june",1622
"67","Abi","Obubra",2021,"Abi",0.74610383,0.550892796,0.526174519,0.666548821,0.400313882,0.46000802,0.53,1,"june",527
"68","Esit Eket","Nsit Ubium",2024,"Esit Eket",0.742857143,0.5,0.262162162,0.590566038,0.262279676,0.346897657,0.53,2,"june",1622
"69","Ado-Odo-Ota","Uzo-Uwani",2021,"Ado-Odo/Ota",0.537146656,0.547816926,0.389844266,0.40835722,0.405185074,0.46396913,0.53,1,"june",527
"70","Essien Udim","Ngor-Okpala",2024,"Essien Udim",0.50416306,0.51932543,0.201814961,0.348747098,0.369824263,0.435041855,0.53,2,"june",1622
"71","Akamkpa","Ngor-Okpala",2021,"Akamkpa",0.516996009,0.399737126,0.559918974,0.449381787,0.473355826,0.518082922,0.53,1,"june",527
"72","Etim Ekpo","Ngor-Okpala",2024,"Etim Ekpo",0.404424538,0.366473717,0.319305704,0.366910909,0.326319464,0.399175674,0.53,2,"june",1622
"73","Akko","Alkaleri",2021,"Akko",0.41899959,0.3148466,0.314430948,0.566775466,0.430348191,0.484262319,0.53,1,"july",551
"74","Etinan","Nsit Ubium",2024,"Etinan",0.330769231,0.266666667,0.302569073,0.242857143,0.271254927,0.35413511,0.53,2,"june",1622
"75","Akpabuyo","Nsit Ubium",2021,"Akpabuyo",0.440380114,0.344272456,0.401952894,0.482230957,0.417147714,0.473654536,0.53,1,"june",527
"76","Ibesikpo Asutan","Nsit Ubium",2024,"Ibesikpo Asutan",0.416326558,0.465384584,0.364150952,0.395373674,0.364757188,0.430871605,0.53,2,"june",1622
"77","Akwanga","Oke-Ero",2021,"Akwanga",0.922883221,0.900838317,0.827112838,0.892005115,0.509076895,0.545084849,0.53,1,"july",551
"78","Ibiono Ibom","Ngor-Okpala",2024,"Ibiono Ibom",0.780806712,0.664126427,0.447777775,0.618035164,0.383194312,0.446021174,0.53,2,"june",1622
"79","Aleiro","Birnin Kebbi",2021,"Aleiro",0.889226475,0.714967322,0.634978419,0.88771905,0.705366928,0.6684684,0.53,1,"august",588
"80","Ika","Ngor-Okpala",2024,"Ika",0.404424538,0.366473717,0.319305704,0.366910909,0.281330517,0.36230356,0.53,2,"june",1622
"81","Alkaleri","Alkaleri",2021,"Alkaleri",0.555387964,0.497922582,0.406625021,0.557443319,0.570092852,0.588317246,0.53,1,"july",551
"82","Ikono","Ngor-Okpala",2024,"Ikono",0.266666667,0.217647059,0.391666667,0.286440678,0.3504186,0.419053252,0.53,2,"june",1622
"83","Arewa-Dandi","Birnin Kebbi",2021,"Arewa-Dandi",1.044444444,0.926086957,0.86,1.039393939,0.736871845,0.683834101,0.53,1,"august",588
"84","Ikot Abasi","Nsit Ubium",2024,"Ikot Abasi",0.447826087,0.561538462,0.4,0.223076923,0.194063012,0.293529351,0.53,2,"june",1622
"85","Argungu","Birnin Kebbi",2021,"Argungu",0.980353787,0.839925815,0.750569606,0.978877198,0.749755556,0.689763899,0.53,1,"august",588
"86","Ikot Ekpene","Ngor-Okpala",2024,"Ikot Ekpene",0.15605449,0.366473717,0.300480127,0.216877293,0.356519334,0.424084125,0.53,2,"june",1622
"87","Augie","Birnin Kebbi",2021,"Augie",1.077777778,0.808333333,0.95,1.009090909,0.747566745,0.688770794,0.53,1,"august",588
"88","Ini","Ngor-Okpala",2024,"Ini",0.792307692,0.457142857,0.633333333,0.610204082,0.395911217,0.45642023,0.53,2,"june",1622
"89","Auyo","Taura",2021,"Auyo",0.827272727,0.792307692,0.871428571,0.847663551,0.676553245,0.65332251,0.53,1,"july",551
"90","Mkpat Enin","Nsit Ubium",2024,"Mkpat Enin",0.702843612,0.479341874,0.43631654,0.480262242,0.225930858,0.318051677,0.53,2,"june",1622
"91","Awe","Keana",2021,"Awe",0.705432934,0.529533507,0.568947384,0.832287966,0.564364244,0.584430432,0.53,1,"august",588
"92","Nsit Atai","Nsit Ubium",2024,"Nsit Atai",0.43446468,0.394193051,0.302569073,0.327821791,0.243345201,0.331769618,0.53,2,"june",1622
"93","Babura","Babura",2021,"Babura",0.974582296,0.942755015,0.84694856,0.961709269,0.754462934,0.691880002,0.53,1,"may",496
"94","Nsit Ibom","Nsit Ubium",2024,"Nsit Ibom",0.3,0.176923077,0.302569073,0.269230769,0.357951303,0.425264532,0.53,2,"june",1622
"95","Bagudo","Birnin Kebbi",2021,"Bagudo",0.996493581,0.844287257,0.755809425,0.932315501,0.544171429,0.570435833,0.53,1,"august",588
"96","Nsit Ubium","Nsit Ubium",2024,"Nsit Ubium",0.394117647,0.645454545,0.236363636,0.393103448,0.247213687,0.334843575,0.53,2,"june",1622
"97","Awka South","Uzo-Uwani",2020,"Awka South",0.215384615,0.324106265,0.260050482,0.155555556,0.431794981,0.485419293,0.53,1,"june",162
"98","Awka South","Uzo-Uwani",2023,"Awka South",0.215384615,0.324106265,0.260050482,0.155555556,0.431794981,0.485419293,0.53,2,"june",1257
"99","Bakassi","Obubra",2021,"Bakassi",0.747208055,0.694090851,0.648608298,0.660815073,0.269329192,0.352578982,0.53,1,"june",527
"100","Obot Akara","Ngor-Okpala",2024,"Obot Akara",0.452941176,0.544444444,0.330769231,0.398245614,0.376065149,0.440171735,0.53,2,"june",1622
"101","Bakori","Gwarzo",2021,"Bakori",0.76,0.856097561,0.81875,0.839726027,0.670473637,0.649992258,0.53,1,"august",588
"102","Okobo","Nsit Ubium",2024,"Okobo",0.4,0.322222222,0.554545455,0.390909091,0.269257198,0.352520839,0.53,2,"june",1622
"103","Balanga","Alkaleri",2021,"Balanga",0.656849082,0.608376924,0.664286353,0.903248637,0.625491041,0.623897182,0.53,1,"july",551
"104","Onna","Nsit Ubium",2024,"Onna",0.515362737,0.511823643,0.319786096,0.510602704,0.191877243,0.291878138,0.53,2,"june",1622
"105","Batagarawa","Rimi",2021,"Batagarawa",0.854530143,0.624184174,0.575913102,0.794047638,0.663607785,0.646174875,0.53,1,"march",435
"106","Oruk Anam","Nsit Ubium",2024,"Oruk Anam",0.445323717,0.531578963,0.339130379,0.384408547,0.312496984,0.387796568,0.53,2,"june",1622
"107","Batsari","Rimi",2021,"Batsari",0.947826087,0.708695652,0.54,0.867123288,0.697059776,0.664209538,0.53,1,"march",435
"108","Ukanafun","Nsit Ubium",2024,"Ukanafun",0.365452627,0.385096449,0.202586479,0.239673943,0.340679142,0.41101835,0.53,2,"june",1622
"109","Bauchi","Alkaleri",2021,"Bauchi",0.549957029,0.354519356,0.375214477,0.512964953,0.627087591,0.624866967,0.53,1,"july",551
"110","Uruan","Nsit Ubium",2024,"Uruan",0.43564019,0.40263162,0.315921543,0.360106819,0.401030149,0.460591042,0.53,2,"june",1622
"111","Baure","Babura",2021,"Baure",0.472093023,0.615151515,0.666666667,0.530379747,0.697826557,0.664606296,0.53,1,"may",496
"112","Urue-Offong-Oruko","Nsit Ubium",2024,"Urue-Offong/Oruko",0.521052632,0.407692308,0.308333333,0.421428571,0.204236897,0.30126919,0.53,2,"june",1622
"113","Ayamelum","Uzo-Uwani",2020,"Ayamelum",0.326000001,0.190196079,0.156149735,0.248743718,0.436497382,0.489171465,0.53,1,"june",162
"114","Ayamelum","Uzo-Uwani",2023,"Ayamelum",0.326000001,0.190196079,0.156149735,0.248743718,0.436497382,0.489171465,0.53,2,"june",1257
"115","Bekwara","Oke-Ero",2021,"Bekwara",0.491788901,0.399429972,0.360379648,0.455121446,0.383264622,0.4460788,0.53,1,"july",551
"116","Uyo","Nsit Ubium",2024,"Uyo",0.289887959,0.177486364,0.209020534,0.223168765,0.399966547,0.459725229,0.53,2,"june",1622
"117","Aguata","Oru West",2020,"Aguata",0.355850471,0.487034474,0.339642794,0.337666189,0.454034567,0.503044714,0.53,1,"june",162
"118","Aguata","Oru West",2023,"Aguata",0.355850471,0.487034474,0.339642794,0.337666189,0.454034567,0.503044714,0.53,2,"june",1257
"119","Anambra East","Uzo-Uwani",2020,"Anambra East",0.207142857,0.324106265,0.2,0.135087719,0.375672105,0.439848897,0.53,1,"june",162
"120","Anambra East","Uzo-Uwani",2023,"Anambra East",0.207142857,0.324106265,0.2,0.135087719,0.375672105,0.439848897,0.53,2,"june",1257
"121","Anambra West","Uzo-Uwani",2020,"Anambra West",0.42464731,0.470188311,0.365600186,0.378397658,0.39176502,0.453035277,0.53,1,"june",162
"122","Anambra West","Uzo-Uwani",2023,"Anambra West",0.42464731,0.470188311,0.365600186,0.378397658,0.39176502,0.453035277,0.53,2,"june",1257
"123","Anaocha","Oru West",2020,"Anaocha",0.281100292,0.223857833,0.252765099,0.205016002,0.420247823,0.476153753,0.53,1,"june",162
"124","Anaocha","Oru West",2023,"Anaocha",0.281100292,0.223857833,0.252765099,0.205016002,0.420247823,0.476153753,0.53,2,"june",1257
"125","Dunukofia","Uzo-Uwani",2020,"Dunukofia",0.376486564,0.324106265,0.260050482,0.288842186,0.421451191,0.477122595,0.53,1,"june",162
"126","Dunukofia","Uzo-Uwani",2023,"Dunukofia",0.376486564,0.324106265,0.260050482,0.288842186,0.421451191,0.477122595,0.53,2,"june",1257
"127","Ekwusigo","Oru West",2020,"Ekwusigo",0.466666667,0.183333333,0.141666667,0.303389831,0.255572543,0.341515837,0.53,1,"june",162
"128","Ekwusigo","Oru West",2023,"Ekwusigo",0.466666667,0.183333333,0.141666667,0.303389831,0.255572543,0.341515837,0.53,2,"june",1257
"129","Idemili North","Uzo-Uwani",2020,"Idemili North",0.393142139,0.319004233,0.2091815,0.294200106,0.422797782,0.478205882,0.53,1,"june",162
"130","Idemili North","Uzo-Uwani",2023,"Idemili North",0.393142139,0.319004233,0.2091815,0.294200106,0.422797782,0.478205882,0.53,2,"june",1257
"131","Idemili South","Oru West",2020,"Idemili South",0.284337998,0.217186102,0.191506586,0.263297291,0.377378695,0.441250403,0.53,1,"june",162
"132","Idemili South","Oru West",2023,"Idemili South",0.284337998,0.217186102,0.191506586,0.263297291,0.377378695,0.441250403,0.53,2,"june",1257
"133","Ihiala","Oru West",2020,"Ihiala",0.300934575,0.330563004,0.287705817,0.406561085,0.199598953,0.297729955,0.53,1,"june",162
"134","Ihiala","Oru West",2023,"Ihiala",0.300934575,0.330563004,0.287705817,0.406561085,0.199598953,0.297729955,0.53,2,"june",1257
"135","Njikoka","Uzo-Uwani",2020,"Njikoka",0.385714286,0.26700485,0.295035427,0.250182471,0.436915256,0.489504274,0.53,1,"june",162
"136","Njikoka","Uzo-Uwani",2023,"Njikoka",0.385714286,0.26700485,0.295035427,0.250182471,0.436915256,0.489504274,0.53,2,"june",1257
"137","Nnewi North","Oru West",2020,"Nnewi North",0.352890955,0.325946586,0.252765099,0.317649894,0.308642745,0.38462961,0.53,1,"june",162
"138","Nnewi North","Oru West",2023,"Nnewi North",0.352890955,0.325946586,0.252765099,0.317649894,0.308642745,0.38462961,0.53,2,"june",1257
"139","Nnewi South","Oru West",2020,"Nnewi South",0.484363006,0.528571429,0.344666354,0.351257319,0.303374646,0.380306319,0.53,1,"june",162
"140","Nnewi South","Oru West",2023,"Nnewi South",0.484363006,0.528571429,0.344666354,0.351257319,0.303374646,0.380306319,0.53,2,"june",1257
"141","Ogbaru","Ahoada West",2020,"Ogbaru",0.446153846,0.366666667,0.463636364,0.320588235,0.230996863,0.322021221,0.53,1,"may",131
