LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,start_day_override 
Aboh-Mbaise,Ngor-Okpala,NA,0.42,0.42,1296,136,2023,1
Aboh-Mbaise,Ngor-Okpala,NA,0.5625,0.5625,1432,218,2024,1
Aboh-Mbaise,Ngor-Okpala,NA,0.75,0.75,1650,151,2024,1
Aboh-Mbaise,Ngor-Okpala,NA,0.8,0.8,1801,185,2025,1
Aboh-Mbaise,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,1
Abua-Odual,Ahoada West,NA,0.104505917,0.104505917,0,196,2020,1
Abua-Odual,Ahoada West,NA,0.449897973,0.449897973,196,154,2020,1
Abua-Odual,Ahoada West,NA,0.55388136,0.55388136,350,212,2020,1
Abua-Odual,Ahoada West,NA,0.8,0.8,562,154,2021,1
Abua-Odual,Ahoada West,NA,0.8,0.8,716,202,2022,1
Abua-Odual,Ahoada West,NA,0.8,0.8,918,159,2022,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1077,219,2023,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1296,136,2023,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1432,218,2024,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1650,151,2024,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1801,185,2025,1
Abua-Odual,Ahoada West,NA,0.8,0.8,1986,183,2025,1
Abuja Municipal,Keana,NA,0.048123756,0.048123756,0,196,2020,1
Abuja Municipal,Keana,NA,0.096247512,0.096247512,196,154,2020,1
Abuja Municipal,Keana,NA,0.525415168,0.525415168,350,212,2020,1
Abuja Municipal,Keana,NA,0.772386284,0.772386284,562,154,2021,1
Abuja Municipal,Keana,NA,0.8,0.8,716,202,2022,1
Abuja Municipal,Keana,NA,0.8,0.8,918,159,2022,1
Abuja Municipal,Keana,NA,0.8,0.8,1077,219,2023,1
Abuja Municipal,Keana,NA,0.8,0.8,1296,136,2023,1
Abuja Municipal,Keana,NA,0.8,0.8,1432,218,2024,1
Abuja Municipal,Keana,NA,0.8,0.8,1650,151,2024,1
Abuja Municipal,Keana,NA,0.8,0.8,1801,185,2025,1
Abuja Municipal,Keana,NA,0.8,0.8,1986,183,2025,1
Adavi,Owan East,NA,0.278942779,0.278942779,0,196,2020,1
Adavi,Owan East,NA,0.292889918,0.292889918,196,154,2020,1
Adavi,Owan East,NA,0.295679346,0.295679346,350,212,2020,1
Adavi,Owan East,NA,0.298468774,0.298468774,562,154,2021,1
Adavi,Owan East,NA,0.301258201,0.301258201,716,202,2022,1
Adavi,Owan East,NA,0.304047629,0.304047629,918,159,2022,1
Adavi,Owan East,NA,0.306837057,0.306837057,1077,219,2023,1
Adavi,Owan East,NA,0.312415912,0.312415912,1296,136,2023,1
Adavi,Owan East,NA,0.418414169,0.418414169,1432,218,2024,1
Adavi,Owan East,NA,0.557885558,0.557885558,1650,151,2024,1
Adavi,Owan East,NA,0.697356948,0.697356948,1801,185,2025,1
Adavi,Owan East,NA,0.8,0.8,1986,183,2025,1
Ado,Akinyele,NA,0.171296311,0.171296311,0,196,2020,1
Ado,Akinyele,NA,0.368715309,0.368715309,196,154,2020,1
Ado,Akinyele,NA,0.374042625,0.374042625,350,212,2020,1
Ado,Akinyele,NA,0.562691252,0.562691252,562,154,2021,1
Ado,Akinyele,NA,0.569800049,0.569800049,716,202,2022,1
Ado,Akinyele,NA,0.576943105,0.576943105,918,159,2022,1
Ado,Akinyele,NA,0.772546363,0.772546363,1077,219,2023,1
Ado,Akinyele,NA,0.790429697,0.790429697,1296,136,2023,1
Ado,Akinyele,NA,0.8,0.8,1432,218,2024,1
Ado,Akinyele,NA,0.8,0.8,1650,151,2024,1
Ado,Akinyele,NA,0.8,0.8,1801,185,2025,1
Ado,Akinyele,NA,0.8,0.8,1986,183,2025,1
Ado Ekiti,Owan East,NA,0.278942779,0.278942779,0,196,2020,1
Ado Ekiti,Owan East,NA,0.292889918,0.292889918,196,154,2020,1
Ado Ekiti,Owan East,NA,0.295679346,0.295679346,350,212,2020,1
Ado Ekiti,Owan East,NA,0.298468774,0.298468774,562,154,2021,1
Ado Ekiti,Owan East,NA,0.301258201,0.301258201,716,202,2022,1
Ado Ekiti,Owan East,NA,0.304047629,0.304047629,918,159,2022,1
Ado Ekiti,Owan East,NA,0.306837057,0.306837057,1077,219,2023,1
Ado Ekiti,Owan East,NA,0.312415912,0.312415912,1296,136,2023,1
Ado Ekiti,Owan East,NA,0.418414169,0.418414169,1432,218,2024,1
Ado Ekiti,Owan East,NA,0.557885558,0.557885558,1650,151,2024,1
Ado Ekiti,Owan East,NA,0.697356948,0.697356948,1801,185,2025,1
Ado Ekiti,Owan East,NA,0.8,0.8,1986,183,2025,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.420192485,0.420192485,0,196,2020,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.441202109,0.441202109,196,154,2020,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.445404034,0.445404034,350,212,2020,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.449605959,0.449605959,562,154,2021,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.453807884,0.453807884,716,202,2022,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.458009809,0.458009809,918,159,2022,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.462211734,0.462211734,1077,219,2023,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.470615583,0.470615583,1296,136,2023,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.630288728,0.630288728,1432,218,2024,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,1
Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,1
Afijio,Akinyele,NA,0.154926235,0.154926235,0,196,2020,1
Afijio,Akinyele,NA,0.325345094,0.325345094,196,154,2020,1
Afijio,Akinyele,NA,0.8,0.8,350,212,2020,1
Afijio,Akinyele,NA,0.8,0.8,562,154,2021,1
Afijio,Akinyele,NA,0.8,0.8,716,202,2022,1
Afijio,Akinyele,NA,0.8,0.8,918,159,2022,1
Afijio,Akinyele,NA,0.8,0.8,1077,219,2023,1
Afijio,Akinyele,NA,0.8,0.8,1296,136,2023,1
Afijio,Akinyele,NA,0.8,0.8,1432,218,2024,1
Afijio,Akinyele,NA,0.8,0.8,1650,151,2024,1
Afijio,Akinyele,NA,0.8,0.8,1801,185,2025,1
Afijio,Akinyele,NA,0.8,0.8,1986,183,2025,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,0,196,2020,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,196,154,2020,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,350,212,2020,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,562,154,2021,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,716,202,2022,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,918,159,2022,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1077,219,2023,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1296,136,2023,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1432,218,2024,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1650,151,2024,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1801,185,2025,1
Afikpo North,Oru West,NA,0.863945585,0.863945585,1986,183,2025,1
Afikpo South,Ngor-Okpala,NA,0.470951796,0.470951796,0,196,2020,1
Afikpo South,Ngor-Okpala,NA,0.494499386,0.494499386,196,154,2020,1
Afikpo South,Ngor-Okpala,NA,0.499208904,0.499208904,350,212,2020,1
Afikpo South,Ngor-Okpala,NA,0.503918422,0.503918422,562,154,2021,1
Afikpo South,Ngor-Okpala,NA,0.50862794,0.50862794,716,202,2022,1
Afikpo South,Ngor-Okpala,NA,0.513337458,0.513337458,918,159,2022,1
Afikpo South,Ngor-Okpala,NA,0.518046976,0.518046976,1077,219,2023,1
Afikpo South,Ngor-Okpala,NA,0.527466012,0.527466012,1296,136,2023,1
Afikpo South,Ngor-Okpala,NA,0.706427694,0.706427694,1432,218,2024,1
Afikpo South,Ngor-Okpala,NA,0.8,0.8,1650,151,2024,1
Afikpo South,Ngor-Okpala,NA,0.8,0.8,1801,185,2025,1
Afikpo South,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,1
Agaie,Oke-Ero,NA,0.246839589,0.246839589,0,196,2020,1
Agaie,Oke-Ero,NA,0.531322215,0.531322215,196,154,2020,1
Agaie,Oke-Ero,NA,0.538998927,0.538998927,350,212,2020,1
Agaie,Oke-Ero,NA,0.8,0.8,562,154,2021,1
Agaie,Oke-Ero,NA,0.8,0.8,716,202,2022,1
Agaie,Oke-Ero,NA,0.8,0.8,918,159,2022,1
Agaie,Oke-Ero,NA,0.8,0.8,1077,219,2023,1
Agaie,Oke-Ero,NA,0.8,0.8,1296,136,2023,1
Agaie,Oke-Ero,NA,0.8,0.8,1432,218,2024,1
Agaie,Oke-Ero,NA,0.8,0.8,1650,151,2024,1
Agaie,Oke-Ero,NA,0.8,0.8,1801,185,2025,1
Agaie,Oke-Ero,NA,0.8,0.8,1986,183,2025,1
Agatu,Keana,NA,0.177187213,0.177187213,0,196,2020,1
Agatu,Keana,NA,0.381395476,0.381395476,196,154,2020,1
Agatu,Keana,NA,0.386905998,0.386905998,350,212,2020,1
Agatu,Keana,NA,0.582042276,0.582042276,562,154,2021,1
Agatu,Keana,NA,0.589395545,0.589395545,716,202,2022,1
Agatu,Keana,NA,0.596784252,0.596784252,918,159,2022,1
Agatu,Keana,NA,0.799114331,0.799114331,1077,219,2023,1
Agatu,Keana,NA,0.8,0.8,1296,136,2023,1
Agatu,Keana,NA,0.8,0.8,1432,218,2024,1
Agatu,Keana,NA,0.8,0.8,1650,151,2024,1
Agatu,Keana,NA,0.8,0.8,1801,185,2025,1
Agatu,Keana,NA,0.8,0.8,1986,183,2025,1
Agege,Uzo-Uwani,NA,0.420192485,0.420192485,0,196,2020,1
Agege,Uzo-Uwani,NA,0.441202109,0.441202109,196,154,2020,1
Agege,Uzo-Uwani,NA,0.445404034,0.445404034,350,212,2020,1
Agege,Uzo-Uwani,NA,0.449605959,0.449605959,562,154,2021,1
Agege,Uzo-Uwani,NA,0.453807884,0.453807884,716,202,2022,1
Agege,Uzo-Uwani,NA,0.458009809,0.458009809,918,159,2022,1
Agege,Uzo-Uwani,NA,0.462211734,0.462211734,1077,219,2023,1
Agege,Uzo-Uwani,NA,0.470615583,0.470615583,1296,136,2023,1
Agege,Uzo-Uwani,NA,0.630288728,0.630288728,1432,218,2024,1
Agege,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,1
Agege,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,1
Agege,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,1
Aguata,Oru West,NA,0.435107986,0.435107986,0,196,2020,1
Aguata,Oru West,NA,0.456863385,0.456863385,196,154,2020,1
Aguata,Oru West,NA,0.461214465,0.461214465,350,212,2020,1
Aguata,Oru West,NA,0.465565545,0.465565545,562,154,2021,1
Aguata,Oru West,NA,0.469916625,0.469916625,716,202,2022,1
Aguata,Oru West,NA,0.474267705,0.474267705,918,159,2022,1
Aguata,Oru West,NA,0.478618785,0.478618785,1077,219,2023,1
Aguata,Oru West,NA,0.487320944,0.487320944,1296,136,2023,1
Aguata,Oru West,NA,0.652661979,0.652661979,1432,218,2024,1
Aguata,Oru West,NA,0.8,0.8,1650,151,2024,1
Aguata,Oru West,NA,0.8,0.8,1801,185,2025,1
Aguata,Oru West,NA,0.8,0.8,1986,183,2025,1
Agwara,Birnin Kebbi,NA,0.42225568,0.42225568,0,196,2020,1
Agwara,Birnin Kebbi,NA,0.443368464,0.443368464,196,154,2020,1
Agwara,Birnin Kebbi,NA,0.447591021,0.447591021,350,212,2020,1
Agwara,Birnin Kebbi,NA,0.451813578,0.451813578,562,154,2021,1
Agwara,Birnin Kebbi,NA,0.456036134,0.456036134,716,202,2022,1
Agwara,Birnin Kebbi,NA,0.460258691,0.460258691,918,159,2022,1
Agwara,Birnin Kebbi,NA,0.464481248,0.464481248,1077,219,2023,1
Agwara,Birnin Kebbi,NA,0.472926362,0.472926362,1296,136,2023,1
Agwara,Birnin Kebbi,NA,0.63338352,0.63338352,1432,218,2024,1
Agwara,Birnin Kebbi,NA,0.8,0.8,1650,151,2024,1
Agwara,Birnin Kebbi,NA,0.8,0.8,1801,185,2025,1
Agwara,Birnin Kebbi,NA,0.8,0.8,1986,183,2025,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.283373403,0.283373403,0,196,2020,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.297542073,0.297542073,196,154,2020,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.300375807,0.300375807,350,212,2020,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.303209541,0.303209541,562,154,2021,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.306043275,0.306043275,716,202,2022,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.308877009,0.308877009,918,159,2022,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.311710743,0.311710743,1077,219,2023,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.317378211,0.317378211,1296,136,2023,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.425060105,0.425060105,1432,218,2024,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.566746806,0.566746806,1650,151,2024,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.708433508,0.708433508,1801,185,2025,1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,1
Ahoada East,Ahoada West,NA,0.300663225,0.300663225,0,196,2020,1
Ahoada East,Ahoada West,NA,0.315696386,0.315696386,196,154,2020,1
Ahoada East,Ahoada West,NA,0.318703019,0.318703019,350,212,2020,1
Ahoada East,Ahoada West,NA,0.321709651,0.321709651,562,154,2021,1
Ahoada East,Ahoada West,NA,0.324716283,0.324716283,716,202,2022,1
Ahoada East,Ahoada West,NA,0.327722915,0.327722915,918,159,2022,1
Ahoada East,Ahoada West,NA,0.330729548,0.330729548,1077,219,2023,1
Ahoada East,Ahoada West,NA,0.336742812,0.336742812,1296,136,2023,1
Ahoada East,Ahoada West,NA,0.450994838,0.450994838,1432,218,2024,1
Ahoada East,Ahoada West,NA,0.60132645,0.60132645,1650,151,2024,1
Ahoada East,Ahoada West,NA,0.751658063,0.751658063,1801,185,2025,1
Ahoada East,Ahoada West,NA,0.8,0.8,1986,183,2025,1
Ahoada West,Ahoada West,NA,0.333333333,0.333333333,0,196,2020,1
Ahoada West,Ahoada West,NA,0.35,0.35,196,154,2020,1
Ahoada West,Ahoada West,NA,0.353333333,0.353333333,350,212,2020,1
Ahoada West,Ahoada West,NA,0.356666666,0.356666666,562,154,2021,1
Ahoada West,Ahoada West,NA,0.36,0.36,716,202,2022,1
Ahoada West,Ahoada West,NA,0.363333333,0.363333333,918,159,2022,1
Ahoada West,Ahoada West,NA,0.366666666,0.366666666,1077,219,2023,1
Ahoada West,Ahoada West,NA,0.373333333,0.373333333,1296,136,2023,1
Ahoada West,Ahoada West,NA,0.5,0.5,1432,218,2024,1
Ahoada West,Ahoada West,NA,0.666666666,0.666666666,1650,151,2024,1
Ahoada West,Ahoada West,NA,0.8,0.8,1801,185,2025,1
Ahoada West,Ahoada West,NA,0.8,0.8,1986,183,2025,1
Aiyedade,Akinyele,NA,0.154926235,0.154926235,0,196,2020,1
Aiyedade,Akinyele,NA,0.325345094,0.325345094,196,154,2020,1
Aiyedade,Akinyele,NA,0.8,0.8,350,212,2020,1
Aiyedade,Akinyele,NA,0.8,0.8,562,154,2021,1
Aiyedade,Akinyele,NA,0.8,0.8,716,202,2022,1
Aiyedade,Akinyele,NA,0.8,0.8,918,159,2022,1
Aiyedade,Akinyele,NA,0.8,0.8,1077,219,2023,1
Aiyedade,Akinyele,NA,0.8,0.8,1296,136,2023,1
Aiyedade,Akinyele,NA,0.8,0.8,1432,218,2024,1
Aiyedade,Akinyele,NA,0.8,0.8,1650,151,2024,1
Aiyedade,Akinyele,NA,0.8,0.8,1801,185,2025,1
Aiyedade,Akinyele,NA,0.8,0.8,1986,183,2025,1
Aiyedire,Akinyele,NA,0.154926235,0.154926235,0,196,2020,1
Aiyedire,Akinyele,NA,0.325345094,0.325345094,196,154,2020,1
Aiyedire,Akinyele,NA,0.8,0.8,350,212,2020,1
Aiyedire,Akinyele,NA,0.8,0.8,562,154,2021,1
Aiyedire,Akinyele,NA,0.8,0.8,716,202,2022,1
Aiyedire,Akinyele,NA,0.8,0.8,918,159,2022,1
Aiyedire,Akinyele,NA,0.8,0.8,1077,219,2023,1
Aiyedire,Akinyele,NA,0.8,0.8,1296,136,2023,1
Aiyedire,Akinyele,NA,0.8,0.8,1432,218,2024,1
Aiyedire,Akinyele,NA,0.8,0.8,1650,151,2024,1
Aiyedire,Akinyele,NA,0.8,0.8,1801,185,2025,1
Aiyedire,Akinyele,NA,0.8,0.8,1986,183,2025,1
Ajaokuta,Owan East,NA,0.278942779,0.278942779,0,196,2020,1
Ajaokuta,Owan East,NA,0.292889918,0.292889918,196,154,2020,1
Ajaokuta,Owan East,NA,0.295679346,0.295679346,350,212,2020,1
Ajaokuta,Owan East,NA,0.298468774,0.298468774,562,154,2021,1
Ajaokuta,Owan East,NA,0.301258201,0.301258201,716,202,2022,1
Ajaokuta,Owan East,NA,0.304047629,0.304047629,918,159,2022,1
Ajaokuta,Owan East,NA,0.306837057,0.306837057,1077,219,2023,1
Ajaokuta,Owan East,NA,0.312415912,0.312415912,1296,136,2023,1
Ajaokuta,Owan East,NA,0.418414169,0.418414169,1432,218,2024,1
Ajaokuta,Owan East,NA,0.557885558,0.557885558,1650,151,2024,1
Ajaokuta,Owan East,NA,0.697356948,0.697356948,1801,185,2025,1
Ajaokuta,Owan East,NA,0.8,0.8,1986,183,2025,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.697452222,0.697452222,0,196,2020,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.732324833,0.732324833,196,154,2020,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.739299355,0.739299355,350,212,2020,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.746273878,0.746273878,562,154,2021,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.7532484,0.7532484,716,202,2022,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.760222922,0.760222922,918,159,2022,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.767197444,0.767197444,1077,219,2023,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.781146489,0.781146489,1296,136,2023,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.8,0.8,1432,218,2024,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,1
Ajingi,Taura,NA,0.174928041,0.174928041,0,196,2020,1
Ajingi,Taura,NA,0.376532608,0.376532608,196,154,2020,1
