,LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases,start_day_override
72,Abakaliki,Owan East,NA,0.8,0.8,1986,183,2025,12,0.8,1
73,Abeokuta North,Owan East,NA,0.516473785,0.516473785,0,196,2020,1,0.49,1
74,Abeokuta North,Owan East,NA,0.542297474,0.542297474,196,154,2020,2,0.539,1
75,Abeokuta North,Owan East,NA,0.547462212,0.547462212,350,212,2021,3,0.588,1
76,Abeokuta North,Owan East,NA,0.55262695,0.55262695,562,154,2021,4,0.637,1
77,Abeokuta North,Owan East,NA,0.557791688,0.557791688,716,202,2022,5,0.686,1
78,Abeokuta North,Owan East,NA,0.562956426,0.562956426,918,159,2022,6,0.735,1
79,Abeokuta North,Owan East,NA,0.568121164,0.568121164,1077,219,2023,7,0.784,1
80,Abeokuta North,Owan East,NA,0.578450639,0.578450639,1296,136,2023,8,0.8,1
81,Abeokuta North,Owan East,NA,0.774710678,0.774710678,1432,218,2024,9,0.8,1
82,Abeokuta North,Owan East,NA,0.8,0.8,1650,151,2024,10,0.8,1
83,Abeokuta North,Owan East,NA,0.8,0.8,1801,185,2025,11,0.8,1
84,Abeokuta North,Owan East,NA,0.8,0.8,1986,183,2025,12,0.8,1
85,Abeokuta South,Uzo-Uwani,NA,0.793442604,0.793442604,0,196,2020,1,0.49,1
86,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,196,154,2020,2,0.539,1
87,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,350,212,2021,3,0.588,1
88,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,562,154,2021,4,0.637,1
89,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,716,202,2022,5,0.686,1
90,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,918,159,2022,6,0.735,1
91,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1077,219,2023,7,0.784,1
92,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1296,136,2023,8,0.8,1
93,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1432,218,2024,9,0.8,1
94,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,10,0.8,1
95,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,11,0.8,1
96,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,12,0.8,1
97,Abi,Obubra,NA,0.145161293,0.145161293,0,196,2020,1,0.49,1
98,Abi,Obubra,NA,0.304838715,0.304838715,196,154,2020,2,0.539,1
99,Abi,Obubra,NA,0.769354853,0.769354853,350,212,2021,3,0.588,1
100,Abi,Obubra,NA,0.8,0.8,562,154,2021,4,0.637,1
101,Abi,Obubra,NA,0.8,0.8,716,202,2022,5,0.686,1
102,Abi,Obubra,NA,0.8,0.8,918,159,2022,6,0.735,1
103,Abi,Obubra,NA,0.8,0.8,1077,219,2023,7,0.784,1
104,Abi,Obubra,NA,0.8,0.8,1296,136,2023,8,0.8,1
105,Abi,Obubra,NA,0.8,0.8,1432,218,2024,9,0.8,1
106,Abi,Obubra,NA,0.8,0.8,1650,151,2024,10,0.8,1
107,Abi,Obubra,NA,0.8,0.8,1801,185,2025,11,0.8,1
108,Abi,Obubra,NA,0.8,0.8,1986,183,2025,12,0.8,1
109,Aboh-Mbaise,Ngor-Okpala,NA,0.375,0.375,0,196,2020,1,0.49,1
110,Aboh-Mbaise,Ngor-Okpala,NA,0.39375,0.39375,196,154,2020,2,0.539,1
111,Aboh-Mbaise,Ngor-Okpala,NA,0.3975,0.3975,350,212,2021,3,0.588,1
112,Aboh-Mbaise,Ngor-Okpala,NA,0.40125,0.40125,562,154,2021,4,0.637,1
113,Aboh-Mbaise,Ngor-Okpala,NA,0.405,0.405,716,202,2022,5,0.686,1
114,Aboh-Mbaise,Ngor-Okpala,NA,0.40875,0.40875,918,159,2022,6,0.735,1
115,Aboh-Mbaise,Ngor-Okpala,NA,0.4125,0.4125,1077,219,2023,7,0.784,1
116,Aboh-Mbaise,Ngor-Okpala,NA,0.42,0.42,1296,136,2023,8,0.8,1
117,Aboh-Mbaise,Ngor-Okpala,NA,0.5625,0.5625,1432,218,2024,9,0.8,1
118,Aboh-Mbaise,Ngor-Okpala,NA,0.75,0.75,1650,151,2024,10,0.8,1
119,Aboh-Mbaise,Ngor-Okpala,NA,0.8,0.8,1801,185,2025,11,0.8,1
120,Aboh-Mbaise,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,12,0.8,1
121,Abua-Odual,Ahoada West,NA,0.104505917,0.104505917,0,196,2020,1,0.49,1
122,Abua-Odual,Ahoada West,NA,0.449897973,0.449897973,196,154,2020,2,0.539,1
123,Abua-Odual,Ahoada West,NA,0.55388136,0.55388136,350,212,2021,3,0.588,1
124,Abua-Odual,Ahoada West,NA,0.8,0.8,562,154,2021,4,0.637,1
125,Abua-Odual,Ahoada West,NA,0.8,0.8,716,202,2022,5,0.686,1
126,Abua-Odual,Ahoada West,NA,0.8,0.8,918,159,2022,6,0.735,1
127,Abua-Odual,Ahoada West,NA,0.8,0.8,1077,219,2023,7,0.784,1
128,Abua-Odual,Ahoada West,NA,0.8,0.8,1296,136,2023,8,0.8,1
129,Abua-Odual,Ahoada West,NA,0.8,0.8,1432,218,2024,9,0.8,1
130,Abua-Odual,Ahoada West,NA,0.8,0.8,1650,151,2024,10,0.8,1
131,Abua-Odual,Ahoada West,NA,0.8,0.8,1801,185,2025,11,0.8,1
132,Abua-Odual,Ahoada West,NA,0.8,0.8,1986,183,2025,12,0.8,1
133,Abuja Municipal,Keana,NA,0.048123756,0.048123756,0,196,2020,1,0.49,1
134,Abuja Municipal,Keana,NA,0.096247512,0.096247512,196,154,2020,2,0.539,1
135,Abuja Municipal,Keana,NA,0.525415168,0.525415168,350,212,2021,3,0.588,1
136,Abuja Municipal,Keana,NA,0.772386284,0.772386284,562,154,2021,4,0.637,1
137,Abuja Municipal,Keana,NA,0.8,0.8,716,202,2022,5,0.686,1
138,Abuja Municipal,Keana,NA,0.8,0.8,918,159,2022,6,0.735,1
139,Abuja Municipal,Keana,NA,0.8,0.8,1077,219,2023,7,0.784,1
140,Abuja Municipal,Keana,NA,0.8,0.8,1296,136,2023,8,0.8,1
141,Abuja Municipal,Keana,NA,0.8,0.8,1432,218,2024,9,0.8,1
142,Abuja Municipal,Keana,NA,0.8,0.8,1650,151,2024,10,0.8,1
143,Abuja Municipal,Keana,NA,0.8,0.8,1801,185,2025,11,0.8,1
144,Abuja Municipal,Keana,NA,0.8,0.8,1986,183,2025,12,0.8,1
145,Adavi,Owan East,NA,0.278942779,0.278942779,0,196,2020,1,0.49,1
146,Adavi,Owan East,NA,0.292889918,0.292889918,196,154,2020,2,0.539,1
147,Adavi,Owan East,NA,0.295679346,0.295679346,350,212,2021,3,0.588,1
148,Adavi,Owan East,NA,0.298468774,0.298468774,562,154,2021,4,0.637,1
149,Adavi,Owan East,NA,0.301258201,0.301258201,716,202,2022,5,0.686,1
150,Adavi,Owan East,NA,0.304047629,0.304047629,918,159,2022,6,0.735,1
151,Adavi,Owan East,NA,0.306837057,0.306837057,1077,219,2023,7,0.784,1
152,Adavi,Owan East,NA,0.312415912,0.312415912,1296,136,2023,8,0.8,1
153,Adavi,Owan East,NA,0.418414169,0.418414169,1432,218,2024,9,0.8,1
154,Adavi,Owan East,NA,0.557885558,0.557885558,1650,151,2024,10,0.8,1
155,Adavi,Owan East,NA,0.697356948,0.697356948,1801,185,2025,11,0.8,1
156,Adavi,Owan East,NA,0.8,0.8,1986,183,2025,12,0.8,1
157,Ado,Akinyele,NA,0.171296311,0.171296311,0,196,2020,1,0.49,1
158,Ado,Akinyele,NA,0.368715309,0.368715309,196,154,2020,2,0.539,1
159,Ado,Akinyele,NA,0.374042625,0.374042625,350,212,2021,3,0.588,1
160,Ado,Akinyele,NA,0.562691252,0.562691252,562,154,2021,4,0.637,1
161,Ado,Akinyele,NA,0.569800049,0.569800049,716,202,2022,5,0.686,1
162,Ado,Akinyele,NA,0.576943105,0.576943105,918,159,2022,6,0.735,1
163,Ado,Akinyele,NA,0.772546363,0.772546363,1077,219,2023,7,0.784,1
164,Ado,Akinyele,NA,0.790429697,0.790429697,1296,136,2023,8,0.8,1
165,Ado,Akinyele,NA,0.8,0.8,1432,218,2024,9,0.8,1
166,Ado,Akinyele,NA,0.8,0.8,1650,151,2024,10,0.8,1
167,Ado,Akinyele,NA,0.8,0.8,1801,185,2025,11,0.8,1
168,Ado,Akinyele,NA,0.8,0.8,1986,183,2025,12,0.8,1
169,Ado Ekiti,Owan East,NA,0.278942779,0.278942779,0,196,2020,1,0.49,1
170,Ado Ekiti,Owan East,NA,0.292889918,0.292889918,196,154,2020,2,0.539,1
171,Ado Ekiti,Owan East,NA,0.295679346,0.295679346,350,212,2021,3,0.588,1
172,Ado Ekiti,Owan East,NA,0.298468774,0.298468774,562,154,2021,4,0.637,1
173,Ado Ekiti,Owan East,NA,0.301258201,0.301258201,716,202,2022,5,0.686,1
174,Ado Ekiti,Owan East,NA,0.304047629,0.304047629,918,159,2022,6,0.735,1
175,Ado Ekiti,Owan East,NA,0.306837057,0.306837057,1077,219,2023,7,0.784,1
176,Ado Ekiti,Owan East,NA,0.312415912,0.312415912,1296,136,2023,8,0.8,1
177,Ado Ekiti,Owan East,NA,0.418414169,0.418414169,1432,218,2024,9,0.8,1
178,Ado Ekiti,Owan East,NA,0.557885558,0.557885558,1650,151,2024,10,0.8,1
179,Ado Ekiti,Owan East,NA,0.697356948,0.697356948,1801,185,2025,11,0.8,1
180,Ado Ekiti,Owan East,NA,0.8,0.8,1986,183,2025,12,0.8,1
181,Ado-Odo-Ota,Uzo-Uwani,NA,0.420192485,0.420192485,0,196,2020,1,0.49,1
182,Ado-Odo-Ota,Uzo-Uwani,NA,0.441202109,0.441202109,196,154,2020,2,0.539,1
183,Ado-Odo-Ota,Uzo-Uwani,NA,0.445404034,0.445404034,350,212,2021,3,0.588,1
184,Ado-Odo-Ota,Uzo-Uwani,NA,0.449605959,0.449605959,562,154,2021,4,0.637,1
185,Ado-Odo-Ota,Uzo-Uwani,NA,0.453807884,0.453807884,716,202,2022,5,0.686,1
186,Ado-Odo-Ota,Uzo-Uwani,NA,0.458009809,0.458009809,918,159,2022,6,0.735,1
187,Ado-Odo-Ota,Uzo-Uwani,NA,0.462211734,0.462211734,1077,219,2023,7,0.784,1
188,Ado-Odo-Ota,Uzo-Uwani,NA,0.470615583,0.470615583,1296,136,2023,8,0.8,1
189,Ado-Odo-Ota,Uzo-Uwani,NA,0.630288728,0.630288728,1432,218,2024,9,0.8,1
190,Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,10,0.8,1
191,Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,11,0.8,1
192,Ado-Odo-Ota,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,12,0.8,1
193,Afijio,Akinyele,NA,0.154926235,0.154926235,0,196,2020,1,0.49,1
194,Afijio,Akinyele,NA,0.325345094,0.325345094,196,154,2020,2,0.539,1
195,Afijio,Akinyele,NA,0.8,0.8,350,212,2021,3,0.588,1
196,Afijio,Akinyele,NA,0.8,0.8,562,154,2021,4,0.637,1
197,Afijio,Akinyele,NA,0.8,0.8,716,202,2022,5,0.686,1
198,Afijio,Akinyele,NA,0.8,0.8,918,159,2022,6,0.735,1
199,Afijio,Akinyele,NA,0.8,0.8,1077,219,2023,7,0.784,1
200,Afijio,Akinyele,NA,0.8,0.8,1296,136,2023,8,0.8,1
201,Afijio,Akinyele,NA,0.8,0.8,1432,218,2024,9,0.8,1
202,Afijio,Akinyele,NA,0.8,0.8,1650,151,2024,10,0.8,1
203,Afijio,Akinyele,NA,0.8,0.8,1801,185,2025,11,0.8,1
204,Afijio,Akinyele,NA,0.8,0.8,1986,183,2025,12,0.8,1
205,Afikpo North,Oru West,NA,0.863945585,0.863945585,0,196,2020,1,0.49,1
206,Afikpo North,Oru West,NA,0.863945585,0.863945585,196,154,2020,2,0.539,1
207,Afikpo North,Oru West,NA,0.863945585,0.863945585,350,212,2021,3,0.588,1
208,Afikpo North,Oru West,NA,0.863945585,0.863945585,562,154,2021,4,0.637,1
209,Afikpo North,Oru West,NA,0.863945585,0.863945585,716,202,2022,5,0.686,1
210,Afikpo North,Oru West,NA,0.863945585,0.863945585,918,159,2022,6,0.735,1
211,Afikpo North,Oru West,NA,0.863945585,0.863945585,1077,219,2023,7,0.784,1
212,Afikpo North,Oru West,NA,0.863945585,0.863945585,1296,136,2023,8,0.8,1
213,Afikpo North,Oru West,NA,0.863945585,0.863945585,1432,218,2024,9,0.8,1
214,Afikpo North,Oru West,NA,0.863945585,0.863945585,1650,151,2024,10,0.8,1
215,Afikpo North,Oru West,NA,0.863945585,0.863945585,1801,185,2025,11,0.8,1
216,Afikpo North,Oru West,NA,0.863945585,0.863945585,1986,183,2025,12,0.8,1
217,Afikpo South,Ngor-Okpala,NA,0.470951796,0.470951796,0,196,2020,1,0.49,1
218,Afikpo South,Ngor-Okpala,NA,0.494499386,0.494499386,196,154,2020,2,0.539,1
219,Afikpo South,Ngor-Okpala,NA,0.499208904,0.499208904,350,212,2021,3,0.588,1
220,Afikpo South,Ngor-Okpala,NA,0.503918422,0.503918422,562,154,2021,4,0.637,1
221,Afikpo South,Ngor-Okpala,NA,0.50862794,0.50862794,716,202,2022,5,0.686,1
222,Afikpo South,Ngor-Okpala,NA,0.513337458,0.513337458,918,159,2022,6,0.735,1
223,Afikpo South,Ngor-Okpala,NA,0.518046976,0.518046976,1077,219,2023,7,0.784,1
224,Afikpo South,Ngor-Okpala,NA,0.527466012,0.527466012,1296,136,2023,8,0.8,1
225,Afikpo South,Ngor-Okpala,NA,0.706427694,0.706427694,1432,218,2024,9,0.8,1
226,Afikpo South,Ngor-Okpala,NA,0.8,0.8,1650,151,2024,10,0.8,1
227,Afikpo South,Ngor-Okpala,NA,0.8,0.8,1801,185,2025,11,0.8,1
228,Afikpo South,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,12,0.8,1
229,Agaie,Oke-Ero,NA,0.246839589,0.246839589,0,196,2020,1,0.49,1
230,Agaie,Oke-Ero,NA,0.531322215,0.531322215,196,154,2020,2,0.539,1
231,Agaie,Oke-Ero,NA,0.538998927,0.538998927,350,212,2021,3,0.588,1
232,Agaie,Oke-Ero,NA,0.8,0.8,562,154,2021,4,0.637,1
233,Agaie,Oke-Ero,NA,0.8,0.8,716,202,2022,5,0.686,1
234,Agaie,Oke-Ero,NA,0.8,0.8,918,159,2022,6,0.735,1
235,Agaie,Oke-Ero,NA,0.8,0.8,1077,219,2023,7,0.784,1
236,Agaie,Oke-Ero,NA,0.8,0.8,1296,136,2023,8,0.8,1
237,Agaie,Oke-Ero,NA,0.8,0.8,1432,218,2024,9,0.8,1
238,Agaie,Oke-Ero,NA,0.8,0.8,1650,151,2024,10,0.8,1
239,Agaie,Oke-Ero,NA,0.8,0.8,1801,185,2025,11,0.8,1
240,Agaie,Oke-Ero,NA,0.8,0.8,1986,183,2025,12,0.8,1
241,Agatu,Keana,NA,0.177187213,0.177187213,0,196,2020,1,0.49,1
242,Agatu,Keana,NA,0.381395476,0.381395476,196,154,2020,2,0.539,1
243,Agatu,Keana,NA,0.386905998,0.386905998,350,212,2021,3,0.588,1
244,Agatu,Keana,NA,0.582042276,0.582042276,562,154,2021,4,0.637,1
245,Agatu,Keana,NA,0.589395545,0.589395545,716,202,2022,5,0.686,1
246,Agatu,Keana,NA,0.596784252,0.596784252,918,159,2022,6,0.735,1
247,Agatu,Keana,NA,0.799114331,0.799114331,1077,219,2023,7,0.784,1
248,Agatu,Keana,NA,0.8,0.8,1296,136,2023,8,0.8,1
249,Agatu,Keana,NA,0.8,0.8,1432,218,2024,9,0.8,1
250,Agatu,Keana,NA,0.8,0.8,1650,151,2024,10,0.8,1
251,Agatu,Keana,NA,0.8,0.8,1801,185,2025,11,0.8,1
252,Agatu,Keana,NA,0.8,0.8,1986,183,2025,12,0.8,1
253,Agege,Uzo-Uwani,NA,0.420192485,0.420192485,0,196,2020,1,0.49,1
254,Agege,Uzo-Uwani,NA,0.441202109,0.441202109,196,154,2020,2,0.539,1
255,Agege,Uzo-Uwani,NA,0.445404034,0.445404034,350,212,2021,3,0.588,1
256,Agege,Uzo-Uwani,NA,0.449605959,0.449605959,562,154,2021,4,0.637,1
257,Agege,Uzo-Uwani,NA,0.453807884,0.453807884,716,202,2022,5,0.686,1
258,Agege,Uzo-Uwani,NA,0.458009809,0.458009809,918,159,2022,6,0.735,1
259,Agege,Uzo-Uwani,NA,0.462211734,0.462211734,1077,219,2023,7,0.784,1
260,Agege,Uzo-Uwani,NA,0.470615583,0.470615583,1296,136,2023,8,0.8,1
261,Agege,Uzo-Uwani,NA,0.630288728,0.630288728,1432,218,2024,9,0.8,1
262,Agege,Uzo-Uwani,NA,0.8,0.8,1650,151,2024,10,0.8,1
263,Agege,Uzo-Uwani,NA,0.8,0.8,1801,185,2025,11,0.8,1
264,Agege,Uzo-Uwani,NA,0.8,0.8,1986,183,2025,12,0.8,1
265,Aguata,Oru West,NA,0.435107986,0.435107986,0,196,2020,1,0.49,1
266,Aguata,Oru West,NA,0.456863385,0.456863385,196,154,2020,2,0.539,1
267,Aguata,Oru West,NA,0.461214465,0.461214465,350,212,2021,3,0.588,1
268,Aguata,Oru West,NA,0.465565545,0.465565545,562,154,2021,4,0.637,1
269,Aguata,Oru West,NA,0.469916625,0.469916625,716,202,2022,5,0.686,1
270,Aguata,Oru West,NA,0.474267705,0.474267705,918,159,2022,6,0.735,1
271,Aguata,Oru West,NA,0.478618785,0.478618785,1077,219,2023,7,0.784,1
272,Aguata,Oru West,NA,0.487320944,0.487320944,1296,136,2023,8,0.8,1
273,Aguata,Oru West,NA,0.652661979,0.652661979,1432,218,2024,9,0.8,1
274,Aguata,Oru West,NA,0.8,0.8,1650,151,2024,10,0.8,1
275,Aguata,Oru West,NA,0.8,0.8,1801,185,2025,11,0.8,1
276,Aguata,Oru West,NA,0.8,0.8,1986,183,2025,12,0.8,1
277,Agwara,Birnin Kebbi,NA,0.42225568,0.42225568,0,196,2020,1,0.49,1
278,Agwara,Birnin Kebbi,NA,0.443368464,0.443368464,196,154,2020,2,0.539,1
279,Agwara,Birnin Kebbi,NA,0.447591021,0.447591021,350,212,2021,3,0.588,1
280,Agwara,Birnin Kebbi,NA,0.451813578,0.451813578,562,154,2021,4,0.637,1
281,Agwara,Birnin Kebbi,NA,0.456036134,0.456036134,716,202,2022,5,0.686,1
282,Agwara,Birnin Kebbi,NA,0.460258691,0.460258691,918,159,2022,6,0.735,1
283,Agwara,Birnin Kebbi,NA,0.464481248,0.464481248,1077,219,2023,7,0.784,1
284,Agwara,Birnin Kebbi,NA,0.472926362,0.472926362,1296,136,2023,8,0.8,1
285,Agwara,Birnin Kebbi,NA,0.63338352,0.63338352,1432,218,2024,9,0.8,1
286,Agwara,Birnin Kebbi,NA,0.8,0.8,1650,151,2024,10,0.8,1
287,Agwara,Birnin Kebbi,NA,0.8,0.8,1801,185,2025,11,0.8,1
288,Agwara,Birnin Kebbi,NA,0.8,0.8,1986,183,2025,12,0.8,1
289,Ahiazu-Mbaise,Ngor-Okpala,NA,0.283373403,0.283373403,0,196,2020,1,0.49,1
290,Ahiazu-Mbaise,Ngor-Okpala,NA,0.297542073,0.297542073,196,154,2020,2,0.539,1
291,Ahiazu-Mbaise,Ngor-Okpala,NA,0.300375807,0.300375807,350,212,2021,3,0.588,1
292,Ahiazu-Mbaise,Ngor-Okpala,NA,0.303209541,0.303209541,562,154,2021,4,0.637,1
293,Ahiazu-Mbaise,Ngor-Okpala,NA,0.306043275,0.306043275,716,202,2022,5,0.686,1
294,Ahiazu-Mbaise,Ngor-Okpala,NA,0.308877009,0.308877009,918,159,2022,6,0.735,1
295,Ahiazu-Mbaise,Ngor-Okpala,NA,0.311710743,0.311710743,1077,219,2023,7,0.784,1
296,Ahiazu-Mbaise,Ngor-Okpala,NA,0.317378211,0.317378211,1296,136,2023,8,0.8,1
297,Ahiazu-Mbaise,Ngor-Okpala,NA,0.425060105,0.425060105,1432,218,2024,9,0.8,1
298,Ahiazu-Mbaise,Ngor-Okpala,NA,0.566746806,0.566746806,1650,151,2024,10,0.8,1
299,Ahiazu-Mbaise,Ngor-Okpala,NA,0.708433508,0.708433508,1801,185,2025,11,0.8,1
300,Ahiazu-Mbaise,Ngor-Okpala,NA,0.8,0.8,1986,183,2025,12,0.8,1
301,Ahoada East,Ahoada West,NA,0.300663225,0.300663225,0,196,2020,1,0.49,1
302,Ahoada East,Ahoada West,NA,0.315696386,0.315696386,196,154,2020,2,0.539,1
303,Ahoada East,Ahoada West,NA,0.318703019,0.318703019,350,212,2021,3,0.588,1
304,Ahoada East,Ahoada West,NA,0.321709651,0.321709651,562,154,2021,4,0.637,1
305,Ahoada East,Ahoada West,NA,0.324716283,0.324716283,716,202,2022,5,0.686,1
306,Ahoada East,Ahoada West,NA,0.327722915,0.327722915,918,159,2022,6,0.735,1
307,Ahoada East,Ahoada West,NA,0.330729548,0.330729548,1077,219,2023,7,0.784,1
308,Ahoada East,Ahoada West,NA,0.336742812,0.336742812,1296,136,2023,8,0.8,1
309,Ahoada East,Ahoada West,NA,0.450994838,0.450994838,1432,218,2024,9,0.8,1
