,LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round
1950,Danja,Giwa,NA,0.8,0.8,0.8,0,-1,2025,1,13
1951,Darazo,Darazo,NA,0.161152612,0.161152612,0.49,0,196,2020,1,1
1952,Darazo,Darazo,NA,0.346880997,0.346880997,0.539,196,154,2020,1,2
1953,Darazo,Darazo,NA,0.351892844,0.351892844,0.588,350,212,2021,1,3
1954,Darazo,Darazo,NA,0.529370215,0.529370215,0.637,562,154,2021,1,4
1955,Darazo,Darazo,NA,0.536058049,0.536058049,0.686,716,202,2022,1,5
1956,Darazo,Darazo,NA,0.542778112,0.542778112,0.735,918,159,2022,1,6
1957,Darazo,Darazo,NA,0.72679828,0.72679828,0.784,1077,219,2023,1,7
1958,Darazo,Darazo,NA,0.743622613,0.743622613,0.8,1296,136,2023,1,8
1959,Darazo,Darazo,NA,0.8,0.8,0.8,1432,218,2024,1,9
1960,Darazo,Darazo,NA,0.8,0.8,0.8,1650,151,2024,1,10
1961,Darazo,Darazo,NA,0.8,0.8,0.8,1801,185,2025,1,11
1962,Darazo,Darazo,NA,0.8,0.8,0.8,1986,183,2025,1,12
1963,Darazo,Darazo,NA,0.8,0.8,0.8,0,-1,2025,1,13
1964,Dass,Alkaleri,NA,0.234127553,0.234127553,0.49,0,196,2020,1,1
1965,Dass,Alkaleri,NA,0.503959558,0.503959558,0.539,196,154,2020,1,2
1966,Dass,Alkaleri,NA,0.511240925,0.511240925,0.588,350,212,2021,1,3
1967,Dass,Alkaleri,NA,0.769085599,0.769085599,0.637,562,154,2021,1,4
1968,Dass,Alkaleri,NA,0.778801892,0.778801892,0.686,716,202,2022,1,5
1969,Dass,Alkaleri,NA,0.788565011,0.788565011,0.735,918,159,2022,1,6
1970,Dass,Alkaleri,NA,0.8,0.8,0.784,1077,219,2023,1,7
1971,Dass,Alkaleri,NA,0.8,0.8,0.8,1296,136,2023,1,8
1972,Dass,Alkaleri,NA,0.8,0.8,0.8,1432,218,2024,1,9
1973,Dass,Alkaleri,NA,0.8,0.8,0.8,1650,151,2024,1,10
1974,Dass,Alkaleri,NA,0.8,0.8,0.8,1801,185,2025,1,11
1975,Dass,Alkaleri,NA,0.8,0.8,0.8,1986,183,2025,1,12
1976,Dass,Alkaleri,NA,0.8,0.8,0.8,0,-1,2025,1,13
1977,Daura,Babura,NA,0.202230441,0.202230441,0.49,0,196,2020,1,1
1978,Daura,Babura,NA,0.435301024,0.435301024,0.539,196,154,2020,1,2
1979,Daura,Babura,NA,0.441590391,0.441590391,0.588,350,212,2021,1,3
1980,Daura,Babura,NA,0.664306776,0.664306776,0.637,562,154,2021,1,4
1981,Daura,Babura,NA,0.672699339,0.672699339,0.686,716,202,2022,1,5
1982,Daura,Babura,NA,0.681132348,0.681132348,0.735,918,159,2022,1,6
1983,Daura,Babura,NA,0.8,0.8,0.784,1077,219,2023,1,7
1984,Daura,Babura,NA,0.8,0.8,0.8,1296,136,2023,1,8
1985,Daura,Babura,NA,0.8,0.8,0.8,1432,218,2024,1,9
1986,Daura,Babura,NA,0.8,0.8,0.8,1650,151,2024,1,10
1987,Daura,Babura,NA,0.8,0.8,0.8,1801,185,2025,1,11
1988,Daura,Babura,NA,0.8,0.8,0.8,1986,183,2025,1,12
1989,Daura,Babura,NA,0.8,0.8,0.8,0,-1,2025,1,13
1990,Dawakin Kudu,Gwarzo,NA,0.272727273,0.272727273,0.49,0,196,2020,1,1
1991,Dawakin Kudu,Gwarzo,NA,0.587045455,0.587045455,0.539,196,154,2020,1,2
1992,Dawakin Kudu,Gwarzo,NA,0.595527273,0.595527273,0.588,350,212,2021,1,3
1993,Dawakin Kudu,Gwarzo,NA,0.8,0.8,0.637,562,154,2021,1,4
1994,Dawakin Kudu,Gwarzo,NA,0.8,0.8,0.686,716,202,2022,1,5
1995,Dawakin Kudu,Gwarzo,NA,0.8,0.8,0.735,918,159,2022,1,6
1996,Dawakin Kudu,Gwarzo,NA,0.8,0.8,0.784,1077,219,2023,1,7
1997,Dawakin Kudu,Gwarzo,NA,0.8,0.8,0.8,1296,136,2023,1,8
1998,Dawakin Kudu,Gwarzo,NA,0.8,0.8,0.8,1432,218,2024,1,9
1999,Dawakin Kudu,Gwarzo,NA,0.8,0.8,0.8,1650,151,2024,1,10
2000,Dawakin Kudu,Gwarzo,NA,0.8,0.8,0.8,1801,185,2025,1,11
2001,Dawakin Kudu,Gwarzo,NA,0.8,0.8,0.8,1986,183,2025,1,12
2002,Dawakin Kudu,Gwarzo,NA,0.8,0.8,0.8,0,-1,2025,1,13
2003,Dawakin Tofa,Taura,NA,0.181818182,0.181818182,0.49,0,196,2020,1,1
2004,Dawakin Tofa,Taura,NA,0.391363637,0.391363637,0.539,196,154,2020,1,2
2005,Dawakin Tofa,Taura,NA,0.397018182,0.397018182,0.588,350,212,2021,1,3
2006,Dawakin Tofa,Taura,NA,0.597254546,0.597254546,0.637,562,154,2021,1,4
2007,Dawakin Tofa,Taura,NA,0.604800001,0.604800001,0.686,716,202,2022,1,5
2008,Dawakin Tofa,Taura,NA,0.612381819,0.612381819,0.735,918,159,2022,1,6
2009,Dawakin Tofa,Taura,NA,0.8,0.8,0.784,1077,219,2023,1,7
2010,Dawakin Tofa,Taura,NA,0.8,0.8,0.8,1296,136,2023,1,8
2011,Dawakin Tofa,Taura,NA,0.8,0.8,0.8,1432,218,2024,1,9
2012,Dawakin Tofa,Taura,NA,0.8,0.8,0.8,1650,151,2024,1,10
2013,Dawakin Tofa,Taura,NA,0.8,0.8,0.8,1801,185,2025,1,11
2014,Dawakin Tofa,Taura,NA,0.8,0.8,0.8,1986,183,2025,1,12
2015,Dawakin Tofa,Taura,NA,0.8,0.8,0.8,0,-1,2025,1,13
2016,Degema,Ahoada West,NA,0.25,0.25,0.49,0,196,2020,1,1
2017,Degema,Ahoada West,NA,0.538125,0.538125,0.539,196,154,2020,1,2
2018,Degema,Ahoada West,NA,0.5459,0.5459,0.588,350,212,2021,1,3
2019,Degema,Ahoada West,NA,0.8,0.8,0.637,562,154,2021,1,4
2020,Degema,Ahoada West,NA,0.8,0.8,0.686,716,202,2022,1,5
2021,Degema,Ahoada West,NA,0.8,0.8,0.735,918,159,2022,1,6
2022,Degema,Ahoada West,NA,0.8,0.8,0.784,1077,219,2023,1,7
2023,Degema,Ahoada West,NA,0.8,0.8,0.8,1296,136,2023,1,8
2024,Degema,Ahoada West,NA,0.8,0.8,0.8,1432,218,2024,1,9
2025,Degema,Ahoada West,NA,0.8,0.8,0.8,1650,151,2024,1,10
2026,Degema,Ahoada West,NA,0.8,0.8,0.8,1801,185,2025,1,11
2027,Degema,Ahoada West,NA,0.8,0.8,0.8,1986,183,2025,1,12
2028,Degema,Ahoada West,NA,0.8,0.8,0.8,0,-1,2025,1,13
2029,Dekina,Owan East,NA,0.190297763,0.190297763,0.49,0,196,2020,1,1
2030,Dekina,Owan East,NA,0.409615935,0.409615935,0.539,196,154,2020,1,2
2031,Dekina,Owan East,NA,0.415534195,0.415534195,0.588,350,212,2021,1,3
2032,Dekina,Owan East,NA,0.625109122,0.625109122,0.637,562,154,2021,1,4
2033,Dekina,Owan East,NA,0.633006479,0.633006479,0.686,716,202,2022,1,5
2034,Dekina,Owan East,NA,0.640941896,0.640941896,0.735,918,159,2022,1,6
2035,Dekina,Owan East,NA,0.8,0.8,0.784,1077,219,2023,1,7
2036,Dekina,Owan East,NA,0.8,0.8,0.8,1296,136,2023,1,8
2037,Dekina,Owan East,NA,0.8,0.8,0.8,1432,218,2024,1,9
2038,Dekina,Owan East,NA,0.8,0.8,0.8,1650,151,2024,1,10
2039,Dekina,Owan East,NA,0.8,0.8,0.8,1801,185,2025,1,11
2040,Dekina,Owan East,NA,0.8,0.8,0.8,1986,183,2025,1,12
2041,Dekina,Owan East,NA,0.8,0.8,0.8,0,-1,2025,1,13
2042,Demsa,Alkaleri,NA,0.701986849,0.701986849,0.49,0,196,2020,1,1
2043,Demsa,Alkaleri,NA,0.737086191,0.737086191,0.539,196,154,2020,1,2
2044,Demsa,Alkaleri,NA,0.74410606,0.74410606,0.588,350,212,2021,1,3
2045,Demsa,Alkaleri,NA,0.751125928,0.751125928,0.637,562,154,2021,1,4
2046,Demsa,Alkaleri,NA,0.758145797,0.758145797,0.686,716,202,2022,1,5
2047,Demsa,Alkaleri,NA,0.765165665,0.765165665,0.735,918,159,2022,1,6
2048,Demsa,Alkaleri,NA,0.772185534,0.772185534,0.784,1077,219,2023,1,7
2049,Demsa,Alkaleri,NA,0.786225271,0.786225271,0.8,1296,136,2023,1,8
2050,Demsa,Alkaleri,NA,0.8,0.8,0.8,1432,218,2024,1,9
2051,Demsa,Alkaleri,NA,0.8,0.8,0.8,1650,151,2024,1,10
2052,Demsa,Alkaleri,NA,0.8,0.8,0.8,1801,185,2025,1,11
2053,Demsa,Alkaleri,NA,0.8,0.8,0.8,1986,183,2025,1,12
2054,Demsa,Alkaleri,NA,0.8,0.8,0.8,0,-1,2025,1,13
2055,Dikwa,Darazo,NA,0.114371076,0.114371076,0.49,0,196,2020,1,1
2056,Dikwa,Darazo,NA,0.492367482,0.492367482,0.539,196,154,2020,1,2
2057,Dikwa,Darazo,NA,0.606166703,0.606166703,0.588,350,212,2021,1,3
2058,Dikwa,Darazo,NA,0.8,0.8,0.637,562,154,2021,1,4
2059,Dikwa,Darazo,NA,0.8,0.8,0.686,716,202,2022,1,5
2060,Dikwa,Darazo,NA,0.8,0.8,0.735,918,159,2022,1,6
2061,Dikwa,Darazo,NA,0.8,0.8,0.784,1077,219,2023,1,7
2062,Dikwa,Darazo,NA,0.8,0.8,0.8,1296,136,2023,1,8
2063,Dikwa,Darazo,NA,0.8,0.8,0.8,1432,218,2024,1,9
2064,Dikwa,Darazo,NA,0.8,0.8,0.8,1650,151,2024,1,10
2065,Dikwa,Darazo,NA,0.8,0.8,0.8,1801,185,2025,1,11
2066,Dikwa,Darazo,NA,0.8,0.8,0.8,1986,183,2025,1,12
2067,Dikwa,Darazo,NA,0.8,0.8,0.8,0,-1,2025,1,13
2068,Doguwa,Giwa,NA,0.130434783,0.130434783,0.49,0,196,2020,1,1
2069,Doguwa,Giwa,NA,0.561521741,0.561521741,0.539,196,154,2020,1,2
2070,Doguwa,Giwa,NA,0.69130435,0.69130435,0.588,350,212,2021,1,3
2071,Doguwa,Giwa,NA,0.8,0.8,0.637,562,154,2021,1,4
2072,Doguwa,Giwa,NA,0.8,0.8,0.686,716,202,2022,1,5
2073,Doguwa,Giwa,NA,0.8,0.8,0.735,918,159,2022,1,6
2074,Doguwa,Giwa,NA,0.8,0.8,0.784,1077,219,2023,1,7
2075,Doguwa,Giwa,NA,0.8,0.8,0.8,1296,136,2023,1,8
2076,Doguwa,Giwa,NA,0.8,0.8,0.8,1432,218,2024,1,9
2077,Doguwa,Giwa,NA,0.8,0.8,0.8,1650,151,2024,1,10
2078,Doguwa,Giwa,NA,0.8,0.8,0.8,1801,185,2025,1,11
2079,Doguwa,Giwa,NA,0.8,0.8,0.8,1986,183,2025,1,12
2080,Doguwa,Giwa,NA,0.8,0.8,0.8,0,-1,2025,1,13
2081,Doma,Keana,NA,0.177187213,0.177187213,0.49,0,196,2020,1,1
2082,Doma,Keana,NA,0.381395476,0.381395476,0.539,196,154,2020,1,2
2083,Doma,Keana,NA,0.386905998,0.386905998,0.588,350,212,2021,1,3
2084,Doma,Keana,NA,0.582042276,0.582042276,0.637,562,154,2021,1,4
2085,Doma,Keana,NA,0.589395545,0.589395545,0.686,716,202,2022,1,5
2086,Doma,Keana,NA,0.596784252,0.596784252,0.735,918,159,2022,1,6
2087,Doma,Keana,NA,0.799114331,0.799114331,0.784,1077,219,2023,1,7
2088,Doma,Keana,NA,0.8,0.8,0.8,1296,136,2023,1,8
2089,Doma,Keana,NA,0.8,0.8,0.8,1432,218,2024,1,9
2090,Doma,Keana,NA,0.8,0.8,0.8,1650,151,2024,1,10
2091,Doma,Keana,NA,0.8,0.8,0.8,1801,185,2025,1,11
2092,Doma,Keana,NA,0.8,0.8,0.8,1986,183,2025,1,12
2093,Doma,Keana,NA,0.8,0.8,0.8,0,-1,2025,1,13
2094,Donga,Keana,NA,0.284919607,0.284919607,0.49,0,196,2020,1,1
2095,Donga,Keana,NA,0.299165587,0.299165587,0.539,196,154,2020,1,2
2096,Donga,Keana,NA,0.302014783,0.302014783,0.588,350,212,2021,1,3
2097,Donga,Keana,NA,0.304863979,0.304863979,0.637,562,154,2021,1,4
2098,Donga,Keana,NA,0.307713176,0.307713176,0.686,716,202,2022,1,5
2099,Donga,Keana,NA,0.310562372,0.310562372,0.735,918,159,2022,1,6
2100,Donga,Keana,NA,0.313411568,0.313411568,0.784,1077,219,2023,1,7
2101,Donga,Keana,NA,0.31910996,0.31910996,0.8,1296,136,2023,1,8
2102,Donga,Keana,NA,0.427379411,0.427379411,0.8,1432,218,2024,1,9
2103,Donga,Keana,NA,0.569839214,0.569839214,0.8,1650,151,2024,1,10
2104,Donga,Keana,NA,0.712299018,0.712299018,0.8,1801,185,2025,1,11
2105,Donga,Keana,NA,0.8,0.8,0.8,1986,183,2025,1,12
2106,Donga,Keana,NA,0.8,0.8,0.8,0,-1,2025,1,13
2107,Dukku,Darazo,NA,0.114371076,0.114371076,0.49,0,196,2020,1,1
2108,Dukku,Darazo,NA,0.492367482,0.492367482,0.539,196,154,2020,1,2
2109,Dukku,Darazo,NA,0.606166703,0.606166703,0.588,350,212,2021,1,3
2110,Dukku,Darazo,NA,0.8,0.8,0.637,562,154,2021,1,4
2111,Dukku,Darazo,NA,0.8,0.8,0.686,716,202,2022,1,5
2112,Dukku,Darazo,NA,0.8,0.8,0.735,918,159,2022,1,6
2113,Dukku,Darazo,NA,0.8,0.8,0.784,1077,219,2023,1,7
2114,Dukku,Darazo,NA,0.8,0.8,0.8,1296,136,2023,1,8
2115,Dukku,Darazo,NA,0.8,0.8,0.8,1432,218,2024,1,9
2116,Dukku,Darazo,NA,0.8,0.8,0.8,1650,151,2024,1,10
2117,Dukku,Darazo,NA,0.8,0.8,0.8,1801,185,2025,1,11
2118,Dukku,Darazo,NA,0.8,0.8,0.8,1986,183,2025,1,12
2119,Dukku,Darazo,NA,0.8,0.8,0.8,0,-1,2025,1,13
2120,Dunukofia,Uzo-Uwani,NA,0.420192485,0.420192485,0.49,0,196,2020,1,1
2121,Dunukofia,Uzo-Uwani,NA,0.441202109,0.441202109,0.539,196,154,2020,1,2
2122,Dunukofia,Uzo-Uwani,NA,0.445404034,0.445404034,0.588,350,212,2021,1,3
2123,Dunukofia,Uzo-Uwani,NA,0.449605959,0.449605959,0.637,562,154,2021,1,4
2124,Dunukofia,Uzo-Uwani,NA,0.453807884,0.453807884,0.686,716,202,2022,1,5
2125,Dunukofia,Uzo-Uwani,NA,0.458009809,0.458009809,0.735,918,159,2022,1,6
2126,Dunukofia,Uzo-Uwani,NA,0.462211734,0.462211734,0.784,1077,219,2023,1,7
2127,Dunukofia,Uzo-Uwani,NA,0.470615583,0.470615583,0.8,1296,136,2023,1,8
2128,Dunukofia,Uzo-Uwani,NA,0.630288728,0.630288728,0.8,1432,218,2024,1,9
2129,Dunukofia,Uzo-Uwani,NA,0.8,0.8,0.8,1650,151,2024,1,10
2130,Dunukofia,Uzo-Uwani,NA,0.8,0.8,0.8,1801,185,2025,1,11
2131,Dunukofia,Uzo-Uwani,NA,0.8,0.8,0.8,1986,183,2025,1,12
2132,Dunukofia,Uzo-Uwani,NA,0.8,0.8,0.8,0,-1,2025,1,13
2133,Dutse,Takali,NA,0.148488039,0.148488039,0.49,0,196,2020,1,1
2134,Dutse,Takali,NA,0.311824882,0.311824882,0.539,196,154,2020,1,2
2135,Dutse,Takali,NA,0.786986607,0.786986607,0.588,350,212,2021,1,3
2136,Dutse,Takali,NA,0.8,0.8,0.637,562,154,2021,1,4
2137,Dutse,Takali,NA,0.8,0.8,0.686,716,202,2022,1,5
2138,Dutse,Takali,NA,0.8,0.8,0.735,918,159,2022,1,6
2139,Dutse,Takali,NA,0.8,0.8,0.784,1077,219,2023,1,7
2140,Dutse,Takali,NA,0.8,0.8,0.8,1296,136,2023,1,8
2141,Dutse,Takali,NA,0.8,0.8,0.8,1432,218,2024,1,9
2142,Dutse,Takali,NA,0.8,0.8,0.8,1650,151,2024,1,10
2143,Dutse,Takali,NA,0.8,0.8,0.8,1801,185,2025,1,11
2144,Dutse,Takali,NA,0.8,0.8,0.8,1986,183,2025,1,12
2145,Dutse,Takali,NA,0.8,0.8,0.8,0,-1,2025,1,13
2146,Dutsi,Rimi,NA,0.230769231,0.230769231,0.49,0,196,2020,1,1
2147,Dutsi,Rimi,NA,0.49673077,0.49673077,0.539,196,154,2020,1,2
2148,Dutsi,Rimi,NA,0.503907693,0.503907693,0.588,350,212,2021,1,3
2149,Dutsi,Rimi,NA,0.758053847,0.758053847,0.637,562,154,2021,1,4
2150,Dutsi,Rimi,NA,0.76763077,0.76763077,0.686,716,202,2022,1,5
2151,Dutsi,Rimi,NA,0.777253847,0.777253847,0.735,918,159,2022,1,6
2152,Dutsi,Rimi,NA,0.8,0.8,0.784,1077,219,2023,1,7
2153,Dutsi,Rimi,NA,0.8,0.8,0.8,1296,136,2023,1,8
2154,Dutsi,Rimi,NA,0.8,0.8,0.8,1432,218,2024,1,9
2155,Dutsi,Rimi,NA,0.8,0.8,0.8,1650,151,2024,1,10
2156,Dutsi,Rimi,NA,0.8,0.8,0.8,1801,185,2025,1,11
2157,Dutsi,Rimi,NA,0.8,0.8,0.8,1986,183,2025,1,12
2158,Dutsi,Rimi,NA,0.8,0.8,0.8,0,-1,2025,1,13
2159,Dutsin-Ma,Rimi,NA,0.209995572,0.209995572,0.49,0,196,2020,1,1
2160,Dutsin-Ma,Rimi,NA,0.452015469,0.452015469,0.539,196,154,2020,1,2
2161,Dutsin-Ma,Rimi,NA,0.458546331,0.458546331,0.588,350,212,2021,1,3
2162,Dutsin-Ma,Rimi,NA,0.689814454,0.689814454,0.637,562,154,2021,1,4
2163,Dutsin-Ma,Rimi,NA,0.698529271,0.698529271,0.686,716,202,2022,1,5
2164,Dutsin-Ma,Rimi,NA,0.707286086,0.707286086,0.735,918,159,2022,1,6
2165,Dutsin-Ma,Rimi,NA,0.8,0.8,0.784,1077,219,2023,1,7
2166,Dutsin-Ma,Rimi,NA,0.8,0.8,0.8,1296,136,2023,1,8
2167,Dutsin-Ma,Rimi,NA,0.8,0.8,0.8,1432,218,2024,1,9
2168,Dutsin-Ma,Rimi,NA,0.8,0.8,0.8,1650,151,2024,1,10
2169,Dutsin-Ma,Rimi,NA,0.8,0.8,0.8,1801,185,2025,1,11
2170,Dutsin-Ma,Rimi,NA,0.8,0.8,0.8,1986,183,2025,1,12
2171,Dutsin-Ma,Rimi,NA,0.8,0.8,0.8,0,-1,2025,1,13
2172,Eastern Obolo,Nsit Ubium,NA,0.6,0.6,0.49,0,196,2020,1,1
2173,Eastern Obolo,Nsit Ubium,NA,0.63,0.63,0.539,196,154,2020,1,2
2174,Eastern Obolo,Nsit Ubium,NA,0.636,0.636,0.588,350,212,2021,1,3
2175,Eastern Obolo,Nsit Ubium,NA,0.642,0.642,0.637,562,154,2021,1,4
2176,Eastern Obolo,Nsit Ubium,NA,0.648,0.648,0.686,716,202,2022,1,5
2177,Eastern Obolo,Nsit Ubium,NA,0.654,0.654,0.735,918,159,2022,1,6
2178,Eastern Obolo,Nsit Ubium,NA,0.66,0.66,0.784,1077,219,2023,1,7
2179,Eastern Obolo,Nsit Ubium,NA,0.672,0.672,0.8,1296,136,2023,1,8
2180,Eastern Obolo,Nsit Ubium,NA,0.8,0.8,0.8,1432,218,2024,1,9
2181,Eastern Obolo,Nsit Ubium,NA,0.8,0.8,0.8,1650,151,2024,1,10
2182,Eastern Obolo,Nsit Ubium,NA,0.8,0.8,0.8,1801,185,2025,1,11
2183,Eastern Obolo,Nsit Ubium,NA,0.8,0.8,0.8,1986,183,2025,1,12
2184,Eastern Obolo,Nsit Ubium,NA,0.8,0.8,0.8,0,-1,2025,1,13
2185,Ebonyi,Owan East,NA,0.278942779,0.278942779,0.49,0,196,2020,1,1
2186,Ebonyi,Owan East,NA,0.292889918,0.292889918,0.539,196,154,2020,1,2
2187,Ebonyi,Owan East,NA,0.295679346,0.295679346,0.588,350,212,2021,1,3
2188,Ebonyi,Owan East,NA,0.298468774,0.298468774,0.637,562,154,2021,1,4
2189,Ebonyi,Owan East,NA,0.301258201,0.301258201,0.686,716,202,2022,1,5
2190,Ebonyi,Owan East,NA,0.304047629,0.304047629,0.735,918,159,2022,1,6
2191,Ebonyi,Owan East,NA,0.306837057,0.306837057,0.784,1077,219,2023,1,7
2192,Ebonyi,Owan East,NA,0.312415912,0.312415912,0.8,1296,136,2023,1,8
2193,Ebonyi,Owan East,NA,0.418414169,0.418414169,0.8,1432,218,2024,1,9
2194,Ebonyi,Owan East,NA,0.557885558,0.557885558,0.8,1650,151,2024,1,10
2195,Ebonyi,Owan East,NA,0.697356948,0.697356948,0.8,1801,185,2025,1,11
2196,Ebonyi,Owan East,NA,0.8,0.8,0.8,1986,183,2025,1,12
2197,Ebonyi,Owan East,NA,0.8,0.8,0.8,0,-1,2025,1,13
2198,Edati,Oke-Ero,NA,0.246839589,0.246839589,0.49,0,196,2020,1,1
2199,Edati,Oke-Ero,NA,0.531322215,0.531322215,0.539,196,154,2020,1,2
2200,Edati,Oke-Ero,NA,0.538998927,0.538998927,0.588,350,212,2021,1,3
2201,Edati,Oke-Ero,NA,0.8,0.8,0.637,562,154,2021,1,4
2202,Edati,Oke-Ero,NA,0.8,0.8,0.686,716,202,2022,1,5
2203,Edati,Oke-Ero,NA,0.8,0.8,0.735,918,159,2022,1,6
2204,Edati,Oke-Ero,NA,0.8,0.8,0.784,1077,219,2023,1,7
2205,Edati,Oke-Ero,NA,0.8,0.8,0.8,1296,136,2023,1,8
2206,Edati,Oke-Ero,NA,0.8,0.8,0.8,1432,218,2024,1,9
2207,Edati,Oke-Ero,NA,0.8,0.8,0.8,1650,151,2024,1,10
2208,Edati,Oke-Ero,NA,0.8,0.8,0.8,1801,185,2025,1,11
2209,Edati,Oke-Ero,NA,0.8,0.8,0.8,1986,183,2025,1,12
2210,Edati,Oke-Ero,NA,0.8,0.8,0.8,0,-1,2025,1,13
2211,Ede North,Akinyele,NA,0.154926235,0.154926235,0.49,0,196,2020,1,1
2212,Ede North,Akinyele,NA,0.325345094,0.325345094,0.539,196,154,2020,1,2
2213,Ede North,Akinyele,NA,0.8,0.8,0.588,350,212,2021,1,3
2214,Ede North,Akinyele,NA,0.8,0.8,0.637,562,154,2021,1,4
2215,Ede North,Akinyele,NA,0.8,0.8,0.686,716,202,2022,1,5
2216,Ede North,Akinyele,NA,0.8,0.8,0.735,918,159,2022,1,6
2217,Ede North,Akinyele,NA,0.8,0.8,0.784,1077,219,2023,1,7
2218,Ede North,Akinyele,NA,0.8,0.8,0.8,1296,136,2023,1,8
2219,Ede North,Akinyele,NA,0.8,0.8,0.8,1432,218,2024,1,9
2220,Ede North,Akinyele,NA,0.8,0.8,0.8,1650,151,2024,1,10
2221,Ede North,Akinyele,NA,0.8,0.8,0.8,1801,185,2025,1,11
2222,Ede North,Akinyele,NA,0.8,0.8,0.8,1986,183,2025,1,12
2223,Ede North,Akinyele,NA,0.8,0.8,0.8,0,-1,2025,1,13
2224,Ede South,Akinyele,NA,0.154926235,0.154926235,0.49,0,196,2020,1,1
2225,Ede South,Akinyele,NA,0.325345094,0.325345094,0.539,196,154,2020,1,2
2226,Ede South,Akinyele,NA,0.8,0.8,0.588,350,212,2021,1,3
2227,Ede South,Akinyele,NA,0.8,0.8,0.637,562,154,2021,1,4
2228,Ede South,Akinyele,NA,0.8,0.8,0.686,716,202,2022,1,5
2229,Ede South,Akinyele,NA,0.8,0.8,0.735,918,159,2022,1,6
2230,Ede South,Akinyele,NA,0.8,0.8,0.784,1077,219,2023,1,7
2231,Ede South,Akinyele,NA,0.8,0.8,0.8,1296,136,2023,1,8
2232,Ede South,Akinyele,NA,0.8,0.8,0.8,1432,218,2024,1,9
2233,Ede South,Akinyele,NA,0.8,0.8,0.8,1650,151,2024,1,10
2234,Ede South,Akinyele,NA,0.8,0.8,0.8,1801,185,2025,1,11
2235,Ede South,Akinyele,NA,0.8,0.8,0.8,1986,183,2025,1,12
2236,Ede South,Akinyele,NA,0.8,0.8,0.8,0,-1,2025,1,13
2237,Edu,Oke-Ero,NA,0.246839589,0.246839589,0.49,0,196,2020,1,1
2238,Edu,Oke-Ero,NA,0.531322215,0.531322215,0.539,196,154,2020,1,2
2239,Edu,Oke-Ero,NA,0.538998927,0.538998927,0.588,350,212,2021,1,3
2240,Edu,Oke-Ero,NA,0.8,0.8,0.637,562,154,2021,1,4
2241,Edu,Oke-Ero,NA,0.8,0.8,0.686,716,202,2022,1,5
2242,Edu,Oke-Ero,NA,0.8,0.8,0.735,918,159,2022,1,6
2243,Edu,Oke-Ero,NA,0.8,0.8,0.784,1077,219,2023,1,7
2244,Edu,Oke-Ero,NA,0.8,0.8,0.8,1296,136,2023,1,8
2245,Edu,Oke-Ero,NA,0.8,0.8,0.8,1432,218,2024,1,9
2246,Edu,Oke-Ero,NA,0.8,0.8,0.8,1650,151,2024,1,10
2247,Edu,Oke-Ero,NA,0.8,0.8,0.8,1801,185,2025,1,11
2248,Edu,Oke-Ero,NA,0.8,0.8,0.8,1986,183,2025,1,12
2249,Edu,Oke-Ero,NA,0.8,0.8,0.8,0,-1,2025,1,13
2250,Efon-Alayee,Oke-Ero,NA,0.246839589,0.246839589,0.49,0,196,2020,1,1
2251,Efon-Alayee,Oke-Ero,NA,0.531322215,0.531322215,0.539,196,154,2020,1,2
2252,Efon-Alayee,Oke-Ero,NA,0.538998927,0.538998927,0.588,350,212,2021,1,3
2253,Efon-Alayee,Oke-Ero,NA,0.8,0.8,0.637,562,154,2021,1,4
2254,Efon-Alayee,Oke-Ero,NA,0.8,0.8,0.686,716,202,2022,1,5
2255,Efon-Alayee,Oke-Ero,NA,0.8,0.8,0.735,918,159,2022,1,6
2256,Efon-Alayee,Oke-Ero,NA,0.8,0.8,0.784,1077,219,2023,1,7
2257,Efon-Alayee,Oke-Ero,NA,0.8,0.8,0.8,1296,136,2023,1,8
2258,Efon-Alayee,Oke-Ero,NA,0.8,0.8,0.8,1432,218,2024,1,9
2259,Efon-Alayee,Oke-Ero,NA,0.8,0.8,0.8,1650,151,2024,1,10
2260,Efon-Alayee,Oke-Ero,NA,0.8,0.8,0.8,1801,185,2025,1,11
2261,Efon-Alayee,Oke-Ero,NA,0.8,0.8,0.8,1986,183,2025,1,12
2262,Efon-Alayee,Oke-Ero,NA,0.8,0.8,0.8,0,-1,2025,1,13
2263,Egbado North,Owan East,NA,0.278942779,0.278942779,0.49,0,196,2020,1,1
2264,Egbado North,Owan East,NA,0.292889918,0.292889918,0.539,196,154,2020,1,2
2265,Egbado North,Owan East,NA,0.295679346,0.295679346,0.588,350,212,2021,1,3
2266,Egbado North,Owan East,NA,0.298468774,0.298468774,0.637,562,154,2021,1,4
2267,Egbado North,Owan East,NA,0.301258201,0.301258201,0.686,716,202,2022,1,5
2268,Egbado North,Owan East,NA,0.304047629,0.304047629,0.735,918,159,2022,1,6
2269,Egbado North,Owan East,NA,0.306837057,0.306837057,0.784,1077,219,2023,1,7
2270,Egbado North,Owan East,NA,0.312415912,0.312415912,0.8,1296,136,2023,1,8
2271,Egbado North,Owan East,NA,0.418414169,0.418414169,0.8,1432,218,2024,1,9
2272,Egbado North,Owan East,NA,0.557885558,0.557885558,0.8,1650,151,2024,1,10
2273,Egbado North,Owan East,NA,0.697356948,0.697356948,0.8,1801,185,2025,1,11
