,LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round
73,Abakaliki,Owan East,NA,0.395078743,0.395078743,0.8,1296,136,2023,1,8
74,Abakaliki,Owan East,NA,0.529123317,0.529123317,0.8,1432,218,2024,1,9
75,Abakaliki,Owan East,NA,0.705497756,0.705497756,0.8,1650,151,2024,1,10
76,Abakaliki,Owan East,NA,0.8,0.8,0.8,1801,185,2025,1,11
77,Abakaliki,Owan East,NA,0.8,0.8,0.8,1986,183,2025,1,12
78,Abakaliki,Owan East,NA,0.8,0.8,0.8,0,-1,2025,1,13
79,Abeokuta North,Owan East,NA,0.516473785,0.516473785,0.49,0,196,2020,1,1
80,Abeokuta North,Owan East,NA,0.542297474,0.542297474,0.539,196,154,2020,1,2
81,Abeokuta North,Owan East,NA,0.547462212,0.547462212,0.588,350,212,2021,1,3
82,Abeokuta North,Owan East,NA,0.55262695,0.55262695,0.637,562,154,2021,1,4
83,Abeokuta North,Owan East,NA,0.557791688,0.557791688,0.686,716,202,2022,1,5
84,Abeokuta North,Owan East,NA,0.562956426,0.562956426,0.735,918,159,2022,1,6
85,Abeokuta North,Owan East,NA,0.568121164,0.568121164,0.784,1077,219,2023,1,7
86,Abeokuta North,Owan East,NA,0.578450639,0.578450639,0.8,1296,136,2023,1,8
87,Abeokuta North,Owan East,NA,0.774710678,0.774710678,0.8,1432,218,2024,1,9
88,Abeokuta North,Owan East,NA,0.8,0.8,0.8,1650,151,2024,1,10
89,Abeokuta North,Owan East,NA,0.8,0.8,0.8,1801,185,2025,1,11
90,Abeokuta North,Owan East,NA,0.8,0.8,0.8,1986,183,2025,1,12
91,Abeokuta North,Owan East,NA,0.8,0.8,0.8,0,-1,2025,1,13
92,Abeokuta South,Uzo-Uwani,NA,0.793442604,0.793442604,0.49,0,196,2020,1,1
93,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.539,196,154,2020,1,2
94,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.588,350,212,2021,1,3
95,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.637,562,154,2021,1,4
96,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.686,716,202,2022,1,5
97,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.735,918,159,2022,1,6
98,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.784,1077,219,2023,1,7
99,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.8,1296,136,2023,1,8
100,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.8,1432,218,2024,1,9
101,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.8,1650,151,2024,1,10
102,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.8,1801,185,2025,1,11
103,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.8,1986,183,2025,1,12
104,Abeokuta South,Uzo-Uwani,NA,0.8,0.8,0.8,0,-1,2025,1,13
105,Abi,Obubra,NA,0.145161293,0.145161293,0.49,0,196,2020,1,1
106,Abi,Obubra,NA,0.304838715,0.304838715,0.539,196,154,2020,1,2
107,Abi,Obubra,NA,0.769354853,0.769354853,0.588,350,212,2021,1,3
108,Abi,Obubra,NA,0.8,0.8,0.637,562,154,2021,1,4
109,Abi,Obubra,NA,0.8,0.8,0.686,716,202,2022,1,5
110,Abi,Obubra,NA,0.8,0.8,0.735,918,159,2022,1,6
111,Abi,Obubra,NA,0.8,0.8,0.784,1077,219,2023,1,7
112,Abi,Obubra,NA,0.8,0.8,0.8,1296,136,2023,1,8
113,Abi,Obubra,NA,0.8,0.8,0.8,1432,218,2024,1,9
114,Abi,Obubra,NA,0.8,0.8,0.8,1650,151,2024,1,10
115,Abi,Obubra,NA,0.8,0.8,0.8,1801,185,2025,1,11
116,Abi,Obubra,NA,0.8,0.8,0.8,1986,183,2025,1,12
117,Abi,Obubra,NA,0.8,0.8,0.8,0,-1,2025,1,13
118,Aboh-Mbaise,Ngor-Okpala,NA,0.375,0.375,0.49,0,196,2020,1,1
119,Aboh-Mbaise,Ngor-Okpala,NA,0.39375,0.39375,0.539,196,154,2020,1,2
120,Aboh-Mbaise,Ngor-Okpala,NA,0.3975,0.3975,0.588,350,212,2021,1,3
121,Aboh-Mbaise,Ngor-Okpala,NA,0.40125,0.40125,0.637,562,154,2021,1,4
122,Aboh-Mbaise,Ngor-Okpala,NA,0.405,0.405,0.686,716,202,2022,1,5
123,Aboh-Mbaise,Ngor-Okpala,NA,0.40875,0.40875,0.735,918,159,2022,1,6
124,Aboh-Mbaise,Ngor-Okpala,NA,0.4125,0.4125,0.784,1077,219,2023,1,7
125,Aboh-Mbaise,Ngor-Okpala,NA,0.42,0.42,0.8,1296,136,2023,1,8
126,Aboh-Mbaise,Ngor-Okpala,NA,0.5625,0.5625,0.8,1432,218,2024,1,9
127,Aboh-Mbaise,Ngor-Okpala,NA,0.75,0.75,0.8,1650,151,2024,1,10
