State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Jigawa,Auyo,Taura,july,2020,1,-1,1,0.934456929,5,186
Bauchi,Alkaleri,Alkaleri,july,2020,2,-1,1,0.6,5,216
Bauchi,Alkaleri,Alkaleri,july,2020,3,-1,1,0.6,5,246
Bauchi,Alkaleri,Alkaleri,july,2020,4,-1,1,0.6,5,276
Nasarawa,Awe,Keana,august,2020,1,-1,1,0.6,5,223
Bauchi,Bauchi,Alkaleri,july,2020,2,-1,1,0.6,5,216
Bauchi,Bauchi,Alkaleri,july,2020,3,-1,1,0.6,5,246
Bauchi,Bauchi,Alkaleri,july,2020,4,-1,1,0.6,5,276
Jigawa,Babura,Babura,may,2020,1,-1,1,0.934456929,5,186
Bauchi,Bogoro,Alkaleri,july,2020,2,-1,1,0.6,5,216
Bauchi,Bogoro,Alkaleri,july,2020,3,-1,1,0.6,5,246
Bauchi,Bogoro,Alkaleri,july,2020,4,-1,1,0.6,5,276
Yobe,Bade,Taura,july,2020,1,-1,1,0.98019802,5,223
Bauchi,Damban,Darazo,july,2020,2,-1,1,0.6,5,216
Bauchi,Damban,Darazo,july,2020,3,-1,1,0.6,5,246
Bauchi,Damban,Darazo,july,2020,4,-1,1,0.6,5,276
Kebbi,Bagudo,Birnin Kebbi,august,2020,1,-1,1,0.6,5,223
Bauchi,Darazo,Darazo,july,2020,2,-1,1,0.6,5,216
Bauchi,Darazo,Darazo,july,2020,3,-1,1,0.6,5,246
Bauchi,Darazo,Darazo,july,2020,4,-1,1,0.6,5,276
Kano,Bagwai,Babura,may,2020,1,-1,1,0.6,5,131
Bauchi,Dass,Alkaleri,july,2020,2,-1,1,0.6,5,216
Bauchi,Dass,Alkaleri,july,2020,3,-1,1,0.6,5,246
Bauchi,Dass,Alkaleri,july,2020,4,-1,1,0.6,5,276
Katsina,Bakori,Gwarzo,august,2020,1,-1,1,0.6,5,223
Bauchi,Gamawa,Gwarzo,august,2020,2,-1,1,0.6,5,253
Bauchi,Gamawa,Gwarzo,august,2020,3,-1,1,0.6,5,283
Bauchi,Gamawa,Gwarzo,august,2020,4,-1,1,0.6,5,313
Zamfara,Bakura,Darazo,july,2020,1,-1,1,0.854974705,5,186
Bauchi,Ganjuwa,Darazo,july,2020,2,-1,1,0.6,5,216
