LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Aba North,Ngor-Okpala,NA,0.368385424,0.368385424,0.637,0,-1,2018,-1
Aba South,Ngor-Okpala,NA,0.368385424,0.368385424,0.637,0,-1,2018,-1
Abadam,Babura,NA,0.454060567,0.454060567,0.637,0,-1,2018,-1
Abaji,Keana,NA,0.319970096,0.319970096,0.637,0,-1,2018,-1
Abak,Nsit Ubium,NA,0.387046089,0.387046089,0.637,0,-1,2018,-1
Abakaliki,Owan East,NA,0.458573541,0.458573541,0.637,0,-1,2018,-1
Abeokuta North,Owan East,NA,0.671415921,0.671415921,0.637,0,-1,2018,-1
Abeokuta South,Uzo-Uwani,NA,1,1,0.637,0,-1,2018,-1
Abi,Obubra,NA,0.188709681,0.188709681,0.637,0,-1,2018,-1
Aboh-Mbaise,Ngor-Okpala,NA,0.4875,0.4875,0.637,0,-1,2018,-1
Abua-Odual,Ahoada West,NA,0.135857692,0.135857692,0.637,0,-1,2018,-1
Abuja Municipal,Keana,NA,0.062560883,0.062560883,0.637,0,-1,2018,-1
Adavi,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Ado,Akinyele,NA,0.222685204,0.222685204,0.637,0,-1,2018,-1
Ado Ekiti,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Ado-Odo-Ota,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Afijio,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Afikpo North,Oru West,NA,1,1,0.637,0,-1,2018,-1
Afikpo South,Ngor-Okpala,NA,0.612237335,0.612237335,0.637,0,-1,2018,-1
Agaie,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
Agatu,Keana,NA,0.230343377,0.230343377,0.637,0,-1,2018,-1
Agege,Uzo-Uwani,NA,0.546250231,0.546250231,0.637,0,-1,2018,-1
Aguata,Oru West,NA,0.565640382,0.565640382,0.637,0,-1,2018,-1
Agwara,Birnin Kebbi,NA,0.548932384,0.548932384,0.637,0,-1,2018,-1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.368385424,0.368385424,0.637,0,-1,2018,-1
Ahoada East,Ahoada West,NA,0.390862193,0.390862193,0.637,0,-1,2018,-1
Ahoada West,Ahoada West,NA,0.433333333,0.433333333,0.637,0,-1,2018,-1
Aiyedade,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Aiyedire,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Ajaokuta,Owan East,NA,0.362625613,0.362625613,0.637,0,-1,2018,-1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.906687889,0.906687889,0.637,0,-1,2018,-1
Ajingi,Taura,NA,0.227406453,0.227406453,0.637,0,-1,2018,-1
Akamkpa,Ngor-Okpala,NA,0.248803877,0.248803877,0.637,0,-1,2018,-1
Akinyele,Akinyele,NA,0.201404106,0.201404106,0.637,0,-1,2018,-1
Akko,Alkaleri,NA,0.189675782,0.189675782,0.637,0,-1,2018,-1
Akoko North East,Oke-Ero,NA,0.385494162,0.385494162,0.637,0,-1,2018,-1
Akoko North West,Oke-Ero,NA,0.671901513,0.671901513,0.637,0,-1,2018,-1
Akoko South East,Oke-Ero,NA,0.320891466,0.320891466,0.637,0,-1,2018,-1
