LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Augie,Birnin Kebbi,NA,0.646153846,0.646153846,0.588,0,-1,2018,-1
Auyo,Taura,NA,0.9,0.9,0.588,0,-1,2018,-1
Awe,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018,-1
Awgu,Oru West,NA,0.493292914,0.493292914,0.588,0,-1,2018,-1
Awka North,Uzo-Uwani,NA,0.8,0.8,0.588,0,-1,2018,-1
Awka South,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Ayamelum,Uzo-Uwani,NA,0.920000016,0.920000016,0.588,0,-1,2018,-1
Babura,Babura,NA,0.595133221,0.595133221,0.588,0,-1,2018,-1
Badagry,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Bade,Taura,NA,0.057142858,0.057142858,0.588,0,-1,2018,-1
Bagudo,Birnin Kebbi,NA,0.414332248,0.414332248,0.588,0,-1,2018,-1
Bagwai,Babura,NA,0.24,0.24,0.588,0,-1,2018,-1
Bakassi,Obubra,NA,0.492116988,0.492116988,0.588,0,-1,2018,-1
Bakori,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018,-1
Bakura,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Balanga,Alkaleri,NA,0.256998416,0.256998416,0.588,0,-1,2018,-1
Bali,Keana,NA,0.394727724,0.394727724,0.588,0,-1,2018,-1
Bama,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Barikin Ladi,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018,-1
Baruten,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Bassa1,Keana,NA,0.24,0.24,0.588,0,-1,2018,-1
Bassa2,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018,-1
Batagarawa,Rimi,NA,0.447692311,0.447692311,0.588,0,-1,2018,-1
Batsari,Rimi,NA,0.4,0.4,0.588,0,-1,2018,-1
Bauchi,Alkaleri,NA,0.03249299,0.03249299,0.588,0,-1,2018,-1
Baure,Babura,NA,0.428571428,0.428571428,0.588,0,-1,2018,-1
Bayo,Alkaleri,NA,0.6,0.6,0.588,0,-1,2018,-1
Bebeji,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018,-1
Bekwara,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Bende,Ngor-Okpala,NA,0.211110965,0.211110965,0.588,0,-1,2018,-1
Biase,Ngor-Okpala,NA,0.705633973,0.705633973,0.588,0,-1,2018,-1
Bichi,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018,-1
Bida,Oke-Ero,NA,0.6,0.6,0.588,0,-1,2018,-1
Billiri,Alkaleri,NA,0.4,0.4,0.588,0,-1,2018,-1
Bindawa,Rimi,NA,0.12,0.12,0.588,0,-1,2018,-1
Binji,Gawabawa,NA,0.3,0.3,0.588,0,-1,2018,-1
Biriniwa,Taura,NA,0.2,0.2,0.588,0,-1,2018,-1
Birni Kudu,Takali,NA,0.2687797,0.2687797,0.588,0,-1,2018,-1
Birnin Kebbi,Birnin Kebbi,NA,0.687527647,0.687527647,0.588,0,-1,2018,-1
Birnin Magaji,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018,-1
Birnin-Gwari,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018,-1
Biu,Darazo,NA,0.6,0.6,0.588,0,-1,2018,-1
Bodinga,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018,-1
Bogoro,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018,-1
Boki,Obubra,NA,0.3,0.3,0.588,0,-1,2018,-1
Bokkos,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018,-1
Boluwaduro,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Bomadi,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018,-1
Bonny,Nsit Ubium,NA,0.715856683,0.715856683,0.588,0,-1,2018,-1
Borgu,Oke-Ero,NA,0.342857143,0.342857143,0.588,0,-1,2018,-1
Boripe,Akinyele,NA,0.4,0.4,0.588,0,-1,2018,-1
Bosso,Keana,NA,0.259270412,0.259270412,0.588,0,-1,2018,-1
Brass,Ahoada West,NA,0.617359936,0.617359936,0.588,0,-1,2018,-1
Buji,Takali,NA,0.214505999,0.214505999,0.588,0,-1,2018,-1
Bukkuyum,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018,-1
Bungudu,Takali,NA,0.356666872,0.356666872,0.588,0,-1,2018,-1
Bunkure,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018,-1
Bunza,Birnin Kebbi,NA,0.506706816,0.506706816,0.588,0,-1,2018,-1
Bursari,Taura,NA,0.15,0.15,0.588,0,-1,2018,-1
Buruku,Keana,NA,0.240000046,0.240000046,0.588,0,-1,2018,-1
Burutu,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018,-1
Bwari,Giwa,NA,0.185122732,0.185122732,0.588,0,-1,2018,-1
Calabar South,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018,-1
Calabar-Municipal,Nsit Ubium,NA,0.359687611,0.359687611,0.588,0,-1,2018,-1
Chanchaga,Keana,NA,0.466758617,0.466758617,0.588,0,-1,2018,-1
Charanchi,Rimi,NA,0.12631579,0.12631579,0.588,0,-1,2018,-1
Chibok,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Chikun,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018,-1
Dala,Alkaleri,NA,1,1,0.588,0,-1,2018,-1
Damaturu,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Damban,Darazo,NA,0.4,0.4,0.588,0,-1,2018,-1
Dambatta,Babura,NA,0.4,0.4,0.588,0,-1,2018,-1
Damboa,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Dan Musa,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018,-1
Dandi,Birnin Kebbi,NA,0.418926516,0.418926516,0.588,0,-1,2018,-1
Dandume,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018,-1
Dange-Shnsi,Gawabawa,NA,0.15,0.15,0.588,0,-1,2018,-1
Danja,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018,-1
Darazo,Darazo,NA,0.193383134,0.193383134,0.588,0,-1,2018,-1
Dass,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018,-1
Daura,Babura,NA,0.242676529,0.242676529,0.588,0,-1,2018,-1
Dawakin Kudu,Gwarzo,NA,0.327272728,0.327272728,0.588,0,-1,2018,-1
Dawakin Tofa,Taura,NA,0.218181818,0.218181818,0.588,0,-1,2018,-1
Degema,Ahoada West,NA,0.3,0.3,0.588,0,-1,2018,-1
Dekina,Owan East,NA,0.228357316,0.228357316,0.588,0,-1,2018,-1
Demsa,Alkaleri,NA,0.842384219,0.842384219,0.588,0,-1,2018,-1
Dikwa,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Doguwa,Giwa,NA,0.15652174,0.15652174,0.588,0,-1,2018,-1
Doma,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018,-1
Donga,Keana,NA,0.341903528,0.341903528,0.588,0,-1,2018,-1
Dukku,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Dunukofia,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Dutse,Takali,NA,0.178185647,0.178185647,0.588,0,-1,2018,-1
Dutsi,Rimi,NA,0.276923077,0.276923077,0.588,0,-1,2018,-1
Dutsin-Ma,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018,-1
Eastern Obolo,Nsit Ubium,NA,0.72,0.72,0.588,0,-1,2018,-1
Ebonyi,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Edati,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Ede North,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Ede South,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Edu,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Efon-Alayee,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Egbado North,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Egbado South,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Egbeda,Akinyele,NA,0.128780171,0.128780171,0.588,0,-1,2018,-1
Egbedore,Akinyele,NA,0.650246316,0.650246316,0.588,0,-1,2018,-1
Egor,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Ehime-Mbano,Ngor-Okpala,NA,0.709649383,0.709649383,0.588,0,-1,2018,-1
Ejigbo,Akinyele,NA,0.259088707,0.259088707,0.588,0,-1,2018,-1
Ekeremor,Ahoada West,NA,0.247114109,0.247114109,0.588,0,-1,2018,-1
Eket,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018,-1
Ekiti,Oke-Ero,NA,0.893272746,0.893272746,0.588,0,-1,2018,-1
Ekiti East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Ekiti South West,Oke-Ero,NA,0.555000068,0.555000068,0.588,0,-1,2018,-1
Ekiti West,Oke-Ero,NA,0.194656322,0.194656322,0.588,0,-1,2018,-1
Ekwusigo,Oru West,NA,0.9,0.9,0.588,0,-1,2018,-1
Eleme,Ahoada West,NA,0.182032216,0.182032216,0.588,0,-1,2018,-1
Emohua,Ahoada West,NA,0.2,0.2,0.588,0,-1,2018,-1
Emure,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Enugu East,Uzo-Uwani,NA,0.920547923,0.920547923,0.588,0,-1,2018,-1
Enugu North,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Enugu South,Uzo-Uwani,NA,0.61787221,0.61787221,0.588,0,-1,2018,-1
Epe,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Esan Central,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Esan North East,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Esan South East,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Esan West,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Ese-Odo,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Esit Eket,Nsit Ubium,NA,0.085714285,0.085714285,0.588,0,-1,2018,-1
Essien Udim,Ngor-Okpala,NA,0.263138039,0.263138039,0.588,0,-1,2018,-1
Etche,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018,-1
Ethiope East,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018,-1
Ethiope West,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018,-1
Etim Ekpo,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018,-1
Etinan,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018,-1
Eti-Osa,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018,-1
Etsako Central,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Etsako East,Owan East,NA,0.093545089,0.093545089,0.588,0,-1,2018,-1
Etsako West,Owan East,NA,0.096421903,0.096421903,0.588,0,-1,2018,-1
Etung,Obubra,NA,0.24,0.24,0.588,0,-1,2018,-1
Ewekoro,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Ezeagu,Uzo-Uwani,NA,0.521497813,0.521497813,0.588,0,-1,2018,-1
Ezinihitte,Ngor-Okpala,NA,0.466750022,0.466750022,0.588,0,-1,2018,-1
Ezza North,Owan East,NA,0.228571428,0.228571428,0.588,0,-1,2018,-1
Ezza South,Obubra,NA,0.574615147,0.574615147,0.588,0,-1,2018,-1
Fagge,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018,-1
Fakai,Birnin Kebbi,NA,0.8,0.8,0.588,0,-1,2018,-1
Faskari,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018,-1
Fika,Darazo,NA,0.114285714,0.114285714,0.588,0,-1,2018,-1
Fufore,Alkaleri,NA,0.167136137,0.167136137,0.588,0,-1,2018,-1
Funakaye,Alkaleri,NA,0.054545454,0.054545454,0.588,0,-1,2018,-1
Fune,Darazo,NA,0.037846716,0.037846716,0.588,0,-1,2018,-1
Funtua,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018,-1
Gabasawa,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018,-1
Gada,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018,-1
Gagarawa,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018,-1
Gamawa,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018,-1
Ganaye,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018,-1
Ganjuwa,Darazo,NA,0.122191484,0.122191484,0.588,0,-1,2018,-1
Garki,Babura,NA,0.8,0.8,0.588,0,-1,2018,-1
Garko,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018,-1
Garum Mallam,Gwarzo,NA,0.184615385,0.184615385,0.588,0,-1,2018,-1
Gashaka,Oru West,NA,0.493292914,0.493292914,0.588,0,-1,2018,-1
Gassol,Keana,NA,0.103363734,0.103363734,0.588,0,-1,2018,-1
Gawabawa,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018,-1
Gaya,Gwarzo,NA,0.2,0.2,0.588,0,-1,2018,-1
Gbako,Oke-Ero,NA,0.553846154,0.553846154,0.588,0,-1,2018,-1
Gboko,Keana,NA,0.168337598,0.168337598,0.588,0,-1,2018,-1
Gboyin,Obubra,NA,0.526203115,0.526203115,0.588,0,-1,2018,-1
Geidam,Babura,NA,0.419132831,0.419132831,0.588,0,-1,2018,-1
Gezawa,Gwarzo,NA,0.3,0.3,0.588,0,-1,2018,-1
Giade,Darazo,NA,0.171428572,0.171428572,0.588,0,-1,2018,-1
Gireri,Darazo,NA,0.097190545,0.097190545,0.588,0,-1,2018,-1
Giwa,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018,-1
Gokana,Nsit Ubium,NA,0.218533861,0.218533861,0.588,0,-1,2018,-1
Gombe,Alkaleri,NA,0.139403466,0.139403466,0.588,0,-1,2018,-1
Gombi,Alkaleri,NA,0.250602323,0.250602323,0.588,0,-1,2018,-1
Goronyo,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018,-1
Gubio,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018,-1
Gudu,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018,-1
Gujba,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Gulani,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018,-1
Guma,Keana,NA,0.378556742,0.378556742,0.588,0,-1,2018,-1
Gumel,Babura,NA,0.3,0.3,0.588,0,-1,2018,-1
Gummi,Birnin Kebbi,NA,0.506706816,0.506706816,0.588,0,-1,2018,-1
Gurara,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Guri,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018,-1
Gusau,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Guyuk,Alkaleri,NA,0.57684763,0.57684763,0.588,0,-1,2018,-1
Guzamala,Babura,NA,0.419132831,0.419132831,0.588,0,-1,2018,-1
Gwagwalada,Keana,NA,0.081145564,0.081145564,0.588,0,-1,2018,-1
Gwale,Alkaleri,NA,0.551361204,0.551361204,0.588,0,-1,2018,-1
Gwandu,Birnin Kebbi,NA,0.635294118,0.635294118,0.588,0,-1,2018,-1
Gwaram,Takali,NA,0.268198478,0.268198478,0.588,0,-1,2018,-1
Gwarzo,Gwarzo,NA,0.48,0.48,0.588,0,-1,2018,-1
Gwer East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Gwer West,Keana,NA,0.4,0.4,0.588,0,-1,2018,-1
Gwiwa,Babura,NA,0.4,0.4,0.588,0,-1,2018,-1
Gwoza,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Hadejia,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018,-1
Hawul,Darazo,NA,0.265846154,0.265846154,0.588,0,-1,2018,-1
Hong,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
