"","X","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"15",15,"Isuikwato","Ngor-Okpala",2020,"Isuikwato",0.497672065,0.168582376,0.115550041,0.253274295,1,"june","PBO",0.414408176,0.741473832,0.65,162
"16",16,"Isuikwato","Ngor-Okpala",2023,"Isuikwato",0.497672065,0.168582376,0.115550041,0.253274295,2,"june","PBO",0.414408176,0.741473832,0.65,1257
"17",17,"Obi Nwa","Ngor-Okpala",2020,"Obi Nwa",0.33,0.513333334,0.35,0.378125,1,"june","Urban areas",0.339144556,0.409752288,0.53,162
"18",18,"Obi Nwa","Ngor-Okpala",2023,"Obi Nwa",0.33,0.513333334,0.35,0.378125,2,"june","Urban areas",0.339144556,0.409752288,0.53,1257
"19",19,"Ohafia","Ngor-Okpala",2020,"Ohafia",0.201297207,0.120733092,0.158275695,0.202736436,1,"june","PBO",0.433165676,0.742915145,0.65,162
"20",20,"Ohafia","Ngor-Okpala",2023,"Ohafia",0.201297207,0.120733092,0.158275695,0.202736436,2,"june","PBO",0.433165676,0.742915145,0.65,1257
"21",21,"Osisioma Ngwa","Ngor-Okpala",2020,"Osisioma Ngwa",0.29117647,0.22,0.143478261,0.366666666,1,"june","Urban areas",0.3223721,0.395923243,0.53,162
"22",22,"Osisioma Ngwa","Ngor-Okpala",2023,"Osisioma Ngwa",0.29117647,0.22,0.143478261,0.366666666,2,"june","Urban areas",0.3223721,0.395923243,0.53,1257
"23",23,"Ugwunagbo","Ngor-Okpala",2020,"Ugwunagbo",0.157142857,0.157142857,0.305555556,0.084615385,1,"june","Urban areas",0.311296946,0.386810187,0.53,162
"24",24,"Ugwunagbo","Ngor-Okpala",2023,"Ugwunagbo",0.157142857,0.157142857,0.305555556,0.084615385,2,"june","Urban areas",0.311296946,0.386810187,0.53,1257
"25",25,"Ukwa East","Nsit Ubium",2020,"Ukwa East",0.239130434,0.061111112,0.044,0.078571428,1,"june","PBO",0.30363416,0.725109174,0.65,162
"26",26,"Ukwa East","Nsit Ubium",2023,"Ukwa East",0.239130434,0.061111112,0.044,0.078571428,2,"june","PBO",0.30363416,0.725109174,0.65,1257
"27",27,"Ukwa West","Nsit Ubium",2020,"Ukwa West",0.367911148,0.323612356,0.22282598,0.25060397,1,"june","PBO",0.294680951,0.722792365,0.65,162
"28",28,"Ukwa West","Nsit Ubium",2023,"Ukwa West",0.367911148,0.323612356,0.22282598,0.25060397,2,"june","PBO",0.294680951,0.722792365,0.65,1257
"29",29,"Umu-Neochi","Oru West",2020,"Umu-Neochi",0.45631816,0.556326431,0.369617796,0.406246759,1,"june","PBO",0.436597759,0.743154502,0.65,162
"30",30,"Umu-Neochi","Oru West",2023,"Umu-Neochi",0.45631816,0.556326431,0.369617796,0.406246759,2,"june","PBO",0.436597759,0.743154502,0.65,1257
"31",31,"Umuahia North","Ngor-Okpala",2020,"Umuahia North",0.146666666,0.293121089,0.22,0.192982456,1,"june","PBO",0.451576154,0.744121457,0.65,162
"32",32,"Umuahia North","Ngor-Okpala",2023,"Umuahia North",0.146666666,0.293121089,0.22,0.192982456,2,"june","PBO",0.451576154,0.744121457,0.65,1257
"33",33,"Umuahia South","Ngor-Okpala",2020,"Umuahia South",0.209271035,0.241684038,0.18182381,0.306067056,1,"june","PBO",0.48752647,0.746009794,0.65,162
"34",34,"Umuahia South","Ngor-Okpala",2023,"Umuahia South",0.209271035,0.241684038,0.18182381,0.306067056,2,"june","PBO",0.48752647,0.746009794,0.65,1257
"35",35,"Demsa","Alkaleri",2020,"Demsa",0.499039541,0.313245031,0.293728361,0.423478263,1,"july","PBO",0.495212973,0.74634808,0.65,186
"36",36,"Demsa","Alkaleri",2023,"Demsa",0.499039541,0.313245031,0.293728361,0.423478263,2,"july","PBO",0.495212973,0.74634808,0.65,1281
"37",37,"Gireri","Darazo",2020,"Gireri",0.477080505,0.276156722,0.461296108,0.455535809,1,"july","PBO",0.658506137,0.75044815,0.843319415,186
"38",38,"Gireri","Darazo",2023,"Gireri",0.477080505,0.276156722,0.461296108,0.455535809,2,"july","PBO",0.658506137,0.75044815,0.843319415,1281
"39",39,"Gombi","Alkaleri",2020,"Gombi",0.510711498,0.455334873,0.435157249,0.372720229,1,"july","PBO",0.515567645,0.747153033,0.673908406,186
"40",40,"Gombi","Alkaleri",2023,"Gombi",0.510711498,0.455334873,0.435157249,0.372720229,2,"july","PBO",0.515567645,0.747153033,0.673908406,1281
"41",41,"Guyuk","Alkaleri",2020,"Guyuk",0.713986485,0.592001812,0.670021938,0.572178943,1,"july","PBO",0.571995521,0.748844595,0.755853881,186
"42",42,"Guyuk","Alkaleri",2023,"Guyuk",0.713986485,0.592001812,0.670021938,0.572178943,2,"july","PBO",0.571995521,0.748844595,0.755853881,1281
"43",43,"Hong","Darazo",2020,"Hong",0.669565217,0.488888888,0.265517241,0.423076924,1,"july","PBO",0.634881453,0.750094944,0.823212171,186
"44",44,"Hong","Darazo",2023,"Hong",0.669565217,0.488888888,0.265517241,0.423076924,2,"july","PBO",0.634881453,0.750094944,0.823212171,1281
"45",45,"Lamurde","Alkaleri",2020,"Lamurde",0.35,0.157142857,0.4,0.443548387,1,"july","PBO",0.429924862,0.742682577,0.65,186
"46",46,"Lamurde","Alkaleri",2023,"Lamurde",0.35,0.157142857,0.4,0.443548387,2,"july","PBO",0.429924862,0.742682577,0.65,1281
"47",47,"Mayo-Belwa","Alkaleri",2020,"Mayo-Belwa",0.704,0.20625,0.484,0.48245614,1,"july","PBO",0.615915722,0.74977065,0.805165057,186
"48",48,"Mayo-Belwa","Alkaleri",2023,"Mayo-Belwa",0.704,0.20625,0.484,0.48245614,2,"july","PBO",0.615915722,0.74977065,0.805165057,1281
"49",49,"Numan","Alkaleri",2020,"Numan",0.833333333,0.48125,0.405263158,0.672222222,1,"july","PBO",0.518273564,0.747251003,0.678387,186
"50",50,"Numan","Alkaleri",2023,"Numan",0.833333333,0.48125,0.405263158,0.672222222,2,"july","PBO",0.518273564,0.747251003,0.678387,1281
"51",51,"Shelleng","Darazo",2020,"Shelleng",0.400796772,0.323974334,0.347716974,0.402869488,1,"july","PBO",0.58914423,0.749238946,0.776450833,186
"52",52,"Shelleng","Darazo",2023,"Shelleng",0.400796772,0.323974334,0.347716974,0.402869488,2,"july","PBO",0.58914423,0.749238946,0.776450833,1281
"53",53,"Itu","Ngor-Okpala",2021,"Itu",0.334866992,0.293121089,0.241236274,0.022448979,1,"june","PBO",0.415010863,0.741523913,0.65,527
"54",54,"Itu","Ngor-Okpala",2024,"Itu",0.334866992,0.293121089,0.241236274,0.022448979,2,"june","PBO",0.415010863,0.741523913,0.65,1622
"55",55,"Song","Darazo",2020,"Song",0.529429137,0.623750002,0.538156771,0.543765995,1,"july","PBO",0.551949619,0.748320258,0.729369132,186
"56",56,"Song","Darazo",2023,"Song",0.529429137,0.623750002,0.538156771,0.543765995,2,"july","PBO",0.551949619,0.748320258,0.729369132,1281
"57",57,"Yola North","Alkaleri",2020,"Yola North",0.538017405,0.500267901,0.455707151,0.450329972,1,"july","PBO",0.581884889,0.749077617,0.767953208,186
"58",58,"Yola North","Alkaleri",2023,"Yola North",0.538017405,0.500267901,0.455707151,0.450329972,2,"july","PBO",0.581884889,0.749077617,0.767953208,1281
"59",59,"Yola South","Alkaleri",2020,"Yola South",0.576190476,0.4125,0.488888888,0.285185185,1,"july","PBO",0.57254926,0.748858066,0.756547718,186
"60",60,"Yola South","Alkaleri",2023,"Yola South",0.576190476,0.4125,0.488888888,0.285185185,2,"july","PBO",0.57254926,0.748858066,0.756547718,1281
"61",61,"Abak","Nsit Ubium",2021,"Abak",0.129411765,0.073333334,0.191304347,0.180327869,1,"june","PBO",0.358412263,0.735378725,0.65,527
"62",62,"Abak","Nsit Ubium",2024,"Abak",0.129411765,0.073333334,0.191304347,0.180327869,2,"june","PBO",0.358412263,0.735378725,0.65,1622
"63",63,"Awka North","Uzo-Uwani",2020,"Awka North",0.261904762,0.157142857,0.095652174,0.231578948,1,"june","PBO",0.388205397,0.739012279,0.65,162
"64",64,"Awka North","Uzo-Uwani",2023,"Awka North",0.261904762,0.157142857,0.095652174,0.231578948,2,"june","PBO",0.388205397,0.739012279,0.65,1257
"65",65,"Eket","Nsit Ubium",2021,"Eket",0.4,0.366666666,0.385,0.35,1,"june","PBO",0.238612216,0.701507165,0.65,527
"66",66,"Eket","Nsit Ubium",2024,"Eket",0.4,0.366666666,0.385,0.35,2,"june","PBO",0.238612216,0.701507165,0.65,1622
"67",67,"Esit Eket","Nsit Ubium",2021,"Esit Eket",0.707142857,0.44,0.178378378,0.539622642,1,"june","PBO",0.262279676,0.712184003,0.65,527
"68",68,"Esit Eket","Nsit Ubium",2024,"Esit Eket",0.707142857,0.44,0.178378378,0.539622642,2,"june","PBO",0.262279676,0.712184003,0.65,1622
"69",69,"Essien Udim","Ngor-Okpala",2021,"Essien Udim",0.444579366,0.461257973,0.111996457,0.273621808,1,"june","PBO",0.369824263,0.73689371,0.65,527
"70",70,"Essien Udim","Ngor-Okpala",2024,"Essien Udim",0.444579366,0.461257973,0.111996457,0.273621808,2,"june","PBO",0.369824263,0.73689371,0.65,1622
"71",71,"Etim Ekpo","Ngor-Okpala",2021,"Etim Ekpo",0.334866992,0.293121089,0.241236274,0.293602,1,"june","PBO",0.326319464,0.730073677,0.65,527
"72",72,"Etim Ekpo","Ngor-Okpala",2024,"Etim Ekpo",0.334866992,0.293121089,0.241236274,0.293602,2,"june","PBO",0.326319464,0.730073677,0.65,1622
"73",73,"Etinan","Nsit Ubium",2021,"Etinan",0.253846154,0.183333334,0.22282598,0.157142857,1,"june","PBO",0.271254927,0.715522394,0.65,527
"74",74,"Etinan","Nsit Ubium",2024,"Etinan",0.253846154,0.183333334,0.22282598,0.157142857,2,"june","PBO",0.271254927,0.715522394,0.65,1622
"75",75,"Ibesikpo Asutan","Nsit Ubium",2021,"Ibesikpo Asutan",0.347959214,0.401923042,0.290566047,0.324911041,1,"june","PBO",0.364757188,0.736241633,0.65,527
"76",76,"Ibesikpo Asutan","Nsit Ubium",2024,"Ibesikpo Asutan",0.347959214,0.401923042,0.290566047,0.324911041,2,"june","PBO",0.364757188,0.736241633,0.65,1622
"77",77,"Ibiono Ibom","Ngor-Okpala",2021,"Ibiono Ibom",0.748887383,0.62053907,0.382555553,0.56983868,1,"june","PBO",0.383194312,0.738470498,0.65,527
"78",78,"Ibiono Ibom","Ngor-Okpala",2024,"Ibiono Ibom",0.748887383,0.62053907,0.382555553,0.56983868,2,"june","PBO",0.383194312,0.738470498,0.65,1622
"79",79,"Ika","Ngor-Okpala",2021,"Ika",0.334866992,0.293121089,0.241236274,0.293602,1,"june","PBO",0.281330517,0.718884411,0.65,527
"80",80,"Ika","Ngor-Okpala",2024,"Ika",0.334866992,0.293121089,0.241236274,0.293602,2,"june","PBO",0.281330517,0.718884411,0.65,1622
"81",81,"Ikono","Ngor-Okpala",2021,"Ikono",0.183333334,0.129411765,0.320833334,0.205084746,1,"june","PBO",0.3504186,0.734212445,0.65,527
"82",82,"Ikono","Ngor-Okpala",2024,"Ikono",0.183333334,0.129411765,0.320833334,0.205084746,2,"june","PBO",0.3504186,0.734212445,0.65,1622
"83",83,"Ikot Abasi","Nsit Ubium",2021,"Ikot Abasi",0.382608696,0.507692308,0.33,0.135384615,1,"june","PBO",0.194063012,0.671004892,0.65,527
"84",84,"Ikot Abasi","Nsit Ubium",2024,"Ikot Abasi",0.382608696,0.507692308,0.33,0.135384615,2,"june","PBO",0.194063012,0.671004892,0.65,1622
"85",85,"Ikot Ekpene","Ngor-Okpala",2021,"Ikot Ekpene",0.061659939,0.293121089,0.22052814,0.128565022,1,"june","PBO",0.356519334,0.735110776,0.65,527
"86",86,"Ikot Ekpene","Ngor-Okpala",2024,"Ikot Ekpene",0.061659939,0.293121089,0.22052814,0.128565022,2,"june","PBO",0.356519334,0.735110776,0.65,1622
"87",87,"Ini","Ngor-Okpala",2021,"Ini",0.761538461,0.392857143,0.586666666,0.56122449,1,"june","PBO",0.395911217,0.739797918,0.65,527
"88",88,"Ini","Ngor-Okpala",2024,"Ini",0.761538461,0.392857143,0.586666666,0.56122449,2,"june","PBO",0.395911217,0.739797918,0.65,1622
"89",89,"Mkpat Enin","Nsit Ubium",2021,"Mkpat Enin",0.663127973,0.417276061,0.369948194,0.418288466,1,"june","PBO",0.225930858,0.694424558,0.65,527
"90",90,"Mkpat Enin","Nsit Ubium",2024,"Mkpat Enin",0.663127973,0.417276061,0.369948194,0.418288466,2,"june","PBO",0.225930858,0.694424558,0.65,1622
"91",91,"Nsit Atai","Nsit Ubium",2021,"Nsit Atai",0.367911148,0.323612356,0.22282598,0.25060397,1,"june","PBO",0.243345201,0.703887208,0.65,527
"92",92,"Nsit Atai","Nsit Ubium",2024,"Nsit Atai",0.367911148,0.323612356,0.22282598,0.25060397,2,"june","PBO",0.243345201,0.703887208,0.65,1622
"93",93,"Nsit Ibom","Nsit Ubium",2021,"Nsit Ibom",0.22,0.084615385,0.22282598,0.186153846,1,"june","PBO",0.357951303,0.735313932,0.65,527
"94",94,"Nsit Ibom","Nsit Ubium",2024,"Nsit Ibom",0.22,0.084615385,0.22282598,0.186153846,2,"june","PBO",0.357951303,0.735313932,0.65,1622
"95",95,"Nsit Ubium","Nsit Ubium",2021,"Nsit Ubium",0.323529412,0.6,0.15,0.322413793,1,"june","PBO",0.247213687,0.705735631,0.65,527
"96",96,"Nsit Ubium","Nsit Ubium",2024,"Nsit Ubium",0.323529412,0.6,0.15,0.322413793,2,"june","PBO",0.247213687,0.705735631,0.65,1622
"97",97,"Awka South","Uzo-Uwani",2020,"Awka South",0.126923077,0.246516892,0.17605553,0.061111112,1,"june","PBO",0.431794981,0.74281757,0.65,162
"98",98,"Awka South","Uzo-Uwani",2023,"Awka South",0.126923077,0.246516892,0.17605553,0.061111112,2,"june","PBO",0.431794981,0.74281757,0.65,1257
"99",99,"Obot Akara","Ngor-Okpala",2021,"Obot Akara",0.388235294,0.488888888,0.253846154,0.328070175,1,"june","PBO",0.376065149,0.737654581,0.65,527
"100",100,"Obot Akara","Ngor-Okpala",2024,"Obot Akara",0.388235294,0.488888888,0.253846154,0.328070175,2,"june","PBO",0.376065149,0.737654581,0.65,1622
"101",101,"Okobo","Nsit Ubium",2021,"Okobo",0.33,0.244444444,0.500000001,0.32,1,"june","PBO",0.269257198,0.714808808,0.65,527
"102",102,"Okobo","Nsit Ubium",2024,"Okobo",0.33,0.244444444,0.500000001,0.32,2,"june","PBO",0.269257198,0.714808808,0.65,1622
"103",103,"Onna","Nsit Ubium",2021,"Onna",0.456899011,0.453006007,0.241764706,0.451662974,1,"june","PBO",0.191877243,0.66904259,0.65,527
"104",104,"Onna","Nsit Ubium",2024,"Onna",0.456899011,0.453006007,0.241764706,0.451662974,2,"june","PBO",0.191877243,0.66904259,0.65,1622
"105",105,"Oruk Anam","Nsit Ubium",2021,"Oruk Anam",0.379856089,0.474736859,0.263043417,0.312849402,1,"june","PBO",0.312496984,0.727192018,0.65,527
"106",106,"Oruk Anam","Nsit Ubium",2024,"Oruk Anam",0.379856089,0.474736859,0.263043417,0.312849402,2,"june","PBO",0.312496984,0.727192018,0.65,1622
"107",107,"Ukanafun","Nsit Ubium",2021,"Ukanafun",0.29199789,0.313606094,0.112845127,0.153641337,1,"june","PBO",0.340679142,0.732660403,0.65,527
"108",108,"Ukanafun","Nsit Ubium",2024,"Ukanafun",0.29199789,0.313606094,0.112845127,0.153641337,2,"june","PBO",0.340679142,0.732660403,0.65,1622
"109",109,"Uruan","Nsit Ubium",2021,"Uruan",0.369204209,0.332894782,0.237513697,0.286117501,1,"june","PBO",0.401030149,0.74029001,0.65,527
"110",110,"Uruan","Nsit Ubium",2024,"Uruan",0.369204209,0.332894782,0.237513697,0.286117501,2,"june","PBO",0.401030149,0.74029001,0.65,1622
"111",111,"Urue-Offong/Oruko","Nsit Ubium",2021,"Urue-Offong-Oruko",0.463157895,0.338461539,0.229166666,0.353571428,1,"june","PBO",0.204236897,0.679485559,0.65,527
"112",112,"Urue-Offong/Oruko","Nsit Ubium",2024,"Urue-Offong-Oruko",0.463157895,0.338461539,0.229166666,0.353571428,2,"june","PBO",0.204236897,0.679485559,0.65,1622
"113",113,"Ayamelum","Uzo-Uwani",2020,"Ayamelum",0.248600001,0.099215687,0.061764709,0.16361809,1,"june","PBO",0.436497382,0.743147601,0.65,162
"114",114,"Ayamelum","Uzo-Uwani",2023,"Ayamelum",0.248600001,0.099215687,0.061764709,0.16361809,2,"june","PBO",0.436497382,0.743147601,0.65,1257
"115",115,"Uyo","Nsit Ubium",2021,"Uyo",0.208876755,0.085235,0.119922587,0.135485642,1,"june","PBO",0.399966547,0.74018964,0.65,527
"116",116,"Uyo","Nsit Ubium",2024,"Uyo",0.208876755,0.085235,0.119922587,0.135485642,2,"june","PBO",0.399966547,0.74018964,0.65,1622
"117",117,"Aguata","Oru West",2020,"Aguata",0.281435518,0.425737921,0.263607073,0.261432808,1,"june","PBO",0.454034567,0.744268911,0.65,162
"118",118,"Aguata","Oru West",2023,"Aguata",0.281435518,0.425737921,0.263607073,0.261432808,2,"june","PBO",0.454034567,0.744268911,0.65,1257
"119",119,"Anambra East","Uzo-Uwani",2020,"Anambra East",0.117857143,0.246516892,0.11,0.038596491,1,"june","PBO",0.375672105,0.737607983,0.65,162
"120",120,"Anambra East","Uzo-Uwani",2023,"Anambra East",0.117857143,0.246516892,0.11,0.038596491,2,"june","PBO",0.375672105,0.737607983,0.65,1257
"121",121,"Anambra West","Uzo-Uwani",2020,"Anambra West",0.357112041,0.407207142,0.292160205,0.306237424,1,"june","PBO",0.39176502,0.739382126,0.65,162
"122",122,"Anambra West","Uzo-Uwani",2023,"Anambra West",0.357112041,0.407207142,0.292160205,0.306237424,2,"june","PBO",0.39176502,0.739382126,0.65,1257
"123",123,"Anaocha","Oru West",2020,"Anaocha",0.199210321,0.136243616,0.168041609,0.115517602,1,"june","PBO",0.420247823,0.741948071,0.65,162
"124",124,"Anaocha","Oru West",2023,"Anaocha",0.199210321,0.136243616,0.168041609,0.115517602,2,"june","PBO",0.420247823,0.741948071,0.65,1257
"125",125,"Dunukofia","Uzo-Uwani",2020,"Dunukofia",0.30413522,0.246516892,0.17605553,0.207726405,1,"june","PBO",0.421451191,0.742042811,0.65,162
"126",126,"Dunukofia","Uzo-Uwani",2023,"Dunukofia",0.30413522,0.246516892,0.17605553,0.207726405,2,"june","PBO",0.421451191,0.742042811,0.65,1257
"127",127,"Ekwusigo","Oru West",2020,"Ekwusigo",0.403333334,0.091666666,0.045833334,0.223728814,1,"june","PBO",0.255572543,0.70945305,0.65,162
"128",128,"Ekwusigo","Oru West",2023,"Ekwusigo",0.403333334,0.091666666,0.045833334,0.223728814,2,"june","PBO",0.255572543,0.70945305,0.65,1257
"129",129,"Idemili North","Uzo-Uwani",2020,"Idemili North",0.322456353,0.240904656,0.12009965,0.213620117,1,"june","PBO",0.422797782,0.742147653,0.65,162
"130",130,"Idemili North","Uzo-Uwani",2023,"Idemili North",0.322456353,0.240904656,0.12009965,0.213620117,2,"june","PBO",0.422797782,0.742147653,0.65,1257
"131",131,"Idemili South","Oru West",2020,"Idemili South",0.202771798,0.128904712,0.100657245,0.17962702,1,"june","PBO",0.377378695,0.737809061,0.65,162
"132",132,"Idemili South","Oru West",2023,"Idemili South",0.202771798,0.128904712,0.100657245,0.17962702,2,"june","PBO",0.377378695,0.737809061,0.65,1257
"133",133,"Ihiala","Oru West",2020,"Ihiala",0.221028033,0.253619304,0.206476399,0.337217194,1,"june","PBO",0.199598953,0.675748907,0.65,162
"134",134,"Ihiala","Oru West",2023,"Ihiala",0.221028033,0.253619304,0.206476399,0.337217194,2,"june","PBO",0.199598953,0.675748907,0.65,1257
"135",135,"Njikoka","Uzo-Uwani",2020,"Njikoka",0.314285715,0.183705335,0.21453897,0.165200718,1,"june","PBO",0.436915256,0.743176293,0.65,162
"136",136,"Njikoka","Uzo-Uwani",2023,"Njikoka",0.314285715,0.183705335,0.21453897,0.165200718,2,"june","PBO",0.436915256,0.743176293,0.65,1257
"137",137,"Nnewi North","Oru West",2020,"Nnewi North",0.278180051,0.248541245,0.168041609,0.239414883,1,"june","PBO",0.308642745,0.726310499,0.65,162
