"","X","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"380",380,"Ishielu","Owan East",2023,"Ishielu",0.682858155,0.777081126,0.547791253,0.648258617,2,"march","PBO",0.402215764,0.740400762,0.65,1165
"381",381,"Ivo","Ngor-Okpala",2020,"Ivo",0.334866992,0.293121089,0.241236274,0.293602,1,"june","PBO",0.433913174,0.742967876,0.65,162
"382",382,"Ivo","Ngor-Okpala",2023,"Ivo",0.334866992,0.293121089,0.241236274,0.293602,2,"june","PBO",0.433913174,0.742967876,0.65,1257
"383",383,"Izzi","Owan East",2020,"Izzi",0.606405578,0.590952366,0.48860451,0.568283549,1,"march","PBO",0.409695434,0.741072853,0.65,70
"384",384,"Izzi","Owan East",2023,"Izzi",0.606405578,0.590952366,0.48860451,0.568283549,2,"march","PBO",0.409695434,0.741072853,0.65,1165
"385",385,"Ohaukwu","Owan East",2020,"Ohaukwu",0.4125,0.55,0.532258065,0.491071428,1,"march","PBO",0.40041459,0.740232039,0.65,70
"386",386,"Ohaukwu","Owan East",2023,"Ohaukwu",0.4125,0.55,0.532258065,0.491071428,2,"march","PBO",0.40041459,0.740232039,0.65,1165
"387",387,"Onicha","Obubra",2020,"Onicha",0.741799661,0.776979545,0.627904189,0.729142863,1,"june","PBO",0.407479271,0.740878397,0.65,162
"388",388,"Onicha","Obubra",2023,"Onicha",0.741799661,0.776979545,0.627904189,0.729142863,2,"june","PBO",0.407479271,0.740878397,0.65,1257
"389",389,"Akoko-Edo","Owan East",2020,"Akoko-Edo",0.444240521,0.255549367,0.433941847,0.549260621,1,"march","PBO",0.304845225,0.725405618,0.65,70
"390",390,"Akoko-Edo","Owan East",2023,"Akoko-Edo",0.444240521,0.255549367,0.433941847,0.549260621,2,"march","PBO",0.304845225,0.725405618,0.65,1165
"391",391,"Egor","Uzo-Uwani",2020,"Egor",0.219172908,0.183333334,0.237541557,0.171995335,1,"june","Urban areas",0.42209808,0.477643111,0.53,162
"392",392,"Egor","Uzo-Uwani",2023,"Egor",0.219172908,0.183333334,0.237541557,0.171995335,2,"june","Urban areas",0.42209808,0.477643111,0.53,1257
"393",393,"Esan North East","Uzo-Uwani",2020,"Esan North East",0.293333334,0.33,0.253846154,0.25,1,"june","PBO",0.339061878,0.732387649,0.65,162
"394",394,"Esan North East","Uzo-Uwani",2023,"Esan North East",0.293333334,0.33,0.253846154,0.25,2,"june","PBO",0.339061878,0.732387649,0.65,1257
"395",395,"Esan Central","Owan East",2020,"Esan Central",0.611111112,0.6875,0.25882353,0.308771929,1,"march","PBO",0.34342137,0.733112828,0.65,70
"396",396,"Esan Central","Owan East",2023,"Esan Central",0.611111112,0.6875,0.25882353,0.308771929,2,"march","PBO",0.34342137,0.733112828,0.65,1165
"397",397,"Esan South East","Uzo-Uwani",2020,"Esan South East",0.461165014,0.328011092,0.350651091,0.454357243,1,"june","PBO",0.404971726,0.740653669,0.65,162
"398",398,"Esan South East","Uzo-Uwani",2023,"Esan South East",0.461165014,0.328011092,0.350651091,0.454357243,2,"june","PBO",0.404971726,0.740653669,0.65,1257
"399",399,"Esan West","Uzo-Uwani",2020,"Esan West",0.366666666,0.44,0.66,0.267567567,1,"june","PBO",0.366421113,0.736459279,0.65,162
"400",400,"Esan West","Uzo-Uwani",2023,"Esan West",0.366666666,0.44,0.66,0.267567567,2,"june","PBO",0.366421113,0.736459279,0.65,1257
"401",401,"Etsako Central","Owan East",2020,"Etsako Central",0.275,0.146666666,0.430434783,0.176785715,1,"march","PBO",0.300181787,0.724242459,0.65,70
"402",402,"Etsako Central","Owan East",2023,"Etsako Central",0.275,0.146666666,0.430434783,0.176785715,2,"march","PBO",0.300181787,0.724242459,0.65,1165
"403",403,"Etsako East","Owan East",2020,"Etsako East",0.245138677,0.038589352,0.090489502,0.241259687,1,"march","PBO",0.314825995,0.727707424,0.65,70
"404",404,"Etsako East","Owan East",2023,"Etsako East",0.245138677,0.038589352,0.090489502,0.241259687,2,"march","PBO",0.314825995,0.727707424,0.65,1165
"405",405,"Etsako West","Owan East",2020,"Etsako West",0.172481345,0.052172748,0.043891417,0.10097594,1,"march","PBO",0.290127246,0.721523913,0.65,70
"406",406,"Etsako West","Owan East",2023,"Etsako West",0.172481345,0.052172748,0.043891417,0.10097594,2,"march","PBO",0.290127246,0.721523913,0.65,1165
"407",407,"Igueben","Uzo-Uwani",2020,"Igueben",0.27084781,0.171329959,0.350875267,0.343979187,1,"june","PBO",0.415233246,0.741542325,0.65,162
"408",408,"Igueben","Uzo-Uwani",2023,"Igueben",0.27084781,0.171329959,0.350875267,0.343979187,2,"june","PBO",0.415233246,0.741542325,0.65,1257
"409",409,"Ikpoba-Okha","Uzo-Uwani",2020,"Ikpoba-Okha",0.35271981,0.348771276,0.535271463,0.449958803,1,"june","Urban areas",0.323305427,0.396692086,0.53,162
"410",410,"Ikpoba-Okha","Uzo-Uwani",2023,"Ikpoba-Okha",0.35271981,0.348771276,0.535271463,0.449958803,2,"june","Urban areas",0.323305427,0.396692086,0.53,1257
"411",411,"Aninri","Oru West",2020,"Aninri",0.457442646,0.552945004,0.199650961,0.41747152,1,"june","PBO",0.430439768,0.742719962,0.65,162
"412",412,"Aninri","Oru West",2023,"Aninri",0.457442646,0.552945004,0.199650961,0.41747152,2,"june","PBO",0.430439768,0.742719962,0.65,1257
"413",413,"Oredo","Uzo-Uwani",2020,"Oredo",0.449468312,0.356633482,0.25175345,0.350332731,1,"june","Urban areas",0.382076571,0.445104909,0.53,162
"414",414,"Oredo","Uzo-Uwani",2023,"Oredo",0.449468312,0.356633482,0.25175345,0.350332731,2,"june","Urban areas",0.382076571,0.445104909,0.53,1257
"415",415,"Orhionmwon","Uzo-Uwani",2020,"Orhionmwon",0.276961751,0.326003354,0.303002032,0.266238567,1,"june","PBO",0.335936711,0.731847739,0.65,162
"416",416,"Orhionmwon","Uzo-Uwani",2023,"Orhionmwon",0.276961751,0.326003354,0.303002032,0.266238567,2,"june","PBO",0.335936711,0.731847739,0.65,1257
"417",417,"Ovia North East","Owan East",2020,"Ovia North East",0.4,0.33,0.183333334,0.4125,1,"march","PBO",0.337624396,0.732141435,0.65,70
"418",418,"Ovia North East","Owan East",2023,"Ovia North East",0.4,0.33,0.183333334,0.4125,2,"march","PBO",0.337624396,0.732141435,0.65,1165
"419",419,"Ovia South West","Akinyele",2020,"Ovia South West",0.694262377,0.423076937,0.567741976,0.570698901,1,"may","PBO",0.363545715,0.736080953,0.65,131
"420",420,"Ovia South West","Akinyele",2023,"Ovia South West",0.694262377,0.423076937,0.567741976,0.570698901,2,"may","PBO",0.363545715,0.736080953,0.65,1226
"421",421,"Owan East","Owan East",2020,"Owan East",0.407407407,0.275,0.275,0.409302325,1,"march","PBO",0.315089802,0.727765005,0.65,70
"422",422,"Owan East","Owan East",2023,"Owan East",0.407407407,0.275,0.275,0.409302325,2,"march","PBO",0.315089802,0.727765005,0.65,1165
"423",423,"Owan West","Owan East",2020,"Owan West",0.167135808,0.152771269,0.235411626,0.426362064,1,"march","PBO",0.389346565,0.739132174,0.65,70
"424",424,"Owan West","Owan East",2023,"Owan West",0.167135808,0.152771269,0.235411626,0.426362064,2,"march","PBO",0.389346565,0.739132174,0.65,1165
"425",425,"Uhunmwonde","Owan East",2020,"Uhunmwonde",0.24743869,0.178271261,0.184648466,0.312132162,1,"march","PBO",0.3888156,0.739076547,0.65,70
"426",426,"Uhunmwonde","Owan East",2023,"Uhunmwonde",0.24743869,0.178271261,0.184648466,0.312132162,2,"march","PBO",0.3888156,0.739076547,0.65,1165
"427",427,"Ado Ekiti","Owan East",2020,"Ado Ekiti",0.338420278,0.293471972,0.331786554,0.276453063,1,"march","PBO",0.357399296,0.735235955,0.65,70
"428",428,"Ado Ekiti","Owan East",2023,"Ado Ekiti",0.338420278,0.293471972,0.331786554,0.276453063,2,"march","PBO",0.357399296,0.735235955,0.65,1165
"429",429,"Efon-Alayee","Oke-Ero",2020,"Efon-Alayee",0.230232559,0.4125,0.183333334,0.248039216,1,"july","PBO",0.32342441,0.729504192,0.65,186
"430",430,"Efon-Alayee","Oke-Ero",2023,"Efon-Alayee",0.230232559,0.4125,0.183333334,0.248039216,2,"july","PBO",0.32342441,0.729504192,0.65,1281
"431",431,"Ekiti East","Oke-Ero",2020,"Ekiti East",0.275,0.329372969,0.1375,0.20754717,1,"july","PBO",0.342294717,0.73292846,0.65,186
"432",432,"Ekiti East","Oke-Ero",2023,"Ekiti East",0.275,0.329372969,0.1375,0.20754717,2,"july","PBO",0.342294717,0.73292846,0.65,1281
"433",433,"Ekiti South West","Oke-Ero",2020,"Ekiti South West",0.298826704,0.292857135,0.298329986,0.28135103,1,"july","PBO",0.434979733,0.743042533,0.65,186
"434",434,"Ekiti South West","Oke-Ero",2023,"Ekiti South West",0.298826704,0.292857135,0.298329986,0.28135103,2,"july","PBO",0.434979733,0.743042533,0.65,1281
"435",435,"Awgu","Oru West",2020,"Awgu",0.091666666,0.104761905,0.117857143,0.093902439,1,"june","PBO",0.428474781,0.742576398,0.65,162
"436",436,"Awgu","Oru West",2023,"Awgu",0.091666666,0.104761905,0.117857143,0.093902439,2,"june","PBO",0.428474781,0.742576398,0.65,1257
"437",437,"Ekiti West","Oke-Ero",2020,"Ekiti West",0.202645887,0.23521395,0.228659242,0.275266417,1,"july","PBO",0.332828195,0.731293374,0.65,186
"438",438,"Ekiti West","Oke-Ero",2023,"Ekiti West",0.202645887,0.23521395,0.228659242,0.275266417,2,"july","PBO",0.332828195,0.731293374,0.65,1281
"439",439,"Emure","Oke-Ero",2020,"Emure",0.392857143,0.169230769,0.1,0.238333334,1,"july","PBO",0.372039671,0.737169001,0.65,186
"440",440,"Emure","Oke-Ero",2023,"Emure",0.392857143,0.169230769,0.1,0.238333334,2,"july","PBO",0.372039671,0.737169001,0.65,1281
"441",441,"Gboyin","Obubra",2020,"Gboyin",0.351818819,0.144707107,0.207685499,0.261886942,1,"june","PBO",0.286540024,0.7204787,0.65,162
"442",442,"Gboyin","Obubra",2023,"Gboyin",0.351818819,0.144707107,0.207685499,0.261886942,2,"june","PBO",0.286540024,0.7204787,0.65,1257
"443",443,"Idosi-Osi","Oke-Ero",2020,"Idosi-Osi",0.220477682,0.221488804,0.168919245,0.17271783,1,"july","PBO",0.302701283,0.724878164,0.65,186
"444",444,"Idosi-Osi","Oke-Ero",2023,"Idosi-Osi",0.220477682,0.221488804,0.168919245,0.17271783,2,"july","PBO",0.302701283,0.724878164,0.65,1281
"445",445,"Ijero","Oke-Ero",2020,"Ijero",0.387085417,0.439018243,0.237065847,0.231199511,1,"july","PBO",0.264220599,0.712935452,0.65,186
"446",446,"Ijero","Oke-Ero",2023,"Ijero",0.387085417,0.439018243,0.237065847,0.231199511,2,"july","PBO",0.264220599,0.712935452,0.65,1281
"447",447,"Ikere","Owan East",2020,"Ikere",0.55,0.183333334,0.33,0.317777778,1,"march","PBO",0.456857423,0.744434569,0.65,70
"448",448,"Ikere","Owan East",2023,"Ikere",0.55,0.183333334,0.33,0.317777778,2,"march","PBO",0.456857423,0.744434569,0.65,1165
"449",449,"Ikole","Oke-Ero",2020,"Ikole",0.234464348,0.252308583,0.208167035,0.24665695,1,"july","PBO",0.320812672,0.72897548,0.65,186
"450",450,"Ikole","Oke-Ero",2023,"Ikole",0.234464348,0.252308583,0.208167035,0.24665695,2,"july","PBO",0.320812672,0.72897548,0.65,1281
"451",451,"Ilemeji","Oke-Ero",2020,"Ilemeji",0.733333334,0.628571428,0.44,0.264,1,"july","PBO",0.308389127,0.726251209,0.65,186
"452",452,"Ilemeji","Oke-Ero",2023,"Ilemeji",0.733333334,0.628571428,0.44,0.264,2,"july","PBO",0.308389127,0.726251209,0.65,1281
"453",453,"Irepodun/Ifelodun","Oke-Ero",2020,"Irepodun-Ifelodun",0.2,0.329372969,0.286417613,0.173684211,1,"july","PBO",0.314066122,0.727540664,0.65,186
"454",454,"Irepodun/Ifelodun","Oke-Ero",2023,"Irepodun-Ifelodun",0.2,0.329372969,0.286417613,0.173684211,2,"july","PBO",0.314066122,0.727540664,0.65,1281
"455",455,"Ise/Orun","Oke-Ero",2020,"Ise-Orun",0.188166769,0.174275977,0.240705881,0.293010456,1,"july","PBO",0.409896538,0.74109031,0.65,186
"456",456,"Ise/Orun","Oke-Ero",2023,"Ise-Orun",0.188166769,0.174275977,0.240705881,0.293010456,2,"july","PBO",0.409896538,0.74109031,0.65,1281
"457",457,"Moba","Oke-Ero",2020,"Moba",0.422324889,0.216068665,0.175502379,0.187556468,1,"july","PBO",0.282164723,0.719146001,0.65,186
"458",458,"Moba","Oke-Ero",2023,"Moba",0.422324889,0.216068665,0.175502379,0.187556468,2,"july","PBO",0.282164723,0.719146001,0.65,1281
"459",459,"Oye","Oke-Ero",2020,"Oye",0.270274232,0.230116915,0.040166979,0.157593692,1,"july","PBO",0.299868816,0.72416227,0.65,186
"460",460,"Oye","Oke-Ero",2023,"Oye",0.270274232,0.230116915,0.040166979,0.157593692,2,"july","PBO",0.299868816,0.72416227,0.65,1281
"461",461,"Ezeagu","Uzo-Uwani",2020,"Ezeagu",0.447196118,0.341168215,0.201902276,0.382046662,1,"june","PBO",0.415961311,0.741602353,0.65,162
"462",462,"Ezeagu","Uzo-Uwani",2023,"Ezeagu",0.447196118,0.341168215,0.201902276,0.382046662,2,"june","PBO",0.415961311,0.741602353,0.65,1257
"463",463,"Igbo-Etiti","Uzo-Uwani",2020,"Igbo-Etiti",0.186766559,0.12587882,0.188044317,0.236613141,1,"june","PBO",0.38332308,0.738484739,0.65,162
"464",464,"Igbo-Etiti","Uzo-Uwani",2023,"Igbo-Etiti",0.186766559,0.12587882,0.188044317,0.236613141,2,"june","PBO",0.38332308,0.738484739,0.65,1257
"465",465,"Igbo-Eze North","Uzo-Uwani",2020,"Igbo-Eze North",0.243202078,0.239641422,0.23046258,0.129932618,1,"june","PBO",0.332315805,0.73120029,0.65,162
"466",466,"Igbo-Eze North","Uzo-Uwani",2023,"Igbo-Eze North",0.243202078,0.239641422,0.23046258,0.129932618,2,"june","PBO",0.332315805,0.73120029,0.65,1257
"467",467,"Igbo-Eze South","Uzo-Uwani",2020,"Igbo-Eze South",0.256579918,0.15017169,0.183473228,0.264386786,1,"june","PBO",0.361653388,0.735826165,0.65,162
"468",468,"Igbo-Eze South","Uzo-Uwani",2023,"Igbo-Eze South",0.256579918,0.15017169,0.183473228,0.264386786,2,"june","PBO",0.361653388,0.735826165,0.65,1257
"469",469,"Isi-Uzo","Owan East",2020,"Isi-Uzo",0.510874923,0.460841336,0.37820413,0.418134681,1,"march","PBO",0.425114132,0.742325146,0.65,70
"470",470,"Isi-Uzo","Owan East",2023,"Isi-Uzo",0.510874923,0.460841336,0.37820413,0.418134681,2,"march","PBO",0.425114132,0.742325146,0.65,1165
"471",471,"Nkanu East","Owan East",2020,"Nkanu East",0.615318039,0.337200508,0.288722499,0.433758398,1,"march","PBO",0.414364125,0.741470161,0.65,70
"472",472,"Nkanu East","Owan East",2023,"Nkanu East",0.615318039,0.337200508,0.288722499,0.433758398,2,"march","PBO",0.414364125,0.741470161,0.65,1165
"473",473,"Nkanu West","Uzo-Uwani",2020,"Nkanu West",0.231578948,0.11,0.17605553,0.116666667,1,"june","PBO",0.464287853,0.744852701,0.65,162
"474",474,"Nkanu West","Uzo-Uwani",2023,"Nkanu West",0.231578948,0.11,0.17605553,0.116666667,2,"june","PBO",0.464287853,0.744852701,0.65,1257
"475",475,"Nsukka","Uzo-Uwani",2020,"Nsukka",0.424730757,0.33889243,0.143119612,0.244013579,1,"june","PBO",0.391481406,0.739353101,0.65,162
"476",476,"Nsukka","Uzo-Uwani",2023,"Nsukka",0.424730757,0.33889243,0.143119612,0.244013579,2,"june","PBO",0.391481406,0.739353101,0.65,1257
"477",477,"Oji-River","Oru West",2020,"Oji-River",0.095652174,0.248541245,0.061111112,0.042857143,1,"june","PBO",0.407484101,0.740878825,0.65,162
"478",478,"Oji-River","Oru West",2023,"Oji-River",0.095652174,0.248541245,0.061111112,0.042857143,2,"june","PBO",0.407484101,0.740878825,0.65,1257
"479",479,"Udenu","Uzo-Uwani",2020,"Udenu",0.240661274,0.187901638,0.030905643,0.19298921,1,"june","PBO",0.38139738,0.738269967,0.65,162
"480",480,"Udenu","Uzo-Uwani",2023,"Udenu",0.240661274,0.187901638,0.030905643,0.19298921,2,"june","PBO",0.38139738,0.738269967,0.65,1257
"481",481,"Udi","Uzo-Uwani",2020,"Udi",0.33440891,0.279319279,0.178679664,0.284827049,1,"june","PBO",0.379547492,0.738059966,0.65,162
"482",482,"Udi","Uzo-Uwani",2023,"Udi",0.33440891,0.279319279,0.178679664,0.284827049,2,"june","PBO",0.379547492,0.738059966,0.65,1257
"483",483,"Uzo-Uwani","Uzo-Uwani",2020,"Uzo-Uwani",0.359731171,0.403927624,0.095342988,0.277988548,1,"june","PBO",0.404737188,0.74063239,0.65,162
"484",484,"Uzo-Uwani","Uzo-Uwani",2023,"Uzo-Uwani",0.359731171,0.403927624,0.095342988,0.277988548,2,"june","PBO",0.404737188,0.74063239,0.65,1257
"485",485,"Ahiazu-Mbaise","Ngor-Okpala",2020,"Ahiazu-Mbaise",0.1,0.471428572,0.084615385,0.235714285,1,"june","PBO",0.4502266,0.744039224,0.65,162
"486",486,"Ahiazu-Mbaise","Ngor-Okpala",2023,"Ahiazu-Mbaise",0.1,0.471428572,0.084615385,0.235714285,2,"june","PBO",0.4502266,0.744039224,0.65,1257
"487",487,"Abaji","Keana",2020,"Abaji",0.469428926,0.266750865,0.20018824,0.375193363,1,"august","PBO",0.476373849,0.74548121,0.65,223
"488",488,"Abaji","Keana",2023,"Abaji",0.469428926,0.266750865,0.20018824,0.375193363,2,"august","PBO",0.476373849,0.74548121,0.65,1318
"489",489,"Bwari","Giwa",2020,"Bwari",0.268626125,0.143010505,0.047246914,0.196901552,1,"august","PBO",0.558433035,0.748497974,0.73823236,223
"490",490,"Bwari","Giwa",2023,"Bwari",0.268626125,0.143010505,0.047246914,0.196901552,2,"august","PBO",0.558433035,0.748497974,0.73823236,1318
"491",491,"Gwagwalada","Keana",2020,"Gwagwalada",0.369261485,0.251697177,0.196885924,0.247479572,1,"august","PBO",0.555904987,0.748429645,0.734810981,223
"492",492,"Gwagwalada","Keana",2023,"Gwagwalada",0.369261485,0.251697177,0.196885924,0.247479572,2,"august","PBO",0.555904987,0.748429645,0.734810981,1318
"493",493,"Kuje","Keana",2020,"Kuje",0.559760395,0.396570592,0.380322221,0.488027946,1,"august","PBO",0.448338859,0.743922635,0.65,223
"494",494,"Kuje","Keana",2023,"Kuje",0.559760395,0.396570592,0.380322221,0.488027946,2,"august","PBO",0.448338859,0.743922635,0.65,1318
"495",495,"Kwali","Keana",2020,"Kwali",0.274055473,0.100286458,0.105098975,0.264791473,1,"august","PBO",0.476055073,0.745465403,0.65,223
"496",496,"Kwali","Keana",2023,"Kwali",0.274055473,0.100286458,0.105098975,0.264791473,2,"august","PBO",0.476055073,0.745465403,0.65,1318
"497",497,"Bunkure","Gwarzo",2022,"Bunkure",0.829787234,0.733333334,0.8,0.861111111,1,"august","PBO",0.769743323,0.751581878,0.910592316,953
"498",498,"Bunkure","Gwarzo",2025,"Bunkure",0.829787234,0.733333334,0.8,0.861111111,2,"august","PBO",0.769743323,0.751581878,0.910592316,2048
"499",499,"Abuja Municipal","Keana",2020,"Abuja Municipal",0.460375374,0.352262528,0.17062956,0.2904773,1,"august","Urban areas",0.500846708,0.538963989,0.535536339,223
"500",500,"Abuja Municipal","Keana",2023,"Abuja Municipal",0.460375374,0.352262528,0.17062956,0.2904773,2,"august","Urban areas",0.500846708,0.538963989,0.535536339,1318
"501",501,"Akko","Alkaleri",2021,"Akko",0.350899549,0.23633126,0.235874043,0.513453013,1,"july","PBO",0.430348191,0.742713325,0.65,551
"502",502,"Akko","Alkaleri",2024,"Akko",0.350899549,0.23633126,0.235874043,0.513453013,2,"july","PBO",0.430348191,0.742713325,0.65,1646
"503",503,"Balanga","Alkaleri",2021,"Balanga",0.61253399,0.559214616,0.620714988,0.803248637,1,"july","PBO",0.625491041,0.749939303,0.81450054,551
"504",504,"Balanga","Alkaleri",2024,"Balanga",0.61253399,0.559214616,0.620714988,0.803248637,2,"july","PBO",0.625491041,0.749939303,0.81450054,1646
"505",505,"Billiri","Alkaleri",2021,"Billiri",0.58467443,0.418997776,0.367331767,0.77578068,1,"july","PBO",0.209402585,0.683407139,0.65,551
"506",506,"Billiri","Alkaleri",2024,"Billiri",0.58467443,0.418997776,0.367331767,0.77578068,2,"july","PBO",0.209402585,0.683407139,0.65,1646
"507",507,"Dukku","Darazo",2021,"Dukku",0.256357157,0.105665038,0.10848484,0.465299479,1,"july","PBO",0.67468816,0.75066207,0.855717164,551
"508",508,"Dukku","Darazo",2024,"Dukku",0.256357157,0.105665038,0.10848484,0.465299479,2,"july","PBO",0.67468816,0.75066207,0.855717164,1646
"509",509,"Funakaye","Alkaleri",2021,"Funakaye",0.390322581,0.237254903,0.226470588,0.611111112,1,"july","PBO",0.631961788,0.750047545,0.820549364,551
"510",510,"Funakaye","Alkaleri",2024,"Funakaye",0.390322581,0.237254903,0.226470588,0.611111112,2,"july","PBO",0.631961788,0.750047545,0.820549364,1646
"511",511,"Gombe","Alkaleri",2021,"Gombe",0.395303545,0.308754923,0.309550968,0.506302442,1,"july","PBO",0.497689178,0.746452831,0.65,551
"512",512,"Gombe","Alkaleri",2024,"Gombe",0.395303545,0.308754923,0.309550968,0.506302442,2,"july","PBO",0.497689178,0.746452831,0.65,1646
"513",513,"Kaltungo","Alkaleri",2021,"Kaltungo",0.532988189,0.41991247,0.372428961,0.547274324,1,"july","PBO",0.500615672,0.74657408,0.648064062,551
"514",514,"Kaltungo","Alkaleri",2024,"Kaltungo",0.532988189,0.41991247,0.372428961,0.547274324,2,"july","PBO",0.500615672,0.74657408,0.648064062,1646
"515",515,"Kwami","Alkaleri",2021,"Kwami",0.334953508,0.213022297,0.175279499,0.583255954,1,"july","PBO",0.528174359,0.747593116,0.6942737,551
"516",516,"Kwami","Alkaleri",2024,"Kwami",0.334953508,0.213022297,0.175279499,0.583255954,2,"july","PBO",0.528174359,0.747593116,0.6942737,1646
"517",517,"Dala","Alkaleri",2022,"Dala",0.724416278,0.49814813,0.511760373,0.683212857,1,"july","Urban areas",0.582690135,0.59673093,0.692623794,916
"518",518,"Dala","Alkaleri",2025,"Dala",0.724416278,0.49814813,0.511760373,0.683212857,2,"july","Urban areas",0.582690135,0.59673093,0.692623794,2011
"519",519,"Nafada","Alkaleri",2021,"Nafada",0.528517915,0.426007123,0.298541293,0.7899682,1,"july","PBO",0.699548844,0.750952854,0.872816603,551
"520",520,"Nafada","Alkaleri",2024,"Nafada",0.528517915,0.426007123,0.298541293,0.7899682,2,"july","PBO",0.699548844,0.750952854,0.872816603,1646
"521",521,"Shomgom","Alkaleri",2021,"Shomgom",0.581675426,0.440254296,0.529776876,0.835300207,1,"july","PBO",0.393550536,0.739563122,0.65,551
"522",522,"Shomgom","Alkaleri",2024,"Shomgom",0.581675426,0.440254296,0.529776876,0.835300207,2,"july","PBO",0.393550536,0.739563122,0.65,1646
"523",523,"Yamaltu/Deba","Alkaleri",2021,"Yamaltu-Deba",0.388243216,0.343661701,0.166487775,0.698002542,1,"july","PBO",0.541765398,0.748024003,0.714846744,551
"524",524,"Yamaltu/Deba","Alkaleri",2024,"Yamaltu-Deba",0.388243216,0.343661701,0.166487775,0.698002542,2,"july","PBO",0.541765398,0.748024003,0.714846744,1646
"525",525,"Aboh-Mbaise","Ngor-Okpala",2020,"Aboh-Mbaise",0.213888888,0.293121089,0.084615385,0.094623656,1,"june","PBO",0.366998982,0.736534052,0.65,162
"526",526,"Aboh-Mbaise","Ngor-Okpala",2023,"Aboh-Mbaise",0.213888888,0.293121089,0.084615385,0.094623656,2,"june","PBO",0.366998982,0.736534052,0.65,1257
"527",527,"Fagge","Alkaleri",2022,"Fagge",0.532988189,0.41991247,0.372428961,0.547274324,1,"july","Urban areas",0.567041099,0.586251328,0.667379557,916
"528",528,"Fagge","Alkaleri",2025,"Fagge",0.532988189,0.41991247,0.372428961,0.547274324,2,"july","Urban areas",0.567041099,0.586251328,0.667379557,2011
"529",529,"Ehime-Mbano","Ngor-Okpala",2020,"Ehime-Mbano",0.19459143,0.209777416,0.210910385,0.141296569,1,"june","PBO",0.459803075,0.744603378,0.65,162
"530",530,"Ehime-Mbano","Ngor-Okpala",2023,"Ehime-Mbano",0.19459143,0.209777416,0.210910385,0.141296569,2,"june","PBO",0.459803075,0.744603378,0.65,1257
"531",531,"Ezinihitte","Ngor-Okpala",2020,"Ezinihitte",0.043468685,0.068965376,0.120325663,0.208120624,1,"june","PBO",0.456817192,0.744432235,0.65,162
"532",532,"Ezinihitte","Ngor-Okpala",2023,"Ezinihitte",0.043468685,0.068965376,0.120325663,0.208120624,2,"june","PBO",0.456817192,0.744432235,0.65,1257
"533",533,"Ideato North","Oru West",2020,"Ideato North",0.10667477,0.14820574,0.068727342,0.13899695,1,"june","PBO",0.449066913,0.743967818,0.65,162
"534",534,"Ideato North","Oru West",2023,"Ideato North",0.10667477,0.14820574,0.068727342,0.13899695,2,"june","PBO",0.449066913,0.743967818,0.65,1257
"535",535,"Ideato South","Ngor-Okpala",2020,"Ideato South",0.500000001,0.293121089,0.104761905,0.129411765,1,"june","PBO",0.438565746,0.743288627,0.65,162
"536",536,"Ideato South","Ngor-Okpala",2023,"Ideato South",0.500000001,0.293121089,0.104761905,0.129411765,2,"june","PBO",0.438565746,0.743288627,0.65,1257
"537",537,"Ihitte/Uboma","Ngor-Okpala",2020,"Ihitte-Uboma",0.334866992,0.293121089,0.241236274,0.293602,1,"june","PBO",0.471133329,0.745216177,0.65,162
"538",538,"Ihitte/Uboma","Ngor-Okpala",2023,"Ihitte-Uboma",0.334866992,0.293121089,0.241236274,0.293602,2,"june","PBO",0.471133329,0.745216177,0.65,1257
"539",539,"Ikeduru","Ngor-Okpala",2020,"Ikeduru",0.186529581,0.133840795,0.188750871,0.264989757,1,"june","PBO",0.402638622,0.740439976,0.65,162
"540",540,"Ikeduru","Ngor-Okpala",2023,"Ikeduru",0.186529581,0.133840795,0.188750871,0.264989757,2,"june","PBO",0.402638622,0.740439976,0.65,1257
"541",541,"Isiala Mbano","Ngor-Okpala",2020,"Isiala Mbano",0.318873288,0.267945005,0.250129245,0.231596897,1,"june","PBO",0.468083262,0.745056709,0.65,162
"542",542,"Isiala Mbano","Ngor-Okpala",2023,"Isiala Mbano",0.318873288,0.267945005,0.250129245,0.231596897,2,"june","PBO",0.468083262,0.745056709,0.65,1257
"543",543,"Isu","Ngor-Okpala",2020,"Isu",0.235714285,0.293121089,0.275,0.316949152,1,"june","PBO",0.310898215,0.726830753,0.65,162
"544",544,"Isu","Ngor-Okpala",2023,"Isu",0.235714285,0.293121089,0.275,0.316949152,2,"june","PBO",0.310898215,0.726830753,0.65,1257
"545",545,"Mbaitoli","Ngor-Okpala",2020,"Mbaitoli",0.426941605,0.335806963,0.166403857,0.31170476,1,"june","PBO",0.257476859,0.710250224,0.65,162
"546",546,"Mbaitoli","Ngor-Okpala",2023,"Mbaitoli",0.426941605,0.335806963,0.166403857,0.31170476,2,"june","PBO",0.257476859,0.710250224,0.65,1257
"547",547,"Obowo","Ngor-Okpala",2020,"Obowo",0.050776363,0.083320628,0.074560688,0.159750747,1,"june","PBO",0.461408625,0.744693686,0.65,162
"548",548,"Obowo","Ngor-Okpala",2023,"Obowo",0.050776363,0.083320628,0.074560688,0.159750747,2,"june","PBO",0.461408625,0.744693686,0.65,1257
