"","LGA","repDS","year","LGA_old","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","block_initial","round","peak","simday"
"1","Aba North","Ngor-Okpala",2020,"Aba North",0.668493072,0.759164498,0.642350367,0.617512273,0.319067389,0.393201897,0.53,1,"june",162
"2","Aba North","Ngor-Okpala",2023,"Aba North",0.668493072,0.759164498,0.642350367,0.617512273,0.319067389,0.393201897,0.53,2,"june",1257
"3","Aba South","Ngor-Okpala",2020,"Aba South",0.732585871,0.72691277,0.542141206,0.589843907,0.311454386,0.38693958,0.53,1,"june",162
"4","Aba South","Ngor-Okpala",2023,"Aba South",0.732585871,0.72691277,0.542141206,0.589843907,0.311454386,0.38693958,0.53,2,"june",1257
"5","Arochukwu","Ngor-Okpala",2020,"Arochukwu",0.709807769,0.627133985,0.539735094,0.625629622,0.431823298,0.485441926,0.53,1,"june",162
"6","Arochukwu","Ngor-Okpala",2023,"Arochukwu",0.709807769,0.627133985,0.539735094,0.625629622,0.431823298,0.485441926,0.53,2,"june",1257
"7","Bende","Ngor-Okpala",2020,"Bende",0.554506108,0.55399127,0.399431805,0.481414612,0.451630723,0.501154968,0.53,1,"june",162
"8","Bende","Ngor-Okpala",2023,"Bende",0.554506108,0.55399127,0.399431805,0.481414612,0.451630723,0.501154968,0.53,2,"june",1257
"9","Ikwuano","Ngor-Okpala",2020,"Ikwuano",0.693004114,0.624127916,0.725072045,0.72030651,0.469780688,0.51532143,0.53,1,"june",162
"10","Ikwuano","Ngor-Okpala",2023,"Ikwuano",0.693004114,0.624127916,0.725072045,0.72030651,0.469780688,0.51532143,0.53,2,"june",1257
"11","Isiala-Ngwa North","Ngor-Okpala",2020,"Isiala-Ngwa North",0.342898792,0.429356358,0.371963678,0.359840232,0.347639146,0.416760484,0.53,1,"june",162
"12","Isiala-Ngwa North","Ngor-Okpala",2023,"Isiala-Ngwa North",0.342898792,0.429356358,0.371963678,0.359840232,0.347639146,0.416760484,0.53,2,"june",1257
"13","Isiala-Ngwa South","Ngor-Okpala",2020,"Isiala-Ngwa South",0.404366275,0.376877973,0.519305704,0.417883509,0.381316588,0.444481729,0.53,1,"june",162
"14","Isiala-Ngwa South","Ngor-Okpala",2023,"Isiala-Ngwa South",0.404366275,0.376877973,0.519305704,0.417883509,0.381316588,0.444481729,0.53,2,"june",1257
"15","Isuikwato","Ngor-Okpala",2020,"Isuikwato",0.75242915,0.453256705,0.405045492,0.530249359,0.414408176,0.471442169,0.53,1,"june",162
"16","Isuikwato","Ngor-Okpala",2023,"Isuikwato",0.75242915,0.453256705,0.405045492,0.530249359,0.414408176,0.471442169,0.53,2,"june",1257
"17","Obi Nwa","Ngor-Okpala",2020,"Obi Nwa",0.6,0.766666667,0.618181818,0.64375,0.339144556,0.409752288,0.53,1,"june",162
"18","Obi Nwa","Ngor-Okpala",2023,"Obi Nwa",0.6,0.766666667,0.618181818,0.64375,0.339144556,0.409752288,0.53,2,"june",1257
"19","Ohafia","Ngor-Okpala",2020,"Ohafia",0.482997461,0.409757356,0.443886995,0.484305851,0.433165676,0.486514324,0.53,1,"june",162
"20","Ohafia","Ngor-Okpala",2023,"Ohafia",0.482997461,0.409757356,0.443886995,0.484305851,0.433165676,0.486514324,0.53,2,"june",1257
"21","Osisioma Ngwa","Ngor-Okpala",2020,"Osisioma Ngwa",0.564705882,0.5,0.430434783,0.633333333,0.3223721,0.395923243,0.53,1,"june",162
"22","Osisioma Ngwa","Ngor-Okpala",2023,"Osisioma Ngwa",0.564705882,0.5,0.430434783,0.633333333,0.3223721,0.395923243,0.53,2,"june",1257
"23","Ugwunagbo","Ngor-Okpala",2020,"Ugwunagbo",0.442857143,0.442857143,0.577777778,0.376923077,0.311296946,0.386810187,0.53,1,"june",162
"24","Ugwunagbo","Ngor-Okpala",2023,"Ugwunagbo",0.442857143,0.442857143,0.577777778,0.376923077,0.311296946,0.386810187,0.53,2,"june",1257
"25","Ukwa East","Nsit Ubium",2020,"Ukwa East",0.517391304,0.355555556,0.34,0.371428571,0.30363416,0.380519132,0.53,1,"june",162
"26","Ukwa East","Nsit Ubium",2023,"Ukwa East",0.517391304,0.355555556,0.34,0.371428571,0.30363416,0.380519132,0.53,2,"june",1257
"27","Ukwa West","Nsit Ubium",2020,"Ukwa West",0.63446468,0.594193051,0.502569073,0.527821791,0.294680951,0.373187786,0.53,1,"june",162
"28","Ukwa West","Nsit Ubium",2023,"Ukwa West",0.63446468,0.594193051,0.502569073,0.527821791,0.294680951,0.373187786,0.53,2,"june",1257
"29","Umu-Neochi","Oru West",2020,"Umu-Neochi",0.714834691,0.805751301,0.636016178,0.669315235,0.436597759,0.489251418,0.53,1,"june",162
"30","Umu-Neochi","Oru West",2023,"Umu-Neochi",0.714834691,0.805751301,0.636016178,0.669315235,0.436597759,0.489251418,0.53,2,"june",1257
"31","Umuahia North","Ngor-Okpala",2020,"Umuahia North",0.433333333,0.566473717,0.5,0.475438596,0.451576154,0.501112024,0.53,1,"june",162
"32","Umuahia North","Ngor-Okpala",2023,"Umuahia North",0.433333333,0.566473717,0.5,0.475438596,0.451576154,0.501112024,0.53,2,"june",1257
"33","Umuahia South","Ngor-Okpala",2020,"Umuahia South",0.490246395,0.519712762,0.465294373,0.578242778,0.48752647,0.528927156,0.53,1,"june",162
"34","Umuahia South","Ngor-Okpala",2023,"Umuahia South",0.490246395,0.519712762,0.465294373,0.578242778,0.48752647,0.528927156,0.53,2,"june",1257
"35","Demsa","Alkaleri",2020,"Demsa",0.75367231,0.58476821,0.567025783,0.684980239,0.495212973,0.534738199,0.53,1,"july",186
"36","Demsa","Alkaleri",2023,"Demsa",0.75367231,0.58476821,0.567025783,0.684980239,0.495212973,0.534738199,0.53,2,"july",1281
"37","Gireri","Darazo",2020,"Gireri",0.73370955,0.551051565,0.719360098,0.714123463,0.658506137,0.643299625,0.53,1,"july",186
"38","Gireri","Darazo",2023,"Gireri",0.73370955,0.551051565,0.719360098,0.714123463,0.658506137,0.643299625,0.53,2,"july",1281
"39","Gombi","Alkaleri",2020,"Gombi",0.76428318,0.713940794,0.695597499,0.638836572,0.515567645,0.54986676,0.53,1,"july",186
"40","Gombi","Alkaleri",2023,"Gombi",0.76428318,0.713940794,0.695597499,0.638836572,0.515567645,0.54986676,0.53,2,"july",1281
"41","Guyuk","Alkaleri",2020,"Guyuk",0.949078623,0.838183465,0.909110853,0.820162675,0.571995521,0.58959986,0.53,1,"july",186
"42","Guyuk","Alkaleri",2023,"Guyuk",0.949078623,0.838183465,0.909110853,0.820162675,0.571995521,0.58959986,0.53,2,"july",1281
"43","Hong","Darazo",2020,"Hong",0.908695652,0.744444444,0.54137931,0.684615385,0.634881453,0.629555395,0.53,1,"july",186
"44","Hong","Darazo",2023,"Hong",0.908695652,0.744444444,0.54137931,0.684615385,0.634881453,0.629555395,0.53,2,"july",1281
"45","Lamurde","Alkaleri",2020,"Lamurde",0.618181818,0.442857143,0.663636364,0.703225806,0.429924862,0.483923569,0.53,1,"july",186
"46","Lamurde","Alkaleri",2023,"Lamurde",0.618181818,0.442857143,0.663636364,0.703225806,0.429924862,0.483923569,0.53,2,"july",1281
"47","Mayo-Belwa","Alkaleri",2020,"Mayo-Belwa",0.94,0.4875,0.74,0.738596491,0.615915722,0.618014343,0.53,1,"july",186
"48","Mayo-Belwa","Alkaleri",2023,"Mayo-Belwa",0.94,0.4875,0.74,0.738596491,0.615915722,0.618014343,0.53,2,"july",1281
"49","Numan","Alkaleri",2020,"Numan",1.133333333,0.7375,0.668421053,0.911111111,0.518273564,0.55184819,0.53,1,"july",186
"50","Numan","Alkaleri",2023,"Numan",1.133333333,0.7375,0.668421053,0.911111111,0.518273564,0.55184819,0.53,2,"july",1281
"51","Shelleng","Darazo",2020,"Shelleng",0.664360702,0.594522122,0.61610634,0.666244989,0.58914423,0.600969346,0.53,1,"july",186
"52","Shelleng","Darazo",2023,"Shelleng",0.664360702,0.594522122,0.61610634,0.666244989,0.58914423,0.600969346,0.53,2,"july",1281
"53","Abak","Nsit Ubium",2021,"Abak",0.417647059,0.366666667,0.473913043,0.463934426,0.358412263,0.425644469,0.53,1,"june",527
"54","Itu","Ngor-Okpala",2024,"Itu",0.604424538,0.566473717,0.519305704,0.320408163,0.415010863,0.471929182,0.53,2,"june",1622
"55","Song","Darazo",2020,"Song",0.781299215,0.867045456,0.789233428,0.794332723,0.551949619,0.575879905,0.53,1,"july",186
"56","Song","Darazo",2023,"Song",0.781299215,0.867045456,0.789233428,0.794332723,0.551949619,0.575879905,0.53,2,"july",1281
"57","Yola North","Alkaleri",2020,"Yola North",0.789106732,0.754789001,0.714279228,0.709390884,0.581884889,0.596198663,0.53,1,"july",186
"58","Yola North","Alkaleri",2023,"Yola North",0.789106732,0.754789001,0.714279228,0.709390884,0.581884889,0.596198663,0.53,2,"july",1281
"59","Yola South","Alkaleri",2020,"Yola South",0.823809524,0.675,0.744444444,0.559259259,0.57254926,0.589972357,0.53,1,"july",186
"60","Yola South","Alkaleri",2023,"Yola South",0.823809524,0.675,0.744444444,0.559259259,0.57254926,0.589972357,0.53,2,"july",1281
"61","Abeokuta North","Owan East",2021,"Abeokuta North",0.8585438,0.80745042,0.696366979,0.812361736,0.429058332,0.483229857,0.53,1,"march",435
"62","Abak","Nsit Ubium",2024,"Abak",0.417647059,0.366666667,0.473913043,0.463934426,0.358412263,0.425644469,0.53,2,"june",1622
"63","Awka North","Uzo-Uwani",2020,"Awka North",0.538095238,0.442857143,0.386956522,0.510526316,0.388205397,0.450124783,0.53,1,"june",162
"64","Awka North","Uzo-Uwani",2023,"Awka North",0.538095238,0.442857143,0.386956522,0.510526316,0.388205397,0.450124783,0.53,2,"june",1257
"65","Abeokuta South","Uzo-Uwani",2021,"Abeokuta South",0.678117902,0.936654445,0.475224834,0.5573025,0.443245868,0.494533241,0.53,1,"june",527
"66","Eket","Nsit Ubium",2024,"Eket",0.663636364,0.633333333,0.65,0.618181818,0.238612216,0.328021397,0.53,2,"june",1622
"67","Abi","Obubra",2021,"Abi",0.94610383,0.750892796,0.726174519,0.866548821,0.400313882,0.46000802,0.53,1,"june",527
"68","Esit Eket","Nsit Ubium",2024,"Esit Eket",0.942857143,0.7,0.462162162,0.790566038,0.262279676,0.346897657,0.53,2,"june",1622
"69","Ado-Odo-Ota","Uzo-Uwani",2021,"Ado-Odo/Ota",0.737146656,0.747816926,0.589844266,0.60835722,0.405185074,0.46396913,0.53,1,"june",527
