LGA,State,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Birni Kudu,Jigawa,Takali,september,250,2020,1,-1,0.8,0.2,5
Birni Kudu,Jigawa,Takali,september,280,2020,2,-1,0.8,0.2,5
Birni Kudu,Jigawa,Takali,september,310,2020,3,-1,0.8,0.2,5
Birni Kudu,Jigawa,Takali,september,340,2020,4,-1,0.8,0.2,5
Buji,Jigawa,Takali,september,250,2020,1,-1,0.8,0.2,5
Buji,Jigawa,Takali,september,280,2020,2,-1,0.8,0.2,5
Buji,Jigawa,Takali,september,310,2020,3,-1,0.8,0.2,5
Buji,Jigawa,Takali,september,340,2020,4,-1,0.8,0.2,5
Dutse,Jigawa,Takali,september,250,2020,1,-1,0.8,0.2,5
Dutse,Jigawa,Takali,september,280,2020,2,-1,0.8,0.2,5
Dutse,Jigawa,Takali,september,310,2020,3,-1,0.8,0.2,5
Dutse,Jigawa,Takali,september,340,2020,4,-1,0.8,0.2,5
Gagarawa,Jigawa,Taura,july,186,2020,1,-1,0.8,0.2,5
Gagarawa,Jigawa,Taura,july,216,2020,2,-1,0.8,0.2,5
Gagarawa,Jigawa,Taura,july,246,2020,3,-1,0.8,0.2,5
Gagarawa,Jigawa,Taura,july,276,2020,4,-1,0.8,0.2,5
Garki,Jigawa,Babura,may,131,2020,1,-1,0.8,0.2,5
Garki,Jigawa,Babura,may,161,2020,2,-1,0.8,0.2,5
Garki,Jigawa,Babura,may,191,2020,3,-1,0.8,0.2,5
Garki,Jigawa,Babura,may,221,2020,4,-1,0.8,0.2,5
Gumel,Jigawa,Babura,may,131,2020,1,-1,0.8,0.2,5
Gumel,Jigawa,Babura,may,161,2020,2,-1,0.8,0.2,5
Gumel,Jigawa,Babura,may,191,2020,3,-1,0.8,0.2,5
Gumel,Jigawa,Babura,may,221,2020,4,-1,0.8,0.2,5
Guri,Jigawa,Taura,july,186,2020,1,-1,0.8,0.2,5
Guri,Jigawa,Taura,july,216,2020,2,-1,0.8,0.2,5
Guri,Jigawa,Taura,july,246,2020,3,-1,0.8,0.2,5
Guri,Jigawa,Taura,july,276,2020,4,-1,0.8,0.2,5
Gwaram,Jigawa,Takali,september,250,2020,1,-1,0.8,0.2,5
Gwaram,Jigawa,Takali,september,280,2020,2,-1,0.8,0.2,5
Gwaram,Jigawa,Takali,september,310,2020,3,-1,0.8,0.2,5
Gwaram,Jigawa,Takali,september,340,2020,4,-1,0.8,0.2,5
Gwiwa,Jigawa,Babura,may,131,2020,1,-1,0.8,0.2,5
Gwiwa,Jigawa,Babura,may,161,2020,2,-1,0.8,0.2,5
Gwiwa,Jigawa,Babura,may,191,2020,3,-1,0.8,0.2,5
Gwiwa,Jigawa,Babura,may,221,2020,4,-1,0.8,0.2,5
Hadejia,Jigawa,Taura,july,186,2020,1,-1,0.8,0.2,5
Hadejia,Jigawa,Taura,july,216,2020,2,-1,0.8,0.2,5
Hadejia,Jigawa,Taura,july,246,2020,3,-1,0.8,0.2,5
Hadejia,Jigawa,Taura,july,276,2020,4,-1,0.8,0.2,5
Jahun,Jigawa,Taura,july,186,2020,1,-1,0.8,0.2,5
Jahun,Jigawa,Taura,july,216,2020,2,-1,0.8,0.2,5
Jahun,Jigawa,Taura,july,246,2020,3,-1,0.8,0.2,5
Jahun,Jigawa,Taura,july,276,2020,4,-1,0.8,0.2,5
Kafin Hausa,Jigawa,Taura,july,186,2020,1,-1,0.8,0.2,5
Kafin Hausa,Jigawa,Taura,july,216,2020,2,-1,0.8,0.2,5
Kafin Hausa,Jigawa,Taura,july,246,2020,3,-1,0.8,0.2,5
Kafin Hausa,Jigawa,Taura,july,276,2020,4,-1,0.8,0.2,5
Kaugama,Jigawa,Taura,july,186,2020,1,-1,0.8,0.2,5
Kaugama,Jigawa,Taura,july,216,2020,2,-1,0.8,0.2,5
Kaugama,Jigawa,Taura,july,246,2020,3,-1,0.8,0.2,5
Kaugama,Jigawa,Taura,july,276,2020,4,-1,0.8,0.2,5
