,adm1,adm2,year,llins_yn,llins_num,llin_month,mortality,Kill_rate
88,Sokoto,Gada,2013,1.0,,12.0,0.705202063,0.6683847239783322
89,Sokoto,Gawabawa,2013,1.0,,12.0,0.717855252,0.6747074484657213
90,Sokoto,Goronyo,2013,1.0,,12.0,0.672566144,0.6511437776289565
91,Sokoto,Gudu,2013,1.0,,12.0,0.777687446,0.701930475026434
92,Sokoto,Illela,2013,1.0,,12.0,0.7380347209999999,0.6843776777696694
93,Sokoto,Isa,2013,1.0,,12.0,0.773934247,0.7003497329081317
94,Sokoto,Kebbe,2013,1.0,,12.0,0.671238212,0.6504136529548198
95,Sokoto,Kware,2013,1.0,,12.0,0.7243842359999999,0.6778915590491177
96,Sokoto,Rabah,2013,1.0,,12.0,0.695887528,0.6636015408198505
97,Sokoto,Sabon Birni,2013,1.0,,12.0,0.726648053,0.6789831984187208
98,Sokoto,Shagari,2013,1.0,,12.0,0.658530685,0.6433135390876081
99,Sokoto,Silame,2013,1.0,,12.0,0.637402389,0.6310555675557764
100,Sokoto,Sokoto North,2013,1.0,,12.0,0.7205095490000001,0.676008334005727
101,Sokoto,Sokoto South,2013,1.0,,12.0,0.757982334,0.6934445516324559
102,Sokoto,Tambuwal,2013,1.0,,12.0,0.638212609,0.6315360212501797
103,Sokoto,Tangaza,2013,1.0,,12.0,0.630628271,0.6270063054877645
104,Sokoto,Tureta,2013,1.0,,12.0,0.688034893,0.6594838584138641
105,Sokoto,Wamako,2013,1.0,,12.0,0.68884797,0.6599138359632254
106,Sokoto,Wurno,2013,1.0,,12.0,0.642953288,0.6343306368512066
107,Sokoto,Yabo,2013,1.0,,12.0,0.665538622,0.6472544619374685
108,Akwa Ibom,Abak,2014,1.0,,12.0,0.7044353720000001,0.6679951476077178
109,Akwa Ibom,Eastern Obolo,2014,1.0,,12.0,0.6406668010000001,0.6329862948446056
110,Akwa Ibom,Eket,2014,1.0,,12.0,0.661269754,0.6448612783807326
111,Akwa Ibom,Esit Eket,2014,1.0,,12.0,0.693944461,0.6625899238114921
112,Akwa Ibom,Essien Udim,2014,1.0,,12.0,0.717303314,0.6744358349343864
113,Akwa Ibom,Etim Ekpo,2014,1.0,,12.0,0.719284105,0.6754088307045784
114,Akwa Ibom,Etinan,2014,1.0,,12.0,0.730641027,0.6808931468658252
115,Akwa Ibom,Ibeno,2014,1.0,,12.0,0.682817824,0.6567049824061924
116,Akwa Ibom,Ibesikpo Asutan,2014,1.0,,12.0,0.711981095,0.6717971542156423
117,Akwa Ibom,Ibiono Ibom,2014,1.0,,12.0,0.726055769,0.6786982074533922
118,Akwa Ibom,Ika,2014,1.0,,12.0,0.694065535,0.6626530979834677
119,Akwa Ibom,Ikono,2014,1.0,,12.0,0.749542253,0.6896673757282266
120,Akwa Ibom,Ikot Abasi,2014,1.0,,12.0,0.5515114289999999,0.5755749684653783
121,Akwa Ibom,Ikot Ekpene,2014,1.0,,12.0,0.7477401490000001,0.6888496837554335
122,Akwa Ibom,Ini,2014,1.0,,12.0,0.729042137,0.680130727767493
123,Akwa Ibom,Itu,2014,1.0,,12.0,0.7271274529999999,0.6792135535415191
124,Akwa Ibom,Mbo,2014,1.0,,12.0,0.611886472,0.6155049350321447
125,Akwa Ibom,Mkpat Enin,2014,1.0,,12.0,0.712673595,0.6721424949887053
126,Akwa Ibom,Nsit Atai,2014,1.0,,12.0,0.760535794,0.6945703447888077
127,Akwa Ibom,Nsit Ibom,2014,1.0,,12.0,0.7243445709999999,0.6778723752978182
128,Akwa Ibom,Nsit Ubium,2014,1.0,,12.0,0.730989344,0.6810588192219998
129,Akwa Ibom,Obot Akara,2014,1.0,,12.0,0.731862027,0.6814732398602856
130,Akwa Ibom,Okobo,2014,1.0,,12.0,0.682612775,0.6565950576763292
131,Akwa Ibom,Onna,2014,1.0,,12.0,0.6859355970000001,0.6583698173469364
132,Akwa Ibom,Oron,2014,1.0,,12.0,0.5876092310000001,0.5999657933027747
133,Akwa Ibom,Oruk Anam,2014,1.0,,12.0,0.700380177,0.6659222691617741
134,Akwa Ibom,Udung Uko,2014,1.0,,12.0,0.572083704,0.5896592034958547
135,Akwa Ibom,Ukanafun,2014,1.0,,12.0,0.7031687879999999,0.6673499396365979
136,Akwa Ibom,Uruan,2014,1.0,,12.0,0.640300082,0.6327700689235117
137,Akwa Ibom,Urue-Offong/Oruko,2014,1.0,,12.0,0.6849718690000001,0.6578565205966961
138,Akwa Ibom,Uyo,2014,1.0,,12.0,0.661542863,0.6450150795116362
139,Anambra,Aguata,2014,1.0,,10.0,0.539069575,0.5668294538484333
140,Anambra,Anambra East,2014,1.0,,10.0,0.407162368,0.46557430410724077
141,Anambra,Anambra West,2014,1.0,,10.0,0.444502667,0.4955286687758947
142,Anambra,Anaocha,2014,1.0,,10.0,0.489463902,0.5303967213283993
143,Anambra,Awka North,2014,1.0,,10.0,0.455391826,0.5041099486366941
144,Anambra,Awka South,2014,1.0,,10.0,0.49137668100000004,0.531844398535779
145,Anambra,Ayamelum,2014,1.0,,10.0,0.44580892,0.49656219900851306
146,Anambra,Dunukofia,2014,1.0,,10.0,0.423845301,0.4790479347327327
147,Anambra,Ekwusigo,2014,1.0,,10.0,0.455868751,0.5044839555832713
148,Anambra,Idemili North,2014,1.0,,10.0,0.438980486,0.49114755742045424
149,Anambra,Idemili South,2014,1.0,,10.0,0.446015902,0.4967258661858716
150,Anambra,Ihiala,2014,1.0,,10.0,0.509956139,0.5457349822020308
151,Anambra,Njikoka,2014,1.0,,10.0,0.45366109200000004,0.5027513719398402
152,Anambra,Nnewi North,2014,1.0,,10.0,0.470000952,0.5154918525188821
153,Anambra,Nnewi South,2014,1.0,,10.0,0.5349134879999999,0.5638711698639446
154,Anambra,Ogbaru,2014,1.0,,10.0,0.49906794299999996,0.5376328664518305
155,Anambra,Onitsha North,2014,1.0,,10.0,0.35113281,0.4196423427724362
156,Anambra,Onitsha South,2014,1.0,,10.0,0.35423213200000003,0.42219834289995317
157,Anambra,Orumba North,2014,1.0,,10.0,0.489219035,0.5302111655226298
158,Anambra,Orumba South,2014,1.0,,10.0,0.560833231,0.5820160585125772
159,Anambra,Oyi,2014,1.0,,10.0,0.407650688,0.465970474597332
160,Bauchi,Alkaleri,2014,1.0,,10.0,0.354726605,0.42260606940142104
