,State,LGA,area_sq_km
729,Benue,Konshisha,1546.329082
730,Katsina,Funtua,483.3291026
731,Enugu,Uzo-Uwani,904.6993183
732,Abia,Ukwa East,247.0540779
733,Imo,Ideato North,186.8635769
734,Taraba,Kurmi,4980.069895
735,Bauchi,Gamawa,2987.358559
736,Bauchi,Kirfi,2532.140341
737,Niger,Gurara,1143.856908
738,Enugu,Awgu,452.516211
739,Oyo,Atiba,1675.807829
740,Ekiti,Ikere,204.684595
741,Ekiti,Idosi-Osi,263.0020343
742,Bauchi,Dass,529.8171398
743,Katsina,Jibia,1101.547366
744,Bauchi,Bogoro,655.4135016
745,Plateau,Mikang,749.0934257
746,Katsina,Ingawa,767.4100061
747,Zamfara,Bungudu,1732.188617
748,Ekiti,Moba,140.4762648
749,Oyo,Ona-Ara,311.1440759
750,Kaduna,Igabi,3516.147767
751,Oyo,Ibadan North East,26.51813892
752,Imo,Isiala Mbano,183.7719104
753,Rivers,Ahoada West,441.8513081
754,Katsina,Kankia,855.7510828
755,Kebbi,Bagudo,4930.312137
756,Adamawa,Toungo,4638.235678
757,Katsina,Kusada,400.241086
758,Rivers,Ikwerre,674.7609169
759,Imo,Orlu,130.1650935
760,Plateau,Mangu,1768.193927
761,Edo,Owan East,1240.239188
762,Osun,Orolu,87.32465667
763,Enugu,Enugu North,158.5582945
764,Kebbi,Birnin Kebbi,1256.444342
765,Katsina,Baure,737.4788004
766,Imo,Njaba,80.97889265
767,Benue,Katsina-Ala,2706.817827
768,Niger,Edati,785.2700407
769,Kogi,Olamabolo,1212.808781
770,Osun,Atakumosa East,577.7229268
771,Kaduna,Sabon-Gari,245.2564972
772,Sokoto,Kware,704.2567672
773,Adamawa,Demsa,2294.701374
774,Ogun,Egbado North,1973.177254
