,State,LGA,area_sq_km
167,Ebonyi,Ezza North,307.370422
168,Delta,Oshimili South,308.582474
169,Benue,Buruku,1594.022467
170,Kwara,Oyun,479.0502007
171,Enugu,Aninri,293.7846371
172,Borno,Damboa,6500.093574
173,Cross River,Boki,2927.549722
174,Enugu,Udi,927.4841859
175,Niger,Agwara,1805.161191
176,Akwa,Onna,151.9300473
177,Kaduna,Soba,2164.700397
178,Yobe,Machina,1246.619534
179,Imo,Ihitte/Uboma,71.42921974
180,Taraba,Gashaka,8286.489832
181,Akwa,Essien Udim,299.6804216
182,Cross River,Obanliku,971.5823965
183,Lagos,Surulere1,30.78795081
184,Kano,Gwarzo,364.0821823
185,Osun,Atakumosa West,579.8032739
186,Rivers,Eleme,124.7075869
187,Zamfara,Anka,2419.758867
188,Kebbi,Maiyama,1485.869848
189,Akwa,Udung Uko,53.85655883
190,Ogun,Ijebu North,849.0916146
191,Kaduna,Jema'a,1716.085338
192,Kaduna,Zaria,304.0845563
193,Osun,Ifelodun2,132.101377
194,Adamawa,Gireri,1869.812917
195,Nasarawa,Karu,2663.315496
196,Kano,Tarauni,23.68122348
197,Sokoto,Gudu,4014.741402
198,Abia,Ukwa West,293.9929006
199,Akwa,Ukanafun,280.2189116
200,Enugu,Udenu,251.7265648
201,Anambra,Ihiala,222.8307336
202,Osun,Egbedore,302.0757459
203,Taraba,Ussa,2464.440355
204,Rivers,Omumma,302.8063807
205,Kano,Tofa,204.1558124
206,Kano,Kunchi,708.2581997
207,Enugu,Oji-River,373.8172212
208,Delta,Udu,135.836469
209,Adamawa,Mayo-Belwa,2180.62128
210,Kano,Gabasawa,661.5591251
211,Ebonyi,Ikwo,464.6192636
212,Abia,Ikwuano,238.4735959
213,Osun,Ifedayo,115.4032661
214,Nasarawa,Keffi,158.5517387
215,Akwa,Eastern Obolo,96.62099241
216,Osun,Ilesha East,83.38453381
217,Ogun,Ipokia,475.6389294
218,Borno,Mobbar,3251.858088
219,Benue,Okpokwu,728.5313056
220,Rivers,Oyigbo,343.0905052
221,Oyo,Egbeda,189.6576646
222,Jigawa,Taura,680.1829533
223,Ogun,Ado-Odo/Ota,906.1510256
224,Gombe,Kaltungo,1063.405179
225,Nasarawa,Doma,2611.19442
226,Oyo,Ori Ire,1915.241321
227,Kaduna,Kaduna North,87.99481856
228,Ogun,Obafemi-Owode,1418.070746
229,Ebonyi,Ohaozara,302.2653534
230,Jigawa,Kaugama,860.0698324
231,Adamawa,Mubi North,689.4780438
232,Akwa,Okobo,275.8687628
233,Kano,Dawakin Tofa,450.0944241
234,Abuja,Abuja Municipal,1588.877121
235,Nasarawa,Keana,1057.738457
236,Gombe,Billiri,841.0764933
237,Kwara,Isin,634.4832566
238,Osun,Ife Central,70.49221728
239,Akwa,Etinan,171.8767903
240,Kaduna,Giwa,1962.369813
241,Kano,Rimin Gado,210.6335188
242,Enugu,Igbo-Etiti,348.9979194
243,Borno,Bayo,1068.270101
244,Lagos,Apapa,41.78141908
245,Sokoto,Sabon Birni,2246.93765
246,Niger,Suleja,122.2415975
247,Benue,Makurdi,839.7332729
248,Ogun,Ogun waterside,960.4921645
249,Lagos,Ifako-Ijaye,33.69064252
250,Osun,Ede North,85.91855349
251,Ebonyi,Abakaliki,539.9971495
252,Jigawa,Dutse,1038.861241
253,Anambra,Anaocha,105.5580062
254,Gombe,Shomgom,853.9065109
255,Kebbi,Gwandu,858.2536479
256,Katsina,Mani,777.5779407
257,Ogun,Ewekoro,616.538454
258,Ekiti,Ijero,348.5008889
259,Borno,Shani,1200.11997
260,Osun,Ejigbo,394.1945654
261,Zamfara,Bakura,2371.451964
262,Enugu,Enugu South,70.68509176
263,Akwa,Ibesikpo Asutan,176.1409981
264,Kebbi,Sakaba,1362.513989
265,Katsina,Charanchi,465.0688099
266,Borno,Biu,3334.249726
267,Osun,Ife East,102.4380483
268,Katsina,Danja,467.3262155
269,Imo,Okigwe,267.6444158
270,Rivers,Emohua,748.7397589
271,Plateau,Langtang South,1364.144055
272,Ondo,Idanre,1903.170706
273,Oyo,Kajola,587.4949384
274,Borno,Bama,4496.367736
275,Enugu,Igbo-Eze South,184.651202
276,Niger,Mariga,5785.8215
277,Kano,Rano,473.9108089
278,Nasarawa,Obi2,994.3987849
279,Katsina,Sandamu,288.4534689
280,Bauchi,Katagum,1956.533252
281,Sokoto,Binji,529.0522646
282,Lagos,Ibeju/Lekki,461.4275896
283,Akwa,Oruk Anam,471.4067438
284,Kano,Takali,787.8209532
285,Osun,Irewole,310.4679193
286,Katsina,Mai'Adua,578.0348524
287,Abia,Ugwunagbo,106.5216913
288,Kwara,Asa,1573.788054
289,Ondo,Ifedore,246.8239039
290,Kaduna,Kachia,4634.479946
291,Niger,Lapai,3049.032331
292,Oyo,Itesiwaju,1374.986644
293,Kano,Madobi,268.5088318
294,Edo,Igueben,398.9954612
295,Kebbi,Fakai,1963.715884
296,Ogun,Ijebu East,2210.892718
297,Jigawa,Kazaure,367.8881515
298,Kano,Bagwai,384.7026616
299,Edo,Esan Central,256.1469536
300,Edo,Egor,108.1923756
301,Plateau,Bassa2,1482.423239
302,Edo,Esan West,507.0262409
303,Abia,Obi Nwa,375.406152
304,Akwa,Ikot Ekpene,133.8439273
305,Abia,Isuikwato,337.1397022
306,Anambra,Nnewi South,169.1519156
307,Bauchi,Shira,910.4428663
308,Plateau,Jos North,404.2281038
309,Ekiti,Oye,469.9425832
310,Kebbi,Kalgo,698.431087
311,Ondo,Odigbo,1890.534994
312,Abia,Isiala-Ngwa North,254.0423324
313,Rivers,Akuku Toru,487.4792039
314,Bayelsa,Yenegoa,749.2424858
315,Imo,Unuimo,85.90008122
316,Jigawa,Malam Madori,789.0065959
317,Kano,Bunkure,471.4235366
318,Kogi,Dekina,2500.868012
319,Akwa,Nsit Ubium,204.704282
320,Adamawa,Ganaye,1838.412823
321,Borno,Kukawa,4653.283079
322,Oyo,Ogbomosho South,72.09780347
323,Katsina,Rimi,474.472108
324,Kano,Albasu,461.5712549
325,Oyo,Ogo Oluwa,474.9091907
326,Borno,Ngala,1331.785996
327,Akwa,Uyo,188.7991033
328,Osun,Olorunda,93.16481581
329,Kaduna,Markafi,520.0581262
330,Benue,Ogbadibo,517.4499797
331,Adamawa,Yola North,140.3100182
332,Ogun,Ijebu ode,178.3625471
333,Sokoto,Silame,612.3018732
334,Jigawa,Birni Kudu,1439.186497
335,Kaduna,Sanga,1326.442216
336,Delta,Ika South,544.4730938
337,Oyo,Ibarapa East,824.2463822
338,Ogun,Ikenne,142.2234692
339,Akwa,Abak,177.8827674
340,Delta,Oshimili North,500.6320572
341,Ekiti,Ekiti South West,307.7742576
342,Bauchi,Zaki,1695.074261
343,Osun,Ife North,980.5759243
344,Abia,Umuahia North,231.6584528
345,Ogun,Shagamu,618.0935563
346,Kano,Kibiya,374.7666757
347,Zamfara,Kaura-Namoda,679.3631694
348,Kwara,Ilorin East,435.4673547
349,Ondo,Akure North,682.145784
350,Oyo,Oyo East,131.8639392
351,Plateau,Kanam,3025.872221
352,Jigawa,kiyawa,1109.298819
353,Abia,Osisioma Ngwa,193.1492242
354,Abia,Bende,605.277315
355,Kwara,Edu,2529.095944
356,Borno,Mafa,2940.429064
357,Lagos,Eti-Osa,181.8568956
358,Edo,Orhionmwon,2319.311671
359,Borno,Nganzai,2508.047024
360,Ondo,Akoko South East,233.1122097
361,Rivers,Degema,822.8189009
362,Delta,Uvwie,99.9957676
363,Niger,Magama,3773.392433
364,Ondo,Irele,816.9891972
365,Gombe,Yamaltu/Deba,2174.086012
366,Kano,Shanono,627.809381
367,Lagos,Mushin,17.42605184
368,Delta,Warri North,1643.236618
369,Lagos,Badagry,495.8136006
370,Abuja,Abaji,1004.700936
371,Enugu,Ezeagu,619.4472866
372,Sokoto,Shagari,1299.560446
373,Imo,Nkwerre,39.31697649
374,Delta,Patani,211.498376
375,Imo,Orsu,137.2705525
376,Delta,Warri South West,1453.878259
377,Akwa,Uruan,292.2033471
378,Jigawa,Ringim,874.228061
379,Akwa,Nsit Ibom,120.2395706
380,Kwara,Ekiti,548.3665081
381,Enugu,Nkanu East,830.8670162
382,Niger,Gbako,1808.92704
383,Kano,Minjibir,416.2647894
384,Plateau,Pankshin,1295.861595
385,Kano,Warawa,346.0737264
386,Imo,Oru East,143.646429
387,Akwa,Ini,474.2449657
388,Bayelsa,Ogbia,754.9784928
389,Delta,Warri South,528.380841
390,Taraba,Donga,3441.974857
391,Kogi,Kabba/Bunu,2707.505112
392,Anambra,Njikoka,94.32203029
393,Abuja,Bwari,820.7468649
394,Delta,Aniocha North,468.8865603
395,Lagos,Kosofe,74.28498645
396,Borno,Hawul,2083.680966
397,Bauchi,Warji,652.1435034
398,Lagos,Amuwo-Odofin,174.4814233
399,Zamfara,Birnin Magaji,1114.991237
400,Borno,Monguno,1880.490398
401,Kebbi,Arewa-Dandi,4963.323823
402,Delta,Ndokwa East,1719.789796
403,Ondo,Ile-Oluji-Okeigbo,322.4258295
404,Delta,Bomadi,125.3373794
405,Kwara,Ilorin South,166.7162411
406,Zamfara,Talata Mafara,1018.019097
407,Ogun,Ijebu North East,127.7184708
408,Oyo,Oluyole,766.9496065
409,Bauchi,Tafawa-Balewa,2193.016517
410,Borno,Gubio,2509.675099
411,Imo,Isu,35.39565375
412,Abia,Isiala-Ngwa South,261.9314218
413,Katsina,Dan Musa,796.7426412
414,Yobe,Damaturu,2456.307715
415,Katsina,Batagarawa,443.8628081
416,Rivers,Asari-Toru,92.06464059
417,Ebonyi,Afikpo North,200.1240575
418,Bauchi,Ganjuwa,5317.240201
419,Kogi,Ibaji,1385.29091
420,Gombe,Dukku,3700.342763
421,Sokoto,Goronyo,1655.31143
422,Delta,Ethiope East,389.3809665
423,Jigawa,Babura,1046.22737
424,Niger,Muya,2270.217085
425,Ogun,Egbado South,661.3499998
426,Bauchi,Jama'are,550.7040537
427,Ebonyi,Onicha,449.7990248
428,Oyo,Ibadan South West,40.31586785
429,Oyo,Iwajowa,2339.070452
430,Rivers,Obia/Akpor,276.0912753
431,Anambra,Idemili South,111.3830655
432,Jigawa,Jahun,1204.654605
433,Ogun,Abeokuta North,803.224124
434,Anambra,Ekwusigo,107.6120069
435,Niger,Katcha,1736.63096
436,Akwa,Mbo,244.0057995
437,Jigawa,Guri,1076.668674
438,Cross River,Bekwara,315.1821104
439,Imo,Ideato South,85.57253101
440,Anambra,Anambra West,744.8918913
441,Oyo,Irepo,1058.960571
442,Oyo,Surulere2,801.0078012
443,Imo,Nwangele,55.05563697
444,Kano,Kura,241.5303633
445,Adamawa,Gombi,1086.762706
446,Borno,Jere,875.7999563
447,Kebbi,Ngaski,2601.711016
448,Osun,Boluwaduro,150.0968075
449,Cross River,Odukpani,1122.541286
450,Imo,Oru West,92.2191958
451,Benue,Kwande,3084.49046
452,Gombe,Kwami,1662.411123
453,Osun,Obokun,523.2151561
454,Lagos,Shomolu,18.34544555
455,Rivers,Abua/Odual,675.3473561
456,Kebbi,Dandi,2215.029276
457,Enugu,Nkanu West,276.6043217
458,Kebbi,Augie,1523.31006
459,Sokoto,Tangaza,2466.245772
460,Abuja,Kuje,1712.297209
461,Kaduna,Kauru,2745.49646
462,Cross River,Abi,287.1951682
463,Katsina,Kankara,1439.140781
464,Cross River,Akamkpa,5376.614514
465,Katsina,Dandume,429.7408248
466,Sokoto,Kebbe,2764.295678
467,Anambra,Onitsha North,28.20608465
468,Kano,Kiru,832.9303801
469,Akwa,Esit Eket,139.912411
470,Oyo,Ibadan North West,28.76144764
471,Plateau,Riyom,808.2419037
472,Akwa,Eket,189.5382968
473,Kogi,Ogori/Mangongo,75.09753933
474,Sokoto,Dange-Shnsi,1200.573068
475,Anambra,Aguata,163.1634192
476,Katsina,Musawa,864.6348261
477,Niger,Bosso,1593.365408
478,Delta,Ukwuani,417.6599211
479,Adamawa,Mubi South,185.9922924
480,Kogi,Bassa1,1928.529159
481,Nasarawa,Lafia,2790.325736
482,Taraba,Sardauna,4944.47039
483,Abuja,Gwagwalada,969.9346629
484,Benue,Gwer East,2485.735862
485,Lagos,Epe,1204.881785
486,Rivers,Bonny,516.3680263
487,Cross River,Etung,908.4684056
488,Kaduna,Chikun,4890.129397
489,Imo,Mbaitoli,192.1079791
490,Plateau,Bokkos,1535.916702
491,Sokoto,Yabo,830.8246678
492,Oyo,Iseyin,1354.977419
493,Sokoto,Tureta,1295.901931
494,Rivers,Okrika,195.9481715
495,Ondo,Akure South,330.5205557
496,Katsina,Faskari,1705.280631
497,Kogi,Okene,291.0134624
498,Adamawa,Michika,690.9613655
499,Niger,Mokwa,3995.031616
500,Lagos,Ikorodu,370.3222264
501,Kaduna,Lere,2330.769779
502,Sokoto,Gawabawa,1011.977841
503,Taraba,Gassol,5992.663084
504,Ebonyi,Ivo,290.0583146
505,Taraba,Ardo-Kola,2423.409364
506,Anambra,Awka South,171.8306727
507,Kwara,Moro,3190.932668
508,Benue,Guma,2822.571905
509,Zamfara,Maru,7812.735228
510,Nasarawa,Akwanga,849.9629641
511,Yobe,Yusufari,4301.679924
