adm1,LGA,smc_plan1,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday,scenario
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2021,4,-1,1,0.6,5,678,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2022,1,-1,1,0.6,5,953,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2022,2,-1,1,0.6,5,983,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2022,3,-1,1,0.6,5,1013,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2022,4,-1,1,0.6,5,1043,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2023,1,-1,1,0.6,5,1318,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2023,2,-1,1,0.6,5,1348,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2023,3,-1,1,0.6,5,1378,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2023,4,-1,1,0.6,5,1408,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2024,1,-1,1,0.6,5,1683,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2024,2,-1,1,0.6,5,1713,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2024,3,-1,1,0.6,5,1743,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2024,4,-1,1,0.6,5,1773,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2025,1,-1,1,0.6,5,2048,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2025,2,-1,1,0.6,5,2078,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2025,3,-1,1,0.6,5,2108,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2025,4,-1,1,0.6,5,2138,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2026,1,-1,1,0.6,5,2413,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2026,2,-1,1,0.6,5,2443,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2026,3,-1,1,0.6,5,2473,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2026,4,-1,1,0.6,5,2503,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2027,1,-1,1,0.6,5,2778,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2027,2,-1,1,0.6,5,2808,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2027,3,-1,1,0.6,5,2838,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2027,4,-1,1,0.6,5,2868,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2028,1,-1,1,0.6,5,3143,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2028,2,-1,1,0.6,5,3173,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2028,3,-1,1,0.6,5,3203,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2028,4,-1,1,0.6,5,3233,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2029,1,-1,1,0.6,5,3508,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2029,2,-1,1,0.6,5,3538,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2029,3,-1,1,0.6,5,3568,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2029,4,-1,1,0.6,5,3598,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2030,1,-1,1,0.6,5,3873,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2030,2,-1,1,0.6,5,3903,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2030,3,-1,1,0.6,5,3933,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2030,4,-1,1,0.6,5,3963,scenario 7
Kano,Ajingi,SMC,Taura,july,2020,1,-1,1,0.6,5,186,scenario 7
Kano,Ajingi,SMC,Taura,july,2020,2,-1,1,0.6,5,216,scenario 7
Kano,Ajingi,SMC,Taura,july,2020,3,-1,1,0.6,5,246,scenario 7
Kano,Ajingi,SMC,Taura,july,2020,4,-1,1,0.6,5,276,scenario 7
Kano,Ajingi,SMC,Taura,july,2021,1,-1,1,0.6,5,551,scenario 7
Kano,Ajingi,SMC,Taura,july,2021,2,-1,1,0.6,5,581,scenario 7
Kano,Ajingi,SMC,Taura,july,2021,3,-1,1,0.6,5,611,scenario 7
Kano,Ajingi,SMC,Taura,july,2021,4,-1,1,0.6,5,641,scenario 7
Kano,Ajingi,SMC,Taura,july,2022,1,-1,1,0.6,5,916,scenario 7
Kano,Ajingi,SMC,Taura,july,2022,2,-1,1,0.6,5,946,scenario 7
Kano,Ajingi,SMC,Taura,july,2022,3,-1,1,0.6,5,976,scenario 7
Kano,Ajingi,SMC,Taura,july,2022,4,-1,1,0.6,5,1006,scenario 7
Kano,Ajingi,SMC,Taura,july,2023,1,-1,1,0.6,5,1281,scenario 7
Kano,Ajingi,SMC,Taura,july,2023,2,-1,1,0.6,5,1311,scenario 7
Kano,Ajingi,SMC,Taura,july,2023,3,-1,1,0.6,5,1341,scenario 7
Kano,Ajingi,SMC,Taura,july,2023,4,-1,1,0.6,5,1371,scenario 7
Kano,Ajingi,SMC,Taura,july,2024,1,-1,1,0.6,5,1646,scenario 7
Kano,Ajingi,SMC,Taura,july,2024,2,-1,1,0.6,5,1676,scenario 7
Kano,Ajingi,SMC,Taura,july,2024,3,-1,1,0.6,5,1706,scenario 7
Kano,Ajingi,SMC,Taura,july,2024,4,-1,1,0.6,5,1736,scenario 7
Kano,Ajingi,SMC,Taura,july,2025,1,-1,1,0.6,5,2011,scenario 7
Kano,Ajingi,SMC,Taura,july,2025,2,-1,1,0.6,5,2041,scenario 7
Kano,Ajingi,SMC,Taura,july,2025,3,-1,1,0.6,5,2071,scenario 7
Kano,Ajingi,SMC,Taura,july,2025,4,-1,1,0.6,5,2101,scenario 7
Kano,Ajingi,SMC,Taura,july,2026,1,-1,1,0.6,5,2376,scenario 7
Kano,Ajingi,SMC,Taura,july,2026,2,-1,1,0.6,5,2406,scenario 7
Kano,Ajingi,SMC,Taura,july,2026,3,-1,1,0.6,5,2436,scenario 7
Kano,Ajingi,SMC,Taura,july,2026,4,-1,1,0.6,5,2466,scenario 7
Kano,Ajingi,SMC,Taura,july,2027,1,-1,1,0.6,5,2741,scenario 7
Kano,Ajingi,SMC,Taura,july,2027,2,-1,1,0.6,5,2771,scenario 7
Kano,Ajingi,SMC,Taura,july,2027,3,-1,1,0.6,5,2801,scenario 7
Kano,Ajingi,SMC,Taura,july,2027,4,-1,1,0.6,5,2831,scenario 7
Kano,Ajingi,SMC,Taura,july,2028,1,-1,1,0.6,5,3106,scenario 7
Kano,Ajingi,SMC,Taura,july,2028,2,-1,1,0.6,5,3136,scenario 7
Kano,Ajingi,SMC,Taura,july,2028,3,-1,1,0.6,5,3166,scenario 7
Kano,Ajingi,SMC,Taura,july,2028,4,-1,1,0.6,5,3196,scenario 7
Kano,Ajingi,SMC,Taura,july,2029,1,-1,1,0.6,5,3471,scenario 7
Kano,Ajingi,SMC,Taura,july,2029,2,-1,1,0.6,5,3501,scenario 7
Kano,Ajingi,SMC,Taura,july,2029,3,-1,1,0.6,5,3531,scenario 7
Kano,Ajingi,SMC,Taura,july,2029,4,-1,1,0.6,5,3561,scenario 7
Kano,Ajingi,SMC,Taura,july,2030,1,-1,1,0.6,5,3836,scenario 7
Kano,Ajingi,SMC,Taura,july,2030,2,-1,1,0.6,5,3866,scenario 7
Kano,Ajingi,SMC,Taura,july,2030,3,-1,1,0.6,5,3896,scenario 7
Kano,Ajingi,SMC,Taura,july,2030,4,-1,1,0.6,5,3926,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2020,1,-1,1,0.6,5,186,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2020,2,-1,1,0.6,5,216,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2020,3,-1,1,0.6,5,246,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2020,4,-1,1,0.6,5,276,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2021,1,-1,1,0.6,5,551,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2021,2,-1,1,0.6,5,581,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2021,3,-1,1,0.6,5,611,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2021,4,-1,1,0.6,5,641,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2022,1,-1,1,0.6,5,916,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2022,2,-1,1,0.6,5,946,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2022,3,-1,1,0.6,5,976,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2022,4,-1,1,0.6,5,1006,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2023,1,-1,1,0.6,5,1281,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2023,2,-1,1,0.6,5,1311,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2023,3,-1,1,0.6,5,1341,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2023,4,-1,1,0.6,5,1371,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2024,1,-1,1,0.6,5,1646,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2024,2,-1,1,0.6,5,1676,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2024,3,-1,1,0.6,5,1706,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2024,4,-1,1,0.6,5,1736,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2025,1,-1,1,0.6,5,2011,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2025,2,-1,1,0.6,5,2041,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2025,3,-1,1,0.6,5,2071,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2025,4,-1,1,0.6,5,2101,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2026,1,-1,1,0.6,5,2376,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2026,2,-1,1,0.6,5,2406,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2026,3,-1,1,0.6,5,2436,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2026,4,-1,1,0.6,5,2466,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2027,1,-1,1,0.6,5,2741,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2027,2,-1,1,0.6,5,2771,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2027,3,-1,1,0.6,5,2801,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2027,4,-1,1,0.6,5,2831,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2028,1,-1,1,0.6,5,3106,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2028,2,-1,1,0.6,5,3136,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2028,3,-1,1,0.6,5,3166,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2028,4,-1,1,0.6,5,3196,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2029,1,-1,1,0.6,5,3471,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2029,2,-1,1,0.6,5,3501,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2029,3,-1,1,0.6,5,3531,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2029,4,-1,1,0.6,5,3561,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2030,1,-1,1,0.6,5,3836,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2030,2,-1,1,0.6,5,3866,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2030,3,-1,1,0.6,5,3896,scenario 7
Gombe,Akko,SMC in PAAR,Alkaleri,july,2030,4,-1,1,0.6,5,3926,scenario 7
Kano,Albasu,SMC,Takali,september,2020,1,-1,1,0.6,5,250,scenario 7
Kano,Albasu,SMC,Takali,september,2020,2,-1,1,0.6,5,280,scenario 7
Kano,Albasu,SMC,Takali,september,2020,3,-1,1,0.6,5,310,scenario 7
Kano,Albasu,SMC,Takali,september,2020,4,-1,1,0.6,5,340,scenario 7
Kano,Albasu,SMC,Takali,september,2021,1,-1,1,0.6,5,615,scenario 7
Kano,Albasu,SMC,Takali,september,2021,2,-1,1,0.6,5,645,scenario 7
Kano,Albasu,SMC,Takali,september,2021,3,-1,1,0.6,5,675,scenario 7
Kano,Albasu,SMC,Takali,september,2021,4,-1,1,0.6,5,705,scenario 7
Kano,Albasu,SMC,Takali,september,2022,1,-1,1,0.6,5,980,scenario 7
Kano,Albasu,SMC,Takali,september,2022,2,-1,1,0.6,5,1010,scenario 7
Kano,Albasu,SMC,Takali,september,2022,3,-1,1,0.6,5,1040,scenario 7
Kano,Albasu,SMC,Takali,september,2022,4,-1,1,0.6,5,1070,scenario 7
Kano,Albasu,SMC,Takali,september,2023,1,-1,1,0.6,5,1345,scenario 7
Kano,Albasu,SMC,Takali,september,2023,2,-1,1,0.6,5,1375,scenario 7
Kano,Albasu,SMC,Takali,september,2023,3,-1,1,0.6,5,1405,scenario 7
Kano,Albasu,SMC,Takali,september,2023,4,-1,1,0.6,5,1435,scenario 7
Kano,Albasu,SMC,Takali,september,2024,1,-1,1,0.6,5,1710,scenario 7
Kano,Albasu,SMC,Takali,september,2024,2,-1,1,0.6,5,1740,scenario 7
Kano,Albasu,SMC,Takali,september,2024,3,-1,1,0.6,5,1770,scenario 7
Kano,Albasu,SMC,Takali,september,2024,4,-1,1,0.6,5,1800,scenario 7
Kano,Albasu,SMC,Takali,september,2025,1,-1,1,0.6,5,2075,scenario 7
Kano,Albasu,SMC,Takali,september,2025,2,-1,1,0.6,5,2105,scenario 7
Kano,Albasu,SMC,Takali,september,2025,3,-1,1,0.6,5,2135,scenario 7
Kano,Albasu,SMC,Takali,september,2025,4,-1,1,0.6,5,2165,scenario 7
Kano,Albasu,SMC,Takali,september,2026,1,-1,1,0.6,5,2440,scenario 7
Kano,Albasu,SMC,Takali,september,2026,2,-1,1,0.6,5,2470,scenario 7
Kano,Albasu,SMC,Takali,september,2026,3,-1,1,0.6,5,2500,scenario 7
Kano,Albasu,SMC,Takali,september,2026,4,-1,1,0.6,5,2530,scenario 7
Kano,Albasu,SMC,Takali,september,2027,1,-1,1,0.6,5,2805,scenario 7
Kano,Albasu,SMC,Takali,september,2027,2,-1,1,0.6,5,2835,scenario 7
Kano,Albasu,SMC,Takali,september,2027,3,-1,1,0.6,5,2865,scenario 7
Kano,Albasu,SMC,Takali,september,2027,4,-1,1,0.6,5,2895,scenario 7
Kano,Albasu,SMC,Takali,september,2028,1,-1,1,0.6,5,3170,scenario 7
Kano,Albasu,SMC,Takali,september,2028,2,-1,1,0.6,5,3200,scenario 7
Kano,Albasu,SMC,Takali,september,2028,3,-1,1,0.6,5,3230,scenario 7
Kano,Albasu,SMC,Takali,september,2028,4,-1,1,0.6,5,3260,scenario 7
Kano,Albasu,SMC,Takali,september,2029,1,-1,1,0.6,5,3535,scenario 7
Kano,Albasu,SMC,Takali,september,2029,2,-1,1,0.6,5,3565,scenario 7
Kano,Albasu,SMC,Takali,september,2029,3,-1,1,0.6,5,3595,scenario 7
Kano,Albasu,SMC,Takali,september,2029,4,-1,1,0.6,5,3625,scenario 7
Kano,Albasu,SMC,Takali,september,2030,1,-1,1,0.6,5,3900,scenario 7
Kano,Albasu,SMC,Takali,september,2030,2,-1,1,0.6,5,3930,scenario 7
Kano,Albasu,SMC,Takali,september,2030,3,-1,1,0.6,5,3960,scenario 7
Kano,Albasu,SMC,Takali,september,2030,4,-1,1,0.6,5,3990,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2020,1,-1,1,0.6,5,223,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2020,2,-1,1,0.6,5,253,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2020,3,-1,1,0.6,5,283,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2020,4,-1,1,0.6,5,313,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2021,1,-1,1,0.6,5,588,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2021,2,-1,1,0.6,5,618,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2021,3,-1,1,0.6,5,648,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2021,4,-1,1,0.6,5,678,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2022,1,-1,1,0.6,5,953,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2022,2,-1,1,0.6,5,983,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2022,3,-1,1,0.6,5,1013,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2022,4,-1,1,0.6,5,1043,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2023,1,-1,1,0.6,5,1318,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2023,2,-1,1,0.6,5,1348,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2023,3,-1,1,0.6,5,1378,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2023,4,-1,1,0.6,5,1408,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2024,1,-1,1,0.6,5,1683,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2024,2,-1,1,0.6,5,1713,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2024,3,-1,1,0.6,5,1743,scenario 7
Kebbi,Aleiro,SMC,Birnin Kebbi,august,2024,4,-1,1,0.6,5,1773,scenario 7
