adm1,LGA,smc_plan1,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday,scenario
Borno,Abadam,SMC,Babura,may,2020,1,-1,1,0.6,5,131,scenario 7
Borno,Abadam,SMC,Babura,may,2020,2,-1,1,0.6,5,161,scenario 7
Borno,Abadam,SMC,Babura,may,2020,3,-1,1,0.6,5,191,scenario 7
Borno,Abadam,SMC,Babura,may,2020,4,-1,1,0.6,5,221,scenario 7
Borno,Abadam,SMC,Babura,may,2021,1,-1,1,0.6,5,496,scenario 7
Borno,Abadam,SMC,Babura,may,2021,2,-1,1,0.6,5,526,scenario 7
Borno,Abadam,SMC,Babura,may,2021,3,-1,1,0.6,5,556,scenario 7
Borno,Abadam,SMC,Babura,may,2021,4,-1,1,0.6,5,586,scenario 7
Borno,Abadam,SMC,Babura,may,2022,1,-1,1,0.6,5,861,scenario 7
Borno,Abadam,SMC,Babura,may,2022,2,-1,1,0.6,5,891,scenario 7
Borno,Abadam,SMC,Babura,may,2022,3,-1,1,0.6,5,921,scenario 7
Borno,Abadam,SMC,Babura,may,2022,4,-1,1,0.6,5,951,scenario 7
Borno,Abadam,SMC,Babura,may,2023,1,-1,1,0.6,5,1226,scenario 7
Borno,Abadam,SMC,Babura,may,2023,2,-1,1,0.6,5,1256,scenario 7
Borno,Abadam,SMC,Babura,may,2023,3,-1,1,0.6,5,1286,scenario 7
Borno,Abadam,SMC,Babura,may,2023,4,-1,1,0.6,5,1316,scenario 7
Borno,Abadam,SMC,Babura,may,2024,1,-1,1,0.6,5,1591,scenario 7
Borno,Abadam,SMC,Babura,may,2024,2,-1,1,0.6,5,1621,scenario 7
Borno,Abadam,SMC,Babura,may,2024,3,-1,1,0.6,5,1651,scenario 7
Borno,Abadam,SMC,Babura,may,2024,4,-1,1,0.6,5,1681,scenario 7
Borno,Abadam,SMC,Babura,may,2025,1,-1,1,0.6,5,1956,scenario 7
Borno,Abadam,SMC,Babura,may,2025,2,-1,1,0.6,5,1986,scenario 7
Borno,Abadam,SMC,Babura,may,2025,3,-1,1,0.6,5,2016,scenario 7
Borno,Abadam,SMC,Babura,may,2025,4,-1,1,0.6,5,2046,scenario 7
Borno,Abadam,SMC,Babura,may,2026,1,-1,1,0.6,5,2321,scenario 7
Borno,Abadam,SMC,Babura,may,2026,2,-1,1,0.6,5,2351,scenario 7
Borno,Abadam,SMC,Babura,may,2026,3,-1,1,0.6,5,2381,scenario 7
Borno,Abadam,SMC,Babura,may,2026,4,-1,1,0.6,5,2411,scenario 7
Borno,Abadam,SMC,Babura,may,2027,1,-1,1,0.6,5,2686,scenario 7
Borno,Abadam,SMC,Babura,may,2027,2,-1,1,0.6,5,2716,scenario 7
Borno,Abadam,SMC,Babura,may,2027,3,-1,1,0.6,5,2746,scenario 7
Borno,Abadam,SMC,Babura,may,2027,4,-1,1,0.6,5,2776,scenario 7
Borno,Abadam,SMC,Babura,may,2028,1,-1,1,0.6,5,3051,scenario 7
Borno,Abadam,SMC,Babura,may,2028,2,-1,1,0.6,5,3081,scenario 7
Borno,Abadam,SMC,Babura,may,2028,3,-1,1,0.6,5,3111,scenario 7
Borno,Abadam,SMC,Babura,may,2028,4,-1,1,0.6,5,3141,scenario 7
Borno,Abadam,SMC,Babura,may,2029,1,-1,1,0.6,5,3416,scenario 7
Borno,Abadam,SMC,Babura,may,2029,2,-1,1,0.6,5,3446,scenario 7
Borno,Abadam,SMC,Babura,may,2029,3,-1,1,0.6,5,3476,scenario 7
Borno,Abadam,SMC,Babura,may,2029,4,-1,1,0.6,5,3506,scenario 7
Borno,Abadam,SMC,Babura,may,2030,1,-1,1,0.6,5,3781,scenario 7
Borno,Abadam,SMC,Babura,may,2030,2,-1,1,0.6,5,3811,scenario 7
Borno,Abadam,SMC,Babura,may,2030,3,-1,1,0.6,5,3841,scenario 7
Borno,Abadam,SMC,Babura,may,2030,4,-1,1,0.6,5,3871,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2020,1,-1,1,0.6,5,186,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2020,2,-1,1,0.6,5,216,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2020,3,-1,1,0.6,5,246,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2020,4,-1,1,0.6,5,276,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2021,1,-1,1,0.6,5,551,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2021,2,-1,1,0.6,5,581,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2021,3,-1,1,0.6,5,611,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2021,4,-1,1,0.6,5,641,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2022,1,-1,1,0.6,5,916,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2022,2,-1,1,0.6,5,946,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2022,3,-1,1,0.6,5,976,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2022,4,-1,1,0.6,5,1006,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2023,1,-1,1,0.6,5,1281,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2023,2,-1,1,0.6,5,1311,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2023,3,-1,1,0.6,5,1341,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2023,4,-1,1,0.6,5,1371,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2024,1,-1,1,0.6,5,1646,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2024,2,-1,1,0.6,5,1676,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2024,3,-1,1,0.6,5,1706,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2024,4,-1,1,0.6,5,1736,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2025,1,-1,1,0.6,5,2011,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2025,2,-1,1,0.6,5,2041,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2025,3,-1,1,0.6,5,2071,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2025,4,-1,1,0.6,5,2101,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2026,1,-1,1,0.6,5,2376,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2026,2,-1,1,0.6,5,2406,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2026,3,-1,1,0.6,5,2436,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2026,4,-1,1,0.6,5,2466,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2027,1,-1,1,0.6,5,2741,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2027,2,-1,1,0.6,5,2771,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2027,3,-1,1,0.6,5,2801,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2027,4,-1,1,0.6,5,2831,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2028,1,-1,1,0.6,5,3106,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2028,2,-1,1,0.6,5,3136,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2028,3,-1,1,0.6,5,3166,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2028,4,-1,1,0.6,5,3196,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2029,1,-1,1,0.6,5,3471,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2029,2,-1,1,0.6,5,3501,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2029,3,-1,1,0.6,5,3531,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2029,4,-1,1,0.6,5,3561,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2030,1,-1,1,0.6,5,3836,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2030,2,-1,1,0.6,5,3866,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2030,3,-1,1,0.6,5,3896,scenario 7
Niger,Agaie,SMC in PAAR,Oke-Ero,july,2030,4,-1,1,0.6,5,3926,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2020,1,-1,1,0.6,5,223,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2020,2,-1,1,0.6,5,253,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2020,3,-1,1,0.6,5,283,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2020,4,-1,1,0.6,5,313,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2021,1,-1,1,0.6,5,588,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2021,2,-1,1,0.6,5,618,scenario 7
Niger,Agwara,SMC in PAAR,Birnin Kebbi,august,2021,3,-1,1,0.6,5,648,scenario 7
