LGA,State,year,round,duration,coverage_high_access,coverage_low_access,max_age,month_new,simday,coverage_high_access_per,coverage_low_access_per
Auyo,Jigawa,2029,1,-1,1,0.934456929,5,7,3471,100,93.4
Auyo,Jigawa,2029,2,-1,1,0.973782772,5,8,3499,100,97.4
Auyo,Jigawa,2029,3,-1,1,0.975655431,5,9,3527,100,97.6
Auyo,Jigawa,2029,4,-1,1,0.653558052,5,10,3555,100,65.4
Auyo,Jigawa,2030,1,-1,1,0.934456929,5,7,3836,100,93.4
Auyo,Jigawa,2030,2,-1,1,0.973782772,5,8,3864,100,97.4
Auyo,Jigawa,2030,3,-1,1,0.975655431,5,9,3892,100,97.6
Auyo,Jigawa,2030,4,-1,1,0.653558052,5,10,3920,100,65.4
Babura,Jigawa,2020,1,-1,1,0.934456929,5,7,186,100,93.4
Babura,Jigawa,2020,2,-1,1,0.973782772,5,8,214,100,97.4
Babura,Jigawa,2020,3,-1,1,0.975655431,5,9,242,100,97.6
Babura,Jigawa,2020,4,-1,1,0.653558052,5,10,270,100,65.4
Babura,Jigawa,2021,1,-1,1,0.934456929,5,7,551,100,93.4
Babura,Jigawa,2021,2,-1,1,0.973782772,5,8,579,100,97.4
Babura,Jigawa,2021,3,-1,1,0.975655431,5,9,607,100,97.6
Babura,Jigawa,2021,4,-1,1,0.653558052,5,10,635,100,65.4
Babura,Jigawa,2022,1,-1,1,0.934456929,5,7,916,100,93.4
Babura,Jigawa,2022,2,-1,1,0.973782772,5,8,944,100,97.4
Babura,Jigawa,2022,3,-1,1,0.975655431,5,9,972,100,97.6
Babura,Jigawa,2022,4,-1,1,0.653558052,5,10,1000,100,65.4
Babura,Jigawa,2023,1,-1,1,0.934456929,5,7,1281,100,93.4
Babura,Jigawa,2023,2,-1,1,0.973782772,5,8,1309,100,97.4
Babura,Jigawa,2023,3,-1,1,0.975655431,5,9,1337,100,97.6
Babura,Jigawa,2023,4,-1,1,0.653558052,5,10,1365,100,65.4
Babura,Jigawa,2024,1,-1,1,0.934456929,5,7,1646,100,93.4
Babura,Jigawa,2024,2,-1,1,0.973782772,5,8,1674,100,97.4
Babura,Jigawa,2024,3,-1,1,0.975655431,5,9,1702,100,97.6
Babura,Jigawa,2024,4,-1,1,0.653558052,5,10,1730,100,65.4
Babura,Jigawa,2025,1,-1,1,0.934456929,5,7,2011,100,93.4
Babura,Jigawa,2025,2,-1,1,0.973782772,5,8,2039,100,97.4
Babura,Jigawa,2025,3,-1,1,0.975655431,5,9,2067,100,97.6
Babura,Jigawa,2025,4,-1,1,0.653558052,5,10,2095,100,65.4
Babura,Jigawa,2026,1,-1,1,0.934456929,5,7,2376,100,93.4
Babura,Jigawa,2026,2,-1,1,0.973782772,5,8,2404,100,97.4
Babura,Jigawa,2026,3,-1,1,0.975655431,5,9,2432,100,97.6
Babura,Jigawa,2026,4,-1,1,0.653558052,5,10,2460,100,65.4
