archetype,Constant,MaxHab,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12,pop_scale
Alkaleri,7.965076529,10.58775031,0,0,0,0,0,0.001,0.001,0.00037,0.0001,0.0001,0,0,0.15
Geidam,8.211944648,10.60238526,0,0,0,0,0,9.00E-05,0.0005,0.0003,0,0,0,0,0.15
