DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Aba North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Aba South,0.798531427,0.799265714,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Arochukwu,0.80359611,0.80359611,0.80359611,0.80359611,0.80359611,0.80359611,0.80359611,0.80359611,0.80359611,0.80359611,0.80359611
Bende,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikwuano,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Isiala-Ngwa North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Isiala-Ngwa South,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Isuikwato,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Obi Nwa,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ohafia,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Osisioma Ngwa,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941
Ugwunagbo,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ukwa East,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ukwa West,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Umu-Neochi,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483,0.931498483
Umuahia North,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Umuahia South,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864,0.943047864
Demsa,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gireri,0.689775609,0.744887804,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gombi,0.778455724,0.789227862,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
