,X,LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,simday,duration,year 
44,44,Ini,Ngor-Okpala,0.283373403,0,0,5,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
45,45,Mkpat Enin,Nsit Ubium,0.37995598,0.076057104,0.683854856,15,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
46,46,Nsit Atai,Nsit Ubium,0.297727761,NA,NA,NA,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
47,47,Nsit Ibom,Nsit Ubium,0.25,0.25,0.25,7,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
48,48,Nsit Ubium,Nsit Ubium,0.428571429,0.428571429,0.428571429,4,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
49,49,Awka South,Uzo-Uwani,0.420192485,NA,NA,NA,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
50,50,Obot Akara,Ngor-Okpala,0.283373403,0,0,1,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
51,51,Okobo,Nsit Ubium,0.297727761,0,0,11,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
52,52,Onna,Nsit Ubium,0.359183639,0.165137177,0.5532301,7,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
53,53,Oruk Anam,Nsit Ubium,0.292929329,0.152854083,0.433004576,10,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
54,54,Ukanafun,Nsit Ubium,0.4,0.4,0.4,4,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
55,55,Uruan,Nsit Ubium,0.689497753,0.345999268,1.032996239,10,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
56,56,Urue-Offong/Oruko,Nsit Ubium,0.4,0.4,0.4,3,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
57,57,Ayamelum,Uzo-Uwani,0.76666668,0.569079713,0.964253648,10,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
58,58,Uyo,Nsit Ubium,0.395245307,-0.028989177,0.819479791,13,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
59,59,Aguata,Oru West,0.435107986,0.11256419,0.757651781,20,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
60,60,Anambra East,Uzo-Uwani,0.420192485,1,1,1,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
61,61,Anambra West,Uzo-Uwani,0.666970256,0.326914009,1.007026504,12,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
62,62,Anaocha,Oru West,0.550802168,0.137196806,0.964407531,3,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
63,63,Dunukofia,Uzo-Uwani,0.420192485,NA,NA,NA,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
64,64,Ekwusigo,Oru West,0.75,0.75,0.75,6,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
65,65,Idemili North,Uzo-Uwani,0.622180482,0.118672452,1.125688513,21,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
66,66,Idemili South,Oru West,0.306003708,0.072737456,0.539269961,16,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
67,67,Ihiala,Oru West,0.289999974,-0.053801335,0.633801283,9,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
68,68,Njikoka,Uzo-Uwani,0.666666667,0.666666667,0.666666667,9,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
69,69,Nnewi North,Oru West,0.411077428,NA,NA,NA,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
70,70,Nnewi South,Oru West,0.573883177,0.286886158,0.860880196,6,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
71,71,Ogbaru,Ahoada West,0.666666667,0.666666667,0.666666667,3,0.246461454,0.176147202,0.316775705,237,2920,-1,2018
72,72,Onitsha North,Uzo-Uwani,0.420192485,1,1,3,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
73,73,Onitsha South,Uzo-Uwani,0.420192485,NA,NA,NA,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
74,74,Orumba North,Oru West,0.4807692,-0.223854597,1.185392996,2,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
75,75,Orumba South,Oru West,0.411077428,NA,NA,NA,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
76,76,Oyi,Uzo-Uwani,0.783699091,0.569337968,0.998060215,14,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
77,77,Alkaleri,Alkaleri,0.222117546,0.020065366,0.424169726,42,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
78,78,Bauchi,Alkaleri,0.027077492,-0.01910077,0.073255754,74,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
79,79,Bogoro,Alkaleri,0.234127553,NA,NA,NA,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
80,80,Damban,Darazo,0.333333333,0.333333333,0.333333333,19,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
81,81,Darazo,Darazo,0.161152612,0.149226224,0.173079001,33,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
82,82,Dass,Alkaleri,0.234127553,0,0,6,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
83,83,Gamawa,Gwarzo,0.172172547,0,0,22,0.172172547,0.110737416,0.233607678,491,2920,-1,2018
84,84,Jama'are,Taura,0.141960062,0.044444134,0.23947599,55,0.174928041,0.127558998,0.222297083,702,2920,-1,2018
85,85,Ganjuwa,Darazo,0.101826237,0.054422505,0.149229969,34,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
86,86,Giade,Darazo,0.142857143,0.142857143,0.142857143,20,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
87,87,Itas/Gadau,Taura,0.174288617,0.136935954,0.21164128,12,0.174928041,0.127558998,0.222297083,702,2920,-1,2018
88,88,Katagum,Gwarzo,0.116822469,-0.018785644,0.252430582,58,0.172172547,0.110737416,0.233607678,491,2920,-1,2018
89,89,Kirfi,Alkaleri,0.076923077,0.076923077,0.076923077,12,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
90,90,Misau,Darazo,0.122470573,-0.02990924,0.274850386,13,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
91,91,Ningi,Takali,0.085910642,0.040645844,0.13117544,74,0.178754999,0.109168462,0.248341535,353,2920,-1,2018
92,92,Ukum,Keana,0.177187213,0,0,3,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
93,93,Shira,Takali,0.206388206,0.199319342,0.213457069,35,0.178754999,0.109168462,0.248341535,353,2920,-1,2018
94,94,Tafawa-Balewa,Alkaleri,0.231206997,-0.088558967,0.550972961,28,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
95,95,Toro,Giwa,0.204617808,0.092173637,0.31706198,49,0.130508332,0.056613318,0.204403346,235,2920,-1,2018
96,96,Warji,Takali,0.153846154,0.153846154,0.153846154,9,0.178754999,0.109168462,0.248341535,353,2920,-1,2018
97,97,Zaki,Taura,0.292063501,0.259989112,0.32413789,21,0.174928041,0.127558998,0.222297083,702,2920,-1,2018
98,98,Kolokuma/Opokuma,Ahoada West,0.389048955,0.142392092,0.635705818,2,0.246461454,0.176147202,0.316775705,237,2920,-1,2018
99,99,Nembe,Ahoada West,0.25,0.25,0.25,1,0.246461454,0.176147202,0.316775705,237,2920,-1,2018
100,100,Ogbia,Ahoada West,0.246461454,0,0,1,0.246461454,0.176147202,0.316775705,237,2920,-1,2018
101,101,Sagbama,Ahoada West,0.418733984,0.29185906,0.545608908,5,0.246461454,0.176147202,0.316775705,237,2920,-1,2018
102,102,Yenegoa,Isoko South,0.546976409,-0.139858725,1.233811543,1,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
103,103,Ado,Akinyele,0.171296311,0.101947535,0.240645087,4,0.154926235,0.08934872,0.22050375,109,2920,-1,2018
104,104,Agatu,Keana,0.177187213,0,0,1,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
105,105,Apa,Keana,0.177187213,0,0,2,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
106,106,Buruku,Keana,0.200000038,-0.02566954,0.425669617,10,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
107,107,Gboko,Keana,0.140281332,-0.124556142,0.405118805,8,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
108,108,Guma,Keana,0.315463952,0.080608357,0.550319547,9,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
109,109,Gwer East,Oke-Ero,0.246839589,0,0,2,0.246839589,0.20084988,0.292829298,476,2920,-1,2018
110,110,Gwer West,Keana,0.333333333,0.333333333,0.333333333,5,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
111,111,Katsina-Ala,Keana,0.177187213,0,0,2,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
112,112,Konshisha,Oke-Ero,0.246839589,0,0,4,0.246839589,0.20084988,0.292829298,476,2920,-1,2018
113,113,Logo,Keana,0.177187213,NA,NA,NA,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
114,114,Makurdi,Keana,0.084369554,-0.003215307,0.171954415,13,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
115,115,Obi1,Keana,0.177187213,NA,NA,NA,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
116,116,Ogbadibo,Owan East,0.278942779,NA,NA,NA,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
117,117,Ohimini,Akinyele,0.154926235,NA,NA,NA,0.154926235,0.08934872,0.22050375,109,2920,-1,2018
118,118,Oju,Oke-Ero,0.066412872,-0.062839707,0.195665451,12,0.246839589,0.20084988,0.292829298,476,2920,-1,2018
119,119,Okpokwu,Akinyele,0.142857143,0.142857143,0.142857143,8,0.154926235,0.08934872,0.22050375,109,2920,-1,2018
120,120,Oturkpo,Owan East,0.278942779,0,0,4,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
121,121,Tarka,Keana,0.177187213,NA,NA,NA,0.177187213,0.13506214,0.219312285,325,2920,-1,2018
122,122,Ushongo,Oke-Ero,0.246839589,NA,NA,NA,0.246839589,0.20084988,0.292829298,476,2920,-1,2018
123,123,Vandeikya,Oke-Ero,0.126702176,-0.034756757,0.28816111,22,0.246839589,0.20084988,0.292829298,476,2920,-1,2018
124,124,Askira/Uba,Darazo,0.114371076,1,1,1,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
125,125,Enugu East,Uzo-Uwani,0.767123269,0.567538626,0.966707913,4,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
126,126,Bayo,Alkaleri,0.5,0.5,0.5,2,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
127,127,Biu,Darazo,0.5,0.5,0.5,1,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
128,128,Chibok,Darazo,0.114371076,NA,NA,NA,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
129,129,Damboa,Darazo,0.114371076,NA,NA,NA,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
130,130,Biase,Ngor-Okpala,0.588028311,-0.038503007,1.214559629,4,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
131,131,Dikwa,Darazo,0.114371076,NA,NA,NA,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
132,132,Gubio,Gawabawa,0.106631444,0,0,3,0.106631444,0.045471362,0.167791526,203,2920,-1,2018
133,133,Jere,Gawabawa,0.5,0.5,0.5,13,0.106631444,0.045471362,0.167791526,203,2920,-1,2018
134,134,Guzamala,Babura,0.349277359,NA,NA,NA,0.349277359,0.281351601,0.417203116,281,2920,-1,2018
135,135,Hawul,Darazo,0.221538462,0.150058688,0.293018235,4,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
136,136,Kwaya Kusar,Alkaleri,0.234127553,NA,NA,NA,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
137,137,Enugu North,Uzo-Uwani,0.420192485,0,0,1,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
138,138,Kaga,Darazo,0.114371076,1,1,3,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
139,139,Mafa,Darazo,0.114371076,NA,NA,NA,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
140,140,Obudu,Obubra,0.41009749,NA,NA,NA,0.41009749,0.318847857,0.501347122,109,2920,-1,2018
141,141,Konduga,Darazo,0.5,0.5,0.5,8,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
142,142,Bomadi,Isoko South,0.12159624,NA,NA,NA,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
143,143,Magumeri,Gawabawa,0.106631444,NA,NA,NA,0.106631444,0.045471362,0.167791526,203,2920,-1,2018
144,144,Maiduguri,Darazo,0.031180397,-0.027459159,0.089819953,39,0.114371076,0.076403711,0.152338442,473,2920,-1,2018
145,145,Shani,Alkaleri,0.234127553,NA,NA,NA,0.234127553,0.162145206,0.306109899,687,2920,-1,2018
146,146,Abi,Obubra,0.145161293,0.092127357,0.198195229,6,0.41009749,0.318847857,0.501347122,109,2920,-1,2018
147,147,Marte,Babura,0.349277359,NA,NA,NA,0.349277359,0.281351601,0.417203116,281,2920,-1,2018
148,148,Nganzai,Gawabawa,0.106631444,NA,NA,NA,0.106631444,0.045471362,0.167791526,203,2920,-1,2018
149,149,Bekwara,Oke-Ero,0.246839589,NA,NA,NA,0.246839589,0.20084988,0.292829298,476,2920,-1,2018
150,150,Calabar-Municipal,Nsit Ubium,0.299739676,0.031671743,0.567807609,5,0.297727761,0.207937524,0.387517997,223,2920,-1,2018
151,151,Ikom,Obubra,0.41009749,0,0,3,0.41009749,0.318847857,0.501347122,109,2920,-1,2018
152,152,Obubra,Obubra,0.41009749,0,0,1,0.41009749,0.318847857,0.501347122,109,2920,-1,2018
153,153,Enugu South,Uzo-Uwani,0.514893508,0.027647349,1.002139666,2,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
154,154,Odukpani,Ngor-Okpala,0.283373403,NA,NA,NA,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
155,155,Ogoja,Obubra,0.41009749,0,0,3,0.41009749,0.318847857,0.501347122,109,2920,-1,2018
156,156,Yakurr,Obubra,0.3790322,0.119386773,0.638677626,3,0.41009749,0.318847857,0.501347122,109,2920,-1,2018
157,157,Ogbomosho North,Akinyele,0.154926235,NA,NA,NA,0.154926235,0.08934872,0.22050375,109,2920,-1,2018
158,158,Yala,Oke-Ero,0.293427231,0.19182576,0.395028703,10,0.246839589,0.20084988,0.292829298,476,2920,-1,2018
159,159,Aniocha North,Uzo-Uwani,0.420192485,NA,NA,NA,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
160,160,Aniocha South,Uzo-Uwani,0.420192485,1,1,1,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
161,161,Ibadan South West,Owan East,0.278942779,NA,NA,NA,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
162,162,Ethiope East,Isoko South,0.12159624,0,0,1,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
163,163,Ethiope West,Isoko South,0.12159624,NA,NA,NA,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
164,164,Ika North East,Uzo-Uwani,0.420192485,0,0,1,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
165,165,Ika South,Uzo-Uwani,0.420192485,0,0,1,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
166,166,Isoko North,Isoko South,0.12159624,0,0,2,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
167,167,Ogbomosho South,Akinyele,0.154926235,NA,NA,NA,0.154926235,0.08934872,0.22050375,109,2920,-1,2018
168,168,Isoko South,Isoko South,0.12159624,NA,NA,NA,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
169,169,Ndokwa East,Ahoada West,0.246461454,0,0,2,0.246461454,0.176147202,0.316775705,237,2920,-1,2018
170,170,Ndokwa West,Isoko South,0.12159624,0,0,3,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
171,171,Okpe,Isoko South,0.12159624,NA,NA,NA,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
172,172,Oshimili North,Uzo-Uwani,0.420192485,NA,NA,NA,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
173,173,Oshimili South,Uzo-Uwani,0.420192485,NA,NA,NA,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
174,174,Patani,Isoko South,0.12159624,0,0,2,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
175,175,Sapele,Isoko South,0.12159624,0,0,1,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
176,176,Udu,Isoko South,0.12159624,NA,NA,NA,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
177,177,Ughelli North,Isoko South,0.12159624,0,0,10,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
178,178,Ughelli South,Isoko South,0.12159624,0,0,1,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
179,179,Ukwuani,Uzo-Uwani,0.420192485,NA,NA,NA,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
180,180,Uvwie,Isoko South,0.12159624,0,0,1,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
181,181,Warri South,Isoko South,0.12159624,0,0,3,0.12159624,-0.035118316,0.278310796,56,2920,-1,2018
182,182,Ohaozara,Obubra,0.689516124,0.648548644,0.730483604,8,0.41009749,0.318847857,0.501347122,109,2920,-1,2018
183,183,Abakaliki,Owan East,0.352748878,0.141380457,0.5641173,9,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
184,184,Afikpo North,Oru West,0.863945585,0.741309599,0.986581571,8,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
185,185,Afikpo South,Ngor-Okpala,0.470951796,0.349607837,0.592295755,8,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
186,186,Ebonyi,Owan East,0.278942779,NA,NA,NA,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
187,187,Ezza North,Owan East,0.19047619,0.19047619,0.19047619,15,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
188,188,Ezza South,Obubra,0.478845956,0.378872166,0.578819747,29,0.41009749,0.318847857,0.501347122,109,2920,-1,2018
189,189,Ikwo,Obubra,0.473701419,0.282490524,0.664912314,21,0.41009749,0.318847857,0.501347122,109,2920,-1,2018
190,190,Ishielu,Owan East,0.234735547,0.152350392,0.317120702,23,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
191,191,Ivo,Ngor-Okpala,0.283373403,NA,NA,NA,0.283373403,0.195985485,0.370761322,221,2920,-1,2018
192,192,Izzi,Owan East,0.486885732,0.274180297,0.699591167,55,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
193,193,Ohaukwu,Owan East,0.25,0.25,0.25,17,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
194,194,Onicha,Obubra,0.375690614,0.107998148,0.643383081,23,0.41009749,0.318847857,0.501347122,109,2920,-1,2018
195,195,Akoko-Edo,Owan East,0.433768496,0.23926106,0.628275931,3,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
196,196,Egor,Uzo-Uwani,0.420192485,0,0,5,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
197,197,Esan North East,Uzo-Uwani,0.420192485,0,0,2,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
198,198,Esan Central,Owan East,0.278942779,0,0,1,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
199,199,Esan South East,Uzo-Uwani,0.420192485,0,0,1,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
200,200,Esan West,Uzo-Uwani,0.420192485,NA,NA,NA,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
201,201,Etsako Central,Owan East,0.278942779,0,0,0,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
202,202,Etsako East,Owan East,0.077954241,-0.104432126,0.260340608,6,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
203,203,Etsako West,Owan East,0.080351586,-0.030479257,0.191182428,10,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
204,204,Igueben,Uzo-Uwani,0.420192485,0,0,2,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
205,205,Ikpoba-Okha,Uzo-Uwani,0.171130973,-0.179342358,0.521604304,7,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
206,206,Aninri,Oru West,0.517961682,0.073781511,0.962141853,5,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
207,207,Oredo,Uzo-Uwani,0.317164272,0.112686799,0.521641744,4,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
208,208,Orhionmwon,Uzo-Uwani,0.182157933,0.10650073,0.257815136,6,0.420192485,0.330335247,0.510049722,241,2920,-1,2018
209,209,Ovia North East,Owan East,0.278942779,0,0,5,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
210,210,Ovia South West,Akinyele,0.142857143,-0.091354571,0.377068857,5,0.154926235,0.08934872,0.22050375,109,2920,-1,2018
211,211,Owan East,Owan East,0.2,0.2,0.2,6,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
212,212,Owan West,Owan East,0.278942779,0,0,5,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
213,213,Uhunmwonde,Owan East,0.278942779,0,0,2,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
214,214,Ado Ekiti,Owan East,0.278942779,0,0,7,0.278942779,0.20854085,0.349344709,286,2920,-1,2018
215,215,Efon-Alayee,Oke-Ero,0.246839589,0,0,2,0.246839589,0.20084988,0.292829298,476,2920,-1,2018
216,216,Ekiti East,Oke-Ero,0.246839589,0,0,1,0.246839589,0.20084988,0.292829298,476,2920,-1,2018
217,217,Ekiti South West,Oke-Ero,0.462500057,0.167354675,0.75764544,2,0.246839589,0.20084988,0.292829298,476,2920,-1,2018
218,218,Awgu,Oru West,0.411077428,1,1,1,0.411077428,0.336623251,0.485531605,252,2920,-1,2018
219,219,Ekiti West,Oke-Ero,0.162213602,-0.037348861,0.361776066,2,0.246839589,0.20084988,0.292829298,476,2920,-1,2018
