,LGA,Rep_DS,State,simday,duration,year,U5_coverage_m,U5_coverage_l,U5_coverage,adult_coverage_m,adult_coverage_l,adult_coverage,severe_cases
79,Ayamelum,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
80,Babura,Babura,Jigawa,0,1095,2010,0.053961815,0.02454,0.102781,0.053961815,0.02454,0.102781,0.49
81,Badagry,Uzo-Uwani,Enugu,0,1095,2010,0.101110595,0.065637,0.148298,0.101110595,0.065637,0.148298,0.49
82,Bade,Taura,Jigawa,0,1095,2010,0.066097954,0.029,0.128142,0.066097954,0.029,0.128142,0.49
83,Bagudo,Birnin Kebbi,Kebbi,0,1095,2010,0.005035576,5.50E-05,0.033146,0.005035576,5.50E-05,0.033146,0.49
84,Bagwai,Babura,Jigawa,0,1095,2010,0.053961815,0.02454,0.102781,0.053961815,0.02454,0.102781,0.49
85,Bakassi,Obubra,Cross River,0,1095,2010,0,0,0,0,0,0,0.49
86,Bakori,Gwarzo,Kano,0,1095,2010,0.020151372,0.007362,0.044545,0.020151372,0.007362,0.044545,0.49
87,Bakura,Darazo,Bauchi,0,1095,2010,0.052339721,0.016604,0.122656,0.052339721,0.016604,0.122656,0.49
88,Balanga,Alkaleri,Bauchi,0,1095,2010,0.140374283,0.048633,0.297911,0.140374283,0.048633,0.297911,0.49
89,Bali,Keana,Nasarawa,0,1095,2010,0.003757889,2.00E-06,0.038083,0.003757889,2.00E-06,0.038083,0.49
90,Bama,Darazo,Bauchi,0,1095,2010,0.052339721,0.016604,0.122656,0.052339721,0.016604,0.122656,0.49
91,Barikin Ladi,Soba,Kaduna,0,1095,2010,0.076473462,0.034855,0.144206,0.076473462,0.034855,0.144206,0.49
92,Baruten,Oke-Ero,Kwara,0,1095,2010,0.033965668,0.008636,0.089926,0.033965668,0.008636,0.089926,0.49
93,Bassa1,Keana,Nasarawa,0,1095,2010,0.003757889,2.00E-06,0.038083,0.003757889,2.00E-06,0.038083,0.49
94,Bassa2,Soba,Kaduna,0,1095,2010,0.076473462,0.034855,0.144206,0.076473462,0.034855,0.144206,0.49
