,LGA,Rep_DS,State,simday,duration,year,U5_coverage_m,U5_coverage_l,U5_coverage,adult_coverage_m,adult_coverage_l,adult_coverage,severe_cases
841,Asari-Toru,Ahoada West,,1095,730,2013,0.333333333,0.10428689,0.254277466,0.333333333,0.10428689,0.254277466,0.49
842,Askira-Uba,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
843,Atakumosa East,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
844,Atakumosa West,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
845,Atiba,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
846,Atigbo,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
847,Augie,Birnin Kebbi,,1095,730,2013,0.333333333,0.068057438,0.251362453,0.333333333,0.068057438,0.251362453,0.49
848,Auyo,Taura,,1095,730,2013,0.069928121,0.046769383,0.093086858,0.069928121,0.046769383,0.093086858,0.49
849,Awe,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
850,Awgu,Oru West,,1095,730,2013,0.049344359,0.006251072,0.092437646,0.049344359,0.006251072,0.092437646,0.49
851,Awka North,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
852,Awka South,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
853,Ayamelum,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
854,Babura,Babura,,1095,730,2013,0.045372476,0,0.110805117,0.045372476,0,0.110805117,0.49
855,Badagry,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
856,Bade,Taura,,1095,730,2013,0.069928121,0.046769383,0.093086858,0.069928121,0.046769383,0.093086858,0.49
857,Bagudo,Birnin Kebbi,,1095,730,2013,0.159709946,0.068057438,0.251362453,0.159709946,0.068057438,0.251362453,0.49
858,Bagwai,Babura,,1095,730,2013,0.045372476,0,0.110805117,0.045372476,0,0.110805117,0.49
859,Bakassi,Obubra,,1095,730,2013,0.050301814,0,0.101017488,0.050301814,0,0.101017488,0.49
860,Bakori,Gwarzo,,1095,730,2013,0.023765288,0.003275168,0.044255409,0.023765288,0.003275168,0.044255409,0.49
861,Bakura,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
862,Balanga,Alkaleri,,1095,730,2013,0.176782765,0.031748425,0.075490339,0.176782765,0.031748425,0.075490339,0.49
863,Bali,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
864,Bama,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
865,Barikin Ladi,Soba,,1095,730,2013,0.030472784,0,0.064214693,0.030472784,0,0.064214693,0.49
866,Baruten,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
867,Bassa1,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
868,Bassa2,Soba,,1095,730,2013,0.030472784,0,0.064214693,0.030472784,0,0.064214693,0.49
869,Batagarawa,Rimi,,1095,730,2013,0.4,0.022996125,0.124225938,0.4,0.022996125,0.124225938,0.49
870,Batsari,Rimi,,1095,730,2013,0.111111111,0.022996125,0.124225938,0.111111111,0.022996125,0.124225938,0.49
871,Bauchi,Alkaleri,,1095,730,2013,0.063114987,0.031748425,0.075490339,0.063114987,0.031748425,0.075490339,0.49
872,Baure,Babura,,1095,730,2013,0.045372476,0,0.110805117,0.045372476,0,0.110805117,0.49
873,Bayo,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
874,Bebeji,Gwarzo,,1095,730,2013,0.023765288,0.003275168,0.044255409,0.023765288,0.003275168,0.044255409,0.49
875,Bekwara,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
876,Bende,Ngor-Okpala,,1095,730,2013,0.040385726,0.003930417,0.076841034,0.040385726,0.003930417,0.076841034,0.49
877,Biase,Ngor-Okpala,,1095,730,2013,0.040385726,0.003930417,0.076841034,0.040385726,0.003930417,0.076841034,0.49
878,Bichi,Gwarzo,,1095,730,2013,0.023765288,0.003275168,0.044255409,0.023765288,0.003275168,0.044255409,0.49
879,Bida,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
880,Billiri,Alkaleri,,1095,730,2013,0.116746362,0.031748425,0.075490339,0.116746362,0.031748425,0.075490339,0.49
881,Bindawa,Rimi,,1095,730,2013,0.073611031,0.022996125,0.124225938,0.073611031,0.022996125,0.124225938,0.49
882,Binji,Gawabawa,,1095,730,2013,0.073810029,0.013935005,0.133685052,0.073810029,0.013935005,0.133685052,0.49
883,Biriniwa,Taura,,1095,730,2013,0.069928121,0.046769383,0.093086858,0.069928121,0.046769383,0.093086858,0.49
884,Birni Kudu,Takali,,1095,730,2013,0.051157313,0,0.113312359,0.051157313,0,0.113312359,0.49
885,Birnin Kebbi,Birnin Kebbi,,1095,730,2013,0.333333333,0.068057438,0.251362453,0.333333333,0.068057438,0.251362453,0.49
886,Birnin Magaji,Rimi,,1095,730,2013,0.073611031,0.022996125,0.124225938,0.073611031,0.022996125,0.124225938,0.49
887,Birnin-Gwari,Giwa,,1095,730,2013,0,0,0,0,0,0,0.49
888,Biu,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
889,Bodinga,Gawabawa,,1095,730,2013,0.073810029,0.013935005,0.133685052,0.073810029,0.013935005,0.133685052,0.49
890,Bogoro,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
891,Boki,Obubra,,1095,730,2013,0.050301814,0,0.101017488,0.050301814,0,0.101017488,0.49
892,Bokkos,Giwa,,1095,730,2013,0,0,0,0,0,0,0.49
893,Boluwaduro,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
894,Bomadi,Isoko South,,1095,730,2013,0.136199054,0.009945494,0.262452614,0.136199054,0.009945494,0.262452614,0.49
895,Bonny,Nsit Ubium,,1095,730,2013,0.093590954,0.043754235,0.189717809,0.093590954,0.043754235,0.189717809,0.49
896,Borgu,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
897,Boripe,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
898,Bosso,Keana,,1095,730,2013,0.329624495,0.005529724,0.096311157,0.329624495,0.005529724,0.096311157,0.49
899,Brass,Ahoada West,,1095,730,2013,0.179282178,0.10428689,0.254277466,0.179282178,0.10428689,0.254277466,0.49
900,Buji,Takali,,1095,730,2013,0.051157313,0,0.113312359,0.051157313,0,0.113312359,0.49
901,Bukkuyum,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
902,Bungudu,Takali,,1095,730,2013,0.051157313,0,0.113312359,0.051157313,0,0.113312359,0.49
903,Bunkure,Gwarzo,,1095,730,2013,0.023765288,0.003275168,0.044255409,0.023765288,0.003275168,0.044255409,0.49
904,Bunza,Birnin Kebbi,,1095,730,2013,0.333333333,0.068057438,0.251362453,0.333333333,0.068057438,0.251362453,0.49
905,Bursari,Taura,,1095,730,2013,0.052631579,0.046769383,0.093086858,0.052631579,0.046769383,0.093086858,0.49
906,Buruku,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
907,Burutu,Isoko South,,1095,730,2013,0.136199054,0.009945494,0.262452614,0.136199054,0.009945494,0.262452614,0.49
908,Bwari,Giwa,,1095,730,2013,0,0,0,0,0,0,0.49
909,Calabar South,Nsit Ubium,,1095,730,2013,0.116736022,0.043754235,0.189717809,0.116736022,0.043754235,0.189717809,0.49
910,Calabar-Municipal,Nsit Ubium,,1095,730,2013,0.116736022,0.043754235,0.189717809,0.116736022,0.043754235,0.189717809,0.49
911,Chanchaga,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
912,Charanchi,Rimi,,1095,730,2013,0.073611031,0.022996125,0.124225938,0.073611031,0.022996125,0.124225938,0.49
913,Chibok,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
914,Chikun,Soba,,1095,730,2013,0.030472784,0,0.064214693,0.030472784,0,0.064214693,0.49
915,Dala,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
916,Damaturu,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
917,Damban,Darazo,,1095,730,2013,0.028082118,0.000948997,0.025593248,0.028082118,0.000948997,0.025593248,0.49
918,Dambatta,Babura,,1095,730,2013,0.045372476,0,0.110805117,0.045372476,0,0.110805117,0.49
919,Damboa,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
920,Dan Musa,Rimi,,1095,730,2013,0.073611031,0.022996125,0.124225938,0.073611031,0.022996125,0.124225938,0.49
921,Dandi,Birnin Kebbi,,1095,730,2013,0.159709946,0.068057438,0.251362453,0.159709946,0.068057438,0.251362453,0.49
922,Dandume,Giwa,,1095,730,2013,0,0,0,0,0,0,0.49
923,Dange-Shnsi,Gawabawa,,1095,730,2013,0.073810029,0.013935005,0.133685052,0.073810029,0.013935005,0.133685052,0.49
924,Danja,Giwa,,1095,730,2013,0,0,0,0,0,0,0.49
925,Darazo,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
926,Dass,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
927,Daura,Babura,,1095,730,2013,0.045372476,0,0.110805117,0.045372476,0,0.110805117,0.49
928,Dawakin Kudu,Gwarzo,,1095,730,2013,0.142857143,0.003275168,0.044255409,0.142857143,0.003275168,0.044255409,0.49
929,Dawakin Tofa,Taura,,1095,730,2013,0.069928121,0.046769383,0.093086858,0.069928121,0.046769383,0.093086858,0.49
930,Degema,Ahoada West,,1095,730,2013,0.179282178,0.10428689,0.254277466,0.179282178,0.10428689,0.254277466,0.49
931,Dekina,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
932,Demsa,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
933,Dikwa,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
934,Doguwa,Giwa,,1095,730,2013,0,0,0,0,0,0,0.49
935,Doma,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
936,Donga,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
937,Dukku,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
938,Dunukofia,Uzo-Uwani,,1095,730,2013,0.142857143,0.02817451,0.116256872,0.142857143,0.02817451,0.116256872,0.49
939,Dutse,Takali,,1095,730,2013,0.261504455,0,0.113312359,0.261504455,0,0.113312359,0.49
940,Dutsi,Rimi,,1095,730,2013,0.333333333,0.022996125,0.124225938,0.333333333,0.022996125,0.124225938,0.49
941,Dutsin-Ma,Rimi,,1095,730,2013,0.073611031,0.022996125,0.124225938,0.073611031,0.022996125,0.124225938,0.49
942,Eastern Obolo,Nsit Ubium,,1095,730,2013,0.116736022,0.043754235,0.189717809,0.116736022,0.043754235,0.189717809,0.49
943,Ebonyi,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
944,Edati,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
945,Ede North,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
946,Ede South,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
947,Edu,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
948,Efon-Alayee,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
949,Egbado North,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
950,Egbado South,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
951,Egbeda,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
952,Egbedore,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
953,Egor,Uzo-Uwani,,1095,730,2013,0.168990214,0.02817451,0.116256872,0.168990214,0.02817451,0.116256872,0.49
954,Ehime-Mbano,Ngor-Okpala,,1095,730,2013,0.040385726,0.003930417,0.076841034,0.040385726,0.003930417,0.076841034,0.49
955,Ejigbo,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
956,Ekeremor,Ahoada West,,1095,730,2013,0.179282178,0.10428689,0.254277466,0.179282178,0.10428689,0.254277466,0.49
957,Eket,Nsit Ubium,,1095,730,2013,0.155533103,0.043754235,0.189717809,0.155533103,0.043754235,0.189717809,0.49
958,Ekiti,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
959,Ekiti East,Oke-Ero,,1095,730,2013,0.09234703,0.030860305,0.187561992,0.09234703,0.030860305,0.187561992,0.49
960,Ekiti South West,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
961,Ekiti West,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
962,Ekwusigo,Oru West,,1095,730,2013,0.049344359,0.006251072,0.092437646,0.049344359,0.006251072,0.092437646,0.49
963,Eleme,Ahoada West,,1095,730,2013,0.083068315,0.10428689,0.254277466,0.083068315,0.10428689,0.254277466,0.49
964,Emohua,Ahoada West,,1095,730,2013,0.111111111,0.10428689,0.254277466,0.111111111,0.10428689,0.254277466,0.49
965,Emure,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
966,Enugu East,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
967,Enugu North,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
968,Enugu South,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
969,Epe,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
970,Esan Central,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
971,Esan North East,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
972,Esan South East,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
973,Esan West,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
974,Ese-Odo,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
975,Esit Eket,Nsit Ubium,,1095,730,2013,0.116736022,0.043754235,0.189717809,0.116736022,0.043754235,0.189717809,0.49
976,Essien Udim,Ngor-Okpala,,1095,730,2013,0.040385726,0.003930417,0.076841034,0.040385726,0.003930417,0.076841034,0.49
977,Etche,Ngor-Okpala,,1095,730,2013,0.040385726,0.003930417,0.076841034,0.040385726,0.003930417,0.076841034,0.49
978,Ethiope East,Isoko South,,1095,730,2013,0.136199054,0.009945494,0.262452614,0.136199054,0.009945494,0.262452614,0.49
979,Ethiope West,Isoko South,,1095,730,2013,0.136199054,0.009945494,0.262452614,0.136199054,0.009945494,0.262452614,0.49
980,Eti-Osa,Isoko South,,1095,730,2013,0.136199054,0.009945494,0.262452614,0.136199054,0.009945494,0.262452614,0.49
981,Etim Ekpo,Ngor-Okpala,,1095,730,2013,0.040385726,0.003930417,0.076841034,0.040385726,0.003930417,0.076841034,0.49
982,Etinan,Nsit Ubium,,1095,730,2013,0.116736022,0.043754235,0.189717809,0.116736022,0.043754235,0.189717809,0.49
983,Etsako Central,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
984,Etsako East,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
985,Etsako West,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
986,Etung,Obubra,,1095,730,2013,0.050301814,0,0.101017488,0.050301814,0,0.101017488,0.49
987,Ewekoro,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
988,Ezeagu,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
989,Ezinihitte,Ngor-Okpala,,1095,730,2013,0.040385726,0.003930417,0.076841034,0.040385726,0.003930417,0.076841034,0.49
990,Ezza North,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
991,Ezza South,Obubra,,1095,730,2013,0.050301814,0,0.101017488,0.050301814,0,0.101017488,0.49
992,Fagge,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
993,Fakai,Birnin Kebbi,,1095,730,2013,0.159709946,0.068057438,0.251362453,0.159709946,0.068057438,0.251362453,0.49
994,Faskari,Giwa,,1095,730,2013,0,0,0,0,0,0,0.49
995,Fika,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
996,Fufore,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
997,Funakaye,Alkaleri,,1095,730,2013,0.114495291,0.031748425,0.075490339,0.114495291,0.031748425,0.075490339,0.49
998,Fune,Darazo,,1095,730,2013,0.067625114,0.000948997,0.025593248,0.067625114,0.000948997,0.025593248,0.49
999,Funtua,Gwarzo,,1095,730,2013,0.023765288,0.003275168,0.044255409,0.023765288,0.003275168,0.044255409,0.49
1000,Gabasawa,Taura,,1095,730,2013,0.069928121,0.046769383,0.093086858,0.069928121,0.046769383,0.093086858,0.49
1001,Gada,Gawabawa,,1095,730,2013,0.073810029,0.013935005,0.133685052,0.073810029,0.013935005,0.133685052,0.49
1002,Gagarawa,Taura,,1095,730,2013,0.125,0.046769383,0.093086858,0.125,0.046769383,0.093086858,0.49
1003,Gamawa,Gwarzo,,1095,730,2013,0.038787152,0.003275168,0.044255409,0.038787152,0.003275168,0.044255409,0.49
1004,Ganaye,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
1005,Ganjuwa,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
1006,Garki,Babura,,1095,730,2013,0.045372476,0,0.110805117,0.045372476,0,0.110805117,0.49
1007,Garko,Gwarzo,,1095,730,2013,0.023765288,0.003275168,0.044255409,0.023765288,0.003275168,0.044255409,0.49
1008,Garum Mallam,Gwarzo,,1095,730,2013,0.023765288,0.003275168,0.044255409,0.023765288,0.003275168,0.044255409,0.49
1009,Gashaka,Oru West,,1095,730,2013,0.049344359,0.006251072,0.092437646,0.049344359,0.006251072,0.092437646,0.49
1010,Gassol,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
1011,Gawabawa,Gawabawa,,1095,730,2013,0.073810029,0.013935005,0.133685052,0.073810029,0.013935005,0.133685052,0.49
1012,Gaya,Gwarzo,,1095,730,2013,0.023765288,0.003275168,0.044255409,0.023765288,0.003275168,0.044255409,0.49
1013,Gbako,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
1014,Gboko,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
1015,Gboyin,Obubra,,1095,730,2013,0.250019727,0,0.101017488,0.250019727,0,0.101017488,0.49
1016,Geidam,Babura,,1095,730,2013,0.045372476,0,0.110805117,0.045372476,0,0.110805117,0.49
1017,Gezawa,Gwarzo,,1095,730,2013,0.023765288,0.003275168,0.044255409,0.023765288,0.003275168,0.044255409,0.49
1018,Giade,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
1019,Gireri,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
1020,Giwa,Giwa,,1095,730,2013,0,0,0,0,0,0,0.49
1021,Gokana,Nsit Ubium,,1095,730,2013,0.22480021,0.043754235,0.189717809,0.22480021,0.043754235,0.189717809,0.49
1022,Gombe,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
1023,Gombi,Alkaleri,,1095,730,2013,0.090909091,0.031748425,0.075490339,0.090909091,0.031748425,0.075490339,0.49
1024,Goronyo,Gawabawa,,1095,730,2013,0.073810029,0.013935005,0.133685052,0.073810029,0.013935005,0.133685052,0.49
1025,Gubio,Gawabawa,,1095,730,2013,0.073810029,0.013935005,0.133685052,0.073810029,0.013935005,0.133685052,0.49
1026,Gudu,Gawabawa,,1095,730,2013,0.073810029,0.013935005,0.133685052,0.073810029,0.013935005,0.133685052,0.49
1027,Gujba,Darazo,,1095,730,2013,0.096210254,0.000948997,0.025593248,0.096210254,0.000948997,0.025593248,0.49
1028,Gulani,Alkaleri,,1095,730,2013,0.045454545,0.031748425,0.075490339,0.045454545,0.031748425,0.075490339,0.49
1029,Guma,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
1030,Gumel,Babura,,1095,730,2013,0.045372476,0,0.110805117,0.045372476,0,0.110805117,0.49
1031,Gummi,Birnin Kebbi,,1095,730,2013,0.159709946,0.068057438,0.251362453,0.159709946,0.068057438,0.251362453,0.49
1032,Gurara,Oke-Ero,,1095,730,2013,0.111111111,0.030860305,0.187561992,0.111111111,0.030860305,0.187561992,0.49
1033,Guri,Taura,,1095,730,2013,0.069928121,0.046769383,0.093086858,0.069928121,0.046769383,0.093086858,0.49
1034,Gusau,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
1035,Guyuk,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
1036,Guzamala,Babura,,1095,730,2013,0.045372476,0,0.110805117,0.045372476,0,0.110805117,0.49
1037,Gwagwalada,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
1038,Gwale,Alkaleri,,1095,730,2013,0.053619382,0.031748425,0.075490339,0.053619382,0.031748425,0.075490339,0.49
1039,Gwandu,Birnin Kebbi,,1095,730,2013,0.5,0.068057438,0.251362453,0.5,0.068057438,0.251362453,0.49
1040,Gwaram,Takali,,1095,730,2013,0.04476785,0,0.113312359,0.04476785,0,0.113312359,0.49
1041,Gwarzo,Gwarzo,,1095,730,2013,0.023765288,0.003275168,0.044255409,0.023765288,0.003275168,0.044255409,0.49
1042,Gwer East,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
1043,Gwer West,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
1044,Gwiwa,Babura,,1095,730,2013,0.045372476,0,0.110805117,0.045372476,0,0.110805117,0.49
1045,Gwoza,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
1046,Hadejia,Taura,,1095,730,2013,0.069928121,0.046769383,0.093086858,0.069928121,0.046769383,0.093086858,0.49
1047,Hawul,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
1048,Hong,Darazo,,1095,730,2013,0.013271123,0.000948997,0.025593248,0.013271123,0.000948997,0.025593248,0.49
1049,Ibadan North,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
1050,Ibadan North East,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
1051,Ibadan North West,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
1052,Ibadan South East,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
1053,Ibadan South West,Owan East,,1095,730,2013,0.044332263,0.0098755,0.078789026,0.044332263,0.0098755,0.078789026,0.49
1054,Ibaji,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
1055,Ibarapa Central,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
1056,Ibarapa East,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
1057,Ibarapa North,Oke-Ero,,1095,730,2013,0.109211148,0.030860305,0.187561992,0.109211148,0.030860305,0.187561992,0.49
1058,Ibeju-Lekki,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
1059,Ibeno,Nsit Ubium,,1095,730,2013,0.116736022,0.043754235,0.189717809,0.116736022,0.043754235,0.189717809,0.49
1060,Ibesikpo Asutan,Nsit Ubium,,1095,730,2013,0.116736022,0.043754235,0.189717809,0.116736022,0.043754235,0.189717809,0.49
1061,Ibi,Keana,,1095,730,2013,0.05092044,0.005529724,0.096311157,0.05092044,0.005529724,0.096311157,0.49
1062,Ibiono Ibom,Ngor-Okpala,,1095,730,2013,0.040385726,0.003930417,0.076841034,0.040385726,0.003930417,0.076841034,0.49
1063,Idah,Uzo-Uwani,,1095,730,2013,0.072215691,0.02817451,0.116256872,0.072215691,0.02817451,0.116256872,0.49
1064,Idanre,Akinyele,,1095,730,2013,0.041444389,0.004445616,0.078443161,0.041444389,0.004445616,0.078443161,0.49
