,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
81,Badagry,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
82,Bade,Taura,Jigawa,0,1095,2010,0.029,0.029
83,Bagudo,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
84,Bagwai,Babura,Jigawa,0,1095,2010,0.02454,0.02454
85,Bakassi,Obubra,Cross River,0,1095,2010,0,0
86,Bakori,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
87,Bakura,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
88,Balanga,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
89,Bali,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
90,Bama,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
91,Barikin Ladi,Soba,Kaduna,0,1095,2010,0.034855,0.034855
92,Baruten,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
93,Bassa1,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
94,Bassa2,Soba,Kaduna,0,1095,2010,0.034855,0.034855
95,Batagarawa,Rimi,Katsina,0,1095,2010,0.052429,0.052429
96,Batsari,Rimi,Katsina,0,1095,2010,0.052429,0.052429
97,Bauchi,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
98,Baure,Babura,Jigawa,0,1095,2010,0.02454,0.02454
99,Bayo,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
100,Bebeji,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
101,Bekwara,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
102,Bende,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
103,Biase,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
104,Bichi,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
105,Bida,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
106,Billiri,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
107,Bindawa,Rimi,Katsina,0,1095,2010,0.052429,0.052429
108,Binji,Gawabawa,Sokoto,0,1095,2010,0,0
109,Biriniwa,Taura,Jigawa,0,1095,2010,0.029,0.029
110,Birni Kudu,Takali,Kano,0,1095,2010,0.017351,0.017351
111,Birnin Kebbi,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
112,Birnin Magaji,Rimi,Katsina,0,1095,2010,0.052429,0.052429
113,Birnin-Gwari,Giwa,Kaduna,0,1095,2010,0.002239,0.002239
114,Biu,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
115,Bodinga,Gawabawa,Sokoto,0,1095,2010,0,0
116,Bogoro,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
117,Boki,Obubra,Cross River,0,1095,2010,0,0
118,Bokkos,Giwa,Kaduna,0,1095,2010,0.002239,0.002239
119,Boluwaduro,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
120,Bomadi,Isoko South,Delta,0,1095,2010,0.051413,0.051413
121,Bonny,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
122,Borgu,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
123,Boripe,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
124,Bosso,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
125,Brass,Ahoada West,Rivers,0,1095,2010,0.139011,0.139011
126,Buji,Takali,Kano,0,1095,2010,0.017351,0.017351
127,Bukkuyum,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
128,Bungudu,Takali,Kano,0,1095,2010,0.017351,0.017351
129,Bunkure,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
130,Bunza,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
131,Bursari,Taura,Jigawa,0,1095,2010,0.029,0.029
132,Buruku,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
133,Burutu,Isoko South,Delta,0,1095,2010,0.051413,0.051413
134,Bwari,Giwa,Kaduna,0,1095,2010,0.002239,0.002239
135,Calabar South,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
136,Calabar-Municipal,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
137,Chanchaga,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
138,Charanchi,Rimi,Katsina,0,1095,2010,0.052429,0.052429
139,Chibok,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
140,Chikun,Soba,Kaduna,0,1095,2010,0.034855,0.034855
141,Dala,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
142,Damaturu,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
143,Damban,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
144,Dambatta,Babura,Jigawa,0,1095,2010,0.02454,0.02454
145,Damboa,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
146,Dan Musa,Rimi,Katsina,0,1095,2010,0.052429,0.052429
147,Dandi,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
148,Dandume,Giwa,Kaduna,0,1095,2010,0.002239,0.002239
149,Dange-Shnsi,Gawabawa,Sokoto,0,1095,2010,0,0
150,Danja,Giwa,Kaduna,0,1095,2010,0.002239,0.002239
151,Darazo,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
152,Dass,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
153,Daura,Babura,Jigawa,0,1095,2010,0.02454,0.02454
154,Dawakin Kudu,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
155,Dawakin Tofa,Taura,Jigawa,0,1095,2010,0.029,0.029
156,Degema,Ahoada West,Rivers,0,1095,2010,0.139011,0.139011
157,Dekina,Owan East,Edo,0,1095,2010,0.040692,0.040692
158,Demsa,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
159,Dikwa,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
160,Doguwa,Giwa,Kaduna,0,1095,2010,0.002239,0.002239
161,Doma,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
162,Donga,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
163,Dukku,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
164,Dunukofia,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
165,Dutse,Takali,Kano,0,1095,2010,0.017351,0.017351
166,Dutsi,Rimi,Katsina,0,1095,2010,0.052429,0.052429
167,Dutsin-Ma,Rimi,Katsina,0,1095,2010,0.052429,0.052429
168,Eastern Obolo,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
169,Ebonyi,Owan East,Edo,0,1095,2010,0.040692,0.040692
170,Edati,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
171,Ede North,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
172,Ede South,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
173,Edu,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
174,Efon-Alayee,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
175,Egbado North,Owan East,Edo,0,1095,2010,0.040692,0.040692
176,Egbado South,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
177,Egbeda,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
178,Egbedore,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
179,Egor,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
180,Ehime-Mbano,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
181,Ejigbo,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
182,Ekeremor,Ahoada West,Rivers,0,1095,2010,0.139011,0.139011
183,Eket,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
184,Ekiti,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
185,Ekiti East,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
186,Ekiti South West,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
187,Ekiti West,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
188,Ekwusigo,Oru West,Imo,0,1095,2010,0.101985,0.101985
189,Eleme,Ahoada West,Rivers,0,1095,2010,0.139011,0.139011
190,Emohua,Ahoada West,Rivers,0,1095,2010,0.139011,0.139011
191,Emure,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
192,Enugu East,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
193,Enugu North,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
194,Enugu South,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
195,Epe,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
196,Esan Central,Owan East,Edo,0,1095,2010,0.040692,0.040692
197,Esan North East,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
198,Esan South East,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
199,Esan West,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
200,Ese-Odo,Owan East,Edo,0,1095,2010,0.040692,0.040692
201,Esit Eket,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
202,Essien Udim,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
203,Etche,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
204,Ethiope East,Isoko South,Delta,0,1095,2010,0.051413,0.051413
205,Ethiope West,Isoko South,Delta,0,1095,2010,0.051413,0.051413
206,Eti-Osa,Isoko South,Delta,0,1095,2010,0.051413,0.051413
207,Etim Ekpo,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
208,Etinan,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
209,Etsako Central,Owan East,Edo,0,1095,2010,0.040692,0.040692
210,Etsako East,Owan East,Edo,0,1095,2010,0.040692,0.040692
211,Etsako West,Owan East,Edo,0,1095,2010,0.040692,0.040692
212,Etung,Obubra,Cross River,0,1095,2010,0,0
213,Ewekoro,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
214,Ezeagu,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
215,Ezinihitte,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
216,Ezza North,Owan East,Edo,0,1095,2010,0.040692,0.040692
217,Ezza South,Obubra,Cross River,0,1095,2010,0,0
218,Fagge,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
219,Fakai,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
220,Faskari,Giwa,Kaduna,0,1095,2010,0.002239,0.002239
221,Fika,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
222,Fufore,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
223,Funakaye,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
224,Fune,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
225,Funtua,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
226,Gabasawa,Taura,Jigawa,0,1095,2010,0.029,0.029
227,Gada,Gawabawa,Sokoto,0,1095,2010,0,0
228,Gagarawa,Taura,Jigawa,0,1095,2010,0.029,0.029
229,Gamawa,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
230,Ganaye,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
231,Ganjuwa,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
232,Garki,Babura,Jigawa,0,1095,2010,0.02454,0.02454
233,Garko,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
234,Garum Mallam,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
235,Gashaka,Oru West,Imo,0,1095,2010,0.101985,0.101985
236,Gassol,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
237,Gawabawa,Gawabawa,Sokoto,0,1095,2010,0,0
238,Gaya,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
239,Gbako,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
240,Gboko,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
241,Gboyin,Obubra,Cross River,0,1095,2010,0,0
242,Geidam,Babura,Jigawa,0,1095,2010,0.02454,0.02454
243,Gezawa,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
244,Giade,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
245,Gireri,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
246,Giwa,Giwa,Kaduna,0,1095,2010,0.002239,0.002239
247,Gokana,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
248,Gombe,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
249,Gombi,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
250,Goronyo,Gawabawa,Sokoto,0,1095,2010,0,0
251,Gubio,Gawabawa,Sokoto,0,1095,2010,0,0
252,Gudu,Gawabawa,Sokoto,0,1095,2010,0,0
253,Gujba,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
254,Gulani,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
255,Guma,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
256,Gumel,Babura,Jigawa,0,1095,2010,0.02454,0.02454
257,Gummi,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
258,Gurara,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
259,Guri,Taura,Jigawa,0,1095,2010,0.029,0.029
260,Gusau,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
261,Guyuk,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
262,Guzamala,Babura,Jigawa,0,1095,2010,0.02454,0.02454
263,Gwagwalada,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
264,Gwale,Alkaleri,Bauchi,0,1095,2010,0.048633,0.048633
265,Gwandu,Birnin Kebbi,Kebbi,0,1095,2010,5.50E-05,5.50E-05
266,Gwaram,Takali,Kano,0,1095,2010,0.017351,0.017351
267,Gwarzo,Gwarzo,Kano,0,1095,2010,0.007362,0.007362
268,Gwer East,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
269,Gwer West,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
270,Gwiwa,Babura,Jigawa,0,1095,2010,0.02454,0.02454
271,Gwoza,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
272,Hadejia,Taura,Jigawa,0,1095,2010,0.029,0.029
273,Hawul,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
274,Hong,Darazo,Bauchi,0,1095,2010,0.016604,0.016604
275,Ibadan North,Owan East,Edo,0,1095,2010,0.040692,0.040692
276,Ibadan North East,Owan East,Edo,0,1095,2010,0.040692,0.040692
277,Ibadan North West,Owan East,Edo,0,1095,2010,0.040692,0.040692
278,Ibadan South East,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
279,Ibadan South West,Owan East,Edo,0,1095,2010,0.040692,0.040692
280,Ibaji,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
281,Ibarapa Central,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
282,Ibarapa East,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
283,Ibarapa North,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
284,Ibeju-Lekki,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
285,Ibeno,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
286,Ibesikpo Asutan,Nsit Ubium,Akwa lbom,0,1095,2010,0.049395,0.049395
287,Ibi,Keana,Nasarawa,0,1095,2010,2.00E-06,2.00E-06
288,Ibiono Ibom,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
289,Idah,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
290,Idanre,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
291,Ideato North,Oru West,Imo,0,1095,2010,0.101985,0.101985
292,Ideato South,Ngor-Okpala,Imo,0,1095,2010,0.014185,0.014185
293,Idemili North,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
294,Idemili South,Oru West,Imo,0,1095,2010,0.101985,0.101985
295,Ido,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
296,Idosi-Osi,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
297,Ifako-Ijaye,Uzo-Uwani,Enugu,0,1095,2010,0.065637,0.065637
298,Ife Central,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
299,Ife East,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
300,Ife North,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
301,Ife South,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
302,Ifedayo,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
303,Ifedore,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
304,Ifelodun1,Oke-Ero,Kwara,0,1095,2010,0.008636,0.008636
305,Ifelodun2,Akinyele,Oyo,0,1095,2010,0.017876,0.017876
