,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
82,Bade,Taura,Jigawa,0,1095,2010,0.128142,0.128142
83,Bagudo,Birnin Kebbi,Kebbi,0,1095,2010,0.033146,0.033146
84,Bagwai,Babura,Jigawa,0,1095,2010,0.102781,0.102781
85,Bakassi,Obubra,Cross River,0,1095,2010,0,0
86,Bakori,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
87,Bakura,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
88,Balanga,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
89,Bali,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
90,Bama,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
91,Barikin Ladi,Soba,Kaduna,0,1095,2010,0.144206,0.144206
92,Baruten,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
93,Bassa1,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
94,Bassa2,Soba,Kaduna,0,1095,2010,0.144206,0.144206
95,Batagarawa,Rimi,Katsina,0,1095,2010,0.161449,0.161449
96,Batsari,Rimi,Katsina,0,1095,2010,0.161449,0.161449
97,Bauchi,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
98,Baure,Babura,Jigawa,0,1095,2010,0.102781,0.102781
99,Bayo,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
100,Bebeji,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
101,Bekwara,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
102,Bende,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
103,Biase,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
104,Bichi,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
105,Bida,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
106,Billiri,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
107,Bindawa,Rimi,Katsina,0,1095,2010,0.161449,0.161449
108,Binji,Gawabawa,Sokoto,0,1095,2010,0,0
109,Biriniwa,Taura,Jigawa,0,1095,2010,0.128142,0.128142
110,Birni Kudu,Takali,Kano,0,1095,2010,0.084126,0.084126
111,Birnin Kebbi,Birnin Kebbi,Kebbi,0,1095,2010,0.033146,0.033146
112,Birnin Magaji,Rimi,Katsina,0,1095,2010,0.161449,0.161449
113,Birnin-Gwari,Giwa,Kaduna,0,1095,2010,0.064588,0.064588
114,Biu,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
115,Bodinga,Gawabawa,Sokoto,0,1095,2010,0,0
116,Bogoro,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
117,Boki,Obubra,Cross River,0,1095,2010,0,0
118,Bokkos,Giwa,Kaduna,0,1095,2010,0.064588,0.064588
