LGA,Rep_DS,State,,,U5_coverage,adult_coverage,simday,duration,year
Awka South,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ayamelum,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Babura,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Badagry,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Bade,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Bagudo,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Bagwai,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Bakassi,Obubra,Cross River,,,0,0,0,1095,2010
Bakori,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Bakura,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Balanga,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Bali,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Bama,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Barikin Ladi,Soba,Kaduna,,,0.076473462,0.076473462,0,1095,2010
Baruten,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Bassa1,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Bassa2,Soba,Kaduna,,,0.076473462,0.076473462,0,1095,2010
Batagarawa,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Batsari,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Bauchi,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Baure,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Bayo,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Bebeji,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Bekwara,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Bende,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Biase,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Bichi,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Bida,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Billiri,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Bindawa,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Binji,Gawabawa,Sokoto,,,0,0,0,1095,2010
Biriniwa,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Birni Kudu,Takali,Kano,,,0.041618192,0.041618192,0,1095,2010
Birnin Kebbi,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Birnin Magaji,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Birnin-Gwari,Giwa,Kaduna,,,0.018010707,0.018010707,0,1095,2010
Biu,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Bodinga,Gawabawa,Sokoto,,,0,0,0,1095,2010
Bogoro,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Boki,Obubra,Cross River,,,0,0,0,1095,2010
Bokkos,Giwa,Kaduna,,,0.018010707,0.018010707,0,1095,2010
Boluwaduro,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Bomadi,Isoko South,Delta,,,0.102375399,0.102375399,0,1095,2010
Bonny,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Borgu,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Boripe,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Bosso,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Brass,Ahoada West,Rivers,,,0.244230555,0.244230555,0,1095,2010
Buji,Takali,Kano,,,0.041618192,0.041618192,0,1095,2010
Bukkuyum,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Bungudu,Takali,Kano,,,0.041618192,0.041618192,0,1095,2010
Bunkure,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Bunza,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Bursari,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Buruku,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Burutu,Isoko South,Delta,,,0.102375399,0.102375399,0,1095,2010
Bwari,Giwa,Kaduna,,,0.018010707,0.018010707,0,1095,2010
Calabar South,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Calabar-Municipal,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Chanchaga,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Charanchi,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Chibok,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Chikun,Soba,Kaduna,,,0.076473462,0.076473462,0,1095,2010
Dala,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Damaturu,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Damban,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Dambatta,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Damboa,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Dan Musa,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Dandi,Birnin Kebbi,Kebbi,,,0.005035576,0.005035576,0,1095,2010
Dandume,Giwa,Kaduna,,,0.018010707,0.018010707,0,1095,2010
Dange-Shnsi,Gawabawa,Sokoto,,,0,0,0,1095,2010
Danja,Giwa,Kaduna,,,0.018010707,0.018010707,0,1095,2010
Darazo,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Dass,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Daura,Babura,Jigawa,,,0.053961815,0.053961815,0,1095,2010
Dawakin Kudu,Gwarzo,Kano,,,0.020151372,0.020151372,0,1095,2010
Dawakin Tofa,Taura,Jigawa,,,0.066097954,0.066097954,0,1095,2010
Degema,Ahoada West,Rivers,,,0.244230555,0.244230555,0,1095,2010
Dekina,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Demsa,Alkaleri,Bauchi,,,0.140374283,0.140374283,0,1095,2010
Dikwa,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Doguwa,Giwa,Kaduna,,,0.018010707,0.018010707,0,1095,2010
Doma,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Donga,Keana,Nasarawa,,,0.003757889,0.003757889,0,1095,2010
Dukku,Darazo,Bauchi,,,0.052339721,0.052339721,0,1095,2010
Dunukofia,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Dutse,Takali,Kano,,,0.041618192,0.041618192,0,1095,2010
Dutsi,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Dutsin-Ma,Rimi,Katsina,,,0.096584862,0.096584862,0,1095,2010
Eastern Obolo,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Ebonyi,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Edati,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ede North,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ede South,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Edu,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Efon-Alayee,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Egbado North,Owan East,Edo,,,0.100639757,0.100639757,0,1095,2010
Egbado South,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Egbeda,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Egbedore,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Egor,Uzo-Uwani,Enugu,,,0.101110595,0.101110595,0,1095,2010
Ehime-Mbano,Ngor-Okpala,Imo,,,0.038064811,0.038064811,0,1095,2010
Ejigbo,Akinyele,Oyo,,,0.067262581,0.067262581,0,1095,2010
Ekeremor,Ahoada West,Rivers,,,0.244230555,0.244230555,0,1095,2010
Eket,Nsit Ubium,Akwa lbom,,,0.092807342,0.092807342,0,1095,2010
Ekiti,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ekiti East,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ekiti South West,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
Ekiti West,Oke-Ero,Kwara,,,0.033965668,0.033965668,0,1095,2010
