,LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,year
260,Gusau,Darazo,0.20049207,0.118295438,0.282688701,23,0.18452352,0.125860196,0.243186843,184,2015
261,Guyuk,Alkaleri,0.085714286,0.085714286,0.085714286,26,0.145645987,0.087804352,0.203487623,232,2015
262,Guzamala,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
263,Gwagwalada,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
264,Gwale,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
265,Gwandu,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
266,Gwaram,Takali,0.074490416,NA,NA,NA,0.074490416,0.033950387,0.115030445,82,2015
267,Gwarzo,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
268,Gwer East,Oke-Ero,0.39153443,-0.092235845,0.875304705,9,0.114190056,0.051105035,0.177275077,187,2015
269,Gwer West,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
270,Gwiwa,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
271,Gwoza,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
272,Hadejia,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
273,Hawul,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
274,Hong,Darazo,0.3,0.3,0.3,8,0.18452352,0.125860196,0.243186843,184,2015
275,Ibadan North,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
276,Ibadan North East,Owan East,0.375,0.375,0.375,18,0.264976843,0.182414224,0.347539461,148,2015
277,Ibadan North West,Owan East,0.379041245,0.334509858,0.423572631,13,0.264976843,0.182414224,0.347539461,148,2015
278,Ibadan South East,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
279,Ibadan South West,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
280,Ibaji,Uzo-Uwani,0.190437475,0,0,1,0.190437475,0.111596475,0.269278475,115,2015
281,Ibarapa Central,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
282,Ibarapa East,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
283,Ibarapa North,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
284,Ibeju/Lekki,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
285,Ibeno,Nsit Ubium,0.094423463,NA,NA,NA,0.094423463,0.021527921,0.167319005,92,2015
286,Ibesikpo Asutan,Nsit Ubium,0.094423463,NA,NA,NA,0.094423463,0.021527921,0.167319005,92,2015
287,Ibi,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
288,Ibiono Ibom,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
289,Idah,Uzo-Uwani,0.190437475,0,0,2,0.190437475,0.111596475,0.269278475,115,2015
290,Idanre,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
291,Ideato North,Oru West,0.366720487,0,0,3,0.366720487,0.212880315,0.520560659,59,2015
292,Ideato South,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
293,Idemili North,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
294,Idemili South,Oru West,0.5,0.5,0.5,11,0.366720487,0.212880315,0.520560659,59,2015
295,Ido,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
296,Idosi-Osi,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
297,Ifako-Ijaye,Uzo-Uwani,0.111111111,0.111111111,0.111111111,15,0.190437475,0.111596475,0.269278475,115,2015
298,Ife Central,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
299,Ife East,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
300,Ife North,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
301,Ife South,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
302,Ifedayo,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
303,Ifedore,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
304,Ifelodun1,Oke-Ero,0.114190056,0,0,9,0.114190056,0.051105035,0.177275077,187,2015
305,Ifelodun2,Akinyele,0.079747826,0,0,3,0.079747826,-0.004877252,0.164372905,66,2015
306,Ifo,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
307,Igabi,Soba,0.086956522,0.086956522,0.086956522,24,0.068409273,0.008353962,0.128464584,98,2015
308,Igalamela-Odolu,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
309,Igbo-Etiti,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
310,Igbo-Eze North,Uzo-Uwani,0.286494177,0.023237,0.549751355,8,0.190437475,0.111596475,0.269278475,115,2015
311,Igbo-Eze South,Uzo-Uwani,0.111388177,0.043376624,0.179399731,7,0.190437475,0.111596475,0.269278475,115,2015
312,Igueben,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
313,Ihiala,Oru West,0.366720487,0,0,6,0.366720487,0.212880315,0.520560659,59,2015
314,Ihitte/Uboma,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
315,Ijebu East,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
316,Ijebu North,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
317,Ijebu North East,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
318,Ijebu ode,Owan East,0.666666667,0.666666667,0.666666667,2,0.264976843,0.182414224,0.347539461,148,2015
319,Ijero,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
320,Ijumu,Oke-Ero,0.114190056,0,0,4,0.114190056,0.051105035,0.177275077,187,2015
321,Ika,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
322,Ika North East,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
323,Ika South,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
324,Ikara,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
325,Ikeduru,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
326,Ikeja,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
327,Ikenne,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
328,Ikere,Owan East,0.25,0.25,0.25,3,0.264976843,0.182414224,0.347539461,148,2015
329,Ikole,Oke-Ero,0.428571429,0.428571429,0.428571429,4,0.114190056,0.051105035,0.177275077,187,2015
330,Ikom,Obubra,0.466666667,0.306992297,0.626341037,12,0.249253657,0.064518084,0.43398923,49,2015
331,Ikono,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
332,Ikorodu,Uzo-Uwani,0.190437475,1,1,2,0.190437475,0.111596475,0.269278475,115,2015
333,Ikot Abasi,Nsit Ubium,0.094423463,NA,NA,NA,0.094423463,0.021527921,0.167319005,92,2015
334,Ikot Ekpene,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
335,Ikpoba-Okha,Uzo-Uwani,0.765570321,0.572769324,0.958371317,3,0.190437475,0.111596475,0.269278475,115,2015
336,Ikwerre,Oru West,0.5,0.5,0.5,7,0.366720487,0.212880315,0.520560659,59,2015
337,Ikwo,Obubra,0.249253657,0,0,5,0.249253657,0.064518084,0.43398923,49,2015
338,Ikwuano,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
339,Ila,Oke-Ero,0.114190056,0,0,4,0.114190056,0.051105035,0.177275077,187,2015
340,Ilaje,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
341,Ile-Oluji-Okeigbo,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
342,Ilemeji,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
343,Ilesha East,Owan East,0.666666667,0.666666667,0.666666667,4,0.264976843,0.182414224,0.347539461,148,2015
344,Ilesha West,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
345,Illela,Gawabawa,0.118620448,NA,NA,NA,0.118620448,0.007795875,0.22944502,96,2015
346,Ilorin East,Oke-Ero,0.333333333,0.333333333,0.333333333,3,0.114190056,0.051105035,0.177275077,187,2015
347,Ilorin South,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
348,Ilorin West,Owan East,0.264976843,0,0,1,0.264976843,0.182414224,0.347539461,148,2015
349,Imeko-Afon,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
350,Ingawa,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
351,Ini,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
352,Ipokia,Uzo-Uwani,0.190437475,0,0,4,0.190437475,0.111596475,0.269278475,115,2015
353,Irele,Akinyele,0.079747826,0,0,18,0.079747826,-0.004877252,0.164372905,66,2015
354,Irepo,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
355,Irepodun/Ifelodun,Oke-Ero,0.114190056,0,0,2,0.114190056,0.051105035,0.177275077,187,2015
356,Irepodun1,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
357,Irepodun2,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
358,Irewole,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
359,Isa,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
360,Ise/Orun,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
361,Iseyin,Akinyele,0.079747826,0,0,3,0.079747826,-0.004877252,0.164372905,66,2015
362,Ishielu,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
363,Isi-Uzo,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
364,Isiala Mbano,Ngor-Okpala,0.17073341,0,0,13,0.17073341,0.050004489,0.291462331,67,2015
365,Isiala-Ngwa North,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
366,Isiala-Ngwa South,Ngor-Okpala,0.17073341,0,0,5,0.17073341,0.050004489,0.291462331,67,2015
367,Isin,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
368,Isokan,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
369,Isoko North,Isoko South,0.01218479,0,0,10,0.01218479,-0.009203428,0.033573008,50,2015
370,Isoko South,Isoko South,0.01218479,NA,NA,NA,0.01218479,-0.009203428,0.033573008,50,2015
371,Isu,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
372,Isuikwato,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
373,Itas/Gadau,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
374,Itesiwaju,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
375,Itu,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
376,Ivo,Ngor-Okpala,0.4,0.4,0.4,4,0.17073341,0.050004489,0.291462331,67,2015
377,Iwajowa,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
378,Iwo,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
379,Izzi,Owan East,0.210526316,-0.096327131,0.517379762,15,0.264976843,0.182414224,0.347539461,148,2015
380,Jaba,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
381,Jada,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
382,Jahun,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
383,Jakusko,Taura,0.307692308,0.050819708,0.564564908,15,0.13431021,0.058467978,0.210152443,151,2015
384,Jalingo,Keana,0.285714286,0.285714286,0.285714286,3,0.1311888,0.041604488,0.220773112,116,2015
385,Jama'are,Taura,0.13431021,0,0,4,0.13431021,0.058467978,0.210152443,151,2015
386,Jega,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
387,Jema'a,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
388,Jere,Gawabawa,0.118620448,0,0,2,0.118620448,0.007795875,0.22944502,96,2015
389,Jibia,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
390,Jos East,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
391,Jos North,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
392,Jos South,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
393,Kabba/Bunu,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
394,Kabo,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
395,Kachia,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
396,Kaduna North,Soba,0.25,0.25,0.25,4,0.068409273,0.008353962,0.128464584,98,2015
397,Kaduna South,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
398,Kafin Hausa,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
399,Kafur,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
400,Kaga,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
401,Kagarko,Oke-Ero,0.5,0.5,0.5,4,0.114190056,0.051105035,0.177275077,187,2015
402,Kaiama,Oke-Ero,0.083333333,-0.081689586,0.248356253,13,0.114190056,0.051105035,0.177275077,187,2015
403,kaita,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
404,Kajola,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
405,Kajuru,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
406,Kala/Balge,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
407,Kalgo,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
408,Kaltungo,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
409,Kanam,Alkaleri,0.222222222,0.222222222,0.222222222,13,0.145645987,0.087804352,0.203487623,232,2015
410,Kankara,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
411,Kanke,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
412,Kankia,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
413,Kano Municipal,Alkaleri,0.142857143,0.142857143,0.142857143,13,0.145645987,0.087804352,0.203487623,232,2015
414,Karasuwa,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
415,Karaye,Gwarzo,0.1875,0.1875,0.1875,29,0.134624366,0.024162651,0.245086081,117,2015
416,Karin-Lamido,Alkaleri,0.055555556,0.055555556,0.055555556,11,0.145645987,0.087804352,0.203487623,232,2015
417,Karu,Oke-Ero,0.124977889,0.038328265,0.211627513,9,0.114190056,0.051105035,0.177275077,187,2015
418,Katagum,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
419,Katcha,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
420,Katsina,Rimi,0.125,0.125,0.125,25,0.168258146,0.051240905,0.285275387,247,2015
421,Katsina-Ala,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
422,Kaugama,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
423,Kaura,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
424,Kaura-Namoda,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
425,Kauru,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
426,Kazaure,Babura,0.125,0.125,0.125,8,0.138863542,0.087708523,0.190018562,94,2015
427,Keana,Keana,0.1311888,0,0,5,0.1311888,0.041604488,0.220773112,116,2015
428,Kebbe,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
429,Keffi,Oke-Ero,0.5,0.5,0.5,0,0.114190056,0.051105035,0.177275077,187,2015
430,Khana,Nsit Ubium,0.225399736,0.023100428,0.427699045,16,0.094423463,0.021527921,0.167319005,92,2015
431,Kibiya,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
432,Kirfi,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
433,Kiri Kasamma,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
434,Kiru,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
435,kiyawa,Takali,0.074490416,NA,NA,NA,0.074490416,0.033950387,0.115030445,82,2015
436,Kogi,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
437,Koko/Besse,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
438,Kokona,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
439,Kolokuma/Opokuma,Ahoada West,0.5,0.5,0.5,2,0.247032288,0.152126062,0.341938514,92,2015
440,Konduga,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
441,Konshisha,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
442,Kontagora,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
443,Kosofe,Isoko South,0.01218479,NA,NA,NA,0.01218479,-0.009203428,0.033573008,50,2015
444,Kubau,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
445,Kudan,Giwa,0.129248867,NA,NA,NA,0.129248867,-0.003994392,0.262492125,82,2015
446,Kuje,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
447,Kukawa,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
448,Kumbotso,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
449,Kunchi,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
450,Kura,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
451,Kurfi,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
452,Kurmi,Oru West,0.366720487,NA,NA,NA,0.366720487,0.212880315,0.520560659,59,2015
453,Kusada,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
454,Kwali,Keana,0.333333333,0.333333333,0.333333333,4,0.1311888,0.041604488,0.220773112,116,2015
455,Kwami,Alkaleri,0.145645987,0,0,3,0.145645987,0.087804352,0.203487623,232,2015
456,Kwande,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
457,Kware,Gawabawa,0.118620448,NA,NA,NA,0.118620448,0.007795875,0.22944502,96,2015
458,Kwaya Kusar,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
459,Lafia,Alkaleri,0.055555556,0.055555556,0.055555556,20,0.145645987,0.087804352,0.203487623,232,2015
460,Lagelu,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
461,Lagos Island,Isoko South,0.01218479,0,0,1,0.01218479,-0.009203428,0.033573008,50,2015
462,Lagos Mainland,Isoko South,0.01218479,NA,NA,NA,0.01218479,-0.009203428,0.033573008,50,2015
463,Lamurde,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
464,Langtang North,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
465,Langtang South,Keana,0.5,0.5,0.5,8,0.1311888,0.041604488,0.220773112,116,2015
466,Lapai,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
467,Lau,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
468,Lavun,Oke-Ero,0.114190056,0,0,7,0.114190056,0.051105035,0.177275077,187,2015
469,Lere,Soba,0.068409273,NA,NA,NA,0.068409273,0.008353962,0.128464584,98,2015
470,Logo,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
471,Lokoja,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
472,Machina,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
473,Madagali,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
474,Madobi,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
475,Mafa,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
476,Magama,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
477,Magumeri,Gawabawa,0.118620448,NA,NA,NA,0.118620448,0.007795875,0.22944502,96,2015
478,Mai'Adua,Rimi,0.320754717,0.197271044,0.44423839,97,0.168258146,0.051240905,0.285275387,247,2015
479,Maiduguri,Darazo,0.378378418,0.13288468,0.623872157,4,0.18452352,0.125860196,0.243186843,184,2015
480,Maigatari,Babura,0.138863542,0,0,6,0.138863542,0.087708523,0.190018562,94,2015
481,Maiha,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
482,Maiyama,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
483,Makoda,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
484,Makurdi,Keana,0.333333333,0.333333333,0.333333333,1,0.1311888,0.041604488,0.220773112,116,2015
485,Malam Madori,Taura,0.13431021,0,0,4,0.13431021,0.058467978,0.210152443,151,2015
486,Malumfashi,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
487,Mangu,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
488,Mani,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
489,Maradun,Darazo,0.055555556,0.055555556,0.055555556,14,0.18452352,0.125860196,0.243186843,184,2015
490,Mariga,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
491,Markafi,Gwarzo,0.134624366,0,0,3,0.134624366,0.024162651,0.245086081,117,2015
492,Marte,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
493,Maru,Giwa,0.129248867,0,0,21,0.129248867,-0.003994392,0.262492125,82,2015
494,Mashegu,Oke-Ero,0.114190056,0,0,24,0.114190056,0.051105035,0.177275077,187,2015
495,Mashi,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
496,Matazuu,Rimi,0.168258146,NA,NA,NA,0.168258146,0.051240905,0.285275387,247,2015
497,Mayo-Belwa,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
498,Mbaitoli,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
499,Mbo,Nsit Ubium,0.142857143,0.142857143,0.142857143,17,0.094423463,0.021527921,0.167319005,92,2015
500,Michika,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
501,Miga,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
502,Mikang,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
503,Minjibir,Taura,0.13431021,NA,NA,NA,0.13431021,0.058467978,0.210152443,151,2015
504,Misau,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
505,Mkpat Enin,Nsit Ubium,0.094423463,NA,NA,NA,0.094423463,0.021527921,0.167319005,92,2015
506,Moba,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
507,Mobbar,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
508,Mokwa,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
509,Monguno,Babura,0.138863542,NA,NA,NA,0.138863542,0.087708523,0.190018562,94,2015
510,Mopa-Muro,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
511,Moro,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
512,Mubi North,Darazo,0.256055898,0.194328906,0.31778289,15,0.18452352,0.125860196,0.243186843,184,2015
513,Mubi South,Darazo,0.18452352,NA,NA,NA,0.18452352,0.125860196,0.243186843,184,2015
514,Musawa,Gwarzo,0.134624366,NA,NA,NA,0.134624366,0.024162651,0.245086081,117,2015
515,Mushin,Isoko South,0.01218479,NA,NA,NA,0.01218479,-0.009203428,0.033573008,50,2015
516,Muya,Giwa,0.129248867,0,0,3,0.129248867,-0.003994392,0.262492125,82,2015
517,Nafada,Alkaleri,0.145645987,0,0,4,0.145645987,0.087804352,0.203487623,232,2015
518,Nangere,Darazo,0.242857143,0.22269418,0.263020105,30,0.18452352,0.125860196,0.243186843,184,2015
519,Nasarawa-Eggon,Alkaleri,0.285714286,0.285714286,0.285714286,8,0.145645987,0.087804352,0.203487623,232,2015
520,Nasarawa1,Alkaleri,0.145645987,1,1,5,0.145645987,0.087804352,0.203487623,232,2015
521,Nasarawa2,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
