,LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,year
24,Agwara,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
25,Ahiazu-Mbaise,Ngor-Okpala,0.17073341,NA,NA,NA,0.17073341,0.050004489,0.291462331,67,2015
26,Ahoada East,Ahoada West,0.75,0.75,0.75,5,0.247032288,0.152126062,0.341938514,92,2015
27,Ahoada West,Ahoada West,0.333333333,0.333333333,0.333333333,21,0.247032288,0.152126062,0.341938514,92,2015
28,Aiyedade,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
29,Aiyedire,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
30,Ajaokuta,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
31,Ajeromi-Ifelodun,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
32,Ajingi,Taura,0.111111111,0.111111111,0.111111111,21,0.13431021,0.058467978,0.210152443,151,2015
33,Akamkpa,Ngor-Okpala,0.2,0.2,0.2,4,0.17073341,0.050004489,0.291462331,67,2015
34,Akinyele,Akinyele,0.079747826,NA,NA,NA,0.079747826,-0.004877252,0.164372905,66,2015
35,Akko,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
36,Akoko North East,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
37,Akoko North West,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
38,Akoko South East,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
39,Akoko South West,Oke-Ero,0.114190056,1,1,2,0.114190056,0.051105035,0.177275077,187,2015
40,Akoko-Edo,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
41,Akpabuyo,Nsit Ubium,0.094423463,NA,NA,NA,0.094423463,0.021527921,0.167319005,92,2015
42,Akuku Toru,Ahoada West,0.247032288,NA,NA,NA,0.247032288,0.152126062,0.341938514,92,2015
43,Akure North,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
44,Akure South,Owan East,0.4,0.4,0.4,7,0.264976843,0.182414224,0.347539461,148,2015
45,Akwanga,Oke-Ero,0.114190056,NA,NA,NA,0.114190056,0.051105035,0.177275077,187,2015
46,Albasu,Takali,0.086956522,0.086956522,0.086956522,42,0.074490416,0.033950387,0.115030445,82,2015
47,Aleiro,Birnin Kebbi,0.071887998,0,0,9,0.071887998,-0.033892332,0.177668327,104,2015
48,Alimosho,Uzo-Uwani,0.190437475,0,0,4,0.190437475,0.111596475,0.269278475,115,2015
49,Alkaleri,Alkaleri,0.145645987,NA,NA,NA,0.145645987,0.087804352,0.203487623,232,2015
50,Amuwo-Odofin,Isoko South,0.01218479,0,0,7,0.01218479,-0.009203428,0.033573008,50,2015
51,Anambra East,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
52,Anambra West,Uzo-Uwani,0.190437475,NA,NA,NA,0.190437475,0.111596475,0.269278475,115,2015
53,Anaocha,Oru West,0.5,0.5,0.5,2,0.366720487,0.212880315,0.520560659,59,2015
54,Andoni,Nsit Ubium,0.094423463,NA,NA,NA,0.094423463,0.021527921,0.167319005,92,2015
55,Aninri,Oru West,0.366720487,NA,NA,NA,0.366720487,0.212880315,0.520560659,59,2015
56,Aniocha North,Uzo-Uwani,0.5,0.5,0.5,6,0.190437475,0.111596475,0.269278475,115,2015
57,Aniocha South,Uzo-Uwani,0.190437475,0,0,2,0.190437475,0.111596475,0.269278475,115,2015
58,Anka,Darazo,0.315789474,0.315789474,0.315789474,16,0.18452352,0.125860196,0.243186843,184,2015
59,Ankpa,Owan East,0.264976843,NA,NA,NA,0.264976843,0.182414224,0.347539461,148,2015
60,Apa,Keana,0.1311888,NA,NA,NA,0.1311888,0.041604488,0.220773112,116,2015
61,Apapa,Isoko South,0.01218479,0,0,2,0.01218479,-0.009203428,0.033573008,50,2015
62,Ardo-Kola,Keana,0.1311888,0,0,16,0.1311888,0.041604488,0.220773112,116,2015
63,Arewa-Dandi,Birnin Kebbi,0.071887998,0,0,7,0.071887998,-0.033892332,0.177668327,104,2015
64,Argungu,Birnin Kebbi,0.071887998,NA,NA,NA,0.071887998,-0.033892332,0.177668327,104,2015
