LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,simday,duration,year
Uruan,Nsit Ubium,0.116736022,0,0,3,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Urue-Offong/Oruko,Nsit Ubium,0.083333333,0.083333333,0.083333333,7,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Ayamelum,Uzo-Uwani,0.072215691,0,0,2,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Uyo,Nsit Ubium,0.086058221,-0.093234224,0.265350667,12,0.116736022,0.043754235,0.189717809,147,1095,730,2013
Aguata,Oru West,0.049344359,0,0,4,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Anambra East,Uzo-Uwani,0.072215691,0,0,5,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Anambra West,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Anaocha,Oru West,0.333333333,0.333333333,0.333333333,1,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Dunukofia,Uzo-Uwani,0.142857143,0.142857143,0.142857143,5,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ekwusigo,Oru West,0.049344359,0,0,2,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Idemili North,Uzo-Uwani,0.072215691,0,0,5,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Idemili South,Oru West,0.049344359,0,0,2,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Ihiala,Oru West,0.049344359,0,0,4,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Njikoka,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Nnewi North,Oru West,0.049344359,NA,NA,NA,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Nnewi South,Oru West,0.049344359,NA,NA,NA,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Ogbaru,Ahoada West,0.096335521,-0.067792608,0.260463649,22,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Onitsha North,Uzo-Uwani,0.195594707,-0.144630786,0.535820199,7,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Onitsha South,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Orumba North,Oru West,0.5,0.5,0.5,1,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Orumba South,Oru West,0.049344359,NA,NA,NA,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Oyi,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Alkaleri,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Bauchi,Alkaleri,0.063114987,0.009628886,0.116601089,38,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Bogoro,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Damban,Darazo,0.028082118,-0.008224727,0.064388963,25,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Darazo,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Dass,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Gamawa,Gwarzo,0.038787152,0.005907373,0.07166693,29,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Jama'are,Taura,0.069928121,0,0,6,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Ganjuwa,Darazo,0.013271123,0,0,33,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Giade,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Itas/Gadau,Taura,0.069928121,0,0,12,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Katagum,Gwarzo,0.023765288,0,0,35,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Kirfi,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Misau,Darazo,0.013271123,0,0,3,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Ningi,Takali,0.051157313,0,0,29,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Ukum,Keana,0.05092044,0,0,2,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Shira,Takali,0.051157313,0,0,11,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Tafawa-Balewa,Alkaleri,0.053619382,0,0,16,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Toro,Giwa,0,0,0,32,0,0,0,77,1095,730,2013
Warji,Takali,0.051157313,0,0,12,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Zaki,Taura,0.069928121,0,0,20,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Kolokuma/Opokuma,Ahoada West,0.179282178,NA,NA,NA,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Nembe,Ahoada West,0.179282178,NA,NA,NA,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Ogbia,Ahoada West,0.42920309,0.040226906,0.818179274,2,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Sagbama,Ahoada West,0.179282178,NA,NA,NA,0.179282178,0.10428689,0.254277466,148,1095,730,2013
Yenegoa,Isoko South,0.136199054,0,0,3,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Ado,Akinyele,0.041444389,0,0,2,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Agatu,Keana,0.05092044,0,0,1,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Apa,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Buruku,Keana,0.05092044,0,0,5,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Gboko,Keana,0.05092044,0,0,1,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Guma,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Gwer East,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Gwer West,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Katsina-Ala,Keana,0.05092044,0,0,2,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Konshisha,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Logo,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Makurdi,Keana,0.05092044,0,0,1,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Obi1,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Ogbadibo,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ohimini,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Oju,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Okpokwu,Akinyele,0.041444389,0,0,4,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Oturkpo,Owan East,0.044332263,0,0,1,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Tarka,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Ushongo,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Vandeikya,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Askira/Uba,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Enugu East,Uzo-Uwani,0.072215691,0,0,16,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Bayo,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Biu,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Chibok,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Damboa,Darazo,0.013271123,0,0,9,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Biase,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Dikwa,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Gubio,Gawabawa,0.073810029,NA,NA,NA,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Jere,Gawabawa,0.073810029,0,0,4,0.073810029,0.013935005,0.133685052,64,1095,730,2013
Guzamala,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Hawul,Darazo,0.013271123,NA,NA,NA,0.013271123,0.000948997,0.025593248,264,1095,730,2013
