LGA,repDS,comboACT,ci_l,ci_u,Number of Participants,comboACT_repDS,ci_l_repDS,ci_u_repDS,Num_repDS,simday,duration,year
Nsukka,Uzo-Uwani,0.13812347,0.072556603,0.203690337,11,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Oji-River,Oru West,0.049344359,0,0,2,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Udenu,Uzo-Uwani,0.072215691,0,0,3,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Udi,Uzo-Uwani,0.072215691,0,0,7,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Uzo-Uwani,Uzo-Uwani,0.072215691,0,0,9,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ahiazu-Mbaise,Ngor-Okpala,0.040385726,0,0,2,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Abaji,Keana,0.289711418,0.18462304,0.394799796,2,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Bwari,Giwa,0,0,0,1,0,0,0,77,1095,730,2013
Gwagwalada,Keana,0.05092044,0,0,3,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Kuje,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Kwali,Keana,0.05092044,0,0,2,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Bunkure,Gwarzo,0.023765288,0,0,33,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Abuja Municipal,Keana,0.2797856,0.07217524,0.48739596,6,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Akko,Alkaleri,0.053619382,0,0,42,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Balanga,Alkaleri,0.176782765,-0.090125994,0.443691524,7,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Billiri,Alkaleri,0.116746362,0.095379445,0.138113279,3,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Dukku,Darazo,0.013271123,0,0,9,0.013271123,0.000948997,0.025593248,264,1095,730,2013
Funakaye,Alkaleri,0.114495291,-0.025116643,0.254107225,4,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Gombe,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Kaltungo,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Kwami,Alkaleri,0.117278784,-0.021071881,0.255629448,4,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Dala,Alkaleri,0.053619382,0,0,5,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Nafada,Alkaleri,0.053619382,0,0,6,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Shomgom,Alkaleri,0.118912636,-0.050430127,0.288255399,11,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Yamaltu/Deba,Alkaleri,0.081332317,-0.018572506,0.181237141,4,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Aboh-Mbaise,Ngor-Okpala,0.040385726,0,0,5,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Fagge,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Ehime-Mbano,Ngor-Okpala,0.040385726,0,0,2,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Ezinihitte,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Ideato North,Oru West,0.049344359,0,0,2,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Ideato South,Ngor-Okpala,0.040385726,0,0,1,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Ihitte/Uboma,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Ikeduru,Ngor-Okpala,0.116608942,0.054009382,0.179208501,16,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Isiala Mbano,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Isu,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Mbaitoli,Ngor-Okpala,0.040385726,0,0,2,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Obowo,Ngor-Okpala,0.25,0.25,0.25,4,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Ngor-Okpala,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Njaba,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Nkwerre,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Nwangele,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Oyo East,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Oguta,Oru West,0.049344359,NA,NA,NA,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Ohaji/Egbema,Oru West,0.049344359,0,0,15,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Okigwe,Ngor-Okpala,0.040385726,0,0,2,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Orlu,Oru West,0.049344359,1,1,2,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Orsu,Oru West,0.049344359,0,0,2,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Oru East,Oru West,0.049344359,0,0,1,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Oru West,Oru West,0.049344359,0,0,19,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Owerri-Municipal,Oru West,0.049344359,0,0,14,0.049344359,0.006251072,0.092437646,123,1095,730,2013
Tofa,Taura,0.069928121,0,0,8,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Owerri North,Ngor-Okpala,0.127955167,-0.026605651,0.282515985,13,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Owerri West,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Unuimo,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Auyo,Taura,0.069928121,0,0,6,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Babura,Babura,0.045372476,0,0,13,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Biriniwa,Taura,0.069928121,NA,NA,NA,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Malam Madori,Taura,0.069928121,NA,NA,NA,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Birni Kudu,Takali,0.051157313,NA,NA,NA,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Buji,Takali,0.051157313,NA,NA,NA,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Jahun,Taura,0.069928121,0,0,27,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Dutse,Takali,0.261504455,0.08688827,0.43612064,22,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Gagarawa,Taura,0.125,0.125,0.125,7,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Kafin Hausa,Taura,0.069928121,0,0,4,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Garki,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Gumel,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Guri,Taura,0.069928121,NA,NA,NA,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Gwaram,Takali,0.04476785,-0.01363554,0.10317124,50,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Gwiwa,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Hadejia,Taura,0.069928121,NA,NA,NA,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Kaugama,Taura,0.045985655,0.005514072,0.086457239,20,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Kazaure,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Kiri Kasamma,Taura,0.069928121,NA,NA,NA,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Tsanyawa,Gwarzo,0.023765288,0,0,4,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Miga,Taura,0.069928121,0,0,8,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Ringim,Taura,0.045531259,-0.041332705,0.132395223,40,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Roni,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Taura,Taura,0.076923077,0.076923077,0.076923077,29,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Yankwashi,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
kiyawa,Takali,0.051157313,NA,NA,NA,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Dutsi,Rimi,0.333333333,0.333333333,0.333333333,4,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Birnin-Gwari,Giwa,0,0,0,14,0,0,0,77,1095,730,2013
Kajuru,Soba,0.030472784,0,0,13,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Chikun,Soba,0.030472784,0,0,23,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Giwa,Giwa,0,0,0,9,0,0,0,77,1095,730,2013
Koko/Besse,Birnin Kebbi,0.159709946,0,0,4,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Igabi,Soba,0.030472784,0,0,6,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Ikara,Soba,0.030472784,NA,NA,NA,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Jaba,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ogori/Mangongo,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Jema'a,Soba,0.030472784,NA,NA,NA,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Kachia,Ngor-Okpala,0.040385726,NA,NA,NA,0.040385726,0.003930417,0.076841034,125,1095,730,2013
Kaduna North,Soba,0.030472784,NA,NA,NA,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Kudan,Giwa,0,NA,NA,NA,0,0,0,77,1095,730,2013
Kagarko,Oke-Ero,0.109211148,0,0,12,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Kaura,Soba,0.030472784,0,0,9,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Kauru,Soba,0.030472784,NA,NA,NA,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Kubau,Soba,0.060120394,-0.035936564,0.156177352,32,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Lere,Soba,0.030472784,0,0,1,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Markafi,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Sabon-Gari,Soba,0.030472784,0,0,10,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Sanga,Soba,0.030472784,0,0,5,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Soba,Soba,0.076462761,-0.02736684,0.180292361,18,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Zango-Kataf,Soba,0.030472784,0,0,11,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Zaria,Soba,0.030472784,NA,NA,NA,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Kaduna South,Soba,0.030472784,0,0,3,0.030472784,-0.003269125,0.064214693,141,1095,730,2013
Bichi,Gwarzo,0.023765288,0,0,3,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Ajingi,Taura,0.069928121,0,0,5,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Albasu,Takali,0.051157313,NA,NA,NA,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Bagwai,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Bebeji,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Dambatta,Babura,0.045372476,0,0,7,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Dawakin Kudu,Gwarzo,0.142857143,0.142857143,0.142857143,11,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Dawakin Tofa,Taura,0.069928121,0,0,14,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Doguwa,Giwa,0,NA,NA,NA,0,0,0,77,1095,730,2013
Gabasawa,Taura,0.069928121,NA,NA,NA,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Garko,Gwarzo,0.023765288,0,0,3,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Garum Mallam,Gwarzo,0.023765288,0,0,6,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Gaya,Gwarzo,0.023765288,0,0,2,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Gezawa,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Gwale,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Gwarzo,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Kabo,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Kano Municipal,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Karaye,Gwarzo,0.023765288,0,0,10,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Kibiya,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Kiru,Gwarzo,0.023765288,0,0,4,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Kumbotso,Taura,0.069928121,NA,NA,NA,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Yagba West,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Kunchi,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Kura,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Madobi,Taura,0.069928121,0,0,6,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Makoda,Babura,0.045372476,0,0,10,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Ekiti,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Minjibir,Taura,0.069928121,0,0,5,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Nasarawa1,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Rano,Gwarzo,0.023765288,0,0,3,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Rimin Gado,Gwarzo,0.023765288,0,0,31,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Bindawa,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Rogo,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Shanono,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Sumaila,Takali,0.051157313,0,0,12,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Takali,Takali,0.051157313,NA,NA,NA,0.051157313,-0.010997732,0.113312359,155,1095,730,2013
Tarauni,Alkaleri,0.053619382,NA,NA,NA,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Tudun Wada,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Ungogo,Taura,0.12151146,0.002479746,0.240543174,24,0.069928121,0.046769383,0.093086858,408,1095,730,2013
Warawa,Gwarzo,0.023765288,0,0,26,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Wudil,Gwarzo,0.076923077,0.076923077,0.076923077,8,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Daura,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Bakori,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Batagarawa,Rimi,0.4,0.4,0.4,3,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Batsari,Rimi,0.111111111,0.111111111,0.111111111,8,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Charanchi,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Dan Musa,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Dandume,Giwa,0,NA,NA,NA,0,0,0,77,1095,730,2013
Danja,Giwa,0,NA,NA,NA,0,0,0,77,1095,730,2013
Dutsin-Ma,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Faskari,Giwa,0,0,0,6,0,0,0,77,1095,730,2013
Funtua,Gwarzo,0.023765288,0,0,3,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Asa,Oke-Ero,0.109211148,0,0,3,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ingawa,Rimi,0.073611031,0,0,4,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Kafur,Gwarzo,0.023765288,NA,NA,NA,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Kankara,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Kankia,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Katsina,Rimi,0.073611031,0,0,3,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Kurfi,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Kusada,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Malumfashi,Gwarzo,0.294351974,-0.007410366,0.596114315,6,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Mani,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Matazuu,Rimi,0.073611031,0,0,1,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Birnin Kebbi,Birnin Kebbi,0.333333333,0.333333333,0.333333333,8,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Musawa,Gwarzo,0.023765288,0,0,2,0.023765288,0.003275168,0.044255409,219,1095,730,2013
Rimi,Rimi,0.073611031,NA,NA,NA,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Sabuwa,Giwa,0,0,0,1,0,0,0,77,1095,730,2013
Safana,Babura,0.045372476,NA,NA,NA,0.045372476,-0.020060165,0.110805117,77,1095,730,2013
Sandamu,Rimi,0.107945236,-0.007887367,0.22377784,18,0.073611031,0.022996125,0.124225938,87,1095,730,2013
Aleiro,Birnin Kebbi,0.159709946,0,0,4,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Argungu,Birnin Kebbi,0.159709946,0,0,4,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Augie,Birnin Kebbi,0.333333333,0.333333333,0.333333333,4,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Bunza,Birnin Kebbi,0.333333333,0.333333333,0.333333333,5,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Fakai,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Gwandu,Birnin Kebbi,0.5,0.5,0.5,3,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Jega,Birnin Kebbi,0.159709946,0,0,1,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Kalgo,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Iseyin,Akinyele,0.041444389,0,0,2,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Maiyama,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Ngaski,Owan East,0.222222222,0.222222222,0.222222222,6,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Sakaba,Alkaleri,0.085409263,0.008120545,0.162697981,18,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Shanga,Birnin Kebbi,0.159709946,0,0,3,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Suru,Birnin Kebbi,0.159709946,0,0,7,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Wasagu/Danko,Alkaleri,0.053619382,0,0,5,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Yauri,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
Zuru,Alkaleri,0.187388421,0.176678924,0.198097918,25,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Adavi,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ajaokuta,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Ankpa,Owan East,0.044332263,0,0,1,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Bassa1,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Dekina,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Edu,Oke-Ero,0.109211148,0,0,2,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ibaji,Uzo-Uwani,0.072215691,0,0,1,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Idah,Uzo-Uwani,0.072215691,NA,NA,NA,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Igalamela-Odolu,Uzo-Uwani,0.072215691,0,0,1,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ijumu,Oke-Ero,0.109211148,0,0,2,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Kabba/Bunu,Oke-Ero,0.109211148,0,0,1,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Kogi,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Lokoja,Keana,0.05092044,0,0,2,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Mopa-Muro,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ofu,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Okehi,Owan East,0.044332263,0,0,1,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Okene,Owan East,0.044332263,0,0,4,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Olamabolo,Owan East,0.044332263,1,1,1,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Omala,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Yagba East,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ifelodun1,Oke-Ero,0.109211148,0,0,2,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ilorin East,Oke-Ero,0.109211148,0,0,2,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ilorin South,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ilorin West,Owan East,0.279566455,-0.07873797,0.63787088,3,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Irepodun1,Owan East,0.044332263,NA,NA,NA,0.044332263,0.0098755,0.078789026,177,1095,730,2013
Itesiwaju,Akinyele,0.041444389,NA,NA,NA,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Isin,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Kaiama,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Moro,Oke-Ero,0.109211148,0,0,3,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Offa,Akinyele,0.041444389,0,0,0,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Oke-Ero,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Kajola,Akinyele,0.041444389,0,0,3,0.041444389,0.004445616,0.078443161,90,1095,730,2013
Oyun,Oke-Ero,0.109211148,0,0,0,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Pategi,Oke-Ero,0.109211148,NA,NA,NA,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Agege,Uzo-Uwani,0.072215691,0,0,3,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ajeromi-Ifelodun,Uzo-Uwani,0.072215691,0,0,15,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Alimosho,Uzo-Uwani,0.063368857,-0.02706778,0.153805493,19,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Apapa,Isoko South,0.136199054,0,0,1,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Epe,Uzo-Uwani,0.072215691,0,0,1,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ifako-Ijaye,Uzo-Uwani,0.072215691,0,0,7,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Ikeja,Uzo-Uwani,0.072215691,0,0,1,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Mushin,Isoko South,0.136199054,NA,NA,NA,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Kokona,Oke-Ero,0.142857143,0.142857143,0.142857143,4,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Ojo,Isoko South,0.149211683,-0.145593542,0.444016908,11,0.136199054,0.009945494,0.262452614,51,1095,730,2013
Oshodi-Isolo,Uzo-Uwani,0.102010642,-0.045795045,0.249816329,9,0.072215691,0.02817451,0.116256872,214,1095,730,2013
Surulere1,Oke-Ero,0.109211148,0,0,6,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Akwanga,Oke-Ero,0.168746631,-0.176133027,0.513626289,3,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Obi2,Keana,0.05092044,0,0,1,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Awe,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Doma,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Karu,Oke-Ero,0.451328569,0.305159029,0.597498109,13,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Keana,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Keffi,Oke-Ero,0.109211148,0,0,1,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Lafia,Alkaleri,0.340864276,0.164626907,0.517101645,8,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Nasarawa2,Keana,0.113979606,-0.035753817,0.263713028,8,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Nasarawa-Eggon,Alkaleri,0.053619382,0,0,0,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Chanchaga,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Toto,Keana,0.05092044,NA,NA,NA,0.05092044,0.005529724,0.096311157,114,1095,730,2013
Wamba,Alkaleri,0.5,0.5,0.5,1,0.053619382,0.031748425,0.075490339,389,1095,730,2013
Agaie,Oke-Ero,0.109211148,0,0,21,0.109211148,0.030860305,0.187561992,217,1095,730,2013
Agwara,Birnin Kebbi,0.159709946,NA,NA,NA,0.159709946,0.068057438,0.251362453,46,1095,730,2013
