,.id,LGA,repDS,State,GPZ,U5_coverage,adult_coverage,se,,year,simday,duration,severe_cases
24,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Mayo-Belwa,Alkaleri,Adamawa,2,0.0409121,0.0409121,0.018089481,,2010,0,1095,0.49
25,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Numan,Alkaleri,Adamawa,2,0.0409121,0.0409121,0.018089481,,2010,0,1095,0.49
26,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Shelleng,Darazo,Adamawa,2,0.0409121,0.0409121,0.018089481,,2010,0,1095,0.49
27,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Itu,Ngor-Okpala,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
28,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Song,Darazo,Adamawa,2,0.0409121,0.0409121,0.018089481,,2010,0,1095,0.49
29,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Yola North,Alkaleri,Adamawa,2,0.0409121,0.0409121,0.018089481,,2010,0,1095,0.49
30,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Yola South,Alkaleri,Adamawa,2,0.0409121,0.0409121,0.018089481,,2010,0,1095,0.49
31,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Abak,Nsit Ubium,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
32,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Awka North,Uzo-Uwani,Anambra,4,0.073492708,0.073492708,0.020126638,,2010,0,1095,0.49
33,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Eket,Nsit Ubium,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
34,C:/Users/ido0493/Box/NU-malaria-team/data/nigeria_dhs/data_analysis/data/NG_2010_MIS_06192019/NGKR61DT/NGKR61FL.DTA,Esit Eket,Nsit Ubium,Akwa lbom,5,0.116738506,0.116738506,0.026539389,,2010,0,1095,0.49
