,LGA,repDS,State,year,comboACT,U5_coverage,adult_coverage,simday,duration,severe_cases
59,Aguata,Oru West,Anambra,2010,0.287002987,0.287002987,0.287002987,0,1095,0.49
60,Anambra East,Uzo-Uwani,Anambra,2010,0.331889035,0.331889035,0.331889035,0,1095,0.49
61,Anambra West,Uzo-Uwani,Anambra,2010,0.273781898,0.273781898,0.273781898,0,1095,0.49
62,Anaocha,Oru West,Anambra,2010,0.294467129,0.294467129,0.294467129,0,1095,0.49
63,Dunukofia,Uzo-Uwani,Anambra,2010,0.338628951,0.338628951,0.338628951,0,1095,0.49
64,Ekwusigo,Oru West,Anambra,2010,0.181379645,0.181379645,0.181379645,0,1095,0.49
65,Idemili North,Uzo-Uwani,Anambra,2010,0.293318325,0.293318325,0.293318325,0,1095,0.49
66,Idemili South,Oru West,Anambra,2010,0.190763029,0.190763029,0.190763029,0,1095,0.49
67,Ihiala,Oru West,Anambra,2010,0.113246889,0.113246889,0.113246889,0,1095,0.49
68,Njikoka,Uzo-Uwani,Anambra,2010,0.31919305,0.31919305,0.31919305,0,1095,0.49
69,Nnewi North,Oru West,Anambra,2010,0.213796387,0.213796387,0.213796387,0,1095,0.49
70,Nnewi South,Oru West,Anambra,2010,0.278339599,0.278339599,0.278339599,0,1095,0.49
71,Ogbaru,Ahoada West,Anambra,2010,0.144750396,0.144750396,0.144750396,0,1095,0.49
72,Onitsha North,Uzo-Uwani,Anambra,2010,0.233982763,0.233982763,0.233982763,0,1095,0.49
73,Onitsha South,Uzo-Uwani,Anambra,2010,0.183861038,0.183861038,0.183861038,0,1095,0.49
74,Orumba North,Oru West,Anambra,2010,0.283157749,0.283157749,0.283157749,0,1095,0.49
75,Orumba South,Oru West,Anambra,2010,0.304795622,0.304795622,0.304795622,0,1095,0.49
76,Oyi,Uzo-Uwani,Anambra,2010,0.439552258,0.439552258,0.439552258,0,1095,0.49
77,Alkaleri,Alkaleri,Bauchi,2010,0.106079171,0.106079171,0.106079171,0,1095,0.49
78,Bauchi,Alkaleri,Bauchi,2010,0.204824755,0.204824755,0.204824755,0,1095,0.49
79,Bogoro,Alkaleri,Bauchi,2010,0.113987845,0.113987845,0.113987845,0,1095,0.49
80,Damban,Darazo,Bauchi,2010,0.048319168,0.048319168,0.048319168,0,1095,0.49
81,Darazo,Darazo,Bauchi,2010,0.075533522,0.075533522,0.075533522,0,1095,0.49
82,Dass,Alkaleri,Bauchi,2010,0.104414643,0.104414643,0.104414643,0,1095,0.49
83,Gamawa,Gwarzo,Bauchi,2010,0.052877401,0.052877401,0.052877401,0,1095,0.49
84,Jama'are,Taura,Bauchi,2010,0.069192977,0.069192977,0.069192977,0,1095,0.49
85,Ganjuwa,Darazo,Bauchi,2010,0.052572607,0.052572607,0.052572607,0,1095,0.49
86,Giade,Darazo,Bauchi,2010,0.072455738,0.072455738,0.072455738,0,1095,0.49
87,Itas-Gadau,Taura,Bauchi,2010,0.083158868,0.083158868,0.083158868,0,1095,0.49
88,Katagum,Gwarzo,Bauchi,2010,0.061893589,0.061893589,0.061893589,0,1095,0.49
89,Kirfi,Alkaleri,Bauchi,2010,0.090313491,0.090313491,0.090313491,0,1095,0.49
90,Misau,Darazo,Bauchi,2010,0.061228747,0.061228747,0.061228747,0,1095,0.49
91,Ningi,Takali,Bauchi,2010,0.045641971,0.045641971,0.045641971,0,1095,0.49
92,Ukum,Keana,Benue,2010,0.110132547,0.110132547,0.110132547,0,1095,0.49
93,Shira,Takali,Bauchi,2010,0.099673826,0.099673826,0.099673826,0,1095,0.49
94,Tafawa-Balewa,Alkaleri,Bauchi,2010,0.11655776,0.11655776,0.11655776,0,1095,0.49
95,Toro,Giwa,Bauchi,2010,0.093654598,0.093654598,0.093654598,0,1095,0.49
96,Warji,Takali,Bauchi,2010,0.063364152,0.063364152,0.063364152,0,1095,0.49
97,Zaki,Taura,Bauchi,2010,0.148363372,0.148363372,0.148363372,0,1095,0.49
98,Kolokuma-Opokuma,Ahoada West,Bayelsa,2010,0.176028579,0.176028579,0.176028579,0,1095,0.49
