admin ,name 
LGA,Owerri-Municipal
LGA,Owo
LGA,Oye
LGA,Oyi
LGA,Oyigbo
LGA,Oyo East
LGA,Oyo West
LGA,Oyun
LGA,Pailoro
LGA,Pankshin
LGA,Patani
LGA,Pategi
LGA,Port-Harcourt
LGA,Potiskum
LGA,Qua'an Pan
LGA,Rabah
LGA,Rafi
LGA,Rano
LGA,Remo North
LGA,Rijau
LGA,Rimi
LGA,Rimin Gado
LGA,Ringim
LGA,Riyom
LGA,Rogo
LGA,Roni
LGA,Sabon Birni
LGA,Sabon-Gari
LGA,Sabuwa
LGA,Safana
LGA,Sagbama
LGA,Sakaba
LGA,Saki East
LGA,Saki West
LGA,Sandamu
LGA,Sanga
LGA,Sapele
LGA,Sardauna
LGA,Shagamu
LGA,Shagari
LGA,Shanga
LGA,Shani
LGA,Shanono
LGA,Shelleng
LGA,Shendam
LGA,Shinkafi
LGA,Shira
LGA,Shiroro
LGA,Shomgom
LGA,Shomolu
LGA,Silame
LGA,Soba
LGA,Sokoto North
LGA,Sokoto South
LGA,Song
LGA,Southern Ijaw
LGA,Suleja
LGA,Sule-Tankarkar
LGA,Sumaila
LGA,Suru
LGA,Surulere1
LGA,Surulere2
LGA,Tafa
LGA,Tafawa-Balewa
LGA,Tai
LGA,Takali
LGA,Takum
LGA,Talata Mafara
LGA,Tambuwal
LGA,Tangaza
LGA,Tarauni
LGA,Tarka
LGA,Tarmua
LGA,Taura
LGA,Tofa
LGA,Toro
LGA,Toto
LGA,Toungo
LGA,Tsafe
LGA,Tsanyawa
LGA,Tudun Wada
LGA,Tureta
LGA,Udenu
LGA,Udi
LGA,Udu
LGA,Udung Uko
LGA,Ughelli North
LGA,Ughelli South
LGA,Ugwunagbo
LGA,Uhunmwonde
LGA,Ukanafun
LGA,Ukum
LGA,Ukwa East
LGA,Ukwa West
LGA,Ukwuani
LGA,Umuahia North
LGA,Umuahia South
LGA,Umu-Neochi
LGA,Ungogo
LGA,Unuimo
LGA,Uruan
LGA,Urue-Offong-Oruko
LGA,Ushongo
LGA,Ussa
LGA,Uvwie
LGA,Uyo
LGA,Uzo-Uwani
LGA,Vandeikya
LGA,Wamako
LGA,Wamba
LGA,Warawa
LGA,Warji
LGA,Warri North
LGA,Warri South
LGA,Warri South West
LGA,Wasagu-Danko
LGA,Wase
LGA,Wudil
LGA,Wukari
LGA,Wurno
LGA,Wushishi
LGA,Yabo
LGA,Yagba East
LGA,Yagba West
LGA,Yakurr
LGA,Yala
LGA,Yamaltu-Deba
LGA,Yankwashi
LGA,Yauri
LGA,Yenegoa
LGA,Yola North
LGA,Yola South
LGA,Yorro
LGA,Yunusari
LGA,Yusufari
LGA,Zaki
LGA,Zango
LGA,Zango-Kataf
LGA,Zaria
LGA,Zing
LGA,Zurmi
LGA,Zuru
