LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,scenario
Fakai,Birnin Kebbi,0.666666667,0.666666667,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Faskari,Giwa,0.130508332,0.130508332,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Fika,Darazo,0.095238095,0.095238095,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Fufore,Alkaleri,0.139280114,0.139280114,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Funakaye,Alkaleri,0.045454545,0.045454545,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Fune,Darazo,0.03153893,0.03153893,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Funtua,Gwarzo,0.172172547,0.172172547,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gabasawa,Taura,0.174928041,0.174928041,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gada,Gawabawa,0.106631444,0.106631444,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gagarawa,Taura,0.174928041,0.174928041,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gamawa,Gwarzo,0.172172547,0.172172547,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ganaye,Alkaleri,0.234127553,0.234127553,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Ganjuwa,Darazo,0.101826237,0.101826237,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Garki,Babura,0.666666667,0.666666667,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Garko,Gwarzo,0.172172547,0.172172547,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Garum Mallam,Gwarzo,0.153846154,0.153846154,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gashaka,Oru West,0.411077428,0.411077428,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gassol,Keana,0.086136445,0.086136445,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gawabawa,Gawabawa,0.106631444,0.106631444,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gaya,Gwarzo,0.166666667,0.166666667,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gbako,Oke-Ero,0.461538462,0.461538462,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gboko,Keana,0.140281332,0.140281332,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gboyin,Obubra,0.438502596,0.438502596,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Geidam,Babura,0.349277359,0.349277359,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gezawa,Gwarzo,0.25,0.25,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Giade,Darazo,0.142857143,0.142857143,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gireri,Darazo,0.080992121,0.080992121,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Giwa,Giwa,0.130508332,0.130508332,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gokana,Nsit Ubium,0.182111551,0.182111551,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
Gombe,Alkaleri,0.116169555,0.116169555,0.49,0,-1,2018,-1,Scenario 1 (Business as Usual)
