,LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round,beta_model_params,scale_values,scenario 
366,Ejigbo,Akinyele,0.29442001,0.29442001,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
367,Ejigbo,Akinyele,0.320590928,0.320590928,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
368,Ejigbo,Akinyele,0.346761846,0.346761846,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
369,Ejigbo,Akinyele,0.372932764,0.372932764,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
370,Ejigbo,Akinyele,0.399103682,0.399103682,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
371,Ejigbo,Akinyele,0.4252746,0.4252746,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
372,Ejigbo,Akinyele,0.451445518,0.451445518,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
373,Ejigbo,Akinyele,0.477616435,0.477616435,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
374,Ejigbo,Akinyele,0.503787353,0.503787353,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
375,Ibadan South East,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
376,Ibadan South East,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
377,Ibadan South East,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
378,Ibadan South East,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
379,Ibadan South East,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
380,Ibadan South East,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
381,Ibadan South East,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
382,Ibadan South East,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
383,Ibadan South East,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
384,Ibadan South East,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
385,Ibadan South East,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
386,Ibarapa Central,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
387,Ibarapa Central,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
388,Ibarapa Central,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
389,Ibarapa Central,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
390,Ibarapa Central,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
391,Ibarapa Central,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
392,Ibarapa Central,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
393,Ibarapa Central,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
394,Ibarapa Central,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
395,Ibarapa Central,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
396,Ibarapa Central,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
397,Idanre,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
398,Idanre,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
399,Idanre,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
400,Idanre,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
401,Idanre,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
402,Idanre,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
403,Idanre,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
404,Idanre,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
405,Idanre,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
406,Idanre,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
407,Idanre,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
408,Ido,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
409,Ido,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
410,Ido,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
411,Ido,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
412,Ido,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
413,Ido,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
414,Ido,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
415,Ido,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
416,Ido,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
417,Ido,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
418,Ido,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
419,Ife Central,Akinyele,0.555582577,0.555582577,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
420,Ife Central,Akinyele,0.581753495,0.581753495,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
421,Ife Central,Akinyele,0.607924413,0.607924413,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
422,Ife Central,Akinyele,0.634095331,0.634095331,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
423,Ife Central,Akinyele,0.660266249,0.660266249,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
424,Ife Central,Akinyele,0.686437167,0.686437167,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
425,Ife Central,Akinyele,0.712608085,0.712608085,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
426,Ife Central,Akinyele,0.738779003,0.738779003,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
427,Ife Central,Akinyele,0.764949921,0.764949921,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
428,Ife Central,Akinyele,0.791120838,0.791120838,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
429,Ife Central,Akinyele,0.8,0.8,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
430,Ife East,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
431,Ife East,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
432,Ife East,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
433,Ife East,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
434,Ife East,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
435,Ife East,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
436,Ife East,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
437,Ife East,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
438,Ife East,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
439,Ife East,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
440,Ife East,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
441,Ife North,Akinyele,0.526170918,0.526170918,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
442,Ife North,Akinyele,0.552341836,0.552341836,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
443,Ife North,Akinyele,0.578512754,0.578512754,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
444,Ife North,Akinyele,0.604683672,0.604683672,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
445,Ife North,Akinyele,0.63085459,0.63085459,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
446,Ife North,Akinyele,0.657025508,0.657025508,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
447,Ife North,Akinyele,0.683196426,0.683196426,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
448,Ife North,Akinyele,0.709367344,0.709367344,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
449,Ife North,Akinyele,0.735538262,0.735538262,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
450,Ife North,Akinyele,0.761709179,0.761709179,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
451,Ife North,Akinyele,0.787880097,0.787880097,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
452,Ife South,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
453,Ife South,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
454,Ife South,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
455,Ife South,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
456,Ife South,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
457,Ife South,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
458,Ife South,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
459,Ife South,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
460,Ife South,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
461,Ife South,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
462,Ife South,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
463,Ifelodun2,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
464,Ifelodun2,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
465,Ifelodun2,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
466,Ifelodun2,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
467,Ifelodun2,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
468,Ifelodun2,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
469,Ifelodun2,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
470,Ifelodun2,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
471,Ifelodun2,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
472,Ifelodun2,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
473,Ifelodun2,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
474,Ilemeji,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
475,Ilemeji,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
476,Ilemeji,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
477,Ilemeji,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
478,Ilemeji,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
479,Ilemeji,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
480,Ilemeji,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
481,Ilemeji,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
482,Ilemeji,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
483,Ilemeji,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
484,Ilemeji,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
485,Ilesha West,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
486,Ilesha West,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
487,Ilesha West,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
488,Ilesha West,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
489,Ilesha West,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
490,Ilesha West,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
491,Ilesha West,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
492,Ilesha West,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
493,Ilesha West,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
494,Ilesha West,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
495,Ilesha West,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
496,Irele,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
497,Irele,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
498,Irele,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
499,Irele,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
500,Irele,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
501,Irele,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
502,Irele,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
503,Irele,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
504,Irele,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
505,Irele,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
506,Irele,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
507,Irepodun-Ifelodun,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
508,Irepodun-Ifelodun,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
509,Irepodun-Ifelodun,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
510,Irepodun-Ifelodun,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
511,Irepodun-Ifelodun,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
512,Irepodun-Ifelodun,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
513,Irepodun-Ifelodun,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
514,Irepodun-Ifelodun,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
515,Irepodun-Ifelodun,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
516,Irepodun-Ifelodun,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
517,Irepodun-Ifelodun,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
518,Irewole,Akinyele,0.503443701,0.503443701,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
519,Irewole,Akinyele,0.529614619,0.529614619,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
520,Irewole,Akinyele,0.555785537,0.555785537,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
521,Irewole,Akinyele,0.581956455,0.581956455,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
522,Irewole,Akinyele,0.608127373,0.608127373,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
523,Irewole,Akinyele,0.634298291,0.634298291,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
524,Irewole,Akinyele,0.660469209,0.660469209,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
525,Irewole,Akinyele,0.686640127,0.686640127,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
526,Irewole,Akinyele,0.712811045,0.712811045,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
527,Irewole,Akinyele,0.738981962,0.738981962,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
528,Irewole,Akinyele,0.76515288,0.76515288,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
529,Iseyin,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
530,Iseyin,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
531,Iseyin,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
532,Iseyin,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
533,Iseyin,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
534,Iseyin,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
535,Iseyin,Akinyele,0.338122661,0.338122661,0.673196426,2190,365,2026,-1,7,0.026170918,0.183196426,Scenario 3 (Budget-prioritized plan)
536,Iseyin,Akinyele,0.364293579,0.364293579,0.699367344,2555,365,2027,-1,8,0.026170918,0.209367344,Scenario 3 (Budget-prioritized plan)
537,Iseyin,Akinyele,0.390464497,0.390464497,0.725538262,2920,365,2028,-1,9,0.026170918,0.235538262,Scenario 3 (Budget-prioritized plan)
538,Iseyin,Akinyele,0.416635414,0.416635414,0.751709179,3285,365,2029,-1,10,0.026170918,0.261709179,Scenario 3 (Budget-prioritized plan)
539,Iseyin,Akinyele,0.442806332,0.442806332,0.777880097,3650,-1,2030,-1,11,0.026170918,0.287880097,Scenario 3 (Budget-prioritized plan)
540,Isokan,Akinyele,0.181097153,0.181097153,0.516170918,0,365,2020,-1,1,0.026170918,0.026170918,Scenario 3 (Budget-prioritized plan)
541,Isokan,Akinyele,0.207268071,0.207268071,0.542341836,365,365,2021,-1,2,0.026170918,0.052341836,Scenario 3 (Budget-prioritized plan)
542,Isokan,Akinyele,0.233438989,0.233438989,0.568512754,730,365,2022,-1,3,0.026170918,0.078512754,Scenario 3 (Budget-prioritized plan)
543,Isokan,Akinyele,0.259609907,0.259609907,0.594683672,1095,365,2023,-1,4,0.026170918,0.104683672,Scenario 3 (Budget-prioritized plan)
544,Isokan,Akinyele,0.285780825,0.285780825,0.62085459,1460,365,2024,-1,5,0.026170918,0.13085459,Scenario 3 (Budget-prioritized plan)
545,Isokan,Akinyele,0.311951743,0.311951743,0.647025508,1825,365,2025,-1,6,0.026170918,0.157025508,Scenario 3 (Budget-prioritized plan)
